Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,100.00000E-003,870.07100E-006,80.24000E-003,-299.88500E-003,-41.58060E-009,80.24000E-003
1,1,2,100.00000E-003,866.63500E-006,202.80100E-003,-295.02100E-003,34.46070E-009,202.80100E-003
1,1,3,100.00000E-003,862.72000E-006,431.40800E-003,-290.00000E-003,28.58000E-009,431.40800E-003
1,1,4,100.00000E-003,858.80300E-006,669.18700E-003,-285.00100E-003,34.70000E-009,669.18700E-003
1,1,5,100.00000E-003,855.07300E-006,898.48300E-003,-280.00000E-003,57.63000E-009,898.48300E-003
1,1,6,100.00000E-003,851.39300E-006,1.12739E+000,-275.00100E-003,72.92000E-009,1.12739E+000
1,1,7,100.00000E-003,847.49000E-006,1.35707E+000,-270.00100E-003,79.30000E-009,1.35707E+000
1,1,8,100.00000E-003,843.62400E-006,1.58560E+000,-265.00100E-003,93.87000E-009,1.58560E+000
1,1,9,100.00000E-003,839.64400E-006,1.81810E+000,-260.00100E-003,106.40000E-009,1.81810E+000
1,1,10,100.00000E-003,835.36300E-006,2.04677E+000,-255.00000E-003,125.74000E-009,2.04677E+000
1,1,11,100.00000E-003,830.91600E-006,2.30114E+000,-250.00100E-003,126.55000E-009,2.30114E+000
1,1,12,100.00000E-003,827.15600E-006,2.52975E+000,-245.00000E-003,145.84000E-009,2.52975E+000
1,1,13,100.00000E-003,823.27400E-006,2.78162E+000,-240.00100E-003,150.96000E-009,2.78162E+000
1,1,14,100.00000E-003,819.40200E-006,3.01032E+000,-235.00100E-003,164.17000E-009,3.01032E+000
1,1,15,100.00000E-003,815.28600E-006,3.23915E+000,-230.00200E-003,174.80000E-009,3.23915E+000
1,1,16,100.00000E-003,811.53400E-006,3.46933E+000,-225.00200E-003,185.69000E-009,3.46933E+000
1,1,17,100.00000E-003,807.49500E-006,3.67934E+000,-219.98200E-003,233.65900E-009,3.67934E+000
1,1,18,100.00000E-003,803.26400E-006,3.78903E+000,-215.00000E-003,271.74400E-009,3.78903E+000
1,1,19,100.00000E-003,799.16800E-006,3.96783E+000,-210.02550E-003,275.01300E-009,3.96783E+000
1,1,20,100.00000E-003,794.93900E-006,4.18411E+000,-204.99900E-003,264.46000E-009,4.18411E+000
1,1,21,100.00000E-003,790.43200E-006,4.36491E+000,-200.02100E-003,310.86000E-009,4.36491E+000
1,1,22,100.00000E-003,786.08200E-006,4.47431E+000,-194.99840E-003,338.27300E-009,4.47431E+000
1,1,23,100.00000E-003,781.73400E-006,4.58367E+000,-190.00150E-003,366.01700E-009,4.58367E+000
1,1,24,100.00000E-003,777.35800E-006,4.69299E+000,-184.99810E-003,393.01800E-009,4.69299E+000
1,1,25,100.00000E-003,772.91900E-006,4.80497E+000,-180.00020E-003,417.48000E-009,4.80497E+000
1,1,26,100.00000E-003,768.21800E-006,4.91595E+000,-174.99660E-003,435.19100E-009,4.91595E+000
1,1,27,100.00000E-003,763.63300E-006,5.02962E+000,-169.99370E-003,449.96400E-009,5.02962E+000
1,1,28,100.00000E-003,759.01400E-006,5.13902E+000,-164.99950E-003,486.01200E-009,5.13902E+000
1,1,29,100.00000E-003,754.22000E-006,5.24859E+000,-160.00130E-003,503.62200E-009,5.24859E+000
1,1,30,100.00000E-003,749.49000E-006,5.35800E+000,-154.99890E-003,528.72000E-009,5.35800E+000
1,1,31,100.00000E-003,744.72600E-006,5.46736E+000,-150.00170E-003,547.47000E-009,5.46736E+000
1,1,32,100.00000E-003,739.88300E-006,5.57672E+000,-144.99910E-003,569.28800E-009,5.57672E+000
1,1,33,100.00000E-003,735.02400E-006,5.68894E+000,-139.99990E-003,571.76000E-009,5.68894E+000
1,1,34,100.00000E-003,730.24100E-006,5.79995E+000,-134.99540E-003,602.55800E-009,5.79995E+000
1,1,35,100.00000E-003,725.29400E-006,5.90682E+000,-129.99990E-003,615.28000E-009,5.90682E+000
1,1,36,100.00000E-003,720.02800E-006,6.06788E+000,-125.00290E-003,574.36000E-009,6.06788E+000
1,1,37,100.00000E-003,715.00100E-006,6.18955E+000,-119.99980E-003,610.53000E-009,6.18955E+000
1,1,38,100.00000E-003,709.85500E-006,6.35065E+000,-115.00280E-003,588.52000E-009,6.35065E+000
1,1,39,99.99990E-003,704.67900E-006,6.45757E+000,-109.99980E-003,644.29000E-009,6.45757E+000
1,1,40,100.00000E-003,699.57200E-006,6.56448E+000,-104.99990E-003,673.70000E-009,6.56448E+000
1,1,41,100.00000E-003,694.14600E-006,6.69048E+000,-99.99990E-003,674.67000E-009,6.69048E+000
1,1,42,100.00000E-003,689.03500E-006,6.79933E+000,-94.99980E-003,706.12000E-009,6.79933E+000
1,1,43,100.00000E-003,683.83700E-006,6.90612E+000,-89.99990E-003,732.00000E-009,6.90612E+000
1,1,44,100.00000E-003,678.49100E-006,7.01316E+000,-85.00000E-003,753.10000E-009,7.01316E+000
1,1,45,100.00000E-003,673.13900E-006,7.12022E+000,-80.00000E-003,773.08000E-009,7.12022E+000
1,1,46,100.00000E-003,667.75000E-006,7.23424E+000,-75.00000E-003,787.69000E-009,7.23424E+000
1,1,47,100.00000E-003,662.29800E-006,7.34117E+000,-69.99990E-003,806.61000E-009,7.34117E+000
1,1,48,100.00000E-003,656.78200E-006,7.44805E+000,-64.99980E-003,824.24000E-009,7.44805E+000
1,1,49,100.00000E-003,651.15600E-006,7.55490E+000,-59.99990E-003,840.57000E-009,7.55490E+000
1,1,50,100.00000E-003,645.64800E-006,7.69928E+000,-54.99990E-003,808.97000E-009,7.69928E+000
1,1,51,100.00000E-003,639.93300E-006,7.80616E+000,-49.99980E-003,846.79000E-009,7.80616E+000
1,1,52,100.00000E-003,634.18700E-006,7.91299E+000,-44.99990E-003,867.71000E-009,7.91299E+000
1,1,53,100.00000E-003,628.49000E-006,8.01996E+000,-39.99990E-003,884.86000E-009,8.01996E+000
1,1,54,100.00000E-003,622.73500E-006,8.13216E+000,-34.99970E-003,892.87000E-009,8.13216E+000
1,1,55,100.00000E-003,616.94000E-006,8.24647E+000,-29.99990E-003,905.52000E-009,8.24647E+000
1,1,56,100.00000E-003,611.01300E-006,8.35334E+000,-24.99990E-003,922.17000E-009,8.35334E+000
1,1,57,100.00000E-003,605.07100E-006,8.46019E+000,-19.99980E-003,936.49000E-009,8.46019E+000
1,1,58,100.00000E-003,599.15200E-006,8.56703E+000,-14.99990E-003,949.52000E-009,8.56703E+000
1,1,59,99.99990E-003,593.20100E-006,8.69602E+000,-10.00000E-003,929.72000E-009,8.69602E+000
1,1,60,100.00000E-003,587.15500E-006,8.80290E+000,-4.99990E-003,957.26000E-009,8.80290E+000
1,1,61,99.99990E-003,581.12400E-006,8.91444E+000,200.00000E-009,964.42000E-009,8.91444E+000
1,1,62,100.00000E-003,574.90600E-006,9.02494E+000,5.00020E-003,975.58000E-009,9.02494E+000
1,1,63,100.00000E-003,568.74900E-006,9.13386E+000,10.00020E-003,986.27000E-009,9.13386E+000
1,1,64,100.00000E-003,562.61900E-006,9.24945E+000,15.00010E-003,992.30000E-009,9.24945E+000
1,1,65,100.00000E-003,556.42300E-006,9.35628E+000,20.00010E-003,1.00508E-006,9.35628E+000
1,1,66,100.00000E-003,550.09400E-006,9.46312E+000,25.00030E-003,1.01556E-006,9.46312E+000
1,1,67,100.00000E-003,543.72400E-006,9.56998E+000,30.00020E-003,1.02446E-006,9.56998E+000
1,1,68,100.00000E-003,537.29600E-006,9.69881E+000,35.00010E-003,1.00065E-006,9.69881E+000
1,1,69,100.00000E-003,530.88400E-006,9.80569E+000,40.00020E-003,1.02392E-006,9.80569E+000
1,1,70,99.99990E-003,524.47700E-006,9.91261E+000,45.00030E-003,1.03484E-006,9.91261E+000
1,1,71,100.00000E-003,518.19400E-006,10.01948E+000,50.00010E-003,1.04358E-006,10.01948E+000
1,1,72,100.00000E-003,511.68500E-006,10.12629E+000,55.00010E-003,1.05255E-006,10.12629E+000
1,1,73,100.00000E-003,505.19400E-006,10.24340E+000,60.00020E-003,1.05229E-006,10.24340E+000
1,1,74,100.00000E-003,498.65600E-006,10.35030E+000,65.00010E-003,1.06065E-006,10.35030E+000
1,1,75,100.00000E-003,492.07100E-006,10.45720E+000,70.00020E-003,1.06816E-006,10.45720E+000
1,1,76,100.00000E-003,485.43200E-006,10.56634E+000,75.00010E-003,1.07274E-006,10.56634E+000
1,1,77,100.00000E-003,478.73400E-006,10.70558E+000,80.00020E-003,1.03469E-006,10.70558E+000
1,1,78,100.00000E-003,472.17800E-006,10.81246E+000,85.00030E-003,1.06089E-006,10.81246E+000
1,1,79,100.00000E-003,465.55500E-006,10.91930E+000,90.00020E-003,1.07460E-006,10.91930E+000
1,1,80,99.99990E-003,458.88400E-006,11.02624E+000,95.00020E-003,1.08656E-006,11.02624E+000
1,1,81,100.00000E-003,452.22500E-006,11.13492E+000,100.00010E-003,1.09762E-006,11.13492E+000
1,1,82,100.00000E-003,445.48200E-006,11.24517E+000,105.00020E-003,1.11271E-006,11.24517E+000
1,1,83,99.99990E-003,438.73300E-006,11.35205E+000,110.00030E-003,1.13016E-006,11.35205E+000
1,1,84,100.00000E-003,432.00600E-006,11.45893E+000,115.00020E-003,1.14760E-006,11.45893E+000
1,1,85,100.00000E-003,425.31700E-006,11.56660E+000,120.00020E-003,1.16832E-006,11.56660E+000
1,1,86,100.00000E-003,418.46300E-006,11.70943E+000,125.00020E-003,1.14259E-006,11.70943E+000
1,1,87,100.00000E-003,411.70700E-006,11.81642E+000,130.00010E-003,1.20684E-006,11.81642E+000
1,1,88,100.00000E-003,404.92500E-006,11.92366E+000,135.00010E-003,1.28981E-006,11.92366E+000
1,1,89,100.00000E-003,398.12400E-006,12.03053E+000,140.00010E-003,1.41532E-006,12.03053E+000
1,1,90,100.00000E-003,391.34300E-006,12.13741E+000,145.00030E-003,1.48537E-006,12.13741E+000
1,1,91,100.00000E-003,384.65800E-006,12.25499E+000,150.00030E-003,1.44217E-006,12.25499E+000
1,1,92,100.00000E-003,377.87300E-006,12.36187E+000,155.00010E-003,1.49228E-006,12.36187E+000
1,1,93,100.00000E-003,371.08200E-006,12.46905E+000,160.00010E-003,1.60266E-006,12.46905E+000
1,1,94,100.00000E-003,364.37300E-006,12.57618E+000,165.00020E-003,1.68171E-006,12.57618E+000
1,1,95,100.00000E-003,357.61300E-006,12.71025E+000,169.99990E-003,1.74385E-006,12.71025E+000
1,1,96,100.00000E-003,350.92300E-006,12.81849E+000,175.00000E-003,1.98844E-006,12.81849E+000
1,1,97,100.00000E-003,344.29300E-006,12.92537E+000,180.00000E-003,2.23884E-006,12.92537E+000
1,1,98,100.00000E-003,337.72900E-006,13.03249E+000,185.00030E-003,2.47651E-006,13.03249E+000
1,1,99,100.00000E-003,331.25700E-006,13.13957E+000,190.00000E-003,2.73545E-006,13.13957E+000
1,1,100,100.00000E-003,324.85500E-006,13.25064E+000,195.00000E-003,3.10939E-006,13.25064E+000
1,1,101,100.00000E-003,318.69700E-006,13.35761E+000,200.00050E-003,3.35165E-006,13.35761E+000
1,1,102,100.00000E-003,312.69400E-006,13.46446E+000,205.00030E-003,3.51299E-006,13.46446E+000
1,1,103,100.00000E-003,306.80200E-006,13.57275E+000,210.00050E-003,3.76631E-006,13.57275E+000
1,1,104,100.00000E-003,301.16500E-006,13.71401E+000,215.00000E-003,3.72556E-006,13.71401E+000
1,1,105,99.99990E-003,295.93500E-006,13.82287E+000,220.00100E-003,3.81600E-006,13.82287E+000
1,1,106,100.00000E-003,291.05900E-006,13.92975E+000,225.00000E-003,3.82192E-006,13.92975E+000
1,1,107,100.00000E-003,286.48700E-006,14.03660E+000,230.00000E-003,3.95967E-006,14.03660E+000
1,1,108,100.00000E-003,282.23800E-006,14.14373E+000,235.00100E-003,4.24971E-006,14.14373E+000
1,1,109,99.99990E-003,278.90400E-006,14.25837E+000,240.00200E-003,3.87410E-006,14.25837E+000
1,1,110,100.00000E-003,276.37100E-006,14.36527E+000,245.00100E-003,3.11303E-006,14.36527E+000
1,1,111,100.00000E-003,274.15800E-006,14.47410E+000,250.00100E-003,2.71345E-006,14.47410E+000
1,1,112,100.00000E-003,272.71800E-006,14.58121E+000,255.00100E-003,2.18889E-006,14.58121E+000
1,1,113,100.00000E-003,271.85000E-006,14.71509E+000,260.00000E-003,1.71169E-006,14.71509E+000
1,1,114,100.00000E-003,271.19900E-006,14.82195E+000,265.00000E-003,1.78805E-006,14.82195E+000
1,1,115,100.00000E-003,271.18000E-006,14.92883E+000,270.00000E-003,1.86042E-006,14.92883E+000
1,1,116,100.00010E-003,271.74700E-006,15.03572E+000,275.00000E-003,1.93024E-006,15.03572E+000
1,1,117,100.00000E-003,272.84200E-006,15.14437E+000,280.00000E-003,2.00588E-006,15.14437E+000
1,1,118,100.00000E-003,274.44500E-006,15.25727E+000,285.00000E-003,2.08290E-006,15.25727E+000
1,1,119,100.00000E-003,276.51100E-006,15.36416E+000,290.00000E-003,2.16473E-006,15.36416E+000
