Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,100.00000E-003,70.39250E-009,94.01800E-003,-300.02500E-003,-34.65290E-009,94.01800E-003
1,1,2,99.99780E-003,70.34390E-009,215.89300E-003,-294.95200E-003,-16.08950E-009,215.89300E-003
1,1,3,99.99860E-003,69.84310E-009,337.55900E-003,-289.95900E-003,-7.91370E-009,337.55900E-003
1,1,4,100.00020E-003,72.21330E-009,460.63900E-003,-285.01600E-003,181.60000E-012,460.63900E-003
1,1,5,99.99940E-003,71.89490E-009,579.22500E-003,-279.99600E-003,8.30170E-009,579.22500E-003
1,1,6,99.99840E-003,72.75010E-009,713.01600E-003,-275.00800E-003,10.99260E-009,713.01600E-003
1,1,7,100.00060E-003,73.27060E-009,836.01200E-003,-269.94200E-003,16.81230E-009,836.01200E-003
1,1,8,99.99970E-003,72.85290E-009,957.71100E-003,-265.00500E-003,20.71440E-009,957.71100E-003
1,1,9,99.99910E-003,72.32040E-009,1.07914E+000,-260.00200E-003,26.96310E-009,1.07914E+000
1,1,10,99.99890E-003,73.37120E-009,1.21374E+000,-254.98800E-003,28.66390E-009,1.21374E+000
1,1,11,100.00050E-003,73.24920E-009,1.33669E+000,-249.94300E-003,33.26470E-009,1.33669E+000
1,1,12,100.00150E-003,73.01420E-009,1.45682E+000,-244.98000E-003,37.11690E-009,1.45682E+000
1,1,13,100.00050E-003,72.69290E-009,1.57778E+000,-240.01400E-003,41.56620E-009,1.57778E+000
1,1,14,100.00240E-003,72.30300E-009,1.71160E+000,-235.01400E-003,42.65740E-009,1.71160E+000
1,1,15,99.99790E-003,72.72760E-009,1.83021E+000,-229.98500E-003,49.61190E-009,1.83021E+000
1,1,16,99.99930E-003,73.23120E-009,1.94948E+000,-224.95200E-003,53.48790E-009,1.94948E+000
1,1,17,100.00030E-003,74.33460E-009,2.06802E+000,-219.93700E-003,56.81040E-009,2.06802E+000
1,1,18,100.00010E-003,74.97460E-009,2.21628E+000,-214.96100E-003,54.39190E-009,2.21628E+000
1,1,19,99.99950E-003,73.04120E-009,2.33726E+000,-209.94790E-003,59.40370E-009,2.33726E+000
1,1,20,99.99990E-003,72.94460E-009,2.56220E+000,-205.00120E-003,43.06000E-009,2.56220E+000
1,1,21,100.00040E-003,72.33760E-009,2.72222E+000,-199.96970E-003,52.62130E-009,2.72222E+000
1,1,22,100.00040E-003,73.14210E-009,2.83196E+000,-195.00010E-003,57.55000E-009,2.83196E+000
1,1,23,99.99990E-003,72.61120E-009,3.05695E+000,-189.99990E-003,48.00000E-009,3.05695E+000
1,1,24,99.99780E-003,73.05010E-009,3.19504E+000,-184.99820E-003,55.70400E-009,3.19504E+000
1,1,25,100.00250E-003,72.78450E-009,3.42002E+000,-179.99960E-003,49.96000E-009,3.42002E+000
1,1,26,100.00000E-003,73.68210E-009,3.64197E+000,-175.00030E-003,49.54000E-009,3.64197E+000
1,1,27,100.00090E-003,73.09020E-009,3.87436E+000,-170.00000E-003,49.48000E-009,3.87436E+000
1,1,28,99.99710E-003,73.31840E-009,3.97954E+000,-164.99770E-003,65.41600E-009,3.97954E+000
1,1,29,99.99960E-003,74.66970E-009,4.20720E+000,-160.00010E-003,55.49000E-009,4.20720E+000
1,1,30,100.00050E-003,75.63570E-009,4.31239E+000,-154.99800E-003,70.98300E-009,4.31239E+000
1,1,31,99.99770E-003,75.20690E-009,4.54136E+000,-150.00020E-003,60.09000E-009,4.54136E+000
1,1,32,100.00020E-003,75.19600E-009,4.64650E+000,-144.99740E-003,75.90800E-009,4.64650E+000
1,1,33,99.99950E-003,74.73680E-009,4.76307E+000,-139.99730E-003,82.35400E-009,4.76307E+000
1,1,34,99.99990E-003,75.76970E-009,4.98801E+000,-134.99970E-003,69.01000E-009,4.98801E+000
1,1,35,99.99330E-003,77.21390E-009,5.21031E+000,-130.00070E-003,67.21000E-009,5.21031E+000
1,1,36,100.00150E-003,82.09740E-009,5.31549E+000,-124.99720E-003,83.53100E-009,5.31549E+000
1,1,37,99.99690E-003,80.97970E-009,5.54046E+000,-120.00000E-003,72.19000E-009,5.54046E+000
1,1,38,99.99760E-003,82.94260E-009,5.64565E+000,-114.99750E-003,87.83100E-009,5.64565E+000
1,1,39,100.00000E-003,83.71300E-009,5.88092E+000,-110.00150E-003,75.02000E-009,5.88092E+000
1,1,40,99.99650E-003,84.67910E-009,6.10531E+000,-104.99960E-003,74.15000E-009,6.10531E+000
1,1,41,100.00210E-003,85.44830E-009,6.32715E+000,-100.00110E-003,72.96000E-009,6.32715E+000
1,1,42,99.99660E-003,84.00510E-009,6.55369E+000,-95.00020E-003,73.57000E-009,6.55369E+000
1,1,43,99.99930E-003,85.43290E-009,6.69218E+000,-89.97520E-003,79.72530E-009,6.69218E+000
1,1,44,100.00190E-003,84.48200E-009,6.80050E+000,-84.99740E-003,96.01500E-009,6.80050E+000
1,1,45,99.99950E-003,84.31890E-009,7.02546E+000,-80.00040E-003,83.14000E-009,7.02546E+000
1,1,46,99.98750E-003,85.40400E-009,7.13101E+000,-74.99680E-003,99.18900E-009,7.13101E+000
1,1,47,99.99840E-003,91.01870E-009,7.37138E+000,-70.00010E-003,85.67000E-009,7.37138E+000
1,1,48,100.00100E-003,91.28050E-009,7.59331E+000,-65.00060E-003,84.09000E-009,7.59331E+000
1,1,49,99.99930E-003,88.88360E-009,7.71282E+000,-59.99750E-003,97.08200E-009,7.71282E+000
1,1,50,99.99880E-003,89.45530E-009,7.94032E+000,-55.00000E-003,87.90000E-009,7.94032E+000
1,1,51,99.99870E-003,85.05790E-009,8.16631E+000,-50.00130E-003,85.91000E-009,8.16631E+000
1,1,52,99.99780E-003,84.93710E-009,8.39190E+000,-45.00020E-003,85.48000E-009,8.39190E+000
1,1,53,99.99980E-003,86.43270E-009,8.49706E+000,-39.99760E-003,101.78700E-009,8.49706E+000
1,1,54,99.99840E-003,88.52680E-009,8.72471E+000,-35.00010E-003,90.50000E-009,8.72471E+000
1,1,55,99.99270E-003,89.09450E-009,8.82991E+000,-29.99760E-003,105.71500E-009,8.82991E+000
1,1,56,99.99760E-003,88.88690E-009,9.05624E+000,-24.99990E-003,93.88000E-009,9.05624E+000
1,1,57,100.00170E-003,91.04790E-009,9.16376E+000,-19.99760E-003,108.26900E-009,9.16376E+000
1,1,58,100.00010E-003,84.96550E-009,9.39201E+000,-15.00030E-003,96.29000E-009,9.39201E+000
1,1,59,99.99560E-003,83.25060E-009,9.49723E+000,-9.99760E-003,111.16900E-009,9.49723E+000
1,1,60,100.00000E-003,90.52400E-009,9.77931E+000,-5.00000E-003,94.81000E-009,9.77931E+000
1,1,61,99.99990E-003,83.37700E-009,10.00626E+000,100.00000E-009,93.40000E-009,10.00626E+000
1,1,62,100.00110E-003,83.47020E-009,10.22106E+000,5.00070E-003,92.16100E-009,10.22106E+000
1,1,63,100.00000E-003,115.87600E-009,10.45041E+000,9.99870E-003,92.27000E-009,10.45041E+000
1,1,64,100.00000E-003,90.35100E-009,10.67698E+000,14.99960E-003,91.30000E-009,10.67698E+000
1,1,65,100.00010E-003,83.64700E-009,10.88718E+000,19.99930E-003,92.06000E-009,10.88718E+000
1,1,66,99.99870E-003,82.94600E-009,11.12610E+000,24.99960E-003,90.30000E-009,11.12610E+000
1,1,67,100.00380E-003,81.67150E-009,11.23126E+000,30.00260E-003,105.93800E-009,11.23126E+000
1,1,68,100.00690E-003,82.68610E-009,11.45869E+000,34.99980E-003,95.95000E-009,11.45869E+000
1,1,69,99.99790E-003,83.98460E-009,11.56482E+000,40.00270E-003,110.33000E-009,11.56482E+000
1,1,70,99.99990E-003,82.04140E-009,11.81610E+000,44.99830E-003,96.80000E-009,11.81610E+000
1,1,71,100.00070E-003,82.14870E-009,12.04048E+000,50.00000E-003,96.08000E-009,12.04048E+000
1,1,72,99.99910E-003,82.20620E-009,12.27802E+000,54.99940E-003,94.37000E-009,12.27802E+000
1,1,73,100.00000E-003,84.10020E-009,12.38338E+000,60.00300E-003,110.12200E-009,12.38338E+000
1,1,74,99.99800E-003,82.97600E-009,12.60884E+000,65.00000E-003,99.96000E-009,12.60884E+000
1,1,75,99.99900E-003,81.78740E-009,12.84713E+000,69.99990E-003,97.29000E-009,12.84713E+000
1,1,76,99.99460E-003,84.30840E-009,12.95234E+000,75.00290E-003,112.43400E-009,12.95234E+000
1,1,77,100.00020E-003,83.37750E-009,13.17736E+000,79.99960E-003,102.16000E-009,13.17736E+000
1,1,78,100.00040E-003,84.30480E-009,13.28250E+000,85.00300E-003,117.07900E-009,13.28250E+000
1,1,79,99.99730E-003,86.45100E-009,13.51063E+000,89.99970E-003,105.51000E-009,13.51063E+000
1,1,80,99.99810E-003,86.47950E-009,13.61581E+000,95.00300E-003,120.24100E-009,13.61581E+000
1,1,81,100.00870E-003,85.76380E-009,13.85700E+000,99.99980E-003,107.52000E-009,13.85700E+000
1,1,82,100.00010E-003,84.00610E-009,14.08164E+000,104.99850E-003,105.71000E-009,14.08164E+000
1,1,83,99.99830E-003,87.20920E-009,14.18680E+000,110.00290E-003,120.97300E-009,14.18680E+000
1,1,84,100.00000E-003,86.69210E-009,14.41468E+000,114.99850E-003,110.37000E-009,14.41468E+000
1,1,85,100.00060E-003,86.47380E-009,14.51985E+000,120.00320E-003,125.35300E-009,14.51985E+000
1,1,86,99.99890E-003,90.55140E-009,14.73172E+000,125.00010E-003,115.95500E-009,14.73172E+000
1,1,87,100.00040E-003,87.74920E-009,14.95925E+000,129.99970E-003,113.95000E-009,14.95925E+000
1,1,88,99.99970E-003,88.25420E-009,15.06443E+000,135.00240E-003,129.39700E-009,15.06443E+000
1,1,89,99.99610E-003,88.89320E-009,15.29357E+000,139.99960E-003,119.50000E-009,15.29357E+000
1,1,90,99.99930E-003,86.98320E-009,15.39874E+000,145.00290E-003,134.81700E-009,15.39874E+000
1,1,91,100.00080E-003,87.77810E-009,15.62623E+000,149.99960E-003,125.01000E-009,15.62623E+000
1,1,92,99.99360E-003,89.38290E-009,15.85968E+000,154.99980E-003,124.00000E-009,15.85968E+000
1,1,93,100.00070E-003,89.91480E-009,15.96490E+000,160.00250E-003,140.55100E-009,15.96490E+000
1,1,94,100.00060E-003,90.85450E-009,16.19537E+000,164.99990E-003,132.15000E-009,16.19537E+000
1,1,95,100.00030E-003,88.88530E-009,16.30113E+000,170.00340E-003,148.80500E-009,16.30113E+000
1,1,96,100.00060E-003,90.28160E-009,16.52997E+000,175.00010E-003,141.79000E-009,16.52997E+000
1,1,97,100.00050E-003,90.11860E-009,16.63513E+000,180.00370E-003,158.10500E-009,16.63513E+000
1,1,98,100.00610E-003,86.52010E-009,16.86255E+000,184.99910E-003,150.87000E-009,16.86255E+000
1,1,99,100.00210E-003,83.73830E-009,16.96810E+000,190.00380E-003,168.44000E-009,16.96810E+000
1,1,100,99.99720E-003,85.13770E-009,17.19722E+000,194.99860E-003,164.79000E-009,17.19722E+000
1,1,101,100.00180E-003,86.72000E-009,17.30240E+000,200.00400E-003,180.49100E-009,17.30240E+000
1,1,102,100.00280E-003,84.30340E-009,17.52980E+000,204.99880E-003,175.79000E-009,17.52980E+000
1,1,103,100.00010E-003,84.40550E-009,17.63499E+000,210.00410E-003,194.40100E-009,17.63499E+000
1,1,104,99.99760E-003,84.78590E-009,17.74829E+000,215.00300E-003,205.56700E-009,17.74829E+000
1,1,105,100.00090E-003,84.04240E-009,17.85893E+000,220.00200E-003,216.33100E-009,17.85893E+000
1,1,106,99.99940E-003,83.96760E-009,17.96722E+000,225.00400E-003,229.60400E-009,17.96722E+000
1,1,107,99.99770E-003,84.43020E-009,18.07553E+000,230.00300E-003,240.94600E-009,18.07553E+000
1,1,108,99.99960E-003,84.32350E-009,18.18379E+000,235.00400E-003,254.24600E-009,18.18379E+000
1,1,109,100.00380E-003,83.24500E-009,18.30235E+000,240.00500E-003,265.32500E-009,18.30235E+000
1,1,110,100.00060E-003,82.67270E-009,18.41054E+000,245.00300E-003,278.43800E-009,18.41054E+000
1,1,111,99.99840E-003,83.96490E-009,18.51873E+000,250.00500E-003,293.81000E-009,18.51873E+000
1,1,112,99.99880E-003,84.43310E-009,18.63082E+000,254.99900E-003,305.08900E-009,18.63082E+000
1,1,113,100.00300E-003,82.78590E-009,18.74875E+000,260.00500E-003,319.75100E-009,18.74875E+000
1,1,114,99.99920E-003,81.76380E-009,18.85697E+000,265.00400E-003,336.52500E-009,18.85697E+000
1,1,115,100.00050E-003,81.42070E-009,18.96518E+000,270.00400E-003,353.46500E-009,18.96518E+000
1,1,116,100.00080E-003,79.39230E-009,19.07417E+000,275.00500E-003,368.72500E-009,19.07417E+000
1,1,117,100.00160E-003,79.38350E-009,19.18239E+000,280.00500E-003,388.05400E-009,19.18239E+000
1,1,118,99.99690E-003,80.03560E-009,19.30339E+000,285.00700E-003,404.97900E-009,19.30339E+000
1,1,119,100.00100E-003,80.48800E-009,19.41159E+000,290.00400E-003,423.26000E-009,19.41159E+000
1,1,120,100.00080E-003,80.18260E-009,19.51980E+000,295.00700E-003,444.43100E-009,19.51980E+000
1,1,121,100.00180E-003,79.82790E-009,19.63040E+000,300.00000E-003,457.98000E-009,19.63040E+000
1,1,122,100.00050E-003,79.81160E-009,19.75155E+000,305.00700E-003,481.94100E-009,19.75155E+000
1,1,123,99.99970E-003,79.32710E-009,19.86087E+000,310.00600E-003,504.30400E-009,19.86087E+000
1,1,124,99.99980E-003,79.18290E-009,19.97227E+000,315.00300E-003,520.33000E-009,19.97227E+000
1,1,125,100.00030E-003,79.78040E-009,20.08213E+000,320.00300E-003,544.43600E-009,20.08213E+000
1,1,126,100.00100E-003,79.34200E-009,20.18786E+000,325.00000E-003,571.39000E-009,20.18786E+000
1,1,127,100.00050E-003,79.33570E-009,20.30321E+000,330.00900E-003,600.66300E-009,20.30321E+000
