Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,892.34900E-006,79.92300E-003,-299.90200E-003,-52.74990E-009,79.92300E-003
1,1,2,100.00000E-003,887.81400E-006,202.50400E-003,-294.98300E-003,40.09020E-009,202.50400E-003
1,1,3,100.00000E-003,883.15400E-006,324.66600E-003,-290.06600E-003,71.52460E-009,324.66600E-003
1,1,4,100.00000E-003,878.42200E-006,555.64900E-003,-285.00000E-003,36.34000E-009,555.64900E-003
1,1,5,100.00000E-003,873.55600E-006,794.97900E-003,-280.00000E-003,26.19000E-009,794.97900E-003
1,1,6,100.00000E-003,868.59300E-006,1.02372E+000,-275.00000E-003,52.86000E-009,1.02372E+000
1,1,7,100.00000E-003,863.71700E-006,1.28044E+000,-270.00100E-003,37.41000E-009,1.28044E+000
1,1,8,100.00000E-003,858.73500E-006,1.50944E+000,-265.00000E-003,59.01000E-009,1.50944E+000
1,1,9,100.00000E-003,853.72200E-006,1.73813E+000,-260.00000E-003,72.89000E-009,1.73813E+000
1,1,10,100.00000E-003,848.62100E-006,1.96718E+000,-255.00200E-003,63.84000E-009,1.96718E+000
1,1,11,99.99990E-003,843.60400E-006,2.17748E+000,-249.98900E-003,94.16900E-009,2.17748E+000
1,1,12,100.00000E-003,838.55700E-006,2.40635E+000,-245.00000E-003,100.34000E-009,2.40635E+000
1,1,13,100.00000E-003,833.34800E-006,2.63547E+000,-240.00100E-003,90.85000E-009,2.63547E+000
1,1,14,100.00000E-003,828.19400E-006,2.86658E+000,-235.00100E-003,92.37000E-009,2.86658E+000
1,1,15,100.00000E-003,823.01300E-006,3.09535E+000,-230.00100E-003,107.66000E-009,3.09535E+000
1,1,16,100.00000E-003,817.70600E-006,3.34377E+000,-225.00000E-003,112.81000E-009,3.34377E+000
1,1,17,100.00000E-003,812.47800E-006,3.57523E+000,-220.00000E-003,127.29000E-009,3.57523E+000
1,1,18,100.00000E-003,807.11500E-006,3.80388E+000,-215.00100E-003,130.68000E-009,3.80388E+000
1,1,19,100.00000E-003,801.91000E-006,4.03262E+000,-210.00150E-003,129.39000E-009,4.03262E+000
