Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,832.80000E-006,183.91500E-003,-300.00100E-003,-146.11000E-009,183.91500E-003
1,1,2,99.99990E-003,829.48500E-006,305.57000E-003,-294.85800E-003,-14.93360E-009,305.57000E-003
1,1,3,100.00000E-003,826.55100E-006,429.74500E-003,-290.01300E-003,30.99810E-009,429.74500E-003
1,1,4,100.00000E-003,823.58200E-006,660.07800E-003,-284.99900E-003,1.47000E-009,660.07800E-003
1,1,5,100.00000E-003,820.35400E-006,898.52800E-003,-280.00000E-003,-4.28000E-009,898.52800E-003
1,1,6,100.00000E-003,817.09200E-006,1.12725E+000,-275.00000E-003,31.42000E-009,1.12725E+000
1,1,7,100.00000E-003,813.74400E-006,1.38094E+000,-270.00000E-003,26.31000E-009,1.38094E+000
1,1,8,99.99990E-003,810.45700E-006,1.61167E+000,-265.00000E-003,57.89000E-009,1.61167E+000
1,1,9,100.00000E-003,807.37200E-006,1.84139E+000,-260.00000E-003,78.14000E-009,1.84139E+000
1,1,10,100.00000E-003,804.17000E-006,2.07016E+000,-255.00100E-003,73.36000E-009,2.07016E+000
1,1,11,100.00000E-003,800.91800E-006,2.28533E+000,-250.00000E-003,107.87000E-009,2.28533E+000
1,1,12,100.00000E-003,797.68500E-006,2.51702E+000,-245.00100E-003,109.72000E-009,2.51702E+000
1,1,13,100.00000E-003,794.35200E-006,2.77964E+000,-240.00000E-003,120.37000E-009,2.77964E+000
1,1,14,100.00000E-003,790.93600E-006,3.00858E+000,-235.00000E-003,142.47000E-009,3.00858E+000
1,1,15,100.00000E-003,787.54400E-006,3.23790E+000,-230.00100E-003,140.91000E-009,3.23790E+000
1,1,16,100.00000E-003,784.27600E-006,3.34856E+000,-225.00300E-003,245.97900E-009,3.34856E+000
1,1,17,100.00000E-003,780.88900E-006,3.52680E+000,-220.01900E-003,238.53200E-009,3.52680E+000
1,1,18,100.00000E-003,777.49400E-006,3.63622E+000,-215.00200E-003,317.75800E-009,3.63622E+000
1,1,19,100.00000E-003,774.15500E-006,3.74570E+000,-210.00040E-003,343.45200E-009,3.74570E+000
1,1,20,100.00000E-003,770.64100E-006,3.85512E+000,-205.00030E-003,388.12400E-009,3.85512E+000
1,1,21,100.00000E-003,767.13400E-006,3.96452E+000,-200.00310E-003,412.32500E-009,3.96452E+000
1,1,22,100.00000E-003,763.56400E-006,4.07405E+000,-194.99780E-003,444.63200E-009,4.07405E+000
1,1,23,100.00000E-003,760.11800E-006,4.18349E+000,-190.00520E-003,471.61400E-009,4.18349E+000
1,1,24,100.00000E-003,756.50300E-006,4.29600E+000,-185.00190E-003,484.52400E-009,4.29600E+000
1,1,25,100.00000E-003,752.85300E-006,4.40794E+000,-179.99690E-003,516.66300E-009,4.40794E+000
1,1,26,100.00000E-003,749.20300E-006,4.51620E+000,-174.99970E-003,532.90000E-009,4.51620E+000
1,1,27,100.00000E-003,745.50700E-006,4.62557E+000,-169.99900E-003,569.08500E-009,4.62557E+000
1,1,28,100.00000E-003,741.84000E-006,4.73242E+000,-164.99950E-003,584.34000E-009,4.73242E+000
1,1,29,100.00000E-003,738.08000E-006,4.89885E+000,-160.00250E-003,516.50000E-009,4.89885E+000
1,1,30,100.00000E-003,734.34200E-006,5.00837E+000,-154.99910E-003,602.91500E-009,5.00837E+000
1,1,31,100.00000E-003,730.56700E-006,5.11526E+000,-149.99950E-003,628.32000E-009,5.11526E+000
1,1,32,100.00000E-003,726.78400E-006,5.22231E+000,-144.99960E-003,656.63000E-009,5.22231E+000
1,1,33,100.00000E-003,722.89100E-006,5.33260E+000,-139.99970E-003,679.94000E-009,5.33260E+000
1,1,34,100.00000E-003,719.02200E-006,5.43951E+000,-134.99960E-003,707.83000E-009,5.43951E+000
1,1,35,100.00000E-003,715.34300E-006,5.54638E+000,-129.99960E-003,734.69000E-009,5.54638E+000
1,1,36,100.00000E-003,711.47800E-006,5.65744E+000,-124.99970E-003,749.20000E-009,5.65744E+000
1,1,37,100.00000E-003,707.37500E-006,5.84965E+000,-120.00300E-003,640.56000E-009,5.84965E+000
1,1,38,100.00000E-003,703.46700E-006,5.95654E+000,-114.99930E-003,734.48000E-009,5.95654E+000
1,1,39,100.00000E-003,699.46400E-006,6.06339E+000,-109.99940E-003,777.58000E-009,6.06339E+000
1,1,40,100.00000E-003,695.57100E-006,6.17023E+000,-104.99920E-003,811.07000E-009,6.17023E+000
1,1,41,100.00000E-003,691.52000E-006,6.29271E+000,-99.99930E-003,800.99000E-009,6.29271E+000
1,1,42,100.00000E-003,687.30200E-006,6.39960E+000,-94.99930E-003,846.32000E-009,6.39960E+000
1,1,43,100.00000E-003,682.94500E-006,6.50645E+000,-89.99930E-003,875.87000E-009,6.50645E+000
1,1,44,100.00000E-003,678.71100E-006,6.61332E+000,-84.99940E-003,899.97000E-009,6.61332E+000
1,1,45,100.00000E-003,674.02000E-006,6.72026E+000,-79.99940E-003,919.62000E-009,6.72026E+000
1,1,46,100.00000E-003,669.58400E-006,6.83661E+000,-74.99950E-003,933.67000E-009,6.83661E+000
1,1,47,100.00000E-003,665.19100E-006,6.94560E+000,-69.99950E-003,953.60000E-009,6.94560E+000
1,1,48,100.00000E-003,660.90700E-006,7.05443E+000,-64.99970E-003,974.01000E-009,7.05443E+000
1,1,49,100.00000E-003,656.15700E-006,7.16130E+000,-59.99950E-003,994.13000E-009,7.16130E+000
1,1,50,100.00000E-003,651.40500E-006,7.29596E+000,-54.99970E-003,951.42000E-009,7.29596E+000
1,1,51,100.00000E-003,646.66900E-006,7.40293E+000,-49.99960E-003,1.00082E-006,7.40293E+000
1,1,52,100.00000E-003,641.73600E-006,7.51234E+000,-44.99920E-003,1.01937E-006,7.51234E+000
1,1,53,100.00000E-003,636.82000E-006,7.62109E+000,-39.99980E-003,1.03965E-006,7.62109E+000
1,1,54,99.99990E-003,632.19200E-006,7.72820E+000,-34.99950E-003,1.06372E-006,7.72820E+000
1,1,55,100.00000E-003,627.44100E-006,7.83952E+000,-29.99940E-003,1.07697E-006,7.83952E+000
1,1,56,100.00000E-003,622.60900E-006,7.94643E+000,-24.99930E-003,1.09490E-006,7.94643E+000
1,1,57,100.00000E-003,617.66600E-006,8.05752E+000,-19.99970E-003,1.09815E-006,8.05752E+000
1,1,58,100.00000E-003,612.79100E-006,8.16792E+000,-14.99960E-003,1.11211E-006,8.16792E+000
1,1,59,100.00000E-003,607.48100E-006,8.29846E+000,-9.99920E-003,1.07087E-006,8.29846E+000
1,1,60,100.00000E-003,602.32500E-006,8.40536E+000,-4.99920E-003,1.12001E-006,8.40536E+000
1,1,61,100.00000E-003,597.39800E-006,8.51232E+000,800.00000E-009,1.14626E-006,8.51232E+000
1,1,62,100.00000E-003,592.39900E-006,8.61953E+000,5.00100E-003,1.16260E-006,8.61953E+000
1,1,63,100.00000E-003,587.49700E-006,8.72640E+000,10.00110E-003,1.18339E-006,8.72640E+000
1,1,64,100.00000E-003,582.71500E-006,8.84354E+000,15.00060E-003,1.18072E-006,8.84354E+000
1,1,65,100.00000E-003,577.69800E-006,8.95109E+000,20.00070E-003,1.19907E-006,8.95109E+000
1,1,66,100.00000E-003,572.81700E-006,9.05807E+000,25.00060E-003,1.21759E-006,9.05807E+000
1,1,67,100.00000E-003,568.12800E-006,9.16505E+000,30.00040E-003,1.23653E-006,9.16505E+000
1,1,68,99.99990E-003,563.30400E-006,9.30180E+000,35.00050E-003,1.18184E-006,9.30180E+000
1,1,69,100.00000E-003,558.69100E-006,9.40867E+000,40.00070E-003,1.23619E-006,9.40867E+000
1,1,70,100.00000E-003,554.07200E-006,9.51554E+000,45.00070E-003,1.26572E-006,9.51554E+000
1,1,71,100.00000E-003,549.28500E-006,9.62270E+000,50.00050E-003,1.28645E-006,9.62270E+000
1,1,72,100.00000E-003,544.60400E-006,9.72962E+000,55.00060E-003,1.31325E-006,9.72962E+000
1,1,73,100.00000E-003,539.85600E-006,9.84483E+000,60.00060E-003,1.34305E-006,9.84483E+000
1,1,74,100.00000E-003,535.25400E-006,9.95172E+000,65.00070E-003,1.40548E-006,9.95172E+000
1,1,75,100.00000E-003,530.37600E-006,10.05884E+000,70.00080E-003,1.48331E-006,10.05884E+000
1,1,76,100.00000E-003,525.36900E-006,10.16574E+000,75.00110E-003,1.56006E-006,10.16574E+000
1,1,77,100.00000E-003,520.25900E-006,10.30405E+000,80.00080E-003,1.53582E-006,10.30405E+000
1,1,78,100.00000E-003,515.23800E-006,10.41094E+000,85.00090E-003,1.60704E-006,10.41094E+000
1,1,79,100.00000E-003,510.36100E-006,10.51803E+000,90.00100E-003,1.67601E-006,10.51803E+000
1,1,80,100.00000E-003,505.31900E-006,10.62516E+000,95.00110E-003,1.76103E-006,10.62516E+000
1,1,81,100.00000E-003,500.29800E-006,10.73204E+000,100.00100E-003,1.86471E-006,10.73204E+000
1,1,82,100.00000E-003,495.40000E-006,10.84758E+000,105.00110E-003,1.98499E-006,10.84758E+000
1,1,83,100.00000E-003,490.44600E-006,10.95446E+000,110.00120E-003,2.12899E-006,10.95446E+000
1,1,84,100.00000E-003,485.57300E-006,11.06136E+000,115.00130E-003,2.28203E-006,11.06136E+000
1,1,85,100.00000E-003,480.70800E-006,11.16823E+000,120.00120E-003,2.46944E-006,11.16823E+000
1,1,86,100.00000E-003,475.83000E-006,11.30792E+000,125.00100E-003,2.58804E-006,11.30792E+000
1,1,87,100.00000E-003,470.90500E-006,11.41486E+000,130.00120E-003,2.82136E-006,11.41486E+000
1,1,88,100.00000E-003,466.07200E-006,11.52175E+000,135.00120E-003,3.04486E-006,11.52175E+000
1,1,89,100.00000E-003,461.36100E-006,11.62865E+000,140.00120E-003,3.29705E-006,11.62865E+000
1,1,90,100.00000E-003,456.75900E-006,11.73551E+000,145.00150E-003,3.53068E-006,11.73551E+000
1,1,91,100.00000E-003,451.75700E-006,11.85223E+000,150.00170E-003,3.80907E-006,11.85223E+000
1,1,92,100.00000E-003,447.09900E-006,11.95913E+000,155.00170E-003,4.08248E-006,11.95913E+000
1,1,93,100.00000E-003,442.43600E-006,12.06604E+000,160.00190E-003,4.39948E-006,12.06604E+000
1,1,94,100.00000E-003,437.75200E-006,12.17526E+000,165.00070E-003,4.53593E-006,12.17526E+000
1,1,95,100.00000E-003,433.22300E-006,12.31600E+000,170.00050E-003,4.10788E-006,12.31600E+000
1,1,96,100.00000E-003,428.78500E-006,12.42286E+000,175.00180E-003,3.96190E-006,12.42286E+000
1,1,97,100.00000E-003,424.19600E-006,12.52974E+000,180.00130E-003,4.21156E-006,12.52974E+000
1,1,98,100.00000E-003,419.55100E-006,12.63664E+000,185.00170E-003,4.37961E-006,12.63664E+000
1,1,99,100.00000E-003,415.02500E-006,12.74371E+000,190.00190E-003,4.28020E-006,12.74371E+000
1,1,100,100.00000E-003,410.32400E-006,12.85307E+000,195.00350E-003,3.66971E-006,12.85307E+000
1,1,101,100.00000E-003,405.56200E-006,12.96008E+000,200.00380E-003,2.03548E-006,12.96008E+000
1,1,102,100.00000E-003,400.84000E-006,13.06710E+000,205.00120E-003,1.70332E-006,13.06710E+000
1,1,103,100.00000E-003,395.82700E-006,13.17400E+000,210.00100E-003,1.72699E-006,13.17400E+000
1,1,104,100.00000E-003,390.64500E-006,13.31288E+000,215.00100E-003,1.67993E-006,13.31288E+000
1,1,105,100.00000E-003,385.88600E-006,13.41977E+000,220.00100E-003,1.76138E-006,13.41977E+000
1,1,106,100.00000E-003,381.12600E-006,13.52662E+000,225.00100E-003,1.80637E-006,13.52662E+000
