Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,787.18900E-006,66.80500E-003,-300.00100E-003,-279.41900E-009,66.80500E-003
1,1,2,100.00000E-003,784.83200E-006,170.86700E-003,-295.00000E-003,-228.40600E-009,170.86700E-003
1,1,3,100.00000E-003,782.34200E-006,275.62300E-003,-290.00000E-003,-198.93600E-009,275.62300E-003
1,1,4,100.00000E-003,779.81600E-006,385.07300E-003,-285.00000E-003,-178.33600E-009,385.07300E-003
1,1,5,100.00000E-003,777.20400E-006,488.63300E-003,-280.00000E-003,-155.71600E-009,488.63300E-003
1,1,6,100.00000E-003,774.58000E-006,665.61000E-003,-274.97500E-003,-125.72400E-009,665.61000E-003
1,1,7,100.00000E-003,771.96200E-006,769.24100E-003,-270.00000E-003,-130.18900E-009,769.24100E-003
1,1,8,100.00000E-003,769.26200E-006,872.74500E-003,-264.99900E-003,-113.09400E-009,872.74500E-003
1,1,9,100.00000E-003,766.46000E-006,1.04724E+000,-259.98200E-003,-97.15500E-009,1.04724E+000
1,1,10,100.00000E-003,763.66100E-006,1.23544E+000,-254.98200E-003,-92.65100E-009,1.23544E+000
1,1,11,100.00000E-003,760.80700E-006,1.41081E+000,-249.99100E-003,-98.27900E-009,1.41081E+000
1,1,12,100.00000E-003,757.96900E-006,1.58895E+000,-244.98600E-003,-85.49500E-009,1.58895E+000
1,1,13,100.00000E-003,755.11900E-006,1.77445E+000,-239.98700E-003,-78.27200E-009,1.77445E+000
1,1,14,100.00000E-003,752.10200E-006,1.89413E+000,-234.95700E-003,-77.57780E-009,1.89413E+000
1,1,15,100.00000E-003,749.20600E-006,2.01628E+000,-229.93400E-003,-63.74680E-009,2.01628E+000
1,1,16,100.00000E-003,746.27000E-006,2.16156E+000,-224.99300E-003,-60.05930E-009,2.16156E+000
