Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,722.20900E-006,79.90300E-003,-299.95700E-003,-33.28830E-009,79.90300E-003
1,1,2,100.00000E-003,719.02600E-006,203.20400E-003,-294.96800E-003,32.29840E-009,203.20400E-003
1,1,3,100.00000E-003,715.80000E-006,325.45800E-003,-289.99800E-003,60.63070E-009,325.45800E-003
1,1,4,100.00000E-003,712.57400E-006,447.58600E-003,-285.05500E-003,76.58670E-009,447.58600E-003
1,1,5,100.00000E-003,709.19200E-006,676.20100E-003,-280.00000E-003,35.04000E-009,676.20100E-003
1,1,6,100.00000E-003,705.81300E-006,901.78000E-003,-275.00100E-003,32.87000E-009,901.78000E-003
1,1,7,100.00000E-003,702.40400E-006,1.12778E+000,-270.00000E-003,39.66000E-009,1.12778E+000
1,1,8,100.00000E-003,698.96000E-006,1.35359E+000,-265.00000E-003,43.66000E-009,1.35359E+000
1,1,9,100.00000E-003,695.44300E-006,1.57882E+000,-260.00100E-003,47.93000E-009,1.57882E+000
1,1,10,99.99990E-003,692.00200E-006,1.80708E+000,-255.00000E-003,55.62000E-009,1.80708E+000
1,1,11,100.00000E-003,688.61600E-006,1.91749E+000,-249.99800E-003,90.79800E-009,1.91749E+000
1,1,12,100.00000E-003,685.11100E-006,2.17312E+000,-245.00000E-003,65.69000E-009,2.17312E+000
1,1,13,100.00000E-003,681.55000E-006,2.39875E+000,-240.00100E-003,63.59000E-009,2.39875E+000
1,1,14,100.00000E-003,677.98200E-006,2.62479E+000,-235.00000E-003,72.94000E-009,2.62479E+000
1,1,15,100.00000E-003,674.43900E-006,2.85310E+000,-230.00100E-003,71.95000E-009,2.85310E+000
1,1,16,100.00000E-003,670.82600E-006,3.07925E+000,-225.00100E-003,75.27000E-009,3.07925E+000
1,1,17,100.00000E-003,667.20800E-006,3.30484E+000,-220.00100E-003,80.54000E-009,3.30484E+000
1,1,18,99.99990E-003,663.59100E-006,3.53311E+000,-215.00000E-003,87.00000E-009,3.53311E+000
1,1,19,100.00000E-003,659.99900E-006,3.79180E+000,-210.00000E-003,84.88000E-009,3.79180E+000
1,1,20,100.00000E-003,656.35900E-006,4.01746E+000,-205.00100E-003,84.17000E-009,4.01746E+000
1,1,21,100.00000E-003,652.67000E-006,4.24483E+000,-200.00050E-003,91.91000E-009,4.24483E+000
1,1,22,100.00000E-003,648.95000E-006,4.47087E+000,-195.00050E-003,95.75000E-009,4.47087E+000
1,1,23,100.00000E-003,645.29000E-006,4.67260E+000,-190.00000E-003,108.42600E-009,4.67260E+000
1,1,24,100.00000E-003,641.53500E-006,4.90336E+000,-185.00060E-003,104.13000E-009,4.90336E+000
1,1,25,100.00000E-003,637.81000E-006,5.13043E+000,-180.00070E-003,105.97000E-009,5.13043E+000
1,1,26,100.00000E-003,634.09800E-006,5.35610E+000,-175.00030E-003,113.60000E-009,5.35610E+000
1,1,27,100.00000E-003,630.32400E-006,5.58193E+000,-170.00100E-003,113.10000E-009,5.58193E+000
