Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,737.11400E-006,186.62000E-003,-300.00000E-003,-86.70000E-009,186.62000E-003
1,1,2,100.00000E-003,733.31800E-006,305.29100E-003,-294.92900E-003,-17.14970E-009,305.29100E-003
1,1,3,100.00000E-003,729.67800E-006,429.59900E-003,-289.94900E-003,30.15730E-009,429.59900E-003
1,1,4,100.00000E-003,726.05900E-006,552.07100E-003,-285.01300E-003,58.44070E-009,552.07100E-003
1,1,5,100.00000E-003,722.28700E-006,674.69500E-003,-280.05200E-003,82.64890E-009,674.69500E-003
1,1,6,100.00000E-003,718.36900E-006,914.30600E-003,-275.00000E-003,26.15000E-009,914.30600E-003
1,1,7,100.00000E-003,714.59600E-006,1.14500E+000,-270.00100E-003,25.93000E-009,1.14500E+000
1,1,8,100.00000E-003,710.69300E-006,1.29630E+000,-265.04900E-003,83.67300E-009,1.29630E+000
1,1,9,99.99990E-003,706.88300E-006,1.52803E+000,-260.00000E-003,46.10000E-009,1.52803E+000
1,1,10,100.00000E-003,703.01900E-006,1.78233E+000,-255.00000E-003,45.71000E-009,1.78233E+000
1,1,11,100.00000E-003,699.06900E-006,2.00798E+000,-250.00100E-003,49.29000E-009,2.00798E+000
1,1,12,100.00000E-003,695.11600E-006,2.23409E+000,-245.00000E-003,61.81000E-009,2.23409E+000
1,1,13,100.00000E-003,691.05700E-006,2.46171E+000,-240.00000E-003,64.77000E-009,2.46171E+000
1,1,14,100.00000E-003,687.05800E-006,2.68817E+000,-235.00100E-003,67.38000E-009,2.68817E+000
1,1,15,100.00000E-003,683.00500E-006,2.91552E+000,-230.00100E-003,77.70000E-009,2.91552E+000
1,1,16,100.00000E-003,678.99600E-006,3.14138E+000,-225.00100E-003,78.20000E-009,3.14138E+000
1,1,17,100.00000E-003,674.87400E-006,3.40290E+000,-220.00100E-003,79.09000E-009,3.40290E+000
1,1,18,100.00000E-003,670.83400E-006,3.62852E+000,-215.00100E-003,88.88000E-009,3.62852E+000
1,1,19,100.00000E-003,666.79600E-006,3.87828E+000,-210.00050E-003,88.33000E-009,3.87828E+000
