Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,508.67900E-006,79.77200E-003,-299.93400E-003,-39.38090E-009,79.77200E-003
1,1,2,100.00000E-003,507.46700E-006,202.48400E-003,-295.00200E-003,45.85030E-009,202.48400E-003
1,1,3,100.00000E-003,506.23900E-006,382.01800E-003,-290.03000E-003,20.34100E-009,382.01800E-003
1,1,4,100.00000E-003,504.93500E-006,610.89400E-003,-285.00000E-003,35.94000E-009,610.89400E-003
1,1,5,100.00000E-003,503.59900E-006,846.63000E-003,-280.00000E-003,43.64000E-009,846.63000E-003
1,1,6,100.00000E-003,502.25600E-006,1.07256E+000,-275.00100E-003,51.82000E-009,1.07256E+000
1,1,7,100.00000E-003,500.90000E-006,1.30069E+000,-270.00100E-003,55.78000E-009,1.30069E+000
1,1,8,100.00000E-003,499.53800E-006,1.52632E+000,-265.00000E-003,67.91000E-009,1.52632E+000
1,1,9,100.00000E-003,498.17400E-006,1.77687E+000,-260.00000E-003,69.56000E-009,1.77687E+000
1,1,10,100.00000E-003,496.77200E-006,2.00458E+000,-255.00100E-003,76.38000E-009,2.00458E+000
1,1,11,100.00000E-003,495.35200E-006,2.23045E+000,-250.00100E-003,82.94000E-009,2.23045E+000
1,1,12,100.00000E-003,493.96300E-006,2.45622E+000,-245.00100E-003,92.43000E-009,2.45622E+000
1,1,13,100.00000E-003,492.56200E-006,2.68365E+000,-240.00000E-003,101.07000E-009,2.68365E+000
1,1,14,100.00000E-003,491.13400E-006,2.91059E+000,-235.00000E-003,104.18000E-009,2.91059E+000
1,1,15,100.00000E-003,489.67100E-006,3.13620E+000,-230.00100E-003,106.43000E-009,3.13620E+000
1,1,16,100.00000E-003,488.22800E-006,3.36764E+000,-225.00000E-003,117.46000E-009,3.36764E+000
1,1,17,100.00000E-003,486.73300E-006,3.59318E+000,-220.00100E-003,121.56000E-009,3.59318E+000
1,1,18,100.00000E-003,485.23200E-006,3.84765E+000,-215.00100E-003,120.02000E-009,3.84765E+000
1,1,19,100.00000E-003,483.75000E-006,4.07518E+000,-210.00020E-003,129.25000E-009,4.07518E+000
1,1,20,100.00000E-003,482.20100E-006,4.30364E+000,-205.00080E-003,132.34000E-009,4.30364E+000
1,1,21,100.00000E-003,480.65400E-006,4.52938E+000,-200.00080E-003,139.81000E-009,4.52938E+000
1,1,22,100.00000E-003,479.10400E-006,4.77597E+000,-195.00050E-003,143.09000E-009,4.77597E+000
1,1,23,100.00000E-003,477.54900E-006,5.00166E+000,-190.00110E-003,147.39000E-009,5.00166E+000
1,1,24,100.00000E-003,475.95100E-006,5.24113E+000,-185.00040E-003,155.65000E-009,5.24113E+000
1,1,25,100.00000E-003,474.40200E-006,5.34752E+000,-179.99950E-003,225.12800E-009,5.34752E+000
1,1,26,100.00000E-003,472.78600E-006,5.57628E+000,-175.00070E-003,184.40000E-009,5.57628E+000
1,1,27,99.99990E-003,471.20900E-006,5.68562E+000,-169.99790E-003,249.65000E-009,5.68562E+000
1,1,28,100.00000E-003,469.62500E-006,5.79507E+000,-164.99940E-003,279.31200E-009,5.79507E+000
1,1,29,99.99990E-003,468.00100E-006,5.90445E+000,-159.99770E-003,303.84600E-009,5.90445E+000
1,1,30,100.00000E-003,466.35600E-006,6.01562E+000,-154.99930E-003,322.41900E-009,6.01562E+000
1,1,31,100.00000E-003,464.70300E-006,6.12553E+000,-149.99770E-003,339.38900E-009,6.12553E+000
1,1,32,100.00000E-003,463.02100E-006,6.24129E+000,-144.99810E-003,353.79000E-009,6.24129E+000
1,1,33,100.00000E-003,461.33200E-006,6.35069E+000,-139.99880E-003,374.19300E-009,6.35069E+000
1,1,34,100.00000E-003,459.63000E-006,6.46009E+000,-134.99830E-003,387.78100E-009,6.46009E+000
1,1,35,100.00000E-003,457.91400E-006,6.56959E+000,-129.99830E-003,404.86300E-009,6.56959E+000
1,1,36,100.00000E-003,456.16700E-006,6.69109E+000,-124.99810E-003,401.32800E-009,6.69109E+000
1,1,37,100.00000E-003,454.42800E-006,6.80649E+000,-119.99350E-003,414.34600E-009,6.80649E+000
1,1,38,100.00000E-003,452.65700E-006,6.91959E+000,-114.99300E-003,431.87000E-009,6.91959E+000
1,1,39,100.00000E-003,450.89800E-006,7.03133E+000,-109.99920E-003,449.86300E-009,7.03133E+000
1,1,40,100.00000E-003,449.09500E-006,7.14100E+000,-104.99810E-003,466.00000E-009,7.14100E+000
1,1,41,100.00000E-003,447.28800E-006,7.25041E+000,-99.99890E-003,481.45500E-009,7.25041E+000
1,1,42,100.00000E-003,445.46300E-006,7.36157E+000,-94.99890E-003,490.05700E-009,7.36157E+000
1,1,43,99.99990E-003,443.64100E-006,7.47174E+000,-89.99810E-003,503.78900E-009,7.47174E+000
1,1,44,100.00000E-003,441.79100E-006,7.58159E+000,-84.99970E-003,516.93300E-009,7.58159E+000
1,1,45,100.00000E-003,439.92300E-006,7.69598E+000,-79.99960E-003,519.56500E-009,7.69598E+000
1,1,46,99.99990E-003,438.04500E-006,7.80540E+000,-74.99800E-003,534.76900E-009,7.80540E+000
1,1,47,100.00000E-003,436.15900E-006,7.91478E+000,-70.00000E-003,547.18400E-009,7.91478E+000
1,1,48,99.99990E-003,434.26300E-006,8.02416E+000,-64.99810E-003,555.21300E-009,8.02416E+000
1,1,49,100.00000E-003,432.31800E-006,8.13357E+000,-59.99970E-003,566.97600E-009,8.13357E+000
