Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,532.66900E-006,77.08000E-003,-299.93000E-003,-31.79750E-009,77.08000E-003
1,1,2,100.00000E-003,531.33500E-006,200.48300E-003,-295.01900E-003,48.02910E-009,200.48300E-003
1,1,3,100.00000E-003,529.99600E-006,429.17200E-003,-290.00000E-003,23.51000E-009,429.17200E-003
1,1,4,100.00000E-003,528.57100E-006,667.54400E-003,-285.00000E-003,33.78000E-009,667.54400E-003
1,1,5,99.99990E-003,527.13800E-006,893.13600E-003,-280.00000E-003,45.35000E-009,893.13600E-003
1,1,6,100.00000E-003,525.66200E-006,1.11869E+000,-275.00100E-003,50.24000E-009,1.11869E+000
1,1,7,100.00000E-003,524.23100E-006,1.34830E+000,-270.00100E-003,56.89000E-009,1.34830E+000
1,1,8,100.00000E-003,522.73400E-006,1.57437E+000,-265.00000E-003,70.65000E-009,1.57437E+000
1,1,9,100.00000E-003,521.22000E-006,1.80280E+000,-260.00100E-003,72.23000E-009,1.80280E+000
1,1,10,100.00000E-003,519.69200E-006,2.02847E+000,-255.00100E-003,80.39000E-009,2.02847E+000
1,1,11,100.00000E-003,518.16400E-006,2.27677E+000,-250.00100E-003,83.29000E-009,2.27677E+000
1,1,12,100.00000E-003,516.60900E-006,2.50248E+000,-245.00100E-003,88.59000E-009,2.50248E+000
1,1,13,100.00000E-003,515.07200E-006,2.72817E+000,-240.00100E-003,96.69000E-009,2.72817E+000
1,1,14,100.00000E-003,513.50700E-006,2.95377E+000,-235.00100E-003,102.66000E-009,2.95377E+000
1,1,15,100.00000E-003,511.90400E-006,3.18014E+000,-230.00200E-003,109.31000E-009,3.18014E+000
1,1,16,100.00000E-003,510.29200E-006,3.40625E+000,-225.00100E-003,116.09000E-009,3.40625E+000
1,1,17,100.00000E-003,508.67200E-006,3.63190E+000,-220.00100E-003,118.00000E-009,3.63190E+000
1,1,18,100.00000E-003,507.04400E-006,3.85980E+000,-215.00100E-003,126.00000E-009,3.85980E+000
1,1,19,100.00000E-003,505.45800E-006,4.08702E+000,-210.00070E-003,129.17000E-009,4.08702E+000
1,1,20,100.00000E-003,503.79900E-006,4.31274E+000,-205.00090E-003,135.07000E-009,4.31274E+000
1,1,21,99.99990E-003,502.14800E-006,4.54001E+000,-200.00040E-003,143.45000E-009,4.54001E+000
1,1,22,100.00000E-003,500.44400E-006,4.80444E+000,-195.00070E-003,137.51000E-009,4.80444E+000
1,1,23,100.00000E-003,498.73700E-006,5.03008E+000,-190.00120E-003,148.21000E-009,5.03008E+000
1,1,24,100.00000E-003,497.01200E-006,5.27672E+000,-185.00050E-003,151.60000E-009,5.27672E+000
