Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,551.51600E-006,136.26500E-003,-299.99400E-003,-331.44500E-009,136.26500E-003
1,1,2,100.00000E-003,548.27600E-006,315.45100E-003,-294.98200E-003,-239.34700E-009,315.45100E-003
1,1,3,100.00000E-003,545.10700E-006,546.84000E-003,-289.99900E-003,-217.98000E-009,546.84000E-003
1,1,4,100.00000E-003,541.88100E-006,783.18700E-003,-284.99900E-003,-206.12000E-009,783.18700E-003
1,1,5,100.00000E-003,538.55800E-006,1.00893E+000,-279.99900E-003,-188.62000E-009,1.00893E+000
1,1,6,100.00000E-003,535.18000E-006,1.23551E+000,-275.00000E-003,-177.04000E-009,1.23551E+000
1,1,7,100.00000E-003,531.84700E-006,1.46389E+000,-269.99900E-003,-166.80000E-009,1.46389E+000
1,1,8,100.00000E-003,528.41300E-006,1.68940E+000,-264.99900E-003,-154.34000E-009,1.68940E+000
1,1,9,100.00000E-003,525.06800E-006,1.91915E+000,-260.00000E-003,-146.31000E-009,1.91915E+000
1,1,10,100.00000E-003,521.58300E-006,2.14560E+000,-254.99900E-003,-136.02000E-009,2.14560E+000
1,1,11,100.00000E-003,518.10100E-006,2.39324E+000,-249.99900E-003,-123.87000E-009,2.39324E+000
1,1,12,100.00000E-003,514.59700E-006,2.61887E+000,-245.00000E-003,-122.66000E-009,2.61887E+000
1,1,13,100.00000E-003,511.10900E-006,2.85009E+000,-240.00000E-003,-112.44000E-009,2.85009E+000
1,1,14,100.00000E-003,507.61800E-006,3.07315E+000,-234.99900E-003,-97.85000E-009,3.07315E+000
1,1,15,100.00000E-003,503.91100E-006,3.19234E+000,-229.82000E-003,-60.48690E-009,3.19234E+000
1,1,16,100.00000E-003,500.46600E-006,3.31524E+000,-224.88400E-003,-38.62480E-009,3.31524E+000
1,1,17,100.00000E-003,496.92400E-006,3.43489E+000,-219.90600E-003,-11.37120E-009,3.43489E+000
1,1,18,100.00000E-003,493.36000E-006,3.55450E+000,-214.92300E-003,10.79380E-009,3.55450E+000
1,1,19,100.00000E-003,489.82900E-006,3.67415E+000,-209.94770E-003,26.86320E-009,3.67415E+000
1,1,20,100.00000E-003,486.25000E-006,3.80810E+000,-204.96640E-003,37.47200E-009,3.80810E+000
1,1,21,99.99990E-003,482.64600E-006,3.93022E+000,-200.01940E-003,48.32440E-009,3.93022E+000
1,1,22,100.00000E-003,479.01300E-006,4.05249E+000,-195.03720E-003,64.81280E-009,4.05249E+000
1,1,23,100.00000E-003,475.38200E-006,4.17453E+000,-190.04350E-003,83.33920E-009,4.17453E+000
1,1,24,100.00000E-003,471.66000E-006,4.41381E+000,-185.00010E-003,10.52000E-009,4.41381E+000
1,1,25,100.00000E-003,467.97100E-006,4.53589E+000,-180.06700E-003,76.38300E-009,4.53589E+000
1,1,26,100.00000E-003,464.19200E-006,4.74013E+000,-175.00080E-003,19.67600E-009,4.74013E+000
1,1,27,100.00000E-003,460.40500E-006,4.96865E+000,-170.00050E-003,18.85000E-009,4.96865E+000
1,1,28,100.00000E-003,456.54900E-006,5.19726E+000,-165.00010E-003,23.06000E-009,5.19726E+000
1,1,29,100.00000E-003,452.71700E-006,5.42668E+000,-159.99990E-003,31.14000E-009,5.42668E+000
1,1,30,100.00000E-003,448.85700E-006,5.65687E+000,-155.00000E-003,33.51000E-009,5.65687E+000
1,1,31,100.00000E-003,445.04000E-006,5.90882E+000,-149.99970E-003,38.95000E-009,5.90882E+000
1,1,32,100.00000E-003,441.18200E-006,6.14139E+000,-145.00010E-003,41.99000E-009,6.14139E+000
1,1,33,100.00000E-003,437.35200E-006,6.37004E+000,-140.00070E-003,42.37000E-009,6.37004E+000
1,1,34,100.00000E-003,433.39000E-006,6.59866E+000,-135.00030E-003,49.98000E-009,6.59866E+000
1,1,35,100.00000E-003,429.43400E-006,6.86128E+000,-129.99980E-003,54.00000E-009,6.86128E+000
1,1,36,100.00000E-003,425.52600E-006,7.09157E+000,-125.00020E-003,61.21000E-009,7.09157E+000
