Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,548.78900E-006,67.00500E-003,-300.00100E-003,-174.51700E-009,67.00500E-003
1,1,2,100.00000E-003,546.83800E-006,244.33700E-003,-294.98000E-003,-112.62400E-009,244.33700E-003
1,1,3,99.99990E-003,544.81500E-006,423.34400E-003,-289.98800E-003,-107.35000E-009,423.34400E-003
1,1,4,100.00000E-003,542.78200E-006,597.97700E-003,-284.98400E-003,-80.68100E-009,597.97700E-003
1,1,5,100.00000E-003,540.67400E-006,728.78300E-003,-279.92800E-003,-76.50290E-009,728.78300E-003
1,1,6,100.00000E-003,538.58300E-006,848.47000E-003,-274.90800E-003,-53.86600E-009,848.47000E-003
1,1,7,100.00000E-003,536.47500E-006,968.10700E-003,-269.90300E-003,-37.98360E-009,968.10700E-003
1,1,8,100.00000E-003,534.38100E-006,1.08778E+000,-264.91600E-003,-24.68880E-009,1.08778E+000
1,1,9,100.00000E-003,532.22400E-006,1.21631E+000,-259.90900E-003,-12.24180E-009,1.21631E+000
1,1,10,100.00000E-003,529.89100E-006,1.33803E+000,-254.91400E-003,-2.37020E-009,1.33803E+000
1,1,11,100.00000E-003,527.64500E-006,1.46012E+000,-249.94900E-003,7.95390E-009,1.46012E+000
1,1,12,100.00000E-003,525.40500E-006,1.57976E+000,-244.93500E-003,20.62130E-009,1.57976E+000
1,1,13,100.00000E-003,523.02400E-006,1.71982E+000,-239.92600E-003,26.63190E-009,1.71982E+000
1,1,14,100.00000E-003,520.73200E-006,1.84574E+000,-234.95100E-003,33.28410E-009,1.84574E+000
1,1,15,100.00000E-003,518.50100E-006,1.96728E+000,-229.92700E-003,45.47260E-009,1.96728E+000
1,1,16,100.00000E-003,516.31000E-006,2.07666E+000,-224.99900E-003,49.14800E-009,2.07666E+000
1,1,17,100.00000E-003,513.78000E-006,2.21948E+000,-219.93600E-003,60.55000E-009,2.21948E+000
1,1,18,100.00000E-003,511.49200E-006,2.32885E+000,-214.99900E-003,63.26600E-009,2.32885E+000
1,1,19,99.99990E-003,508.88300E-006,2.50327E+000,-210.00830E-003,23.21200E-009,2.50327E+000
1,1,20,100.00000E-003,506.58700E-006,2.61263E+000,-204.99880E-003,67.68900E-009,2.61263E+000
1,1,21,100.00000E-003,504.19000E-006,2.73208E+000,-199.99880E-003,78.35200E-009,2.73208E+000
1,1,22,100.00000E-003,501.78700E-006,2.84146E+000,-194.99870E-003,89.31400E-009,2.84146E+000
1,1,23,100.00000E-003,499.34500E-006,2.95082E+000,-189.99870E-003,98.02900E-009,2.95082E+000
1,1,24,100.00000E-003,497.00600E-006,3.06018E+000,-184.99860E-003,106.62500E-009,3.06018E+000
1,1,25,100.00000E-003,494.44900E-006,3.18026E+000,-179.99860E-003,106.39800E-009,3.18026E+000
1,1,26,100.00000E-003,491.97900E-006,3.29205E+000,-174.99880E-003,117.01400E-009,3.29205E+000
1,1,27,100.00000E-003,489.42800E-006,3.40243E+000,-169.99870E-003,126.37300E-009,3.40243E+000
1,1,28,100.00000E-003,486.87100E-006,3.51363E+000,-164.99820E-003,134.31300E-009,3.51363E+000
1,1,29,100.00000E-003,484.35100E-006,3.62311E+000,-159.99850E-003,141.18200E-009,3.62311E+000
1,1,30,99.99990E-003,481.68700E-006,3.73314E+000,-154.99840E-003,147.76000E-009,3.73314E+000
1,1,31,100.00000E-003,479.05000E-006,3.84294E+000,-149.99840E-003,154.24900E-009,3.84294E+000
1,1,32,100.00000E-003,476.43400E-006,3.95233E+000,-144.99830E-003,161.36300E-009,3.95233E+000
1,1,33,100.00000E-003,473.64100E-006,4.06168E+000,-139.99800E-003,168.24000E-009,4.06168E+000
1,1,34,100.00000E-003,470.87500E-006,4.17413E+000,-134.99830E-003,171.85800E-009,4.17413E+000
1,1,35,100.00000E-003,468.24600E-006,4.28359E+000,-129.99820E-003,179.70600E-009,4.28359E+000
