Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,587.18800E-006,187.76100E-003,-299.99900E-003,-106.37000E-009,187.76100E-003
1,1,2,100.00000E-003,583.60500E-006,304.73400E-003,-294.87300E-003,-45.17800E-009,304.73400E-003
1,1,3,100.00000E-003,580.46700E-006,426.80000E-003,-289.94500E-003,-1.26860E-009,426.80000E-003
1,1,4,100.00000E-003,577.26300E-006,548.88200E-003,-284.95400E-003,34.70320E-009,548.88200E-003
1,1,5,100.00000E-003,574.05300E-006,671.19600E-003,-279.99500E-003,61.66290E-009,671.19600E-003
1,1,6,100.00000E-003,573.69500E-006,908.03100E-003,-275.00100E-003,17.62000E-009,908.03100E-003
1,1,7,100.00000E-003,572.04700E-006,1.13803E+000,-270.00000E-003,25.21000E-009,1.13803E+000
1,1,8,100.00000E-003,569.71100E-006,1.28112E+000,-265.00000E-003,55.52200E-009,1.28112E+000
1,1,9,99.99990E-003,566.98000E-006,1.50973E+000,-260.00100E-003,40.54000E-009,1.50973E+000
1,1,10,100.00000E-003,563.57100E-006,1.73665E+000,-255.00000E-003,48.95000E-009,1.73665E+000
1,1,11,100.00000E-003,559.72600E-006,1.96224E+000,-250.00100E-003,48.58000E-009,1.96224E+000
1,1,12,100.00000E-003,556.33200E-006,2.07092E+000,-244.99800E-003,104.36400E-009,2.07092E+000
1,1,13,100.00000E-003,553.57800E-006,2.28460E+000,-240.00500E-003,80.82900E-009,2.28460E+000
1,1,14,100.00000E-003,551.11900E-006,2.51332E+000,-235.00100E-003,80.56000E-009,2.51332E+000
1,1,15,100.00000E-003,547.79800E-006,2.74022E+000,-230.00100E-003,85.16000E-009,2.74022E+000
1,1,16,100.00000E-003,544.22400E-006,2.96578E+000,-225.00100E-003,89.04000E-009,2.96578E+000
1,1,17,100.00000E-003,540.57400E-006,3.19130E+000,-220.00100E-003,91.27000E-009,3.19130E+000
1,1,18,100.00000E-003,536.84300E-006,3.41870E+000,-215.00000E-003,100.08000E-009,3.41870E+000
1,1,19,100.00000E-003,532.77200E-006,3.64433E+000,-210.00150E-003,96.66000E-009,3.64433E+000
1,1,20,100.00000E-003,527.92400E-006,3.78736E+000,-204.99900E-003,129.97300E-009,3.78736E+000
1,1,21,100.00000E-003,523.55400E-006,4.01607E+000,-200.00070E-003,120.35000E-009,4.01607E+000
1,1,22,100.00000E-003,520.68900E-006,4.24176E+000,-195.00130E-003,123.98000E-009,4.24176E+000
1,1,23,99.99990E-003,516.81300E-006,4.46877E+000,-190.00060E-003,127.39000E-009,4.46877E+000
1,1,24,100.00000E-003,512.95300E-006,4.57526E+000,-184.99800E-003,184.59600E-009,4.57526E+000
1,1,25,100.00000E-003,509.99800E-006,4.78636E+000,-179.99980E-003,167.38300E-009,4.78636E+000
1,1,26,100.00000E-003,507.71800E-006,5.01515E+000,-175.00090E-003,156.21000E-009,5.01515E+000
1,1,27,100.00000E-003,505.74500E-006,5.24113E+000,-170.00140E-003,160.56000E-009,5.24113E+000
1,1,28,100.00000E-003,503.42000E-006,5.46699E+000,-165.00060E-003,161.13000E-009,5.46699E+000
1,1,29,100.00000E-003,499.56000E-006,5.69249E+000,-160.00160E-003,158.37000E-009,5.69249E+000
1,1,30,100.00000E-003,494.97700E-006,5.91906E+000,-155.00060E-003,161.11000E-009,5.91906E+000
1,1,31,100.00000E-003,491.36600E-006,6.02540E+000,-149.99930E-003,219.92800E-009,6.02540E+000
1,1,32,100.00000E-003,487.21300E-006,6.25412E+000,-145.00090E-003,181.17000E-009,6.25412E+000
1,1,33,100.00000E-003,483.37400E-006,6.48019E+000,-140.00140E-003,176.26000E-009,6.48019E+000
1,1,34,100.00000E-003,480.32200E-006,6.59060E+000,-134.99680E-003,235.96900E-009,6.59060E+000
1,1,35,100.00000E-003,478.27300E-006,6.79214E+000,-129.98250E-003,244.10200E-009,6.79214E+000
1,1,36,100.00000E-003,475.51400E-006,7.02082E+000,-125.00100E-003,200.19000E-009,7.02082E+000
1,1,37,100.00000E-003,472.40100E-006,7.12724E+000,-119.99860E-003,258.97800E-009,7.12724E+000
1,1,38,100.00000E-003,469.25200E-006,7.35581E+000,-115.00130E-003,214.25000E-009,7.35581E+000
1,1,39,100.00000E-003,465.48600E-006,7.58359E+000,-110.00110E-003,203.07000E-009,7.58359E+000
1,1,40,100.00000E-003,461.77200E-006,7.68991E+000,-104.99930E-003,258.94900E-009,7.68991E+000
1,1,41,100.00000E-003,458.28900E-006,7.80147E+000,-99.99700E-003,280.48100E-009,7.80147E+000
1,1,42,100.00000E-003,454.94400E-006,7.98299E+000,-95.02640E-003,271.42300E-009,7.98299E+000
1,1,43,100.00000E-003,451.44900E-006,8.09240E+000,-89.99850E-003,296.17900E-009,8.09240E+000
1,1,44,100.00000E-003,448.29900E-006,8.30042E+000,-85.00210E-003,289.59000E-009,8.30042E+000
1,1,45,100.00000E-003,444.88400E-006,8.40988E+000,-79.99900E-003,299.91600E-009,8.40988E+000
1,1,46,100.00000E-003,440.98000E-006,8.64049E+000,-75.00170E-003,248.46000E-009,8.64049E+000
1,1,47,100.00000E-003,437.52200E-006,8.74677E+000,-69.99830E-003,297.76500E-009,8.74677E+000
1,1,48,100.00000E-003,434.15500E-006,8.85627E+000,-64.99900E-003,316.16500E-009,8.85627E+000
1,1,49,100.00000E-003,430.88200E-006,8.96593E+000,-59.99720E-003,329.11000E-009,8.96593E+000
1,1,50,100.00000E-003,427.69300E-006,9.07576E+000,-54.99930E-003,342.28500E-009,9.07576E+000
1,1,51,100.00000E-003,424.53600E-006,9.18930E+000,-49.99480E-003,341.73600E-009,9.18930E+000
1,1,52,100.00000E-003,421.06700E-006,9.30723E+000,-44.99960E-003,346.69700E-009,9.30723E+000
1,1,53,100.00000E-003,417.72800E-006,9.41664E+000,-39.99740E-003,358.24000E-009,9.41664E+000
1,1,54,99.99990E-003,414.45700E-006,9.52626E+000,-34.99940E-003,368.04800E-009,9.52626E+000
1,1,55,100.00000E-003,411.28100E-006,9.63782E+000,-29.99890E-003,372.66200E-009,9.63782E+000
1,1,56,100.00000E-003,408.01300E-006,9.74766E+000,-24.99770E-003,379.29300E-009,9.74766E+000
1,1,57,100.00000E-003,404.63700E-006,9.86203E+000,-19.99800E-003,384.23200E-009,9.86203E+000
1,1,58,100.00000E-003,401.27400E-006,9.97143E+000,-14.99960E-003,389.81400E-009,9.97143E+000
1,1,59,100.00000E-003,397.82700E-006,10.08080E+000,-9.99790E-003,395.28600E-009,10.08080E+000
1,1,60,100.00000E-003,394.22900E-006,10.19053E+000,-4.99870E-003,399.19900E-009,10.19053E+000
1,1,61,100.00000E-003,390.54200E-006,10.30841E+000,100.00000E-009,394.79100E-009,10.30841E+000
1,1,62,100.00000E-003,386.79900E-006,10.41785E+000,5.00190E-003,401.82600E-009,10.41785E+000
1,1,63,100.00000E-003,382.94500E-006,10.52718E+000,10.00190E-003,408.94000E-009,10.52718E+000
1,1,64,100.00000E-003,379.05100E-006,10.63665E+000,15.00060E-003,410.81700E-009,10.63665E+000
1,1,65,100.00000E-003,375.30500E-006,10.74634E+000,20.00190E-003,418.37100E-009,10.74634E+000
1,1,66,100.00000E-003,371.64500E-006,10.86251E+000,25.00210E-003,421.21800E-009,10.86251E+000
1,1,67,100.00000E-003,368.14900E-006,10.97192E+000,30.00060E-003,426.57400E-009,10.97192E+000
1,1,68,100.00000E-003,364.74800E-006,11.08357E+000,35.00680E-003,424.51100E-009,11.08357E+000
1,1,69,100.00000E-003,361.52100E-006,11.19328E+000,40.00130E-003,439.88100E-009,11.19328E+000
1,1,70,100.00000E-003,358.34100E-006,11.31130E+000,45.00120E-003,439.59300E-009,11.31130E+000
1,1,71,100.00000E-003,355.09700E-006,11.42070E+000,50.00100E-003,446.79500E-009,11.42070E+000
1,1,72,100.00000E-003,351.72800E-006,11.53003E+000,55.00190E-003,453.67100E-009,11.53003E+000
1,1,73,100.00000E-003,348.31800E-006,11.63940E+000,60.00000E-003,462.49700E-009,11.63940E+000
1,1,74,99.99990E-003,344.94000E-006,11.74900E+000,65.00200E-003,467.99000E-009,11.74900E+000
1,1,75,100.00000E-003,341.50000E-006,11.86585E+000,70.00210E-003,471.26300E-009,11.86585E+000
1,1,76,99.99990E-003,338.01600E-006,11.97565E+000,75.00110E-003,478.80300E-009,11.97565E+000
1,1,77,100.00000E-003,334.66400E-006,12.08500E+000,80.00110E-003,479.14600E-009,12.08500E+000
1,1,78,100.00000E-003,331.26400E-006,12.19437E+000,85.00220E-003,489.17500E-009,12.19437E+000
1,1,79,100.00000E-003,327.86900E-006,12.31350E+000,90.00140E-003,489.15000E-009,12.31350E+000
