Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,557.94400E-006,77.77800E-003,-299.90900E-003,-48.40720E-009,77.77800E-003
1,1,2,100.00000E-003,555.93900E-006,200.24700E-003,-295.00100E-003,39.56920E-009,200.24700E-003
1,1,3,100.00000E-003,553.94800E-006,428.89600E-003,-290.00000E-003,15.81000E-009,428.89600E-003
1,1,4,100.00000E-003,551.86900E-006,669.73800E-003,-285.00000E-003,27.09000E-009,669.73800E-003
1,1,5,100.00000E-003,549.84400E-006,896.82600E-003,-280.00000E-003,38.75000E-009,896.82600E-003
1,1,6,100.00000E-003,547.65100E-006,1.12242E+000,-275.00000E-003,52.48000E-009,1.12242E+000
1,1,7,100.00000E-003,545.36400E-006,1.34847E+000,-270.00100E-003,57.61000E-009,1.34847E+000
1,1,8,100.00000E-003,543.06400E-006,1.57639E+000,-265.00000E-003,71.73000E-009,1.57639E+000
1,1,9,100.00000E-003,540.71700E-006,1.80386E+000,-260.00100E-003,77.93000E-009,1.80386E+000
1,1,10,100.00000E-003,538.37400E-006,2.02985E+000,-255.00100E-003,84.31000E-009,2.02985E+000
1,1,11,100.00000E-003,535.99700E-006,2.29093E+000,-250.00000E-003,89.22000E-009,2.29093E+000
1,1,12,100.00000E-003,533.68900E-006,2.39956E+000,-244.99700E-003,152.15700E-009,2.39956E+000
1,1,13,100.00000E-003,531.31400E-006,2.62834E+000,-240.00100E-003,119.88000E-009,2.62834E+000
1,1,14,100.00000E-003,528.94700E-006,2.85436E+000,-235.00100E-003,124.89000E-009,2.85436E+000
1,1,15,100.00000E-003,526.57800E-006,3.08389E+000,-230.00000E-003,133.93000E-009,3.08389E+000
1,1,16,100.00000E-003,524.19600E-006,3.31190E+000,-225.00100E-003,134.20000E-009,3.31190E+000
1,1,17,100.00000E-003,521.80700E-006,3.53743E+000,-220.00100E-003,141.20000E-009,3.53743E+000
1,1,18,100.00000E-003,519.44400E-006,3.79679E+000,-215.00100E-003,138.44000E-009,3.79679E+000
1,1,19,100.00000E-003,517.07700E-006,4.02235E+000,-210.00040E-003,151.65000E-009,4.02235E+000
1,1,20,100.00000E-003,514.65900E-006,4.27099E+000,-205.00070E-003,153.60000E-009,4.27099E+000
1,1,21,99.99990E-003,512.37400E-006,4.49671E+000,-200.00100E-003,162.97000E-009,4.49671E+000
