Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,99.99980E-003,23.20000E-012,80.99800E-003,-300.00000E-003,-604.07000E-009,80.99800E-003
1,1,2,100.00000E-003,95.30000E-012,187.63100E-003,-295.00500E-003,-518.27600E-009,187.63100E-003
1,1,3,100.00000E-003,43.70000E-012,296.22800E-003,-290.00600E-003,-450.81800E-009,296.22800E-003
1,1,4,100.00000E-003,30.20000E-012,404.43500E-003,-285.00200E-003,-392.37100E-009,404.43500E-003
1,1,5,99.99990E-003,19.80000E-012,512.77300E-003,-280.00400E-003,-340.35200E-009,512.77300E-003
1,1,6,99.99990E-003,32.00000E-012,740.29700E-003,-274.99800E-003,-323.07000E-009,740.29700E-003
1,1,7,99.99980E-003,160.90000E-012,965.74700E-003,-269.99900E-003,-282.82000E-009,965.74700E-003
1,1,8,100.00020E-003,1.36760E-009,1.17846E+000,-265.00100E-003,-241.47100E-009,1.17846E+000
1,1,9,99.99950E-003,-545.20000E-012,1.40606E+000,-259.99800E-003,-200.49000E-009,1.40606E+000
1,1,10,100.00000E-003,53.10000E-012,1.63052E+000,-254.99900E-003,-165.54000E-009,1.63052E+000
1,1,11,99.99990E-003,90.60000E-012,1.85294E+000,-250.00000E-003,-136.43000E-009,1.85294E+000
1,1,12,99.99990E-003,113.50000E-012,2.07736E+000,-244.99900E-003,-106.00000E-009,2.07736E+000
1,1,13,100.00010E-003,107.70000E-012,2.19304E+000,-239.90500E-003,-60.61630E-009,2.19304E+000
1,1,14,99.99990E-003,41.70000E-012,2.31414E+000,-234.96400E-003,-21.53330E-009,2.31414E+000
1,1,15,100.00000E-003,-36.00000E-012,2.43512E+000,-229.95900E-003,14.94340E-009,2.43512E+000
1,1,16,100.00010E-003,-26.80000E-012,2.55390E+000,-224.93800E-003,48.73050E-009,2.55390E+000
1,1,17,99.99990E-003,2.30000E-012,2.70517E+000,-219.94600E-003,59.10550E-009,2.70517E+000
1,1,18,99.99970E-003,181.30000E-012,2.93603E+000,-215.00100E-003,35.86000E-009,2.93603E+000
1,1,19,100.00000E-003,68.70000E-012,3.11266E+000,-210.00880E-003,64.34800E-009,3.11266E+000
1,1,20,99.99990E-003,54.80000E-012,3.34652E+000,-205.00020E-003,59.13000E-009,3.34652E+000
1,1,21,100.00000E-003,57.90000E-012,3.45203E+000,-199.99670E-003,111.47500E-009,3.45203E+000
1,1,22,100.00000E-003,33.60000E-012,3.68391E+000,-195.00180E-003,90.76000E-009,3.68391E+000
1,1,23,100.00010E-003,-109.60000E-012,3.90866E+000,-190.00000E-003,98.60000E-009,3.90866E+000
1,1,24,100.00020E-003,-19.90000E-012,4.01760E+000,-184.99770E-003,146.76200E-009,4.01760E+000
1,1,25,100.00000E-003,31.50000E-012,4.24568E+000,-180.00110E-003,131.90000E-009,4.24568E+000
1,1,26,100.00000E-003,-1.10000E-012,4.35301E+000,-174.99810E-003,177.87700E-009,4.35301E+000
1,1,27,99.99990E-003,12.80000E-012,4.58372E+000,-170.00210E-003,159.17000E-009,4.58372E+000
1,1,28,99.99990E-003,22.60000E-012,4.68929E+000,-164.99640E-003,207.78900E-009,4.68929E+000
1,1,29,100.00000E-003,15.70000E-012,4.79760E+000,-159.99680E-003,236.98600E-009,4.79760E+000
1,1,30,100.00000E-003,17.00000E-012,4.90611E+000,-154.99580E-003,259.81900E-009,4.90611E+000
1,1,31,100.00000E-003,16.00000E-012,5.01431E+000,-149.99590E-003,280.64900E-009,5.01431E+000
1,1,32,99.99990E-003,3.00000E-012,5.12309E+000,-144.99600E-003,298.21100E-009,5.12309E+000
1,1,33,100.00000E-003,9.60000E-012,5.24492E+000,-139.99650E-003,309.60900E-009,5.24492E+000
1,1,34,99.99990E-003,-3.60000E-012,5.35320E+000,-134.99420E-003,327.66200E-009,5.35320E+000
1,1,35,99.99990E-003,11.80000E-012,5.46143E+000,-129.99590E-003,341.08800E-009,5.46143E+000
1,1,36,100.00000E-003,-10.10000E-012,5.56969E+000,-124.99450E-003,355.59500E-009,5.56969E+000
1,1,37,99.99990E-003,42.00000E-012,5.68999E+000,-119.99560E-003,356.14100E-009,5.68999E+000
1,1,38,100.00010E-003,47.10000E-012,5.79858E+000,-114.99480E-003,373.43700E-009,5.79858E+000
1,1,39,100.00000E-003,24.00000E-012,5.90679E+000,-109.99480E-003,383.36300E-009,5.90679E+000
1,1,40,100.00000E-003,9.20000E-012,6.01500E+000,-104.99460E-003,394.30700E-009,6.01500E+000
1,1,41,100.00010E-003,13.80000E-012,6.12320E+000,-99.99510E-003,402.06500E-009,6.12320E+000
1,1,42,100.00010E-003,15.10000E-012,6.23595E+000,-94.99400E-003,408.91000E-009,6.23595E+000
1,1,43,100.00000E-003,18.20000E-012,6.34420E+000,-89.99540E-003,415.52100E-009,6.34420E+000
1,1,44,100.00000E-003,12.40000E-012,6.45266E+000,-84.99340E-003,422.97800E-009,6.45266E+000
1,1,45,99.99990E-003,11.80000E-012,6.56098E+000,-79.99570E-003,427.57600E-009,6.56098E+000
1,1,46,100.00000E-003,15.50000E-012,6.70316E+000,-74.99380E-003,408.02400E-009,6.70316E+000
1,1,47,100.00000E-003,14.50000E-012,6.81139E+000,-69.99570E-003,422.85600E-009,6.81139E+000
1,1,48,100.00000E-003,14.40000E-012,6.91961E+000,-64.99370E-003,432.30300E-009,6.91961E+000
1,1,49,99.99980E-003,14.10000E-012,7.02781E+000,-59.99500E-003,437.10800E-009,7.02781E+000
1,1,50,100.00000E-003,14.10000E-012,7.13766E+000,-54.99410E-003,441.21100E-009,7.13766E+000
1,1,51,100.00000E-003,15.00000E-012,7.25117E+000,-49.99320E-003,444.26800E-009,7.25117E+000
1,1,52,100.00000E-003,11.20000E-012,7.35938E+000,-44.99530E-003,447.65700E-009,7.35938E+000
1,1,53,100.00000E-003,10.60000E-012,7.46774E+000,-39.99250E-003,452.53700E-009,7.46774E+000
1,1,54,100.00010E-003,11.00000E-012,7.57802E+000,-34.99530E-003,453.33800E-009,7.57802E+000
1,1,55,100.00010E-003,10.80000E-012,7.71367E+000,-29.99510E-003,436.55500E-009,7.71367E+000
1,1,56,100.00000E-003,11.00000E-012,7.82187E+000,-24.99410E-003,447.89100E-009,7.82187E+000
1,1,57,100.00000E-003,14.80000E-012,7.93008E+000,-19.99410E-003,453.59100E-009,7.93008E+000
1,1,58,100.00000E-003,12.30000E-012,8.03832E+000,-14.99410E-003,456.94500E-009,8.03832E+000
1,1,59,99.99990E-003,16.50000E-012,8.14653E+000,-9.99440E-003,461.12500E-009,8.14653E+000
1,1,60,100.00000E-003,15.60000E-012,8.25480E+000,-4.99360E-003,462.94100E-009,8.25480E+000
1,1,61,100.00000E-003,12.30000E-012,8.36314E+000,6.10000E-006,465.14900E-009,8.36314E+000
1,1,62,100.00000E-003,13.30000E-012,8.47134E+000,5.00600E-003,467.43600E-009,8.47134E+000
1,1,63,99.99990E-003,11.60000E-012,8.57972E+000,10.00650E-003,469.47300E-009,8.57972E+000
1,1,64,100.00000E-003,13.10000E-012,8.70886E+000,15.00480E-003,453.52900E-009,8.70886E+000
1,1,65,100.00000E-003,9.40000E-012,8.81887E+000,20.00640E-003,462.44800E-009,8.81887E+000
1,1,66,100.00000E-003,18.00000E-012,8.92706E+000,25.00500E-003,465.84300E-009,8.92706E+000
1,1,67,100.00000E-003,21.20000E-012,9.03567E+000,30.00710E-003,469.27500E-009,9.03567E+000
1,1,68,99.99990E-003,23.00000E-012,9.14382E+000,35.00480E-003,470.53700E-009,9.14382E+000
1,1,69,100.00000E-003,21.30000E-012,9.25689E+000,40.00570E-003,469.78000E-009,9.25689E+000
1,1,70,100.00000E-003,27.90000E-012,9.36510E+000,45.00600E-003,474.31500E-009,9.36510E+000
1,1,71,100.00010E-003,25.20000E-012,9.47329E+000,50.00590E-003,474.72400E-009,9.47329E+000
1,1,72,99.99990E-003,20.50000E-012,9.58149E+000,55.00660E-003,478.15700E-009,9.58149E+000
1,1,73,100.00000E-003,20.40000E-012,9.70793E+000,60.00500E-003,463.91400E-009,9.70793E+000
1,1,74,100.00000E-003,17.40000E-012,9.81624E+000,65.00730E-003,473.42100E-009,9.81624E+000
1,1,75,99.99990E-003,15.00000E-012,9.92448E+000,70.00490E-003,475.08800E-009,9.92448E+000
1,1,76,99.99990E-003,15.50000E-012,10.03269E+000,75.00680E-003,480.54400E-009,10.03269E+000
1,1,77,100.00000E-003,16.10000E-012,10.14088E+000,80.00540E-003,480.59400E-009,10.14088E+000
1,1,78,100.00010E-003,15.10000E-012,10.26288E+000,85.00630E-003,476.61900E-009,10.26288E+000
1,1,79,100.00000E-003,13.70000E-012,10.37492E+000,90.00240E-003,471.32400E-009,10.37492E+000
