Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,100.00000E-003,723.58200E-006,185.42000E-003,-300.00000E-003,-152.60000E-009,185.42000E-003
1,1,2,100.00000E-003,720.01700E-006,309.43900E-003,-295.10000E-003,83.44390E-009,309.43900E-003
1,1,3,100.00000E-003,716.66400E-006,538.07000E-003,-290.00100E-003,94.39000E-009,538.07000E-003
1,1,4,99.99990E-003,713.12200E-006,715.27400E-003,-285.02100E-003,183.13800E-009,715.27400E-003
1,1,5,100.00000E-003,709.28400E-006,899.44300E-003,-280.01700E-003,338.35100E-009,899.44300E-003
1,1,6,99.99990E-003,705.41700E-006,1.00890E+000,-275.00100E-003,455.31100E-009,1.00890E+000
1,1,7,100.00000E-003,701.23000E-006,1.12062E+000,-270.00500E-003,547.82000E-009,1.12062E+000
1,1,8,100.00010E-003,696.96300E-006,1.23000E+000,-265.00000E-003,634.44400E-009,1.23000E+000
1,1,9,100.00000E-003,692.79100E-006,1.33722E+000,-260.00000E-003,695.77000E-009,1.33722E+000
1,1,10,100.00000E-003,688.38900E-006,1.44756E+000,-255.00000E-003,752.62000E-009,1.44756E+000
1,1,11,100.00000E-003,684.09200E-006,1.55601E+000,-250.00000E-003,817.99000E-009,1.55601E+000
1,1,12,100.00000E-003,679.89000E-006,1.66288E+000,-245.00000E-003,881.25000E-009,1.66288E+000
1,1,13,99.99990E-003,675.39400E-006,1.78062E+000,-239.99900E-003,908.94000E-009,1.78062E+000
1,1,14,100.00000E-003,671.01500E-006,1.88755E+000,-234.99900E-003,979.65000E-009,1.88755E+000
1,1,15,99.99990E-003,666.59500E-006,1.99450E+000,-230.00000E-003,1.03682E-006,1.99450E+000
1,1,16,100.00000E-003,662.15900E-006,2.10139E+000,-225.00000E-003,1.09301E-006,2.10139E+000
1,1,17,100.00000E-003,657.57800E-006,2.20835E+000,-220.00000E-003,1.14400E-006,2.20835E+000
1,1,18,100.00000E-003,652.84100E-006,2.32455E+000,-214.99900E-003,1.18329E-006,2.32455E+000
1,1,19,100.00000E-003,648.15700E-006,2.43144E+000,-209.99940E-003,1.23084E-006,2.43144E+000
1,1,20,100.00000E-003,643.27100E-006,2.53830E+000,-204.99920E-003,1.28419E-006,2.53830E+000
1,1,21,100.00000E-003,638.56600E-006,2.64515E+000,-199.99920E-003,1.33489E-006,2.64515E+000
1,1,22,100.00000E-003,633.18500E-006,2.78876E+000,-194.99930E-003,1.28456E-006,2.78876E+000
1,1,23,100.00000E-003,628.32600E-006,2.89566E+000,-189.99930E-003,1.38188E-006,2.89566E+000
1,1,24,100.00000E-003,623.78400E-006,3.00274E+000,-184.99930E-003,1.44347E-006,3.00274E+000
1,1,25,100.00000E-003,619.22500E-006,3.10961E+000,-179.99930E-003,1.50065E-006,3.10961E+000
1,1,26,100.00000E-003,614.46800E-006,3.21890E+000,-174.99910E-003,1.54574E-006,3.21890E+000
1,1,27,100.00000E-003,609.98500E-006,3.33157E+000,-169.99970E-003,1.58547E-006,3.33157E+000
1,1,28,100.00000E-003,605.17000E-006,3.43896E+000,-164.99890E-003,1.64082E-006,3.43896E+000
1,1,29,100.00000E-003,600.22800E-006,3.54609E+000,-159.99930E-003,1.69084E-006,3.54609E+000
1,1,30,100.00000E-003,595.44500E-006,3.65295E+000,-154.99880E-003,1.74006E-006,3.65295E+000
1,1,31,100.00000E-003,590.56100E-006,3.78626E+000,-149.99920E-003,1.70167E-006,3.78626E+000
1,1,32,100.00000E-003,585.82400E-006,3.89315E+000,-144.99900E-003,1.78742E-006,3.89315E+000
1,1,33,100.00000E-003,580.94700E-006,4.00000E+000,-139.99860E-003,1.84320E-006,4.00000E+000
1,1,34,100.00000E-003,576.09800E-006,4.10732E+000,-134.99900E-003,1.88940E-006,4.10732E+000
1,1,35,100.00000E-003,571.38100E-006,4.21413E+000,-129.99880E-003,1.93507E-006,4.21413E+000
1,1,36,100.00000E-003,566.27100E-006,4.33120E+000,-124.99900E-003,1.95880E-006,4.33120E+000
1,1,37,100.00000E-003,561.35300E-006,4.43853E+000,-119.99950E-003,2.00166E-006,4.43853E+000
1,1,38,100.00000E-003,556.35500E-006,4.54595E+000,-114.99940E-003,2.04126E-006,4.54595E+000
1,1,39,100.00000E-003,551.28300E-006,4.65417E+000,-109.99880E-003,2.07549E-006,4.65417E+000
1,1,40,100.00000E-003,546.18800E-006,4.79333E+000,-104.99910E-003,2.00409E-006,4.79333E+000
1,1,41,100.00000E-003,541.19800E-006,4.90020E+000,-99.99890E-003,2.08774E-006,4.90020E+000
1,1,42,100.00000E-003,536.11500E-006,5.00708E+000,-94.99880E-003,2.13419E-006,5.00708E+000
1,1,43,100.00000E-003,531.04600E-006,5.11401E+000,-89.99860E-003,2.17133E-006,5.11401E+000
1,1,44,100.00000E-003,525.89700E-006,5.22084E+000,-84.99880E-003,2.20397E-006,5.22084E+000
1,1,45,100.00000E-003,520.79000E-006,5.33589E+000,-79.99870E-003,2.21585E-006,5.33589E+000
1,1,46,100.00000E-003,515.58700E-006,5.44290E+000,-74.99880E-003,2.24549E-006,5.44290E+000
1,1,47,100.00000E-003,510.44100E-006,5.54981E+000,-69.99880E-003,2.27122E-006,5.54981E+000
1,1,48,100.00000E-003,505.28100E-006,5.65667E+000,-64.99850E-003,2.29613E-006,5.65667E+000
1,1,49,100.00000E-003,499.80600E-006,5.79433E+000,-59.99890E-003,2.20863E-006,5.79433E+000
1,1,50,100.00000E-003,494.58100E-006,5.90125E+000,-54.99890E-003,2.27376E-006,5.90125E+000
1,1,51,100.00000E-003,489.34100E-006,6.00820E+000,-49.99870E-003,2.30473E-006,6.00820E+000
1,1,52,100.00000E-003,483.99100E-006,6.11507E+000,-44.99850E-003,2.32810E-006,6.11507E+000
1,1,53,100.00000E-003,478.70500E-006,6.22192E+000,-39.99850E-003,2.34618E-006,6.22192E+000
1,1,54,100.00000E-003,473.41100E-006,6.33586E+000,-34.99860E-003,2.34574E-006,6.33586E+000
1,1,55,100.00000E-003,468.03800E-006,6.44292E+000,-29.99840E-003,2.36241E-006,6.44292E+000
1,1,56,100.00000E-003,462.73300E-006,6.54985E+000,-24.99860E-003,2.37389E-006,6.54985E+000
1,1,57,100.00000E-003,457.52000E-006,6.65683E+000,-19.99870E-003,2.38274E-006,6.65683E+000
1,1,58,100.00000E-003,451.94900E-006,6.79911E+000,-14.99890E-003,2.26962E-006,6.79911E+000
1,1,59,100.00000E-003,446.60800E-006,6.90984E+000,-9.99960E-003,2.31228E-006,6.90984E+000
1,1,60,100.00000E-003,441.18100E-006,7.01672E+000,-4.99880E-003,2.34091E-006,7.01672E+000
1,1,61,100.00000E-003,435.77300E-006,7.12352E+000,1.40000E-006,2.35510E-006,7.12352E+000
1,1,62,100.00000E-003,430.41700E-006,7.23082E+000,5.00120E-003,2.36172E-006,7.23082E+000
1,1,63,100.00000E-003,425.01300E-006,7.33862E+000,10.00140E-003,2.36673E-006,7.33862E+000
1,1,64,100.00000E-003,419.65400E-006,7.44550E+000,15.00130E-003,2.37192E-006,7.44550E+000
1,1,65,100.00000E-003,414.26400E-006,7.55276E+000,20.00130E-003,2.37384E-006,7.55276E+000
1,1,66,100.00000E-003,408.82900E-006,7.66117E+000,25.00130E-003,2.37457E-006,7.66117E+000
1,1,67,100.00000E-003,403.31700E-006,7.80480E+000,30.00030E-003,2.25337E-006,7.80480E+000
1,1,68,100.00000E-003,397.92800E-006,7.91383E+000,35.00060E-003,2.29597E-006,7.91383E+000
1,1,69,100.00000E-003,392.58700E-006,8.02069E+000,40.00130E-003,2.31464E-006,8.02069E+000
1,1,70,100.00000E-003,387.20300E-006,8.12753E+000,45.00120E-003,2.32419E-006,8.12753E+000
1,1,71,100.00000E-003,381.86400E-006,8.23437E+000,50.00130E-003,2.33139E-006,8.23437E+000
1,1,72,100.00000E-003,376.48300E-006,8.34145E+000,55.00120E-003,2.33660E-006,8.34145E+000
1,1,73,100.00000E-003,371.13500E-006,8.45022E+000,60.00070E-003,2.33363E-006,8.45022E+000
1,1,74,100.00000E-003,365.79100E-006,8.55730E+000,65.00120E-003,2.34194E-006,8.55730E+000
1,1,75,100.00000E-003,360.46600E-006,8.66416E+000,70.00140E-003,2.34748E-006,8.66416E+000
1,1,76,100.00000E-003,355.01100E-006,8.80520E+000,75.00100E-003,2.23686E-006,8.80520E+000
1,1,77,100.00000E-003,349.78400E-006,8.91206E+000,80.00140E-003,2.28678E-006,8.91206E+000
1,1,78,100.00000E-003,344.49900E-006,9.01889E+000,85.00130E-003,2.30353E-006,9.01889E+000
1,1,79,100.00000E-003,339.25300E-006,9.12577E+000,90.00150E-003,2.31542E-006,9.12577E+000
1,1,80,100.00000E-003,333.97700E-006,9.23387E+000,95.00130E-003,2.32317E-006,9.23387E+000
1,1,81,100.00000E-003,328.77800E-006,9.34630E+000,100.00120E-003,2.32544E-006,9.34630E+000
1,1,82,99.99990E-003,323.57500E-006,9.45354E+000,105.00080E-003,2.33374E-006,9.45354E+000
1,1,83,100.00000E-003,318.40300E-006,9.56165E+000,110.00120E-003,2.34731E-006,9.56165E+000
1,1,84,99.99990E-003,313.27200E-006,9.66864E+000,115.00100E-003,2.37501E-006,9.66864E+000
1,1,85,100.00000E-003,308.07700E-006,9.81619E+000,120.00060E-003,2.25983E-006,9.81619E+000
1,1,86,100.00000E-003,303.03200E-006,9.92309E+000,125.00120E-003,2.32528E-006,9.92309E+000
1,1,87,100.00000E-003,298.00000E-006,10.02988E+000,130.00100E-003,2.37866E-006,10.02988E+000
1,1,88,99.99990E-003,293.05500E-006,10.13676E+000,135.00080E-003,2.44467E-006,10.13676E+000
1,1,89,100.00000E-003,288.04000E-006,10.24365E+000,140.00090E-003,2.50366E-006,10.24365E+000
1,1,90,100.00000E-003,283.09700E-006,10.35900E+000,145.00090E-003,2.54931E-006,10.35900E+000
1,1,91,100.00000E-003,278.22900E-006,10.46584E+000,150.00100E-003,2.70075E-006,10.46584E+000
