Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,793.34500E-006,136.12200E-003,-299.99600E-003,-119.58500E-009,136.12200E-003
1,1,2,100.00000E-003,791.37600E-006,313.44600E-003,-294.97900E-003,-85.78000E-009,313.44600E-003
1,1,3,100.00000E-003,788.15400E-006,488.16200E-003,-289.97900E-003,-69.88900E-009,488.16200E-003
1,1,4,100.00000E-003,784.54300E-006,610.29700E-003,-284.93300E-003,-79.39280E-009,610.29700E-003
1,1,5,100.00000E-003,781.49600E-006,744.33200E-003,-279.94500E-003,-69.72390E-009,744.33200E-003
1,1,6,100.00000E-003,778.14100E-006,864.04500E-003,-274.95700E-003,-54.82670E-009,864.04500E-003
1,1,7,100.00000E-003,775.13000E-006,985.34400E-003,-269.95300E-003,-45.28950E-009,985.34400E-003
1,1,8,100.00000E-003,772.31200E-006,1.10504E+000,-264.93300E-003,-36.05290E-009,1.10504E+000
1,1,9,100.00000E-003,768.71700E-006,1.24259E+000,-259.94100E-003,-35.59460E-009,1.24259E+000
1,1,10,100.00000E-003,765.55400E-006,1.36231E+000,-254.95000E-003,-24.17040E-009,1.36231E+000
1,1,11,100.00000E-003,762.47000E-006,1.48448E+000,-249.96300E-003,-17.17400E-009,1.48448E+000
1,1,12,100.00000E-003,759.14500E-006,1.60420E+000,-244.94500E-003,-8.83800E-009,1.60420E+000
1,1,13,100.00000E-003,755.72200E-006,1.74664E+000,-239.96700E-003,-12.74470E-009,1.74664E+000
1,1,14,100.00000E-003,752.60700E-006,1.86638E+000,-234.96800E-003,-566.60000E-012,1.86638E+000
1,1,15,100.00000E-003,749.27700E-006,1.98609E+000,-229.95800E-003,6.34990E-009,1.98609E+000
1,1,16,100.00000E-003,745.86500E-006,2.10753E+000,-224.93500E-003,11.41960E-009,2.10753E+000
1,1,17,100.00000E-003,742.43100E-006,2.25148E+000,-219.97800E-003,7.59320E-009,2.25148E+000
1,1,18,100.00000E-003,739.19300E-006,2.37278E+000,-214.94300E-003,18.78450E-009,2.37278E+000
1,1,19,100.00000E-003,735.84800E-006,2.49421E+000,-209.94520E-003,23.14670E-009,2.49421E+000
1,1,20,100.00000E-003,732.70600E-006,2.60365E+000,-204.99900E-003,26.84700E-009,2.60365E+000
1,1,21,100.00000E-003,729.20200E-006,2.75338E+000,-199.96980E-003,25.55190E-009,2.75338E+000
1,1,22,100.00000E-003,725.98700E-006,2.87314E+000,-194.94230E-003,37.86550E-009,2.87314E+000
1,1,23,100.00000E-003,722.62200E-006,2.99283E+000,-189.93960E-003,44.03820E-009,2.99283E+000
1,1,24,100.00000E-003,719.26100E-006,3.10234E+000,-184.99920E-003,43.85600E-009,3.10234E+000
1,1,25,100.00000E-003,715.84900E-006,3.25551E+000,-179.96350E-003,43.85320E-009,3.25551E+000
1,1,26,100.00000E-003,712.50000E-006,3.37576E+000,-174.94100E-003,55.88110E-009,3.37576E+000
1,1,27,100.00000E-003,709.30400E-006,3.48517E+000,-169.99910E-003,54.90100E-009,3.48517E+000
1,1,28,100.00000E-003,705.23900E-006,3.60532E+000,-164.95590E-003,70.12130E-009,3.60532E+000
1,1,29,100.00000E-003,701.36100E-006,3.75736E+000,-159.96080E-003,62.11000E-009,3.75736E+000
1,1,30,100.00000E-003,698.10100E-006,3.86860E+000,-154.99910E-003,65.13300E-009,3.86860E+000
1,1,31,100.00000E-003,694.06400E-006,4.04346E+000,-150.01360E-003,35.68700E-009,4.04346E+000
1,1,32,100.00000E-003,690.70800E-006,4.15292E+000,-144.99900E-003,69.68600E-009,4.15292E+000
1,1,33,100.00000E-003,687.41300E-006,4.28642E+000,-139.99880E-003,75.38900E-009,4.28642E+000
1,1,34,100.00000E-003,683.67800E-006,4.46087E+000,-135.01610E-003,43.55200E-009,4.46087E+000
1,1,35,100.00000E-003,680.32200E-006,4.57031E+000,-129.99890E-003,81.08600E-009,4.57031E+000
1,1,36,100.00000E-003,676.30600E-006,4.74740E+000,-125.01870E-003,45.54000E-009,4.74740E+000
1,1,37,100.00000E-003,672.85800E-006,4.85693E+000,-119.99880E-003,88.34700E-009,4.85693E+000
1,1,38,100.00000E-003,669.22000E-006,4.96631E+000,-114.99900E-003,98.84900E-009,4.96631E+000
1,1,39,100.00000E-003,665.58800E-006,5.07606E+000,-109.99890E-003,106.70300E-009,5.07606E+000
1,1,40,100.00000E-003,661.96600E-006,5.18550E+000,-104.99880E-003,114.66300E-009,5.18550E+000
1,1,41,100.00000E-003,658.24200E-006,5.30012E+000,-99.99890E-003,120.71900E-009,5.30012E+000
1,1,42,100.00000E-003,654.56900E-006,5.40950E+000,-94.99870E-003,128.31000E-009,5.40950E+000
1,1,43,100.00000E-003,650.81700E-006,5.51893E+000,-89.99870E-003,135.09500E-009,5.51893E+000
1,1,44,100.00000E-003,647.04600E-006,5.62835E+000,-84.99900E-003,142.15700E-009,5.62835E+000
1,1,45,100.00000E-003,643.24600E-006,5.74768E+000,-79.99910E-003,143.76100E-009,5.74768E+000
1,1,46,100.00000E-003,639.53300E-006,5.85717E+000,-74.99840E-003,153.87100E-009,5.85717E+000
1,1,47,100.00000E-003,635.73500E-006,5.96674E+000,-69.99860E-003,161.06700E-009,5.96674E+000
1,1,48,100.00010E-003,631.97000E-006,6.07622E+000,-64.99850E-003,168.88400E-009,6.07622E+000
1,1,49,100.00010E-003,628.09400E-006,6.18670E+000,-59.99840E-003,175.34600E-009,6.18670E+000
1,1,50,100.00000E-003,624.17200E-006,6.30548E+000,-54.99820E-003,180.69500E-009,6.30548E+000
1,1,51,100.00000E-003,620.28400E-006,6.41491E+000,-49.99860E-003,188.49600E-009,6.41491E+000
1,1,52,100.00000E-003,616.34400E-006,6.52438E+000,-44.99820E-003,196.57000E-009,6.52438E+000
1,1,53,100.00000E-003,612.45600E-006,6.63378E+000,-39.99830E-003,203.29300E-009,6.63378E+000
1,1,54,100.00000E-003,608.42700E-006,6.75609E+000,-34.99830E-003,203.62200E-009,6.75609E+000
1,1,55,100.00000E-003,604.47700E-006,6.86707E+000,-29.99830E-003,214.27700E-009,6.86707E+000
1,1,56,100.00000E-003,600.48000E-006,6.97951E+000,-24.99840E-003,221.45300E-009,6.97951E+000
1,1,57,100.00000E-003,596.43500E-006,7.09275E+000,-19.99900E-003,227.74700E-009,7.09275E+000
1,1,58,100.00010E-003,592.48300E-006,7.20266E+000,-14.99810E-003,237.81900E-009,7.20266E+000
1,1,59,100.00000E-003,588.40000E-006,7.31208E+000,-9.99820E-003,246.55100E-009,7.31208E+000
1,1,60,99.99990E-003,584.26100E-006,7.42345E+000,-4.99800E-003,253.15300E-009,7.42345E+000
1,1,61,100.00000E-003,580.19400E-006,7.53286E+000,1.80000E-006,262.12600E-009,7.53286E+000
1,1,62,100.00000E-003,576.11500E-006,7.64230E+000,5.00210E-003,270.86200E-009,7.64230E+000
1,1,63,100.00000E-003,571.94900E-006,7.75802E+000,10.00210E-003,275.73200E-009,7.75802E+000
1,1,64,100.00000E-003,567.84200E-006,7.86767E+000,15.00220E-003,287.04900E-009,7.86767E+000
1,1,65,100.00000E-003,563.69700E-006,7.97707E+000,20.00210E-003,296.53700E-009,7.97707E+000
1,1,66,100.00000E-003,559.53900E-006,8.08879E+000,25.00250E-003,304.34200E-009,8.08879E+000
1,1,67,100.00000E-003,555.43900E-006,8.19818E+000,30.00200E-003,313.83500E-009,8.19818E+000
1,1,68,100.00000E-003,551.26900E-006,8.30938E+000,35.00120E-003,321.44600E-009,8.30938E+000
1,1,69,100.00000E-003,547.07900E-006,8.41915E+000,40.00190E-003,332.01100E-009,8.41915E+000
1,1,70,100.00000E-003,542.93200E-006,8.52915E+000,45.00190E-003,343.85500E-009,8.52915E+000
1,1,71,99.99990E-003,538.76600E-006,8.63851E+000,50.00260E-003,356.53000E-009,8.63851E+000
1,1,72,100.00000E-003,534.36000E-006,8.76543E+000,55.00230E-003,355.08700E-009,8.76543E+000
1,1,73,100.00000E-003,530.21700E-006,8.87557E+000,60.00270E-003,369.68400E-009,8.87557E+000
1,1,74,100.00000E-003,525.98900E-006,8.98536E+000,65.00260E-003,379.76200E-009,8.98536E+000
1,1,75,100.00000E-003,521.71900E-006,9.09470E+000,70.00260E-003,389.76100E-009,9.09470E+000
1,1,76,100.00000E-003,517.45900E-006,9.20412E+000,75.00300E-003,402.17700E-009,9.20412E+000
1,1,77,100.00000E-003,513.15400E-006,9.31825E+000,80.00260E-003,414.66000E-009,9.31825E+000
1,1,78,100.00000E-003,508.87800E-006,9.42767E+000,85.00260E-003,432.42300E-009,9.42767E+000
1,1,79,100.00000E-003,504.64600E-006,9.53705E+000,90.00300E-003,444.94300E-009,9.53705E+000
1,1,80,100.00000E-003,500.36400E-006,9.64644E+000,95.00270E-003,462.22900E-009,9.64644E+000
1,1,81,100.00000E-003,496.04800E-006,9.75997E+000,100.00280E-003,476.08800E-009,9.75997E+000
1,1,82,100.00000E-003,491.76500E-006,9.86936E+000,105.00320E-003,492.77700E-009,9.86936E+000
1,1,83,100.00000E-003,487.44300E-006,9.97879E+000,110.00310E-003,509.79700E-009,9.97879E+000
1,1,84,100.00000E-003,483.13300E-006,10.08828E+000,115.00340E-003,526.93600E-009,10.08828E+000
1,1,85,100.00000E-003,478.84300E-006,10.19765E+000,120.00330E-003,543.01900E-009,10.19765E+000
1,1,86,100.00000E-003,474.45900E-006,10.31689E+000,125.00340E-003,553.46900E-009,10.31689E+000
1,1,87,100.00000E-003,470.14500E-006,10.42738E+000,130.00370E-003,571.23100E-009,10.42738E+000
1,1,88,100.00000E-003,465.83100E-006,10.53676E+000,135.00350E-003,587.61900E-009,10.53676E+000
1,1,89,100.00000E-003,461.51700E-006,10.64616E+000,140.00370E-003,601.25300E-009,10.64616E+000
1,1,90,100.00000E-003,457.07100E-006,10.76309E+000,145.00340E-003,602.37300E-009,10.76309E+000
1,1,91,100.00000E-003,452.76900E-006,10.87247E+000,150.00390E-003,614.45100E-009,10.87247E+000
1,1,92,100.00000E-003,448.47600E-006,10.98198E+000,155.00360E-003,621.31400E-009,10.98198E+000
