Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,776.92000E-006,79.25400E-003,-299.88100E-003,-66.81170E-009,79.25400E-003
1,1,2,100.00000E-003,772.93200E-006,201.80600E-003,-294.95200E-003,15.12230E-009,201.80600E-003
1,1,3,100.00000E-003,768.87800E-006,323.95100E-003,-290.01500E-003,54.86530E-009,323.95100E-003
1,1,4,100.00000E-003,764.73200E-006,552.87600E-003,-285.00000E-003,19.78000E-009,552.87600E-003
1,1,5,100.00000E-003,760.47800E-006,683.75500E-003,-280.03400E-003,84.22300E-009,683.75500E-003
1,1,6,100.00000E-003,756.29000E-006,912.42600E-003,-275.00100E-003,42.50000E-009,912.42600E-003
1,1,7,100.00000E-003,751.98500E-006,1.17195E+000,-270.00000E-003,44.18000E-009,1.17195E+000
1,1,8,100.00000E-003,747.76700E-006,1.39778E+000,-265.00000E-003,54.07000E-009,1.39778E+000
1,1,9,100.00000E-003,743.41800E-006,1.62359E+000,-260.00100E-003,58.89000E-009,1.62359E+000
1,1,10,100.00000E-003,739.03700E-006,1.84980E+000,-255.00000E-003,70.17000E-009,1.84980E+000
1,1,11,100.00000E-003,734.72500E-006,2.07543E+000,-250.00100E-003,72.48000E-009,2.07543E+000
1,1,12,100.00000E-003,730.36200E-006,2.30105E+000,-245.00000E-003,82.99000E-009,2.30105E+000
1,1,13,100.00000E-003,725.93800E-006,2.52876E+000,-240.00100E-003,87.81000E-009,2.52876E+000
1,1,14,100.00000E-003,721.52000E-006,2.77867E+000,-235.00100E-003,89.83000E-009,2.77867E+000
1,1,15,100.00000E-003,717.12900E-006,3.00438E+000,-230.00100E-003,98.33000E-009,3.00438E+000
1,1,16,100.00000E-003,712.69000E-006,3.23530E+000,-225.00100E-003,105.84000E-009,3.23530E+000
1,1,17,100.00000E-003,708.38300E-006,3.34179E+000,-219.99800E-003,170.05800E-009,3.34179E+000
1,1,18,100.00000E-003,703.88200E-006,3.57049E+000,-215.00100E-003,132.72000E-009,3.57049E+000
1,1,19,100.00000E-003,699.50900E-006,3.80305E+000,-210.00070E-003,132.06000E-009,3.80305E+000
1,1,20,100.00000E-003,695.13200E-006,3.90942E+000,-204.99810E-003,198.55400E-009,3.90942E+000
1,1,21,100.00000E-003,690.70900E-006,4.02227E+000,-199.99650E-003,220.78700E-009,4.02227E+000
1,1,22,99.99990E-003,686.08200E-006,4.27385E+000,-195.00130E-003,171.03000E-009,4.27385E+000
1,1,23,100.00000E-003,681.46400E-006,4.49968E+000,-190.00070E-003,171.37000E-009,4.49968E+000
1,1,24,100.00000E-003,676.99200E-006,4.60602E+000,-184.99880E-003,237.63300E-009,4.60602E+000
1,1,25,100.00000E-003,672.32100E-006,4.85422E+000,-180.00100E-003,189.90000E-009,4.85422E+000
