Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,730.80900E-006,80.25300E-003,-299.92000E-003,-47.42520E-009,80.25300E-003
1,1,2,100.00000E-003,729.09300E-006,200.64400E-003,-294.98000E-003,43.58940E-009,200.64400E-003
1,1,3,100.00000E-003,727.47700E-006,323.33900E-003,-290.03600E-003,82.99830E-009,323.33900E-003
1,1,4,100.00000E-003,725.81100E-006,552.85100E-003,-285.00000E-003,33.67000E-009,552.85100E-003
1,1,5,100.00000E-003,724.04500E-006,791.69000E-003,-280.00000E-003,39.99000E-009,791.69000E-003
1,1,6,100.00000E-003,722.26700E-006,1.01727E+000,-275.00100E-003,49.32000E-009,1.01727E+000
1,1,7,100.00000E-003,721.03700E-006,1.21431E+000,-270.02000E-003,20.01300E-009,1.21431E+000
1,1,8,100.00000E-003,719.80700E-006,1.44759E+000,-265.00100E-003,62.80000E-009,1.44759E+000
1,1,9,100.00000E-003,719.52400E-006,1.67346E+000,-260.00000E-003,76.91000E-009,1.67346E+000
1,1,10,100.00000E-003,718.73900E-006,1.90310E+000,-255.00000E-003,86.53000E-009,1.90310E+000
1,1,11,100.00000E-003,717.95000E-006,2.12870E+000,-250.00100E-003,85.63000E-009,2.12870E+000
1,1,12,100.00000E-003,717.13600E-006,2.35895E+000,-245.00000E-003,95.65000E-009,2.35895E+000
1,1,13,100.00000E-003,716.57300E-006,2.58566E+000,-240.00100E-003,101.86000E-009,2.58566E+000
1,1,14,100.00000E-003,715.57200E-006,2.81363E+000,-235.00100E-003,103.18000E-009,2.81363E+000
1,1,15,100.00000E-003,714.11500E-006,3.04109E+000,-230.00000E-003,113.43000E-009,3.04109E+000
1,1,16,100.00000E-003,712.51800E-006,3.30170E+000,-225.00100E-003,106.79000E-009,3.30170E+000
1,1,17,100.00000E-003,710.77300E-006,3.52940E+000,-220.00100E-003,115.35000E-009,3.52940E+000
1,1,18,100.00000E-003,708.95500E-006,3.77349E+000,-215.00100E-003,121.81000E-009,3.77349E+000
1,1,19,99.99990E-003,707.62000E-006,3.88163E+000,-209.99650E-003,187.76300E-009,3.88163E+000
1,1,20,99.99990E-003,705.92700E-006,4.11054E+000,-205.00070E-003,149.14000E-009,4.11054E+000
1,1,21,100.00000E-003,704.41800E-006,4.34290E+000,-200.00070E-003,147.81000E-009,4.34290E+000
1,1,22,100.00000E-003,702.64500E-006,4.57120E+000,-195.00070E-003,154.86000E-009,4.57120E+000
1,1,23,100.00000E-003,701.05900E-006,4.80761E+000,-190.00050E-003,155.23000E-009,4.80761E+000
1,1,24,100.00000E-003,698.89900E-006,4.91400E+000,-184.99930E-003,226.93900E-009,4.91400E+000
1,1,25,100.00000E-003,697.84800E-006,5.14444E+000,-180.00090E-003,182.84000E-009,5.14444E+000
1,1,26,100.00000E-003,695.57200E-006,5.25084E+000,-174.99800E-003,252.94500E-009,5.25084E+000
1,1,27,100.00000E-003,693.45600E-006,5.36262E+000,-169.99580E-003,276.20600E-009,5.36262E+000
1,1,28,100.00000E-003,691.27800E-006,5.47365E+000,-164.99490E-003,296.05200E-009,5.47365E+000
1,1,29,100.00000E-003,688.94400E-006,5.58307E+000,-159.99880E-003,321.14000E-009,5.58307E+000
1,1,30,100.00000E-003,686.78300E-006,5.69393E+000,-154.99910E-003,335.49300E-009,5.69393E+000
1,1,31,100.00000E-003,684.61300E-006,5.80606E+000,-149.99390E-003,346.21300E-009,5.80606E+000
1,1,32,100.00000E-003,682.32800E-006,5.91729E+000,-144.99340E-003,362.85100E-009,5.91729E+000
1,1,33,100.00000E-003,679.97400E-006,6.02674E+000,-139.99870E-003,384.40900E-009,6.02674E+000
1,1,34,100.00000E-003,677.72300E-006,6.13610E+000,-134.99830E-003,400.59000E-009,6.13610E+000
1,1,35,100.00000E-003,675.18400E-006,6.24576E+000,-129.99800E-003,412.08700E-009,6.24576E+000
1,1,36,100.00000E-003,672.76000E-006,6.35517E+000,-124.99810E-003,425.98400E-009,6.35517E+000
1,1,37,100.00000E-003,670.50600E-006,6.46482E+000,-119.99900E-003,443.20700E-009,6.46482E+000
1,1,38,100.00000E-003,667.96300E-006,6.57546E+000,-114.99880E-003,450.08500E-009,6.57546E+000
