Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,785.23700E-006,136.04600E-003,-299.98900E-003,-168.01000E-009,136.04600E-003
1,1,2,100.00000E-003,782.81400E-006,313.93700E-003,-294.98100E-003,-121.27500E-009,313.93700E-003
1,1,3,100.00000E-003,780.27800E-006,491.09100E-003,-289.98300E-003,-103.17600E-009,491.09100E-003
1,1,4,100.00000E-003,777.72500E-006,665.60000E-003,-284.98500E-003,-93.87700E-009,665.60000E-003
1,1,5,100.00000E-003,775.19200E-006,847.82400E-003,-279.98600E-003,-85.07900E-009,847.82400E-003
1,1,6,100.00000E-003,772.61900E-006,1.02231E+000,-274.98600E-003,-74.74800E-009,1.02231E+000
1,1,7,100.00000E-003,769.84900E-006,1.14373E+000,-269.93500E-003,-82.44850E-009,1.14373E+000
1,1,8,100.00000E-003,767.24400E-006,1.28967E+000,-264.91900E-003,-69.11700E-009,1.28967E+000
1,1,9,100.00000E-003,764.59500E-006,1.40935E+000,-259.92300E-003,-56.47680E-009,1.40935E+000
1,1,10,100.00000E-003,761.95000E-006,1.52903E+000,-254.94700E-003,-46.86460E-009,1.52903E+000
1,1,11,100.00000E-003,759.21100E-006,1.64939E+000,-249.95700E-003,-37.40960E-009,1.64939E+000
1,1,12,100.00000E-003,756.49400E-006,1.78760E+000,-244.93200E-003,-30.64500E-009,1.78760E+000
1,1,13,100.00000E-003,753.74200E-006,1.90732E+000,-239.92600E-003,-21.57520E-009,1.90732E+000
1,1,14,100.00000E-003,750.95900E-006,2.02704E+000,-234.93900E-003,-14.93390E-009,2.02704E+000
1,1,15,100.00000E-003,748.16700E-006,2.14675E+000,-229.95900E-003,-8.12150E-009,2.14675E+000
1,1,16,100.00000E-003,745.32200E-006,2.28910E+000,-224.93300E-003,-3.04250E-009,2.28910E+000
1,1,17,100.00000E-003,742.49700E-006,2.40879E+000,-219.93200E-003,4.57040E-009,2.40879E+000
1,1,18,100.00000E-003,739.64500E-006,2.52845E+000,-214.95000E-003,10.59290E-009,2.52845E+000
1,1,19,100.00000E-003,736.85300E-006,2.65064E+000,-209.96770E-003,15.20840E-009,2.65064E+000
1,1,20,100.00000E-003,733.92900E-006,2.79196E+000,-204.93530E-003,19.21740E-009,2.79196E+000
1,1,21,100.00000E-003,731.03800E-006,2.91302E+000,-199.94790E-003,25.03940E-009,2.91302E+000
1,1,22,100.00000E-003,728.10300E-006,3.03546E+000,-194.96680E-003,31.47430E-009,3.03546E+000
1,1,23,100.00000E-003,725.13600E-006,3.15515E+000,-189.94490E-003,38.90830E-009,3.15515E+000
1,1,24,99.99990E-003,722.13600E-006,3.29229E+000,-184.93990E-003,41.80840E-009,3.29229E+000
1,1,25,100.00000E-003,719.31700E-006,3.40173E+000,-179.99910E-003,42.39500E-009,3.40173E+000
1,1,26,100.00000E-003,716.14100E-006,3.52137E+000,-174.95420E-003,56.31320E-009,3.52137E+000
1,1,27,100.00000E-003,713.10200E-006,3.64107E+000,-169.94210E-003,61.96900E-009,3.64107E+000
1,1,28,100.00000E-003,710.16100E-006,3.75046E+000,-164.99900E-003,58.20500E-009,3.75046E+000
1,1,29,99.99990E-003,706.96300E-006,3.87149E+000,-159.96270E-003,73.47800E-009,3.87149E+000
1,1,30,100.00000E-003,703.84600E-006,4.04646E+000,-155.00880E-003,29.51000E-009,4.04646E+000
1,1,31,100.00000E-003,700.76500E-006,4.15599E+000,-149.99930E-003,64.41400E-009,4.15599E+000
1,1,32,100.00000E-003,697.64600E-006,4.28577E+000,-144.99910E-003,70.34500E-009,4.28577E+000
1,1,33,100.00000E-003,694.38500E-006,4.46064E+000,-140.00950E-003,39.11900E-009,4.46064E+000
1,1,34,99.99990E-003,691.25300E-006,4.57003E+000,-134.99890E-003,74.77300E-009,4.57003E+000
1,1,35,100.00000E-003,687.92200E-006,4.74542E+000,-130.01130E-003,41.75600E-009,4.74542E+000
1,1,36,99.99990E-003,684.78200E-006,4.85487E+000,-124.99900E-003,81.66600E-009,4.85487E+000
1,1,37,100.00000E-003,681.39200E-006,5.03130E+000,-120.01300E-003,46.09100E-009,5.03130E+000
1,1,38,100.00000E-003,678.21100E-006,5.14106E+000,-114.99910E-003,88.69500E-009,5.14106E+000
1,1,39,100.00000E-003,674.96500E-006,5.25073E+000,-109.99890E-003,99.60900E-009,5.25073E+000
1,1,40,100.00000E-003,671.56200E-006,5.42757E+000,-105.01410E-003,60.46100E-009,5.42757E+000
1,1,41,100.00000E-003,668.30300E-006,5.53694E+000,-99.99910E-003,103.87600E-009,5.53694E+000
1,1,42,100.00000E-003,665.04100E-006,5.64633E+000,-94.99900E-003,114.41700E-009,5.64633E+000
1,1,43,100.00000E-003,661.73600E-006,5.75584E+000,-89.99890E-003,123.33700E-009,5.75584E+000
1,1,44,100.00000E-003,658.40900E-006,5.86610E+000,-84.99890E-003,130.83200E-009,5.86610E+000
1,1,45,100.00000E-003,655.04300E-006,5.97549E+000,-79.99890E-003,138.44000E-009,5.97549E+000
1,1,46,100.00000E-003,651.60000E-006,6.08500E+000,-74.99880E-003,145.52400E-009,6.08500E+000
1,1,47,100.00000E-003,648.23000E-006,6.19437E+000,-69.99900E-003,152.58400E-009,6.19437E+000
1,1,48,100.00000E-003,644.84300E-006,6.30448E+000,-64.99870E-003,159.59300E-009,6.30448E+000
1,1,49,100.00000E-003,641.37900E-006,6.41756E+000,-59.99910E-003,164.13200E-009,6.41756E+000
1,1,50,100.00000E-003,637.90200E-006,6.52696E+000,-54.99850E-003,172.54700E-009,6.52696E+000
1,1,51,100.00000E-003,634.48400E-006,6.63636E+000,-49.99860E-003,179.83500E-009,6.63636E+000
1,1,52,100.00000E-003,630.96500E-006,6.75065E+000,-44.99890E-003,183.53100E-009,6.75065E+000
1,1,53,100.00000E-003,627.53000E-006,6.86036E+000,-39.99840E-003,192.53000E-009,6.86036E+000
1,1,54,100.00000E-003,624.01100E-006,6.96977E+000,-34.99860E-003,199.47700E-009,6.96977E+000
1,1,55,100.00000E-003,620.50300E-006,7.07917E+000,-29.99860E-003,206.70900E-009,7.07917E+000
1,1,56,100.00000E-003,616.93000E-006,7.18859E+000,-24.99830E-003,214.21900E-009,7.18859E+000
1,1,57,100.00000E-003,613.36300E-006,7.30557E+000,-19.99830E-003,219.11700E-009,7.30557E+000
1,1,58,100.00000E-003,609.76600E-006,7.41497E+000,-14.99850E-003,226.28000E-009,7.41497E+000
1,1,59,99.99990E-003,606.16000E-006,7.52458E+000,-9.99840E-003,233.86300E-009,7.52458E+000
1,1,60,100.00000E-003,602.56200E-006,7.63402E+000,-4.99830E-003,240.96000E-009,7.63402E+000
1,1,61,100.00000E-003,598.90800E-006,7.75338E+000,1.40000E-006,242.07000E-009,7.75338E+000
1,1,62,100.00000E-003,595.32000E-006,7.86311E+000,5.00160E-003,252.81400E-009,7.86311E+000
1,1,63,100.00000E-003,591.67900E-006,7.97252E+000,10.00180E-003,261.40000E-009,7.97252E+000
1,1,64,100.00000E-003,588.03200E-006,8.08194E+000,15.00170E-003,269.58500E-009,8.08194E+000
1,1,65,100.00000E-003,584.36600E-006,8.19463E+000,20.00170E-003,276.38700E-009,8.19463E+000
1,1,66,100.00000E-003,580.63300E-006,8.31062E+000,25.00100E-003,281.98100E-009,8.31062E+000
1,1,67,100.00000E-003,576.96600E-006,8.42410E+000,30.00180E-003,290.77100E-009,8.42410E+000
1,1,68,100.00000E-003,573.26500E-006,8.53375E+000,35.00160E-003,303.77400E-009,8.53375E+000
1,1,69,100.00000E-003,569.56000E-006,8.64315E+000,40.00220E-003,315.24000E-009,8.64315E+000
1,1,70,100.00000E-003,565.80400E-006,8.75846E+000,45.00120E-003,319.30100E-009,8.75846E+000
1,1,71,100.00000E-003,562.07500E-006,8.86799E+000,50.00210E-003,333.22000E-009,8.86799E+000
1,1,72,100.00000E-003,558.29500E-006,8.97736E+000,55.00220E-003,342.02900E-009,8.97736E+000
1,1,73,100.00000E-003,554.51200E-006,9.08679E+000,60.00190E-003,347.85200E-009,9.08679E+000
1,1,74,100.00000E-003,550.70400E-006,9.19612E+000,65.00220E-003,355.01700E-009,9.19612E+000
1,1,75,100.00000E-003,546.91100E-006,9.30902E+000,70.00220E-003,357.76400E-009,9.30902E+000
1,1,76,100.00000E-003,543.13000E-006,9.41843E+000,75.00200E-003,361.76400E-009,9.41843E+000
1,1,77,100.00000E-003,539.31300E-006,9.52782E+000,80.00220E-003,366.78500E-009,9.52782E+000
1,1,78,100.00000E-003,535.50600E-006,9.63735E+000,85.00220E-003,370.95200E-009,9.63735E+000
1,1,79,100.00000E-003,531.60900E-006,9.76385E+000,90.00180E-003,366.55900E-009,9.76385E+000
1,1,80,100.00000E-003,527.78100E-006,9.87345E+000,95.00210E-003,386.06900E-009,9.87345E+000
1,1,81,100.00000E-003,523.94900E-006,9.98282E+000,100.00200E-003,394.48500E-009,9.98282E+000
1,1,82,100.00000E-003,520.12700E-006,10.09276E+000,105.00190E-003,401.19400E-009,10.09276E+000
1,1,83,100.00000E-003,516.23300E-006,10.20225E+000,110.00200E-003,406.97500E-009,10.20225E+000
1,1,84,100.00000E-003,512.38700E-006,10.31169E+000,115.00240E-003,416.14000E-009,10.31169E+000
1,1,85,100.00000E-003,508.53000E-006,10.42111E+000,120.00230E-003,425.44500E-009,10.42111E+000
1,1,86,100.00000E-003,504.64500E-006,10.53048E+000,125.00240E-003,434.06000E-009,10.53048E+000
1,1,87,100.00000E-003,500.77300E-006,10.63987E+000,130.00260E-003,442.83400E-009,10.63987E+000
1,1,88,100.00000E-003,496.83000E-006,10.76182E+000,135.00210E-003,441.22500E-009,10.76182E+000
1,1,89,100.00000E-003,492.93300E-006,10.87160E+000,140.00210E-003,455.96600E-009,10.87160E+000
1,1,90,100.00000E-003,489.05500E-006,10.98099E+000,145.00250E-003,466.73800E-009,10.98099E+000
1,1,91,100.00000E-003,485.14400E-006,11.09044E+000,150.00250E-003,473.80900E-009,11.09044E+000
1,1,92,100.00000E-003,481.21000E-006,11.19980E+000,155.00260E-003,484.43500E-009,11.19980E+000
1,1,93,100.00000E-003,477.31100E-006,11.31879E+000,160.00150E-003,490.01900E-009,11.31879E+000
1,1,94,100.00000E-003,473.40100E-006,11.42989E+000,165.00170E-003,499.39100E-009,11.42989E+000
1,1,95,100.00000E-003,469.47100E-006,11.53925E+000,170.00260E-003,513.46500E-009,11.53925E+000
1,1,96,100.00000E-003,465.53800E-006,11.64874E+000,175.00240E-003,527.17200E-009,11.64874E+000
1,1,97,100.00000E-003,461.55200E-006,11.76958E+000,180.00230E-003,526.21300E-009,11.76958E+000
1,1,98,100.00000E-003,457.64600E-006,11.87937E+000,185.00230E-003,539.45300E-009,11.87937E+000
1,1,99,100.00000E-003,453.72100E-006,11.98893E+000,190.00250E-003,548.96900E-009,11.98893E+000
1,1,100,100.00000E-003,449.77800E-006,12.10510E+000,195.00160E-003,556.29600E-009,12.10510E+000
1,1,101,100.00000E-003,445.85800E-006,12.21784E+000,200.00280E-003,559.04000E-009,12.21784E+000
1,1,102,100.00000E-003,441.90700E-006,12.32940E+000,205.00310E-003,547.25000E-009,12.32940E+000
1,1,103,100.00000E-003,437.96100E-006,12.43876E+000,210.00290E-003,541.42700E-009,12.43876E+000
1,1,104,100.00000E-003,433.94400E-006,12.54814E+000,215.00300E-003,552.97200E-009,12.54814E+000
1,1,105,100.00000E-003,430.01900E-006,12.65756E+000,220.00300E-003,560.54800E-009,12.65756E+000
1,1,106,100.00000E-003,426.08900E-006,12.77485E+000,225.00300E-003,562.94000E-009,12.77485E+000
1,1,107,100.00000E-003,422.15900E-006,12.88480E+000,230.00300E-003,575.51400E-009,12.88480E+000
1,1,108,100.00000E-003,418.27900E-006,12.99439E+000,235.00300E-003,587.45000E-009,12.99439E+000
1,1,109,100.00000E-003,414.34300E-006,13.10405E+000,240.00300E-003,598.27900E-009,13.10405E+000
1,1,110,100.00000E-003,410.45500E-006,13.21349E+000,245.00300E-003,610.45700E-009,13.21349E+000
1,1,111,100.00000E-003,406.59200E-006,13.32553E+000,250.00300E-003,621.35300E-009,13.32553E+000
1,1,112,100.00000E-003,402.72000E-006,13.43566E+000,255.00300E-003,634.28800E-009,13.43566E+000
1,1,113,100.00000E-003,398.88300E-006,13.54531E+000,260.00300E-003,648.22500E-009,13.54531E+000
1,1,114,100.00000E-003,395.04500E-006,13.65666E+000,265.00300E-003,661.30100E-009,13.65666E+000
1,1,115,100.00000E-003,391.25600E-006,13.77257E+000,270.00300E-003,671.10700E-009,13.77257E+000
1,1,116,100.00000E-003,387.50000E-006,13.88204E+000,275.00300E-003,690.44800E-009,13.88204E+000
1,1,117,100.00000E-003,383.77200E-006,13.99144E+000,280.00300E-003,708.66600E-009,13.99144E+000
1,1,118,99.99990E-003,380.10500E-006,14.10084E+000,285.00300E-003,727.04900E-009,14.10084E+000
1,1,119,100.00000E-003,376.45100E-006,14.21164E+000,290.00300E-003,746.20900E-009,14.21164E+000
1,1,120,100.00000E-003,372.84700E-006,14.33024E+000,295.00300E-003,762.79800E-009,14.33024E+000
1,1,121,100.00000E-003,369.35100E-006,14.43961E+000,300.00300E-003,785.22000E-009,14.43961E+000
1,1,122,100.00000E-003,365.92700E-006,14.54646E+000,305.00000E-003,808.89000E-009,14.54646E+000
1,1,123,100.00000E-003,362.60000E-006,14.65286E+000,310.00300E-003,837.34200E-009,14.65286E+000
1,1,124,100.00000E-003,359.33900E-006,14.77518E+000,315.00000E-003,847.90000E-009,14.77518E+000
1,1,125,100.00000E-003,356.22600E-006,14.87878E+000,320.00000E-003,886.11000E-009,14.87878E+000
1,1,126,99.99990E-003,353.25800E-006,14.98232E+000,325.00000E-003,919.57000E-009,14.98232E+000
1,1,127,100.00000E-003,350.42300E-006,15.08593E+000,330.00000E-003,954.52000E-009,15.08593E+000
1,1,128,100.00000E-003,347.74600E-006,15.18991E+000,335.00000E-003,987.94000E-009,15.18991E+000
1,1,129,99.99990E-003,345.22200E-006,15.31038E+000,340.00000E-003,1.01650E-006,15.31038E+000
1,1,130,100.00000E-003,342.92600E-006,15.41395E+000,345.00000E-003,1.05732E-006,15.41395E+000
1,1,131,100.00000E-003,340.88200E-006,15.51751E+000,350.00000E-003,1.09973E-006,15.51751E+000
1,1,132,100.00000E-003,339.04700E-006,15.62109E+000,355.00000E-003,1.14433E-006,15.62109E+000
1,1,133,100.00000E-003,337.42200E-006,15.72464E+000,360.00000E-003,1.18868E-006,15.72464E+000
1,1,134,100.00000E-003,336.06500E-006,15.82824E+000,365.00000E-003,1.23632E-006,15.82824E+000
1,1,135,100.00000E-003,334.94800E-006,15.93180E+000,370.00000E-003,1.29143E-006,15.93180E+000
1,1,136,100.00000E-003,334.04500E-006,16.03537E+000,375.00000E-003,1.33994E-006,16.03537E+000
1,1,137,100.00000E-003,333.40300E-006,16.13894E+000,380.00000E-003,1.40023E-006,16.13894E+000
1,1,138,100.00000E-003,332.95700E-006,16.27122E+000,385.00000E-003,1.42944E-006,16.27122E+000
1,1,139,100.00000E-003,332.78700E-006,16.37483E+000,390.00000E-003,1.50318E-006,16.37483E+000
1,1,140,100.00000E-003,332.84500E-006,16.47837E+000,395.00000E-003,1.56980E-006,16.47837E+000
1,1,141,100.00000E-003,333.10600E-006,16.58196E+000,400.00000E-003,1.63967E-006,16.58196E+000
1,1,142,100.00000E-003,333.55700E-006,16.68553E+000,405.00000E-003,1.71146E-006,16.68553E+000
1,1,143,100.00000E-003,334.17300E-006,16.78946E+000,410.00000E-003,1.78701E-006,16.78946E+000
1,1,144,100.00000E-003,334.96900E-006,16.89490E+000,415.00000E-003,1.86562E-006,16.89490E+000
1,1,145,100.00000E-003,335.92500E-006,16.99844E+000,420.00000E-003,1.94733E-006,16.99844E+000
1,1,146,99.99990E-003,337.01200E-006,17.10203E+000,425.00000E-003,2.03312E-006,17.10203E+000
1,1,147,100.00000E-003,338.24500E-006,17.20557E+000,430.00000E-003,2.12271E-006,17.20557E+000
1,1,148,100.00000E-003,339.56700E-006,17.31741E+000,435.00000E-003,2.21129E-006,17.31741E+000
1,1,149,99.99990E-003,341.00400E-006,17.42098E+000,440.00000E-003,2.30895E-006,17.42098E+000
1,1,150,100.00000E-003,342.55300E-006,17.52455E+000,445.00000E-003,2.40877E-006,17.52455E+000
1,1,151,99.99990E-003,344.17000E-006,17.62986E+000,450.00000E-003,2.50844E-006,17.62986E+000
1,1,152,100.00000E-003,345.87000E-006,17.73350E+000,455.00000E-003,2.61421E-006,17.73350E+000
1,1,153,100.00000E-003,347.62300E-006,17.83710E+000,460.00000E-003,2.72300E-006,17.83710E+000
1,1,154,99.99990E-003,349.40100E-006,17.94350E+000,465.00000E-003,2.83246E-006,17.94350E+000
1,1,155,100.00000E-003,351.27300E-006,18.04705E+000,470.00000E-003,2.94832E-006,18.04705E+000
1,1,156,100.00000E-003,353.16800E-006,18.15063E+000,475.00000E-003,3.06664E-006,18.15063E+000
1,1,157,100.00000E-003,355.08600E-006,18.28075E+000,480.00000E-003,3.16225E-006,18.28075E+000
1,1,158,100.00000E-003,357.05000E-006,18.38433E+000,485.00000E-003,3.29469E-006,18.38433E+000
1,1,159,100.00000E-003,359.02900E-006,18.48790E+000,490.00000E-003,3.42273E-006,18.48790E+000
1,1,160,100.00000E-003,361.03500E-006,18.59146E+000,495.00000E-003,3.55234E-006,18.59146E+000
1,1,161,99.99990E-003,363.06200E-006,18.69505E+000,500.00000E-003,3.68302E-006,18.69505E+000
1,1,162,100.00000E-003,365.10600E-006,18.81934E+000,505.00000E-003,3.80270E-006,18.81934E+000
1,1,163,100.00000E-003,367.16100E-006,18.92289E+000,510.00000E-003,3.93888E-006,18.92289E+000
1,1,164,100.00000E-003,369.21900E-006,19.02645E+000,515.00000E-003,4.07551E-006,19.02645E+000
1,1,165,100.00000E-003,371.29200E-006,19.13002E+000,520.00000E-003,4.21349E-006,19.13002E+000
1,1,166,100.00000E-003,373.35100E-006,19.23355E+000,525.00000E-003,4.35294E-006,19.23355E+000
