Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,895.85200E-006,79.51800E-003,-299.90500E-003,-54.70640E-009,79.51800E-003
1,1,2,100.00000E-003,892.34800E-006,202.65900E-003,-294.95900E-003,21.80400E-009,202.65900E-003
1,1,3,100.00000E-003,888.83700E-006,325.22400E-003,-290.01700E-003,58.99490E-009,325.22400E-003
1,1,4,100.00000E-003,885.18300E-006,553.93900E-003,-285.00000E-003,24.52000E-009,553.93900E-003
1,1,5,100.00000E-003,881.35800E-006,695.11100E-003,-280.03300E-003,80.36480E-009,695.11100E-003
1,1,6,100.00000E-003,877.61100E-006,923.73700E-003,-275.00100E-003,45.18000E-009,923.73700E-003
1,1,7,100.00000E-003,873.75200E-006,1.16281E+000,-270.00100E-003,50.17000E-009,1.16281E+000
1,1,8,100.00000E-003,869.92400E-006,1.38845E+000,-265.00100E-003,57.70000E-009,1.38845E+000
1,1,9,100.00000E-003,865.99800E-006,1.61614E+000,-260.00000E-003,66.65000E-009,1.61614E+000
1,1,10,100.00000E-003,862.11300E-006,1.84834E+000,-255.00100E-003,71.47000E-009,1.84834E+000
1,1,11,100.00000E-003,858.17800E-006,2.07619E+000,-250.00100E-003,74.38000E-009,2.07619E+000
1,1,12,100.00000E-003,854.21800E-006,2.30193E+000,-245.00100E-003,85.30000E-009,2.30193E+000
1,1,13,100.00000E-003,850.20800E-006,2.53241E+000,-240.00000E-003,92.64000E-009,2.53241E+000
1,1,14,100.00000E-003,846.13700E-006,2.79289E+000,-235.00100E-003,88.05000E-009,2.79289E+000
1,1,15,100.00000E-003,842.09900E-006,3.01858E+000,-230.00100E-003,102.33000E-009,3.01858E+000
1,1,16,100.00000E-003,838.06500E-006,3.24417E+000,-225.00100E-003,106.88000E-009,3.24417E+000
1,1,17,100.00000E-003,834.03200E-006,3.47182E+000,-220.00100E-003,114.07000E-009,3.47182E+000
1,1,18,100.00000E-003,829.97800E-006,3.67676E+000,-215.00300E-003,140.91900E-009,3.67676E+000
1,1,19,100.00000E-003,825.91800E-006,3.90594E+000,-210.00110E-003,127.66000E-009,3.90594E+000
1,1,20,100.00000E-003,821.75600E-006,4.13434E+000,-205.00050E-003,137.81000E-009,4.13434E+000
1,1,21,100.00000E-003,817.75700E-006,4.24108E+000,-199.99860E-003,199.93400E-009,4.24108E+000
1,1,22,100.00000E-003,813.46200E-006,4.46974E+000,-195.00090E-003,163.85000E-009,4.46974E+000
1,1,23,100.00000E-003,809.51200E-006,4.57747E+000,-189.99790E-003,226.69700E-009,4.57747E+000
1,1,24,100.00000E-003,805.42200E-006,4.68697E+000,-184.99770E-003,253.30500E-009,4.68697E+000
1,1,25,100.00000E-003,801.29900E-006,4.79634E+000,-179.99770E-003,276.08000E-009,4.79634E+000
1,1,26,100.00000E-003,797.12200E-006,4.90576E+000,-174.99790E-003,295.93700E-009,4.90576E+000
1,1,27,100.00000E-003,792.91700E-006,5.01517E+000,-169.99730E-003,312.19200E-009,5.01517E+000
1,1,28,100.00000E-003,788.69100E-006,5.12463E+000,-164.99810E-003,330.92300E-009,5.12463E+000
1,1,29,100.00000E-003,784.47300E-006,5.24255E+000,-159.99770E-003,340.87000E-009,5.24255E+000
1,1,30,100.00000E-003,780.20200E-006,5.35386E+000,-154.99490E-003,352.29800E-009,5.35386E+000
1,1,31,99.99990E-003,775.92300E-006,5.46338E+000,-149.99750E-003,373.42900E-009,5.46338E+000
1,1,32,100.00000E-003,771.63000E-006,5.57277E+000,-144.99810E-003,389.97400E-009,5.57277E+000
1,1,33,100.00000E-003,767.30800E-006,5.69314E+000,-139.99810E-003,391.05200E-009,5.69314E+000
1,1,34,100.00000E-003,763.05300E-006,5.80296E+000,-134.99750E-003,412.19300E-009,5.80296E+000
1,1,35,100.00000E-003,758.66400E-006,5.91241E+000,-129.99720E-003,428.73600E-009,5.91241E+000
1,1,36,100.00000E-003,754.28800E-006,6.02252E+000,-124.99770E-003,443.10900E-009,6.02252E+000
1,1,37,100.00000E-003,749.89300E-006,6.13192E+000,-119.99710E-003,455.90600E-009,6.13192E+000
1,1,38,100.00000E-003,745.45800E-006,6.24232E+000,-114.99740E-003,470.98300E-009,6.24232E+000
1,1,39,100.00000E-003,741.07900E-006,6.35170E+000,-109.99790E-003,481.11000E-009,6.35170E+000
1,1,40,99.99990E-003,736.61600E-006,6.46111E+000,-104.99740E-003,495.87900E-009,6.46111E+000
1,1,41,100.00000E-003,732.10400E-006,6.57055E+000,-99.99770E-003,506.73100E-009,6.57055E+000
1,1,42,100.00000E-003,727.54800E-006,6.69786E+000,-94.99320E-003,491.47700E-009,6.69786E+000
1,1,43,100.00000E-003,723.04800E-006,6.81069E+000,-89.99290E-003,513.14100E-009,6.81069E+000
1,1,44,100.00000E-003,718.52900E-006,6.92176E+000,-84.99320E-003,526.24000E-009,6.92176E+000
1,1,45,100.00000E-003,714.02800E-006,7.03113E+000,-79.99750E-003,543.53800E-009,7.03113E+000
1,1,46,100.00000E-003,709.48200E-006,7.14094E+000,-74.99780E-003,555.83300E-009,7.14094E+000
1,1,47,100.00000E-003,704.93200E-006,7.25423E+000,-69.99790E-003,560.35800E-009,7.25423E+000
1,1,48,100.00000E-003,700.39300E-006,7.36553E+000,-64.99770E-003,571.16500E-009,7.36553E+000
1,1,49,100.00000E-003,695.79900E-006,7.47276E+000,-59.99980E-003,575.55000E-009,7.47276E+000
1,1,50,100.00000E-003,691.22100E-006,7.57911E+000,-54.99720E-003,599.27400E-009,7.57911E+000
1,1,51,100.00000E-003,686.53000E-006,7.69904E+000,-49.99790E-003,590.24700E-009,7.69904E+000
1,1,52,100.00000E-003,681.93400E-006,7.80653E+000,-44.99990E-003,598.61000E-009,7.80653E+000
1,1,53,100.00000E-003,677.28500E-006,7.91289E+000,-39.99750E-003,622.69300E-009,7.91289E+000
1,1,54,99.99990E-003,672.66500E-006,8.01977E+000,-34.99980E-003,619.94000E-009,8.01977E+000
1,1,55,100.00000E-003,668.00200E-006,8.12608E+000,-29.99780E-003,642.65100E-009,8.12608E+000
1,1,56,100.00000E-003,663.29900E-006,8.23879E+000,-24.99860E-003,644.15600E-009,8.23879E+000
1,1,57,100.00000E-003,658.63200E-006,8.34826E+000,-19.99650E-003,650.14000E-009,8.34826E+000
1,1,58,100.00000E-003,653.95500E-006,8.45565E+000,-14.99980E-003,647.19000E-009,8.45565E+000
1,1,59,100.00000E-003,649.27800E-006,8.56210E+000,-9.99740E-003,668.42600E-009,8.56210E+000
1,1,60,100.00000E-003,644.43000E-006,8.70600E+000,-4.99910E-003,626.25200E-009,8.70600E+000
1,1,61,100.00000E-003,639.71600E-006,8.81598E+000,2.20000E-006,652.47400E-009,8.81598E+000
1,1,62,100.00000E-003,635.02300E-006,8.92288E+000,5.00010E-003,654.83000E-009,8.92288E+000
1,1,63,100.00000E-003,630.32900E-006,9.02922E+000,10.00230E-003,678.32000E-009,9.02922E+000
1,1,64,100.00000E-003,625.61700E-006,9.13617E+000,15.00020E-003,672.71000E-009,9.13617E+000
1,1,65,100.00000E-003,620.82200E-006,9.25082E+000,20.00200E-003,686.40800E-009,9.25082E+000
1,1,66,99.99990E-003,616.08500E-006,9.35769E+000,25.00020E-003,681.53000E-009,9.35769E+000
1,1,67,100.00000E-003,611.31700E-006,9.46541E+000,30.00260E-003,700.30100E-009,9.46541E+000
1,1,68,100.00000E-003,606.57600E-006,9.57258E+000,35.00020E-003,692.34000E-009,9.57258E+000
1,1,69,100.00000E-003,601.72500E-006,9.69782E+000,40.00400E-003,684.19700E-009,9.69782E+000
1,1,70,100.00000E-003,596.99800E-006,9.80475E+000,45.00020E-003,690.47000E-009,9.80475E+000
1,1,71,100.00000E-003,592.21400E-006,9.91109E+000,50.00230E-003,715.05100E-009,9.91109E+000
1,1,72,100.00000E-003,587.46600E-006,10.01801E+000,55.00020E-003,706.77000E-009,10.01801E+000
1,1,73,100.00000E-003,582.69100E-006,10.12455E+000,60.00170E-003,729.72900E-009,10.12455E+000
1,1,74,100.00000E-003,577.88700E-006,10.24296E+000,65.00020E-003,708.43000E-009,10.24296E+000
1,1,75,100.00000E-003,573.11300E-006,10.35087E+000,70.00150E-003,728.64200E-009,10.35087E+000
1,1,76,100.00000E-003,568.36600E-006,10.45774E+000,75.00020E-003,719.86000E-009,10.45774E+000
