Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,700.67900E-006,118.11500E-003,-299.99500E-003,-858.67000E-009,118.11500E-003
1,1,2,100.00000E-003,696.64300E-006,347.08900E-003,-293.99700E-003,-734.09000E-009,347.08900E-003
1,1,3,99.99990E-003,692.60200E-006,575.68300E-003,-287.99700E-003,-582.96000E-009,575.68300E-003
1,1,4,100.00000E-003,688.60200E-006,840.47600E-003,-281.99800E-003,-489.06000E-009,840.47600E-003
1,1,5,100.00000E-003,684.37400E-006,1.01757E+000,-275.99100E-003,-450.42500E-009,1.01757E+000
1,1,6,100.00000E-003,680.18100E-006,1.21746E+000,-270.00500E-003,-302.62000E-009,1.21746E+000
1,1,7,100.00000E-003,675.86500E-006,1.39350E+000,-263.98900E-003,-172.60100E-009,1.39350E+000
1,1,8,100.00000E-003,671.28300E-006,1.51331E+000,-257.88600E-003,-4.93530E-009,1.51331E+000
1,1,9,100.00000E-003,667.03800E-006,1.63544E+000,-252.09700E-003,74.17110E-009,1.63544E+000
1,1,10,100.00000E-003,662.70600E-006,1.87888E+000,-245.99900E-003,-53.21000E-009,1.87888E+000
1,1,11,99.99990E-003,658.36900E-006,2.10912E+000,-239.99900E-003,-23.03000E-009,2.10912E+000
1,1,12,100.00000E-003,653.96900E-006,2.35138E+000,-234.00100E-003,-9.62000E-009,2.35138E+000
1,1,13,100.00000E-003,649.50800E-006,2.58026E+000,-228.00000E-003,15.56000E-009,2.58026E+000
1,1,14,100.00000E-003,645.01900E-006,2.84264E+000,-221.99900E-003,32.88000E-009,2.84264E+000
1,1,15,100.00000E-003,640.55500E-006,3.07161E+000,-216.00000E-003,79.20000E-009,3.07161E+000
1,1,16,100.00000E-003,636.05900E-006,3.33390E+000,-209.99940E-003,65.82000E-009,3.33390E+000
1,1,17,100.00000E-003,631.41600E-006,3.51083E+000,-204.02040E-003,133.14400E-009,3.51083E+000
1,1,18,100.00000E-003,626.72600E-006,3.71840E+000,-197.98250E-003,240.89000E-009,3.71840E+000
1,1,19,100.00000E-003,622.01300E-006,3.82781E+000,-192.00520E-003,347.66000E-009,3.82781E+000
1,1,20,100.00000E-003,617.30100E-006,3.94324E+000,-185.99570E-003,422.24400E-009,3.94324E+000
1,1,21,100.00000E-003,612.51400E-006,4.05259E+000,-180.00170E-003,503.35200E-009,4.05259E+000
1,1,22,99.99990E-003,607.71200E-006,4.16202E+000,-174.00790E-003,556.33300E-009,4.16202E+000
1,1,23,100.00000E-003,602.82600E-006,4.27495E+000,-168.00560E-003,600.28900E-009,4.27495E+000
1,1,24,100.00000E-003,597.98600E-006,4.43598E+000,-162.00160E-003,500.79000E-009,4.43598E+000
1,1,25,100.00000E-003,593.12600E-006,4.54527E+000,-156.00900E-003,634.39000E-009,4.54527E+000
1,1,26,100.00000E-003,588.21400E-006,4.71917E+000,-149.99970E-003,533.56000E-009,4.71917E+000
