Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99990E-003,242.72900E-006,118.16600E-003,-299.99800E-003,-1.30468E-006,118.16600E-003
1,1,2,100.00000E-003,242.25600E-006,227.92500E-003,-293.98300E-003,-850.71400E-009,227.92500E-003
1,1,3,100.00000E-003,241.88900E-006,456.77800E-003,-287.99700E-003,-959.06000E-009,456.77800E-003
1,1,4,100.00000E-003,241.54300E-006,707.96100E-003,-282.00000E-003,-819.55000E-009,707.96100E-003
1,1,5,100.00000E-003,241.20400E-006,936.55900E-003,-275.99800E-003,-717.93000E-009,936.55900E-003
1,1,6,100.00000E-003,240.80900E-006,1.16527E+000,-269.99800E-003,-627.90000E-009,1.16527E+000
1,1,7,100.00000E-003,240.40100E-006,1.39390E+000,-263.99900E-003,-560.02000E-009,1.39390E+000
1,1,8,100.00000E-003,239.95300E-006,1.62296E+000,-258.00000E-003,-495.22000E-009,1.62296E+000
1,1,9,100.00000E-003,239.36900E-006,1.79761E+000,-251.99200E-003,-433.65000E-009,1.79761E+000
1,1,10,100.00000E-003,238.87400E-006,1.91904E+000,-245.82000E-003,-25.29300E-009,1.91904E+000
1,1,11,100.00000E-003,238.57500E-006,2.04154E+000,-240.03000E-003,46.49660E-009,2.04154E+000
1,1,12,100.00000E-003,238.10200E-006,2.27309E+000,-234.00100E-003,-179.54000E-009,2.27309E+000
1,1,13,100.00000E-003,237.64000E-006,2.39526E+000,-228.12700E-003,72.19510E-009,2.39526E+000
1,1,14,100.00000E-003,236.82900E-006,2.62446E+000,-222.00100E-003,-86.79000E-009,2.62446E+000
1,1,15,100.00000E-003,236.49500E-006,2.85404E+000,-216.00000E-003,-85.96000E-009,2.85404E+000
1,1,16,100.00000E-003,235.86700E-006,2.96400E+000,-209.99790E-003,191.04500E-009,2.96400E+000
1,1,17,100.00000E-003,235.40000E-006,3.14089E+000,-204.00880E-003,157.86600E-009,3.14089E+000
1,1,18,100.00000E-003,234.89200E-006,3.26737E+000,-198.00100E-003,347.88700E-009,3.26737E+000
1,1,19,100.00000E-003,234.34800E-006,3.37675E+000,-192.00090E-003,478.47300E-009,3.37675E+000
1,1,20,100.00000E-003,233.87100E-006,3.48629E+000,-186.00400E-003,572.77500E-009,3.48629E+000
1,1,21,99.99990E-003,233.24900E-006,3.64762E+000,-180.00060E-003,423.45000E-009,3.64762E+000
1,1,22,100.00000E-003,232.63400E-006,3.76910E+000,-174.00580E-003,627.27100E-009,3.76910E+000
1,1,23,99.99990E-003,232.23000E-006,3.93025E+000,-168.00120E-003,502.55000E-009,3.93025E+000
1,1,24,100.00000E-003,231.50400E-006,4.09124E+000,-162.00140E-003,511.10000E-009,4.09124E+000
1,1,25,100.00000E-003,230.98700E-006,4.22983E+000,-155.99850E-003,654.68600E-009,4.22983E+000
1,1,26,100.00000E-003,230.49200E-006,4.39165E+000,-150.00180E-003,596.65000E-009,4.39165E+000
