Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,377.96600E-006,67.75500E-003,-299.99200E-003,-479.97000E-009,67.75500E-003
1,1,2,100.00000E-003,377.55900E-006,190.55400E-003,-293.95200E-003,9.84220E-009,190.55400E-003
1,1,3,100.00000E-003,376.62800E-006,368.03900E-003,-288.00800E-003,-220.44300E-009,368.03900E-003
1,1,4,100.00000E-003,376.25100E-006,545.09900E-003,-282.00700E-003,-151.17000E-009,545.09900E-003
1,1,5,100.00000E-003,375.72100E-006,731.42300E-003,-276.00800E-003,-94.45700E-009,731.42300E-003
1,1,6,100.00000E-003,375.02700E-006,908.49200E-003,-270.00800E-003,35.80400E-009,908.49200E-003
1,1,7,100.00000E-003,374.47800E-006,1.01799E+000,-264.00100E-003,319.05700E-009,1.01799E+000
1,1,8,100.00000E-003,373.66900E-006,1.22784E+000,-258.01000E-003,117.05200E-009,1.22784E+000
1,1,9,100.00000E-003,372.78200E-006,1.33731E+000,-252.00200E-003,402.30800E-009,1.33731E+000
1,1,10,100.00000E-003,372.18100E-006,1.44681E+000,-246.00200E-003,503.06800E-009,1.44681E+000
1,1,11,100.00000E-003,371.70700E-006,1.55615E+000,-240.00400E-003,559.76900E-009,1.55615E+000
1,1,12,100.00000E-003,371.17000E-006,1.67109E+000,-234.00400E-003,583.49800E-009,1.67109E+000
1,1,13,99.99990E-003,370.46400E-006,1.77971E+000,-227.99900E-003,632.69000E-009,1.77971E+000
1,1,14,100.00000E-003,369.92400E-006,1.94185E+000,-222.00100E-003,449.58000E-009,1.94185E+000
1,1,15,100.00000E-003,369.01100E-006,2.10304E+000,-216.00100E-003,444.07000E-009,2.10304E+000
1,1,16,100.00000E-003,368.19000E-006,2.27333E+000,-210.00110E-003,447.25000E-009,2.27333E+000
1,1,17,100.00000E-003,367.60400E-006,2.43484E+000,-204.00080E-003,474.08000E-009,2.43484E+000
1,1,18,100.00000E-003,366.74600E-006,2.59582E+000,-198.00110E-003,501.73000E-009,2.59582E+000
1,1,19,100.00000E-003,366.19000E-006,2.76554E+000,-192.00130E-003,518.76000E-009,2.76554E+000
1,1,20,100.00000E-003,365.44700E-006,2.93067E+000,-186.00160E-003,543.95000E-009,2.93067E+000
1,1,21,100.00000E-003,364.83600E-006,3.09166E+000,-180.00160E-003,586.45000E-009,3.09166E+000
1,1,22,99.99990E-003,363.98100E-006,3.26451E+000,-174.00200E-003,612.80000E-009,3.26451E+000
1,1,23,99.99990E-003,363.32900E-006,3.42556E+000,-168.00200E-003,657.23000E-009,3.42556E+000
1,1,24,99.99990E-003,362.46700E-006,3.53433E+000,-161.99870E-003,929.92000E-009,3.53433E+000
1,1,25,100.00000E-003,361.68900E-006,3.72963E+000,-156.00210E-003,702.88000E-009,3.72963E+000
1,1,26,100.00000E-003,360.91900E-006,3.83651E+000,-149.99840E-003,1.03878E-006,3.83651E+000
1,1,27,100.00000E-003,360.22900E-006,3.94336E+000,-143.99840E-003,1.17696E-006,3.94336E+000
1,1,28,100.00000E-003,359.34400E-006,4.05020E+000,-137.99840E-003,1.28097E-006,4.05020E+000
1,1,29,100.00000E-003,358.44100E-006,4.23387E+000,-132.00280E-003,1.09257E-006,4.23387E+000
1,1,30,100.00000E-003,357.75200E-006,4.34143E+000,-125.99770E-003,1.31439E-006,4.34143E+000
1,1,31,100.00000E-003,356.94100E-006,4.44825E+000,-119.99800E-003,1.44335E-006,4.44825E+000
1,1,32,100.00000E-003,355.98800E-006,4.55511E+000,-113.99830E-003,1.53546E-006,4.55511E+000
1,1,33,99.99990E-003,355.07600E-006,4.67240E+000,-107.99840E-003,1.54213E-006,4.67240E+000
1,1,34,100.00000E-003,354.01500E-006,4.77968E+000,-101.99790E-003,1.66279E-006,4.77968E+000
1,1,35,100.00000E-003,353.00400E-006,4.88655E+000,-95.99780E-003,1.73823E-006,4.88655E+000
1,1,36,100.00000E-003,352.13400E-006,4.99341E+000,-89.99800E-003,1.79769E-006,4.99341E+000
1,1,37,100.00000E-003,350.84800E-006,5.10025E+000,-83.99820E-003,1.85274E-006,5.10025E+000
1,1,38,100.00000E-003,349.83800E-006,5.21641E+000,-77.99810E-003,1.87362E-006,5.21641E+000
1,1,39,100.00000E-003,348.86700E-006,5.32349E+000,-71.99760E-003,1.92208E-006,5.32349E+000
1,1,40,100.00000E-003,347.80700E-006,5.43047E+000,-65.99740E-003,1.96196E-006,5.43047E+000
1,1,41,100.00000E-003,346.82700E-006,5.54136E+000,-59.99880E-003,1.93987E-006,5.54136E+000
1,1,42,100.00000E-003,345.74000E-006,5.67937E+000,-53.99820E-003,1.81794E-006,5.67937E+000
1,1,43,100.00000E-003,344.68400E-006,5.78955E+000,-47.99790E-003,1.92853E-006,5.78955E+000
1,1,44,100.00000E-003,343.60200E-006,5.89653E+000,-41.99810E-003,1.99803E-006,5.89653E+000
1,1,45,100.00000E-003,342.36200E-006,6.00379E+000,-35.99750E-003,2.03582E-006,6.00379E+000
1,1,46,100.00000E-003,341.22600E-006,6.11065E+000,-29.99770E-003,2.05675E-006,6.11065E+000
1,1,47,100.00000E-003,340.08900E-006,6.22197E+000,-23.99800E-003,2.07400E-006,6.22197E+000
1,1,48,100.00000E-003,338.71800E-006,6.32883E+000,-17.99760E-003,2.10091E-006,6.32883E+000
1,1,49,100.00000E-003,337.48300E-006,6.43584E+000,-11.99780E-003,2.10780E-006,6.43584E+000
1,1,50,100.00000E-003,336.30400E-006,6.54269E+000,-5.99750E-003,2.13779E-006,6.54269E+000
1,1,51,100.00000E-003,334.92400E-006,6.67860E+000,1.60000E-006,1.97641E-006,6.67860E+000
1,1,52,100.00000E-003,333.60700E-006,6.78588E+000,6.00190E-003,2.10371E-006,6.78588E+000
1,1,53,100.00000E-003,332.26700E-006,6.89463E+000,12.00220E-003,2.15644E-006,6.89463E+000
1,1,54,100.00000E-003,330.88700E-006,7.00145E+000,18.00230E-003,2.20063E-006,7.00145E+000
1,1,55,100.00000E-003,329.40000E-006,7.10836E+000,24.00240E-003,2.23819E-006,7.10836E+000
1,1,56,100.00000E-003,327.91300E-006,7.22429E+000,30.00200E-003,2.25746E-006,7.22429E+000
1,1,57,99.99990E-003,326.64800E-006,7.33115E+000,36.00180E-003,2.30843E-006,7.33115E+000
1,1,58,100.00000E-003,325.19100E-006,7.43804E+000,42.00190E-003,2.36126E-006,7.43804E+000
1,1,59,100.00000E-003,323.71700E-006,7.54494E+000,48.00240E-003,2.42118E-006,7.54494E+000
1,1,60,100.00000E-003,322.09200E-006,7.68608E+000,54.00200E-003,2.27127E-006,7.68608E+000
1,1,61,100.00000E-003,320.52600E-006,7.79491E+000,60.00220E-003,2.40001E-006,7.79491E+000
1,1,62,100.00000E-003,318.99300E-006,7.90182E+000,66.00250E-003,2.51219E-006,7.90182E+000
1,1,63,100.00000E-003,317.34400E-006,8.00917E+000,72.00260E-003,2.58955E-006,8.00917E+000
1,1,64,100.00000E-003,315.70600E-006,8.11815E+000,78.00200E-003,2.62518E-006,8.11815E+000
1,1,65,100.00000E-003,314.00900E-006,8.22645E+000,84.00270E-003,2.63990E-006,8.22645E+000
1,1,66,99.99990E-003,312.26800E-006,8.33336E+000,90.00280E-003,2.66031E-006,8.33336E+000
1,1,67,100.00000E-003,310.63500E-006,8.44023E+000,96.00260E-003,2.69339E-006,8.44023E+000
1,1,68,100.00000E-003,309.02400E-006,8.54711E+000,102.00240E-003,2.73618E-006,8.54711E+000
1,1,69,100.00000E-003,307.35300E-006,8.68499E+000,108.00150E-003,2.61690E-006,8.68499E+000
1,1,70,100.00000E-003,305.66700E-006,8.79219E+000,114.00220E-003,2.77098E-006,8.79219E+000
1,1,71,100.00000E-003,303.97500E-006,8.89913E+000,120.00220E-003,2.86838E-006,8.89913E+000
1,1,72,100.00000E-003,302.21200E-006,9.00609E+000,126.00270E-003,2.96891E-006,9.00609E+000
1,1,73,99.99990E-003,300.42900E-006,9.11296E+000,132.00240E-003,3.06776E-006,9.11296E+000
1,1,74,99.99990E-003,298.64200E-006,9.23102E+000,138.00260E-003,3.17568E-006,9.23102E+000
1,1,75,100.00000E-003,296.84800E-006,9.33787E+000,144.00280E-003,3.30505E-006,9.33787E+000
1,1,76,100.00000E-003,295.12100E-006,9.44477E+000,150.00300E-003,3.43809E-006,9.44477E+000
1,1,77,100.00000E-003,293.36600E-006,9.55163E+000,156.00280E-003,3.57960E-006,9.55163E+000
