Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,96.92040E-003,1.00000E-003,133.70900E-003,-299.99400E-003,-192.79700E-009,133.70900E-003
1,1,2,97.39070E-003,1.00000E-003,364.28200E-003,-294.00000E-003,-42.59000E-009,364.28200E-003
1,1,3,97.85790E-003,1.00000E-003,542.08100E-003,-288.01300E-003,21.63600E-009,542.08100E-003
1,1,4,98.34660E-003,999.99900E-006,741.40700E-003,-282.01200E-003,159.20000E-009,741.40700E-003
1,1,5,98.83110E-003,999.99000E-006,850.86300E-003,-276.00000E-003,374.84100E-009,850.86300E-003
1,1,6,99.32280E-003,999.90900E-006,960.19100E-003,-270.00500E-003,474.51000E-009,960.19100E-003
1,1,7,99.77620E-003,999.41200E-006,1.06974E+000,-264.00200E-003,554.68400E-009,1.06974E+000
1,1,8,99.99830E-003,996.37900E-006,1.18115E+000,-258.00100E-003,622.04700E-009,1.18115E+000
1,1,9,100.00000E-003,990.99000E-006,1.34407E+000,-252.00200E-003,485.52000E-009,1.34407E+000
1,1,10,100.00000E-003,985.60200E-006,1.50514E+000,-246.00200E-003,495.03000E-009,1.50514E+000
1,1,11,100.00000E-003,980.10800E-006,1.66624E+000,-240.00200E-003,512.55000E-009,1.66624E+000
1,1,12,100.00000E-003,974.66200E-006,1.85201E+000,-234.00200E-003,527.41000E-009,1.85201E+000
1,1,13,100.00000E-003,969.16100E-006,2.01508E+000,-228.00000E-003,577.20000E-009,2.01508E+000
1,1,14,100.00000E-003,963.60200E-006,2.17679E+000,-222.00200E-003,610.68000E-009,2.17679E+000
1,1,15,100.00000E-003,958.12900E-006,2.33787E+000,-216.00200E-003,638.56000E-009,2.33787E+000
1,1,16,100.00000E-003,952.72500E-006,2.49958E+000,-210.00320E-003,643.73000E-009,2.49958E+000
1,1,17,100.00000E-003,947.19800E-006,2.60643E+000,-203.99870E-003,881.93000E-009,2.60643E+000
1,1,18,100.00000E-003,941.60200E-006,2.73961E+000,-197.99930E-003,876.33000E-009,2.73961E+000
1,1,19,100.00000E-003,936.07900E-006,2.84849E+000,-191.99930E-003,1.00676E-006,2.84849E+000
1,1,20,100.00000E-003,930.42700E-006,2.95534E+000,-185.99820E-003,1.11302E-006,2.95534E+000
1,1,21,100.00000E-003,924.73400E-006,3.06218E+000,-179.99830E-003,1.18536E-006,3.06218E+000
1,1,22,100.00000E-003,918.97300E-006,3.16903E+000,-173.99830E-003,1.25188E-006,3.16903E+000
1,1,23,100.00000E-003,913.17300E-006,3.27872E+000,-167.99790E-003,1.31356E-006,3.27872E+000
1,1,24,100.00000E-003,907.43100E-006,3.38561E+000,-161.99810E-003,1.37669E-006,3.38561E+000
1,1,25,100.00000E-003,901.56400E-006,3.49245E+000,-155.99830E-003,1.43929E-006,3.49245E+000
1,1,26,100.00000E-003,895.66700E-006,3.59937E+000,-149.99810E-003,1.50485E-006,3.59937E+000
1,1,27,100.00000E-003,889.77300E-006,3.73703E+000,-143.99830E-003,1.41724E-006,3.73703E+000
1,1,28,100.00000E-003,883.89900E-006,3.84392E+000,-137.99790E-003,1.56769E-006,3.84392E+000
1,1,29,100.00000E-003,877.95300E-006,3.95081E+000,-131.99770E-003,1.64805E-006,3.95081E+000
1,1,30,100.00000E-003,871.79700E-006,4.06075E+000,-125.99900E-003,1.68659E-006,4.06075E+000
1,1,31,100.00000E-003,865.67000E-006,4.16758E+000,-119.99760E-003,1.78229E-006,4.16758E+000
1,1,32,100.00000E-003,859.61900E-006,4.28022E+000,-113.99810E-003,1.83040E-006,4.28022E+000
1,1,33,100.00000E-003,853.43500E-006,4.38709E+000,-107.99770E-003,1.89953E-006,4.38709E+000
1,1,34,100.00000E-003,847.28600E-006,4.49402E+000,-101.99760E-003,1.95833E-006,4.49402E+000
1,1,35,100.00000E-003,841.03900E-006,4.60288E+000,-95.99730E-003,2.01187E-006,4.60288E+000
1,1,36,100.00000E-003,834.65400E-006,4.74064E+000,-89.99830E-003,1.89865E-006,4.74064E+000
1,1,37,100.00000E-003,828.28300E-006,4.84754E+000,-83.99760E-003,2.04876E-006,4.84754E+000
1,1,38,100.00000E-003,821.90800E-006,4.95439E+000,-77.99750E-003,2.12119E-006,4.95439E+000
1,1,39,100.00000E-003,815.37300E-006,5.06127E+000,-71.99730E-003,2.17975E-006,5.06127E+000
1,1,40,100.00000E-003,808.72600E-006,5.16812E+000,-65.99710E-003,2.23048E-006,5.16812E+000
1,1,41,100.00000E-003,802.17100E-006,5.28380E+000,-59.99730E-003,2.25506E-006,5.28380E+000
1,1,42,100.00000E-003,795.40400E-006,5.39071E+000,-53.99720E-003,2.30906E-006,5.39071E+000
1,1,43,100.00000E-003,788.65000E-006,5.49964E+000,-47.99720E-003,2.33928E-006,5.49964E+000
1,1,44,99.99990E-003,781.83600E-006,5.60676E+000,-41.99700E-003,2.38534E-006,5.60676E+000
1,1,45,100.00000E-003,775.02400E-006,5.74769E+000,-35.99800E-003,2.23785E-006,5.74769E+000
1,1,46,100.00000E-003,768.09700E-006,5.85456E+000,-29.99720E-003,2.37711E-006,5.85456E+000
1,1,47,99.99990E-003,761.01400E-006,5.96150E+000,-23.99720E-003,2.43413E-006,5.96150E+000
1,1,48,100.00000E-003,753.88900E-006,6.06837E+000,-17.99710E-003,2.47837E-006,6.06837E+000
1,1,49,100.00000E-003,746.74400E-006,6.17522E+000,-11.99700E-003,2.51722E-006,6.17522E+000
1,1,50,100.00000E-003,739.53900E-006,6.28646E+000,-5.99680E-003,2.54627E-006,6.28646E+000
1,1,51,100.00000E-003,732.26500E-006,6.39336E+000,3.20000E-006,2.58094E-006,6.39336E+000
1,1,52,100.00000E-003,724.88600E-006,6.50017E+000,6.00270E-003,2.60856E-006,6.50017E+000
1,1,53,99.99990E-003,717.39900E-006,6.60699E+000,12.00290E-003,2.64327E-006,6.60699E+000
1,1,54,100.00000E-003,709.85200E-006,6.75111E+000,18.00230E-003,2.46463E-006,6.75111E+000
1,1,55,100.00000E-003,702.29900E-006,6.85807E+000,24.00280E-003,2.60238E-006,6.85807E+000
1,1,56,100.00000E-003,694.76100E-006,6.96488E+000,30.00270E-003,2.66010E-006,6.96488E+000
1,1,57,100.00000E-003,687.13100E-006,7.07176E+000,36.00300E-003,2.70738E-006,7.07176E+000
1,1,58,100.00000E-003,679.47900E-006,7.17859E+000,42.00300E-003,2.74769E-006,7.17859E+000
1,1,59,100.00000E-003,671.72500E-006,7.29150E+000,48.00310E-003,2.77392E-006,7.29150E+000
1,1,60,100.00000E-003,663.98100E-006,7.39840E+000,54.00330E-003,2.83014E-006,7.39840E+000
1,1,61,100.00000E-003,656.13900E-006,7.50525E+000,60.00310E-003,2.89547E-006,7.50525E+000
1,1,62,100.00000E-003,648.31700E-006,7.62691E+000,66.00360E-003,2.90355E-006,7.62691E+000
1,1,63,100.00000E-003,640.31100E-006,7.75347E+000,72.00290E-003,2.78683E-006,7.75347E+000
