Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,286.59000E-006,77.27300E-003,-299.90200E-003,-36.48700E-009,77.27300E-003
1,1,2,100.00000E-003,285.79700E-006,309.06400E-003,-295.00000E-003,45.76000E-009,309.06400E-003
1,1,3,99.99990E-003,285.38500E-006,415.35500E-003,-289.99900E-003,233.16600E-009,415.35500E-003
1,1,4,100.00000E-003,285.00800E-006,528.68500E-003,-284.99800E-003,301.18100E-009,528.68500E-003
1,1,5,100.00000E-003,284.16800E-006,671.03800E-003,-279.99800E-003,286.11400E-009,671.03800E-003
1,1,6,100.00000E-003,283.69100E-006,781.03900E-003,-274.99900E-003,379.41300E-009,781.03900E-003
1,1,7,100.00000E-003,283.22800E-006,890.35700E-003,-269.99700E-003,424.06400E-009,890.35700E-003
1,1,8,100.00000E-003,282.92800E-006,1.00434E+000,-264.99700E-003,440.96000E-009,1.00434E+000
1,1,9,100.00000E-003,282.26600E-006,1.11540E+000,-259.99900E-003,472.68900E-009,1.11540E+000
1,1,10,100.00000E-003,281.98600E-006,1.22613E+000,-254.99800E-003,495.86100E-009,1.22613E+000
1,1,11,100.00000E-003,281.58300E-006,1.33552E+000,-249.99800E-003,519.97100E-009,1.33552E+000
1,1,12,100.00000E-003,280.99700E-006,1.44485E+000,-244.99900E-003,536.94300E-009,1.44485E+000
1,1,13,100.00000E-003,280.51200E-006,1.55445E+000,-239.99700E-003,555.16600E-009,1.55445E+000
1,1,14,100.00000E-003,279.97200E-006,1.67612E+000,-234.99900E-003,531.19100E-009,1.67612E+000
1,1,15,100.00000E-003,279.42800E-006,1.78302E+000,-230.00000E-003,567.40000E-009,1.78302E+000
1,1,16,100.00000E-003,278.87300E-006,1.88933E+000,-224.99800E-003,602.74500E-009,1.88933E+000
1,1,17,100.00000E-003,278.41600E-006,1.99889E+000,-220.00000E-003,600.97000E-009,1.99889E+000
1,1,18,100.00010E-003,277.70100E-006,2.10737E+000,-214.99100E-003,624.88000E-009,2.10737E+000
1,1,19,100.00000E-003,277.05200E-006,2.21701E+000,-209.99940E-003,628.80000E-009,2.21701E+000
1,1,20,100.00000E-003,276.65000E-006,2.32333E+000,-204.99720E-003,662.74900E-009,2.32333E+000
1,1,21,100.00000E-003,276.13600E-006,2.43014E+000,-199.99950E-003,664.55000E-009,2.43014E+000
1,1,22,100.00000E-003,275.62000E-006,2.53815E+000,-194.99790E-003,688.90500E-009,2.53815E+000
1,1,23,100.00000E-003,275.00800E-006,2.68125E+000,-190.00030E-003,603.59400E-009,2.68125E+000
1,1,24,100.00000E-003,274.51300E-006,2.78816E+000,-184.99960E-003,665.27000E-009,2.78816E+000
1,1,25,99.99990E-003,273.98800E-006,2.94644E+000,-180.00180E-003,553.44000E-009,2.94644E+000
1,1,26,99.99990E-003,273.24900E-006,3.05290E+000,-174.99850E-003,674.10900E-009,3.05290E+000
1,1,27,100.00000E-003,272.53000E-006,3.18951E+000,-169.99490E-003,624.82100E-009,3.18951E+000
1,1,28,100.00000E-003,272.00400E-006,3.30267E+000,-164.99920E-003,683.05600E-009,3.30267E+000
1,1,29,100.00000E-003,271.53100E-006,3.41173E+000,-159.99960E-003,700.35000E-009,3.41173E+000
1,1,30,100.00000E-003,271.03700E-006,3.51529E+000,-154.99950E-003,736.92000E-009,3.51529E+000
1,1,31,100.00000E-003,270.52000E-006,3.61885E+000,-149.99950E-003,759.56000E-009,3.61885E+000
1,1,32,100.00000E-003,269.89600E-006,3.73134E+000,-144.99960E-003,764.61000E-009,3.73134E+000
1,1,33,100.00000E-003,269.19900E-006,3.83496E+000,-139.99950E-003,783.71000E-009,3.83496E+000
1,1,34,100.00000E-003,268.13900E-006,3.93853E+000,-134.99940E-003,799.71000E-009,3.93853E+000
1,1,35,100.00000E-003,267.60900E-006,4.04204E+000,-129.99950E-003,810.27000E-009,4.04204E+000
1,1,36,100.00000E-003,266.90200E-006,4.18102E+000,-124.99200E-003,723.03500E-009,4.18102E+000
1,1,37,100.00000E-003,266.37200E-006,4.28788E+000,-119.99940E-003,778.76000E-009,4.28788E+000
1,1,38,100.00000E-003,265.71700E-006,4.44594E+000,-115.00240E-003,659.16000E-009,4.44594E+000
1,1,39,100.00000E-003,265.04200E-006,4.54946E+000,-109.99960E-003,759.35000E-009,4.54946E+000
1,1,40,100.00000E-003,264.19500E-006,4.68108E+000,-105.00140E-003,728.71900E-009,4.68108E+000
1,1,41,100.00000E-003,263.50200E-006,4.78818E+000,-99.99960E-003,772.33000E-009,4.78818E+000
1,1,42,100.00000E-003,262.67800E-006,4.94861E+000,-95.00250E-003,654.71000E-009,4.94861E+000
1,1,43,100.00000E-003,262.06800E-006,5.05245E+000,-89.99970E-003,753.25000E-009,5.05245E+000
1,1,44,100.00000E-003,261.38000E-006,5.18662E+000,-84.99070E-003,712.84600E-009,5.18662E+000
1,1,45,100.00000E-003,260.73300E-006,5.29598E+000,-79.99970E-003,756.44000E-009,5.29598E+000
1,1,46,100.00000E-003,259.93000E-006,5.39963E+000,-74.99950E-003,788.58000E-009,5.39963E+000
1,1,47,100.00000E-003,259.10600E-006,5.50647E+000,-69.99960E-003,795.67000E-009,5.50647E+000
1,1,48,100.00000E-003,258.38400E-006,5.61000E+000,-64.99960E-003,814.67000E-009,5.61000E+000
1,1,49,100.00000E-003,257.43400E-006,5.77816E+000,-59.99980E-003,680.81000E-009,5.77816E+000
1,1,50,100.00000E-003,256.63800E-006,5.88578E+000,-54.99960E-003,754.24000E-009,5.88578E+000
1,1,51,100.00000E-003,255.66700E-006,6.04373E+000,-50.00190E-003,659.28000E-009,6.04373E+000
1,1,52,100.00000E-003,254.77500E-006,6.17132E+000,-44.99970E-003,689.89000E-009,6.17132E+000
1,1,53,100.00000E-003,253.75000E-006,6.32935E+000,-40.00210E-003,635.93000E-009,6.32935E+000
1,1,54,100.00000E-003,253.01200E-006,6.43320E+000,-34.99960E-003,730.29000E-009,6.43320E+000
1,1,55,100.00000E-003,252.18400E-006,6.53673E+000,-29.99960E-003,764.75000E-009,6.53673E+000
1,1,56,99.99990E-003,251.70500E-006,6.69477E+000,-25.00200E-003,653.12000E-009,6.69477E+000
1,1,57,99.99990E-003,250.57100E-006,6.79834E+000,-19.99960E-003,745.36000E-009,6.79834E+000
1,1,58,100.00000E-003,249.65000E-006,6.90249E+000,-14.99960E-003,772.62000E-009,6.90249E+000
1,1,59,100.00000E-003,248.76700E-006,7.06042E+000,-10.00200E-003,661.83000E-009,7.06042E+000
1,1,60,100.00000E-003,247.61400E-006,7.18990E+000,-5.00030E-003,707.38900E-009,7.18990E+000
1,1,61,100.00000E-003,246.66000E-006,7.29685E+000,500.00000E-009,750.33000E-009,7.29685E+000
1,1,62,100.00000E-003,245.63500E-006,7.40083E+000,5.00040E-003,779.70000E-009,7.40083E+000
1,1,63,100.00000E-003,244.66600E-006,7.50686E+000,10.00050E-003,790.80000E-009,7.50686E+000
1,1,64,100.00000E-003,243.62500E-006,7.61046E+000,15.00040E-003,808.84000E-009,7.61046E+000
1,1,65,100.00000E-003,242.67000E-006,7.73163E+000,20.00040E-003,796.00000E-009,7.73163E+000
1,1,66,100.00000E-003,241.68200E-006,7.83850E+000,25.00040E-003,808.38000E-009,7.83850E+000
1,1,67,99.99990E-003,240.78300E-006,7.94269E+000,30.00040E-003,826.71000E-009,7.94269E+000
1,1,68,100.00000E-003,239.71500E-006,8.04627E+000,35.00040E-003,841.23000E-009,8.04627E+000
1,1,69,100.00000E-003,238.65200E-006,8.18903E+000,39.99850E-003,777.45900E-009,8.18903E+000
1,1,70,100.00000E-003,237.58600E-006,8.29595E+000,45.00040E-003,818.53000E-009,8.29595E+000
1,1,71,99.99990E-003,236.53500E-006,8.40282E+000,50.00040E-003,833.07000E-009,8.40282E+000
