Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,906.26300E-006,79.80800E-003,-299.92500E-003,-16.37130E-009,79.80800E-003
1,1,2,100.00000E-003,903.85600E-006,189.66900E-003,-294.99900E-003,189.08200E-009,189.66900E-003
1,1,3,100.00000E-003,901.24400E-006,418.27700E-003,-290.00000E-003,140.66000E-009,418.27700E-003
1,1,4,100.00000E-003,898.61400E-006,529.39500E-003,-284.99800E-003,303.88400E-009,529.39500E-003
1,1,5,100.00000E-003,895.89900E-006,676.65900E-003,-280.00100E-003,302.66500E-009,676.65900E-003
1,1,6,100.00000E-003,893.22300E-006,786.16300E-003,-274.99900E-003,412.34600E-009,786.16300E-003
1,1,7,100.00000E-003,890.54700E-006,895.55600E-003,-269.99900E-003,467.65400E-009,895.55600E-003
1,1,8,99.99990E-003,887.78600E-006,1.00502E+000,-265.00000E-003,504.26300E-009,1.00502E+000
1,1,9,100.00000E-003,885.04900E-006,1.11439E+000,-259.99800E-003,537.91400E-009,1.11439E+000
1,1,10,100.00000E-003,882.26300E-006,1.23220E+000,-254.99800E-003,555.44200E-009,1.23220E+000
1,1,11,100.00000E-003,879.50100E-006,1.34140E+000,-250.00000E-003,573.12000E-009,1.34140E+000
1,1,12,100.00000E-003,876.71500E-006,1.45110E+000,-244.99900E-003,602.75300E-009,1.45110E+000
1,1,13,100.00000E-003,873.93700E-006,1.55797E+000,-240.00000E-003,619.71000E-009,1.55797E+000
1,1,14,100.00000E-003,871.12900E-006,1.67904E+000,-235.00000E-003,594.15000E-009,1.67904E+000
1,1,15,100.00000E-003,868.29500E-006,1.78596E+000,-230.00000E-003,642.95000E-009,1.78596E+000
1,1,16,100.00000E-003,865.45000E-006,1.89283E+000,-225.00000E-003,670.31000E-009,1.89283E+000
1,1,17,100.00000E-003,862.59300E-006,2.00145E+000,-220.00000E-003,685.63000E-009,2.00145E+000
1,1,18,99.99990E-003,859.73500E-006,2.10832E+000,-215.00000E-003,710.20000E-009,2.10832E+000
1,1,19,100.00000E-003,856.88800E-006,2.21873E+000,-209.99960E-003,720.07000E-009,2.21873E+000
1,1,20,100.00000E-003,854.00900E-006,2.32558E+000,-204.99950E-003,744.12000E-009,2.32558E+000
1,1,21,100.00000E-003,851.04300E-006,2.43242E+000,-199.99960E-003,765.25000E-009,2.43242E+000
1,1,22,100.00000E-003,848.04800E-006,2.53936E+000,-194.99950E-003,782.52000E-009,2.53936E+000
1,1,23,100.00000E-003,845.07700E-006,2.68043E+000,-189.99970E-003,693.83000E-009,2.68043E+000
1,1,24,100.00000E-003,842.12300E-006,2.78733E+000,-184.99960E-003,772.42000E-009,2.78733E+000
1,1,25,100.00000E-003,839.10800E-006,2.89422E+000,-179.99950E-003,802.50000E-009,2.89422E+000
1,1,26,100.00000E-003,836.06300E-006,3.00582E+000,-174.99950E-003,809.01000E-009,3.00582E+000
1,1,27,100.00000E-003,833.00800E-006,3.11267E+000,-169.99950E-003,834.89000E-009,3.11267E+000
1,1,28,100.00000E-003,829.92100E-006,3.22272E+000,-164.99950E-003,848.68000E-009,3.22272E+000
1,1,29,100.00000E-003,826.84400E-006,3.32961E+000,-159.99940E-003,864.01000E-009,3.32961E+000
1,1,30,100.00000E-003,823.70200E-006,3.43646E+000,-154.99940E-003,877.49000E-009,3.43646E+000
1,1,31,100.00000E-003,820.52400E-006,3.54329E+000,-149.99950E-003,888.91000E-009,3.54329E+000
1,1,32,100.00000E-003,817.30100E-006,3.68122E+000,-144.99970E-003,804.09000E-009,3.68122E+000
1,1,33,100.00000E-003,814.08100E-006,3.78813E+000,-139.99950E-003,870.64000E-009,3.78813E+000
1,1,34,100.00000E-003,810.84400E-006,3.89501E+000,-134.99940E-003,892.72000E-009,3.89501E+000
1,1,35,100.00000E-003,807.56100E-006,4.00186E+000,-129.99940E-003,907.14000E-009,4.00186E+000
1,1,36,100.00000E-003,804.29300E-006,4.10867E+000,-124.99950E-003,917.70000E-009,4.10867E+000
1,1,37,100.00000E-003,800.95300E-006,4.22470E+000,-119.99950E-003,913.58000E-009,4.22470E+000
1,1,38,100.00000E-003,797.63500E-006,4.33197E+000,-114.99950E-003,924.49000E-009,4.33197E+000
1,1,39,100.00000E-003,794.25400E-006,4.43888E+000,-109.99950E-003,933.61000E-009,4.43888E+000
1,1,40,100.00000E-003,790.83700E-006,4.54575E+000,-104.99950E-003,938.99000E-009,4.54575E+000
1,1,41,100.00000E-003,787.40400E-006,4.68762E+000,-99.99970E-003,841.41000E-009,4.68762E+000
1,1,42,99.99990E-003,783.91600E-006,4.79450E+000,-94.99960E-003,903.56000E-009,4.79450E+000
1,1,43,99.99990E-003,780.40800E-006,4.90137E+000,-89.99960E-003,922.60000E-009,4.90137E+000
1,1,44,100.00000E-003,776.89500E-006,5.00971E+000,-84.99950E-003,926.87000E-009,5.00971E+000
1,1,45,100.00000E-003,773.30500E-006,5.12056E+000,-79.99960E-003,922.11000E-009,5.12056E+000
1,1,46,100.00000E-003,769.70200E-006,5.23013E+000,-74.99940E-003,927.06000E-009,5.23013E+000
1,1,47,100.00000E-003,766.08800E-006,5.33778E+000,-69.99960E-003,936.91000E-009,5.33778E+000
1,1,48,100.00000E-003,762.38200E-006,5.44496E+000,-64.99960E-003,941.31000E-009,5.44496E+000
1,1,49,100.00000E-003,758.68500E-006,5.55190E+000,-59.99960E-003,946.21000E-009,5.55190E+000
1,1,50,100.00000E-003,754.95000E-006,5.69069E+000,-54.99960E-003,861.09000E-009,5.69069E+000
1,1,51,100.00000E-003,751.21000E-006,5.79756E+000,-49.99960E-003,914.17000E-009,5.79756E+000
1,1,52,100.00000E-003,747.32900E-006,5.90921E+000,-44.99960E-003,912.42000E-009,5.90921E+000
1,1,53,100.00000E-003,743.51100E-006,6.01606E+000,-39.99940E-003,931.19000E-009,6.01606E+000
1,1,54,99.99990E-003,739.63800E-006,6.12503E+000,-34.99950E-003,931.10000E-009,6.12503E+000
1,1,55,100.00000E-003,735.78300E-006,6.24000E+000,-29.99960E-003,931.17000E-009,6.24000E+000
1,1,56,100.00000E-003,731.80600E-006,6.34687E+000,-24.99960E-003,940.78000E-009,6.34687E+000
1,1,57,100.00000E-003,727.82900E-006,6.45394E+000,-19.99960E-003,946.92000E-009,6.45394E+000
1,1,58,100.00000E-003,723.83700E-006,6.56075E+000,-14.99950E-003,952.95000E-009,6.56075E+000
1,1,59,100.00000E-003,719.71900E-006,6.69051E+000,-9.99970E-003,892.55000E-009,6.69051E+000
1,1,60,100.00000E-003,715.65600E-006,6.79738E+000,-4.99960E-003,935.35000E-009,6.79738E+000
1,1,61,100.00000E-003,711.58600E-006,6.90447E+000,500.00000E-009,947.86000E-009,6.90447E+000
1,1,62,100.00000E-003,707.44300E-006,7.01133E+000,5.00050E-003,958.07000E-009,7.01133E+000
1,1,63,100.00000E-003,703.30900E-006,7.11815E+000,10.00050E-003,966.73000E-009,7.11815E+000
1,1,64,100.00000E-003,699.09800E-006,7.23592E+000,15.00060E-003,959.23000E-009,7.23592E+000
1,1,65,100.00000E-003,694.86600E-006,7.34476E+000,20.00050E-003,970.71000E-009,7.34476E+000
1,1,66,100.00000E-003,690.60400E-006,7.45211E+000,25.00040E-003,981.48000E-009,7.45211E+000
1,1,67,100.00000E-003,686.32500E-006,7.55893E+000,30.00040E-003,992.29000E-009,7.55893E+000
1,1,68,100.00000E-003,681.95500E-006,7.69721E+000,35.00030E-003,918.86000E-009,7.69721E+000
1,1,69,100.00000E-003,677.59200E-006,7.80409E+000,40.00050E-003,974.95000E-009,7.80409E+000
1,1,70,100.00000E-003,673.23100E-006,7.91094E+000,45.00060E-003,994.70000E-009,7.91094E+000
1,1,71,100.00000E-003,668.84300E-006,8.01782E+000,50.00050E-003,1.00932E-006,8.01782E+000
1,1,72,100.00000E-003,664.43100E-006,8.12466E+000,55.00050E-003,1.02941E-006,8.12466E+000
1,1,73,100.00000E-003,659.98000E-006,8.23813E+000,60.00050E-003,1.01965E-006,8.23813E+000
1,1,74,100.00000E-003,655.46800E-006,8.34495E+000,65.00050E-003,1.03450E-006,8.34495E+000
1,1,75,100.00000E-003,650.96800E-006,8.45225E+000,70.00040E-003,1.04483E-006,8.45225E+000
1,1,76,100.00000E-003,646.48100E-006,8.55939E+000,75.00040E-003,1.05219E-006,8.55939E+000
