Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,967.52500E-006,77.03800E-003,-299.97500E-003,-686.90000E-012,77.03800E-003
1,1,2,100.00000E-003,964.85900E-006,186.77100E-003,-294.99600E-003,316.24400E-009,186.77100E-003
1,1,3,100.00000E-003,961.97700E-006,296.26800E-003,-289.99600E-003,433.51100E-009,296.26800E-003
1,1,4,100.00000E-003,959.05600E-006,403.13200E-003,-284.99900E-003,502.18000E-009,403.13200E-003
1,1,5,100.00000E-003,956.10900E-006,510.08200E-003,-280.00000E-003,545.33000E-009,510.08200E-003
1,1,6,100.00000E-003,953.15200E-006,618.30200E-003,-274.99600E-003,587.72100E-009,618.30200E-003
1,1,7,100.00000E-003,950.19000E-006,727.23800E-003,-270.00000E-003,602.32000E-009,727.23800E-003
1,1,8,100.00000E-003,947.20600E-006,834.13900E-003,-264.99900E-003,627.80000E-009,834.13900E-003
1,1,9,100.00000E-003,944.20000E-006,941.04800E-003,-259.99900E-003,648.28000E-009,941.04800E-003
1,1,10,100.00000E-003,941.22700E-006,1.04793E+000,-254.99900E-003,667.55000E-009,1.04793E+000
1,1,11,100.00000E-003,938.21200E-006,1.17034E+000,-250.00000E-003,606.83000E-009,1.17034E+000
1,1,12,100.00000E-003,935.22600E-006,1.27726E+000,-244.99900E-003,676.85000E-009,1.27726E+000
1,1,13,100.00000E-003,932.21000E-006,1.38441E+000,-239.99900E-003,701.99000E-009,1.38441E+000
1,1,14,100.00000E-003,929.16100E-006,1.49416E+000,-234.99900E-003,705.10000E-009,1.49416E+000
1,1,15,100.00000E-003,926.13900E-006,1.60483E+000,-230.00000E-003,711.49000E-009,1.60483E+000
1,1,16,100.00000E-003,923.12900E-006,1.71649E+000,-224.99900E-003,731.24000E-009,1.71649E+000
1,1,17,100.00000E-003,920.04700E-006,1.82344E+000,-220.00000E-003,762.17000E-009,1.82344E+000
1,1,18,100.00000E-003,916.95700E-006,1.93031E+000,-215.00000E-003,782.85000E-009,1.93031E+000
1,1,19,100.00000E-003,913.92200E-006,2.03387E+000,-209.99910E-003,819.88000E-009,2.03387E+000
1,1,20,100.00000E-003,910.79600E-006,2.18402E+000,-204.99980E-003,655.63500E-009,2.18402E+000
1,1,21,100.00000E-003,907.76300E-006,2.29279E+000,-199.99930E-003,778.38000E-009,2.29279E+000
1,1,22,100.00000E-003,904.66800E-006,2.40185E+000,-194.99910E-003,814.29000E-009,2.40185E+000
1,1,23,100.00000E-003,901.60100E-006,2.50880E+000,-189.99920E-003,856.15000E-009,2.50880E+000
1,1,24,100.00000E-003,898.48400E-006,2.61710E+000,-184.99920E-003,881.45000E-009,2.61710E+000
1,1,25,100.00000E-003,895.33600E-006,2.72738E+000,-179.99910E-003,900.10000E-009,2.72738E+000
1,1,26,100.00000E-003,892.23200E-006,2.83440E+000,-174.99910E-003,922.29000E-009,2.83440E+000
1,1,27,100.00000E-003,889.05200E-006,2.94128E+000,-169.99920E-003,943.41000E-009,2.94128E+000
1,1,28,100.00000E-003,885.87800E-006,3.04816E+000,-164.99910E-003,962.73000E-009,3.04816E+000
1,1,29,100.00000E-003,882.70000E-006,3.17530E+000,-159.99950E-003,874.58000E-009,3.17530E+000
1,1,30,100.00000E-003,879.51500E-006,3.28218E+000,-154.99910E-003,961.41000E-009,3.28218E+000
1,1,31,100.00000E-003,876.32000E-006,3.38902E+000,-149.99910E-003,992.95000E-009,3.38902E+000
1,1,32,100.00000E-003,873.03200E-006,3.49746E+000,-144.99910E-003,1.00506E-006,3.49746E+000
1,1,33,100.00000E-003,869.81900E-006,3.60492E+000,-139.99910E-003,1.02745E-006,3.60492E+000
1,1,34,100.00000E-003,866.54700E-006,3.71867E+000,-134.99910E-003,1.03533E-006,3.71867E+000
1,1,35,100.00000E-003,863.21500E-006,3.82557E+000,-129.99910E-003,1.05583E-006,3.82557E+000
1,1,36,100.00000E-003,859.94900E-006,3.93244E+000,-124.99910E-003,1.07310E-006,3.93244E+000
1,1,37,100.00000E-003,856.61200E-006,4.03927E+000,-119.99920E-003,1.08683E-006,4.03927E+000
1,1,38,100.00000E-003,853.22600E-006,4.17742E+000,-114.99960E-003,953.18000E-009,4.17742E+000
1,1,39,100.00000E-003,849.86800E-006,4.28430E+000,-109.99910E-003,1.05762E-006,4.28430E+000
1,1,40,100.00000E-003,846.49600E-006,4.39113E+000,-104.99930E-003,1.08905E-006,4.39113E+000
1,1,41,100.00000E-003,843.10700E-006,4.49983E+000,-99.99920E-003,1.09679E-006,4.49983E+000
1,1,42,100.00000E-003,839.61200E-006,4.60704E+000,-94.99920E-003,1.11652E-006,4.60704E+000
1,1,43,100.00000E-003,836.16500E-006,4.72118E+000,-89.99920E-003,1.11710E-006,4.72118E+000
1,1,44,100.00000E-003,832.70000E-006,4.82806E+000,-84.99910E-003,1.13208E-006,4.82806E+000
1,1,45,100.00000E-003,829.17100E-006,4.93493E+000,-79.99920E-003,1.14282E-006,4.93493E+000
1,1,46,100.00000E-003,825.62400E-006,5.04178E+000,-74.99920E-003,1.15114E-006,5.04178E+000
1,1,47,100.00000E-003,821.99300E-006,5.18628E+000,-69.99970E-003,999.49000E-009,5.18628E+000
1,1,48,100.00000E-003,818.41100E-006,5.29327E+000,-64.99940E-003,1.10294E-006,5.29327E+000
1,1,49,100.00000E-003,814.75500E-006,5.40047E+000,-59.99930E-003,1.13126E-006,5.40047E+000
1,1,50,99.99990E-003,811.14500E-006,5.50744E+000,-54.99920E-003,1.14642E-006,5.50744E+000
1,1,51,99.99990E-003,807.44400E-006,5.61433E+000,-49.99940E-003,1.15808E-006,5.61433E+000
1,1,52,100.00000E-003,803.74600E-006,5.72374E+000,-44.99930E-003,1.16401E-006,5.72374E+000
1,1,53,100.00000E-003,800.03200E-006,5.83062E+000,-39.99920E-003,1.17310E-006,5.83062E+000
1,1,54,100.00000E-003,796.24300E-006,5.93759E+000,-34.99940E-003,1.18051E-006,5.93759E+000
1,1,55,100.00000E-003,792.39900E-006,6.04443E+000,-29.99930E-003,1.18831E-006,6.04443E+000
1,1,56,100.00000E-003,788.45000E-006,6.19106E+000,-24.99960E-003,1.04134E-006,6.19106E+000
1,1,57,100.00000E-003,784.64500E-006,6.29823E+000,-19.99930E-003,1.13979E-006,6.29823E+000
1,1,58,100.00000E-003,780.81900E-006,6.40537E+000,-14.99920E-003,1.16927E-006,6.40537E+000
1,1,59,100.00000E-003,776.87300E-006,6.51225E+000,-9.99930E-003,1.18733E-006,6.51225E+000
1,1,60,100.00000E-003,772.93200E-006,6.61920E+000,-4.99930E-003,1.20159E-006,6.61920E+000
1,1,61,100.00000E-003,768.97900E-006,6.72629E+000,800.00000E-009,1.21413E-006,6.72629E+000
1,1,62,100.00000E-003,764.97300E-006,6.83338E+000,5.00080E-003,1.22545E-006,6.83338E+000
1,1,63,99.99990E-003,761.00200E-006,6.94025E+000,10.00070E-003,1.23744E-006,6.94025E+000
1,1,64,100.00000E-003,756.94900E-006,7.04709E+000,15.00060E-003,1.24936E-006,7.04709E+000
1,1,65,100.00000E-003,752.78200E-006,7.18892E+000,20.00050E-003,1.13014E-006,7.18892E+000
1,1,66,100.00000E-003,748.70900E-006,7.29576E+000,25.00070E-003,1.22069E-006,7.29576E+000
1,1,67,100.00000E-003,744.59900E-006,7.40261E+000,30.00070E-003,1.25105E-006,7.40261E+000
1,1,68,100.00000E-003,740.41500E-006,7.50949E+000,35.00060E-003,1.27184E-006,7.50949E+000
1,1,69,100.00000E-003,736.22800E-006,7.61827E+000,40.00080E-003,1.28664E-006,7.61827E+000
