Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,868.49800E-006,79.57300E-003,-299.88600E-003,-37.48360E-009,79.57300E-003
1,1,2,100.00000E-003,865.89000E-006,190.82900E-003,-294.99600E-003,264.59300E-009,190.82900E-003
1,1,3,100.00000E-003,863.09000E-006,300.14900E-003,-289.99800E-003,394.75700E-009,300.14900E-003
1,1,4,100.00000E-003,860.28500E-006,409.53700E-003,-284.99700E-003,482.48000E-009,409.53700E-003
1,1,5,100.00000E-003,857.45900E-006,516.44800E-003,-280.00000E-003,536.74000E-009,516.44800E-003
1,1,6,100.00000E-003,854.62400E-006,623.15100E-003,-274.99800E-003,592.69500E-009,623.15100E-003
1,1,7,100.00000E-003,851.78000E-006,730.03000E-003,-270.00000E-003,617.31000E-009,730.03000E-003
1,1,8,100.00000E-003,848.87300E-006,833.56700E-003,-264.99900E-003,655.30000E-009,833.56700E-003
1,1,9,100.00000E-003,846.03500E-006,937.12300E-003,-259.99900E-003,685.69000E-009,937.12300E-003
1,1,10,99.99990E-003,843.14600E-006,1.04525E+000,-254.99800E-003,712.20100E-009,1.04525E+000
1,1,11,100.00000E-003,840.25300E-006,1.18442E+000,-250.00000E-003,596.06600E-009,1.18442E+000
1,1,12,100.00000E-003,837.40400E-006,1.29295E+000,-244.99900E-003,681.95000E-009,1.29295E+000
1,1,13,100.00000E-003,834.52100E-006,1.40000E+000,-239.99900E-003,716.06000E-009,1.40000E+000
1,1,14,100.00000E-003,831.68300E-006,1.50703E+000,-234.99900E-003,742.21000E-009,1.50703E+000
1,1,15,100.00000E-003,828.79600E-006,1.61384E+000,-230.00000E-003,762.68000E-009,1.61384E+000
1,1,16,100.00000E-003,825.93000E-006,1.73588E+000,-225.00000E-003,758.04000E-009,1.73588E+000
1,1,17,100.00000E-003,823.06300E-006,1.84278E+000,-219.99900E-003,787.82000E-009,1.84278E+000
1,1,18,100.00000E-003,820.19100E-006,1.94964E+000,-214.99900E-003,811.03000E-009,1.94964E+000
1,1,19,100.00000E-003,817.28700E-006,2.05384E+000,-209.99930E-003,843.93000E-009,2.05384E+000
1,1,20,100.00000E-003,814.37700E-006,2.17955E+000,-204.99940E-003,766.21000E-009,2.17955E+000
1,1,21,100.00000E-003,811.49200E-006,2.28762E+000,-199.99920E-003,835.04000E-009,2.28762E+000
1,1,22,100.00000E-003,808.58700E-006,2.39837E+000,-194.99940E-003,848.82000E-009,2.39837E+000
1,1,23,100.00000E-003,805.68900E-006,2.50564E+000,-189.99940E-003,885.05000E-009,2.50564E+000
