Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,629.80400E-006,67.50400E-003,-299.99500E-003,-694.71400E-009,67.50400E-003
1,1,2,100.00000E-003,627.76300E-006,190.63500E-003,-293.80900E-003,-10.55100E-009,190.63500E-003
1,1,3,100.00000E-003,626.18500E-006,301.72500E-003,-287.99200E-003,194.76700E-009,301.72500E-003
1,1,4,100.00000E-003,624.52400E-006,411.40700E-003,-281.99200E-003,368.58900E-009,411.40700E-003
1,1,5,100.00000E-003,622.80100E-006,518.29600E-003,-275.99900E-003,512.47000E-009,518.29600E-003
1,1,6,100.00000E-003,621.05500E-006,660.22800E-003,-269.99300E-003,385.44100E-009,660.22800E-003
1,1,7,100.00000E-003,619.11700E-006,767.15800E-003,-263.99900E-003,651.07000E-009,767.15800E-003
1,1,8,99.99990E-003,617.26900E-006,870.72400E-003,-257.99900E-003,777.83000E-009,870.72400E-003
1,1,9,99.99990E-003,615.72700E-006,974.31100E-003,-251.99900E-003,876.06000E-009,974.31100E-003
1,1,10,100.00000E-003,614.11700E-006,1.07788E+000,-245.99900E-003,944.37000E-009,1.07788E+000
1,1,11,100.00000E-003,612.40900E-006,1.19992E+000,-239.99900E-003,969.94000E-009,1.19992E+000
1,1,12,100.00000E-003,610.63700E-006,1.30351E+000,-233.99900E-003,1.05693E-006,1.30351E+000
1,1,13,100.00000E-003,609.07200E-006,1.40706E+000,-227.99900E-003,1.11601E-006,1.40706E+000
1,1,14,100.00000E-003,607.22900E-006,1.51417E+000,-221.99900E-003,1.14934E-006,1.51417E+000
1,1,15,100.00000E-003,605.52500E-006,1.62126E+000,-215.99900E-003,1.18620E-006,1.62126E+000
1,1,16,99.99990E-003,603.60900E-006,1.72485E+000,-209.99870E-003,1.24991E-006,1.72485E+000
1,1,17,100.00000E-003,601.98200E-006,1.83697E+000,-203.99870E-003,1.23104E-006,1.83697E+000
1,1,18,100.00000E-003,600.27800E-006,1.94393E+000,-197.99860E-003,1.31028E-006,1.94393E+000
1,1,19,100.00000E-003,598.08800E-006,2.05078E+000,-191.99860E-003,1.34630E-006,2.05078E+000
1,1,20,100.00000E-003,595.85000E-006,2.16686E+000,-185.99880E-003,1.29687E-006,2.16686E+000
1,1,21,100.00000E-003,593.75500E-006,2.27381E+000,-179.99850E-003,1.40675E-006,2.27381E+000
1,1,22,99.99990E-003,591.47900E-006,2.38070E+000,-173.99840E-003,1.46517E-006,2.38070E+000
1,1,23,100.00000E-003,589.49100E-006,2.48756E+000,-167.99860E-003,1.51909E-006,2.48756E+000
1,1,24,100.00000E-003,587.34800E-006,2.59453E+000,-161.99850E-003,1.55867E-006,2.59453E+000
1,1,25,100.00000E-003,585.65600E-006,2.71027E+000,-155.99830E-003,1.58749E-006,2.71027E+000
1,1,26,100.00000E-003,583.60400E-006,2.81720E+000,-149.99830E-003,1.62341E-006,2.81720E+000
1,1,27,100.00000E-003,581.67600E-006,2.92563E+000,-143.99850E-003,1.65692E-006,2.92563E+000
1,1,28,100.00000E-003,579.22000E-006,3.03247E+000,-137.99840E-003,1.67339E-006,3.03247E+000
1,1,29,100.00000E-003,576.97900E-006,3.17267E+000,-131.99890E-003,1.43892E-006,3.17267E+000
1,1,30,100.00000E-003,574.59900E-006,3.27960E+000,-125.99850E-003,1.63764E-006,3.27960E+000
1,1,31,100.00000E-003,572.36100E-006,3.38649E+000,-119.99850E-003,1.69988E-006,3.38649E+000
1,1,32,100.00000E-003,569.87900E-006,3.49337E+000,-113.99850E-003,1.74094E-006,3.49337E+000
1,1,33,100.00000E-003,567.62000E-006,3.60023E+000,-107.99850E-003,1.78082E-006,3.60023E+000
1,1,34,100.00000E-003,565.45200E-006,3.71403E+000,-101.99860E-003,1.80064E-006,3.71403E+000
1,1,35,100.00000E-003,562.98000E-006,3.82093E+000,-95.99840E-003,1.83934E-006,3.82093E+000
1,1,36,100.00000E-003,560.52100E-006,3.92782E+000,-89.99850E-003,1.86338E-006,3.92782E+000
1,1,37,100.00000E-003,557.96900E-006,4.03470E+000,-83.99840E-003,1.88891E-006,4.03470E+000
1,1,38,100.00000E-003,555.70400E-006,4.17109E+000,-77.99890E-003,1.68500E-006,4.17109E+000
1,1,39,100.00000E-003,553.66200E-006,4.27813E+000,-71.99830E-003,1.87692E-006,4.27813E+000
