Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,309.26300E-006,118.41300E-003,-299.99700E-003,-887.05000E-009,118.41300E-003
1,1,2,100.00000E-003,308.80100E-006,347.88400E-003,-293.99800E-003,-645.62000E-009,347.88400E-003
1,1,3,100.00000E-003,308.34900E-006,470.03600E-003,-287.83200E-003,-12.18590E-009,470.03600E-003
1,1,4,100.00000E-003,308.48900E-006,711.13100E-003,-282.00000E-003,-360.91000E-009,711.13100E-003
1,1,5,100.00000E-003,308.00100E-006,820.56800E-003,-275.99300E-003,110.84600E-009,820.56800E-003
1,1,6,100.00000E-003,307.47400E-006,930.11000E-003,-269.99400E-003,284.05500E-009,930.11000E-003
1,1,7,100.00000E-003,307.01500E-006,1.03956E+000,-263.99700E-003,384.60900E-009,1.03956E+000
1,1,8,99.99990E-003,306.50400E-006,1.14905E+000,-257.99600E-003,467.86200E-009,1.14905E+000
1,1,9,100.00000E-003,305.98900E-006,1.26988E+000,-251.99700E-003,518.80500E-009,1.26988E+000
1,1,10,100.00000E-003,305.47200E-006,1.37931E+000,-245.99800E-003,587.69300E-009,1.37931E+000
1,1,11,100.00000E-003,305.09000E-006,1.49083E+000,-240.00000E-003,621.12100E-009,1.49083E+000
1,1,12,100.00000E-003,304.44400E-006,1.60208E+000,-233.99900E-003,643.82000E-009,1.60208E+000
1,1,13,100.00000E-003,303.87300E-006,1.72061E+000,-227.99800E-003,653.22300E-009,1.72061E+000
1,1,14,100.00000E-003,303.36000E-006,1.82754E+000,-221.99800E-003,766.07000E-009,1.82754E+000
1,1,15,100.00000E-003,302.83200E-006,1.93441E+000,-215.99900E-003,824.52000E-009,1.93441E+000
1,1,16,100.00000E-003,302.27000E-006,2.04321E+000,-209.99850E-003,855.04000E-009,2.04321E+000
1,1,17,100.00000E-003,301.77700E-006,2.15053E+000,-203.99820E-003,928.21000E-009,2.15053E+000
1,1,18,100.00000E-003,301.40000E-006,2.25851E+000,-197.99810E-003,976.25000E-009,2.25851E+000
1,1,19,100.00000E-003,300.88100E-006,2.36556E+000,-191.99810E-003,1.02317E-006,2.36556E+000
1,1,20,100.00000E-003,300.53400E-006,2.47253E+000,-185.99800E-003,1.06024E-006,2.47253E+000
1,1,21,100.00000E-003,300.27500E-006,2.57944E+000,-179.99810E-003,1.09552E-006,2.57944E+000
1,1,22,99.99990E-003,299.92900E-006,2.72212E+000,-173.99890E-003,852.85000E-009,2.72212E+000
1,1,23,100.00000E-003,299.49600E-006,2.82903E+000,-167.99790E-003,1.08470E-006,2.82903E+000
1,1,24,100.00000E-003,298.87600E-006,2.93610E+000,-161.99810E-003,1.15731E-006,2.93610E+000
1,1,25,100.00000E-003,298.11500E-006,3.04306E+000,-155.99780E-003,1.21076E-006,3.04306E+000
1,1,26,100.00000E-003,297.43300E-006,3.14995E+000,-149.99780E-003,1.25648E-006,3.14995E+000
1,1,27,100.00000E-003,296.86200E-006,3.26329E+000,-143.99790E-003,1.27905E-006,3.26329E+000
1,1,28,100.00000E-003,296.32400E-006,3.37233E+000,-137.99830E-003,1.29916E-006,3.37233E+000
