Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,465.85900E-006,65.35900E-003,-300.00000E-003,-1.58495E-006,65.35900E-003
1,1,2,100.00000E-003,465.27000E-006,169.31900E-003,-293.00000E-003,-1.20389E-006,169.31900E-003
1,1,3,100.00000E-003,464.66500E-006,272.90900E-003,-286.00000E-003,-958.32000E-009,272.90900E-003
1,1,4,100.00000E-003,463.70400E-006,379.28200E-003,-278.99600E-003,-771.53200E-009,379.28200E-003
1,1,5,100.00000E-003,463.08700E-006,483.28500E-003,-271.99600E-003,-601.29800E-009,483.28500E-003
1,1,6,100.00000E-003,462.28600E-006,586.95100E-003,-264.99500E-003,-454.27600E-009,586.95100E-003
1,1,7,100.00000E-003,461.62500E-006,698.09100E-003,-257.99500E-003,-339.53400E-009,698.09100E-003
1,1,8,100.00000E-003,460.92600E-006,802.86300E-003,-250.99500E-003,-216.06500E-009,802.86300E-003
1,1,9,100.00000E-003,459.89800E-006,974.43300E-003,-243.99800E-003,-302.25300E-009,974.43300E-003
1,1,10,100.00000E-003,459.01200E-006,1.15743E+000,-236.99800E-003,-272.15900E-009,1.15743E+000
1,1,11,100.00000E-003,458.13200E-006,1.33298E+000,-229.99800E-003,-205.51100E-009,1.33298E+000
1,1,12,100.00000E-003,457.41700E-006,1.43663E+000,-222.99600E-003,17.67900E-009,1.43663E+000
1,1,13,100.00000E-003,456.54700E-006,1.54021E+000,-215.99500E-003,141.41700E-009,1.54021E+000
1,1,14,100.00000E-003,455.68500E-006,1.65799E+000,-208.99560E-003,179.77700E-009,1.65799E+000
1,1,15,100.00000E-003,454.80600E-006,1.76741E+000,-201.99480E-003,268.62100E-009,1.76741E+000
1,1,16,100.00000E-003,453.88700E-006,1.87686E+000,-194.99470E-003,338.73300E-009,1.87686E+000
1,1,17,100.00000E-003,453.01700E-006,1.98634E+000,-187.99450E-003,401.69100E-009,1.98634E+000
1,1,18,100.00000E-003,452.11300E-006,2.09582E+000,-180.99480E-003,459.21300E-009,2.09582E+000
1,1,19,99.99990E-003,451.16700E-006,2.20616E+000,-173.99450E-003,512.06700E-009,2.20616E+000
1,1,20,100.00000E-003,450.33200E-006,2.31696E+000,-166.99440E-003,560.93400E-009,2.31696E+000
1,1,21,100.00000E-003,449.25400E-006,2.42860E+000,-159.99430E-003,606.76400E-009,2.42860E+000
1,1,22,100.00000E-003,448.25400E-006,2.53831E+000,-152.99420E-003,653.83400E-009,2.53831E+000
1,1,23,100.00000E-003,447.29400E-006,2.66801E+000,-145.99550E-003,625.06000E-009,2.66801E+000
1,1,24,100.00000E-003,446.43300E-006,2.78176E+000,-138.99490E-003,694.51600E-009,2.78176E+000
1,1,25,100.00000E-003,445.45500E-006,2.89324E+000,-131.99460E-003,748.98500E-009,2.89324E+000
1,1,26,99.99990E-003,444.56100E-006,3.00107E+000,-124.99940E-003,807.31000E-009,3.00107E+000
1,1,27,100.00000E-003,443.52400E-006,3.10463E+000,-117.99940E-003,868.92000E-009,3.10463E+000
1,1,28,100.00000E-003,442.50500E-006,3.21677E+000,-110.99950E-003,904.02000E-009,3.21677E+000
1,1,29,100.00000E-003,441.32200E-006,3.32033E+000,-103.99940E-003,957.58000E-009,3.32033E+000
1,1,30,100.00000E-003,440.19100E-006,3.42390E+000,-96.99940E-003,1.00094E-006,3.42390E+000
1,1,31,100.00000E-003,439.17700E-006,3.52936E+000,-89.99950E-003,1.03584E-006,3.52936E+000
1,1,32,100.00000E-003,437.84800E-006,3.67110E+000,-82.99960E-003,941.82000E-009,3.67110E+000
1,1,33,100.00000E-003,436.82600E-006,3.77851E+000,-75.99950E-003,1.04589E-006,3.77851E+000
1,1,34,100.00000E-003,435.51500E-006,3.88311E+000,-68.99940E-003,1.11715E-006,3.88311E+000
1,1,35,100.00000E-003,434.39100E-006,3.98669E+000,-61.99940E-003,1.16987E-006,3.98669E+000
1,1,36,100.00000E-003,433.24100E-006,4.09030E+000,-54.99940E-003,1.21589E-006,4.09030E+000
1,1,37,100.00000E-003,432.03200E-006,4.20576E+000,-47.99940E-003,1.23849E-006,4.20576E+000
1,1,38,100.00000E-003,430.83700E-006,4.30943E+000,-40.99930E-003,1.29055E-006,4.30943E+000
1,1,39,100.00000E-003,429.50200E-006,4.41305E+000,-33.99930E-003,1.33703E-006,4.41305E+000
1,1,40,100.00000E-003,428.21300E-006,4.51662E+000,-26.99940E-003,1.38241E-006,4.51662E+000
1,1,41,100.00000E-003,426.98500E-006,4.62018E+000,-19.99930E-003,1.42675E-006,4.62018E+000
1,1,42,100.00000E-003,425.58300E-006,4.72381E+000,-12.99930E-003,1.47254E-006,4.72381E+000
1,1,43,100.00000E-003,424.14800E-006,4.82957E+000,-5.99940E-003,1.50962E-006,4.82957E+000
1,1,44,100.00000E-003,422.74000E-006,4.93481E+000,1.00060E-003,1.55143E-006,4.93481E+000
1,1,45,100.00000E-003,421.36200E-006,5.03839E+000,8.00060E-003,1.60274E-006,5.03839E+000
1,1,46,100.00000E-003,419.77900E-006,5.16786E+000,15.00050E-003,1.54643E-006,5.16786E+000
1,1,47,100.00000E-003,418.40800E-006,5.27146E+000,22.00050E-003,1.65106E-006,5.27146E+000
1,1,48,100.00000E-003,417.01000E-006,5.37504E+000,29.00070E-003,1.71427E-006,5.37504E+000
1,1,49,100.00000E-003,415.37600E-006,5.47861E+000,36.00060E-003,1.77294E-006,5.47861E+000
1,1,50,100.00000E-003,413.78100E-006,5.58430E+000,43.00060E-003,1.81898E-006,5.58430E+000
1,1,51,100.00000E-003,412.13900E-006,5.71174E+000,50.00060E-003,1.82554E-006,5.71174E+000
1,1,52,100.00000E-003,410.46500E-006,5.81558E+000,57.00060E-003,1.90226E-006,5.81558E+000
1,1,53,100.00000E-003,408.70800E-006,5.91914E+000,64.00060E-003,1.96565E-006,5.91914E+000
1,1,54,100.00000E-003,407.05300E-006,6.02453E+000,71.00060E-003,2.01788E-006,6.02453E+000
