Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,582.26800E-006,63.92400E-003,-300.00100E-003,-1.13967E-006,63.92400E-003
1,1,2,100.00000E-003,580.56400E-006,292.98700E-003,-293.99800E-003,-846.64000E-009,292.98700E-003
1,1,3,100.00000E-003,579.09100E-006,467.55200E-003,-287.98600E-003,-656.86700E-009,467.55200E-003
1,1,4,100.00000E-003,577.23300E-006,582.26000E-003,-281.99000E-003,-114.82000E-009,582.26000E-003
1,1,5,100.00000E-003,575.44100E-006,718.97200E-003,-276.08000E-003,82.28500E-009,718.97200E-003
1,1,6,100.00000E-003,573.71200E-006,828.38200E-003,-269.99300E-003,277.09000E-009,828.38200E-003
1,1,7,100.00000E-003,572.08200E-006,940.92000E-003,-263.99500E-003,370.09000E-009,940.92000E-003
1,1,8,100.00000E-003,570.38700E-006,1.05028E+000,-257.99500E-003,499.24200E-009,1.05028E+000
1,1,9,100.00000E-003,568.81300E-006,1.15823E+000,-251.99900E-003,580.18000E-009,1.15823E+000
1,1,10,100.00000E-003,567.18900E-006,1.26974E+000,-245.99900E-003,614.27000E-009,1.26974E+000
1,1,11,100.00000E-003,565.46700E-006,1.37848E+000,-239.99900E-003,697.20000E-009,1.37848E+000
1,1,12,100.00000E-003,563.83300E-006,1.48536E+000,-233.99900E-003,783.13000E-009,1.48536E+000
1,1,13,100.00000E-003,562.20800E-006,1.59255E+000,-227.99900E-003,841.15000E-009,1.59255E+000
1,1,14,99.99990E-003,560.66500E-006,1.70125E+000,-221.99900E-003,898.08000E-009,1.70125E+000
1,1,15,100.00000E-003,559.04700E-006,1.80824E+000,-215.99900E-003,943.67000E-009,1.80824E+000
1,1,16,100.00000E-003,557.35000E-006,1.91513E+000,-209.99860E-003,984.63000E-009,1.91513E+000
1,1,17,100.00000E-003,555.63000E-006,2.02209E+000,-203.99850E-003,1.03636E-006,2.02209E+000
1,1,18,100.00000E-003,554.03300E-006,2.16305E+000,-197.99920E-003,835.21000E-009,2.16305E+000
1,1,19,100.00000E-003,552.19600E-006,2.26996E+000,-191.99870E-003,1.05142E-006,2.26996E+000
1,1,20,100.00000E-003,550.33400E-006,2.37711E+000,-185.99850E-003,1.13163E-006,2.37711E+000
1,1,21,100.00000E-003,548.51500E-006,2.48636E+000,-179.99860E-003,1.16660E-006,2.48636E+000
1,1,22,100.00000E-003,546.77900E-006,2.59430E+000,-173.99850E-003,1.24165E-006,2.59430E+000
1,1,23,100.00000E-003,544.96300E-006,2.70662E+000,-167.99840E-003,1.28393E-006,2.70662E+000
1,1,24,100.00000E-003,543.16600E-006,2.81351E+000,-161.99840E-003,1.34340E-006,2.81351E+000
1,1,25,100.00000E-003,541.29800E-006,2.92036E+000,-155.99840E-003,1.39009E-006,2.92036E+000
1,1,26,100.00000E-003,539.42200E-006,3.02770E+000,-149.99830E-003,1.42771E-006,3.02770E+000
1,1,27,100.00000E-003,537.67200E-006,3.16947E+000,-143.99920E-003,1.20003E-006,3.16947E+000
1,1,28,100.00000E-003,535.65800E-006,3.27855E+000,-137.99860E-003,1.38343E-006,3.27855E+000
1,1,29,100.00000E-003,533.76900E-006,3.38545E+000,-131.99830E-003,1.46932E-006,3.38545E+000
1,1,30,100.00000E-003,531.84500E-006,3.49232E+000,-125.99820E-003,1.52226E-006,3.49232E+000
1,1,31,100.00000E-003,529.98100E-006,3.59919E+000,-119.99840E-003,1.56385E-006,3.59919E+000
1,1,32,100.00000E-003,527.99300E-006,3.70687E+000,-113.99850E-003,1.60164E-006,3.70687E+000
1,1,33,100.00000E-003,525.99500E-006,3.81415E+000,-107.99850E-003,1.64011E-006,3.81415E+000
1,1,34,100.00000E-003,523.94700E-006,3.92102E+000,-101.99840E-003,1.68228E-006,3.92102E+000
1,1,35,100.00000E-003,521.86200E-006,4.02804E+000,-95.99840E-003,1.72204E-006,4.02804E+000
1,1,36,100.00000E-003,519.94100E-006,4.16623E+000,-89.99890E-003,1.51612E-006,4.16623E+000
1,1,37,100.00000E-003,517.78200E-006,4.27315E+000,-83.99850E-003,1.69810E-006,4.27315E+000
1,1,38,100.00000E-003,515.64200E-006,4.38002E+000,-77.99840E-003,1.75969E-006,4.38002E+000
