Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,925.84000E-006,63.96100E-003,-300.00100E-003,-1.22246E-006,63.96100E-003
1,1,2,99.99990E-003,922.49400E-006,173.93000E-003,-293.98700E-003,-15.13500E-009,173.93000E-003
1,1,3,100.00000E-003,919.15600E-006,282.93600E-003,-287.99800E-003,502.23000E-009,282.93600E-003
1,1,4,100.00000E-003,915.77200E-006,392.17900E-003,-281.99800E-003,816.02000E-009,392.17900E-003
1,1,5,100.00000E-003,912.29700E-006,500.33300E-003,-275.99700E-003,1.08955E-006,500.33300E-003
1,1,6,100.00000E-003,908.79200E-006,607.19100E-003,-269.99700E-003,1.28320E-006,607.19100E-003
1,1,7,100.00000E-003,905.24700E-006,714.14800E-003,-263.99700E-003,1.43389E-006,714.14800E-003
1,1,8,100.00000E-003,901.66300E-006,821.05000E-003,-257.99700E-003,1.56806E-006,821.05000E-003
1,1,9,100.00000E-003,898.12500E-006,927.96100E-003,-251.99700E-003,1.68659E-006,927.96100E-003
1,1,10,100.00000E-003,894.42900E-006,1.03504E+000,-245.99700E-003,1.78836E-006,1.03504E+000
1,1,11,100.00000E-003,890.78700E-006,1.15720E+000,-239.99700E-003,1.61973E-006,1.15720E+000
1,1,12,100.00000E-003,887.05000E-006,1.26416E+000,-233.99700E-003,1.89811E-006,1.26416E+000
1,1,13,100.00000E-003,883.29900E-006,1.37109E+000,-227.99700E-003,2.02227E-006,1.37109E+000
1,1,14,100.00000E-003,879.49900E-006,1.47795E+000,-221.99700E-003,2.12432E-006,1.47795E+000
1,1,15,100.00000E-003,875.70200E-006,1.58484E+000,-215.99600E-003,2.21309E-006,1.58484E+000
1,1,16,100.00000E-003,871.89400E-006,1.70209E+000,-209.99660E-003,2.21271E-006,1.70209E+000
1,1,17,100.00000E-003,867.99700E-006,1.80899E+000,-203.99630E-003,2.33926E-006,1.80899E+000
1,1,18,100.00000E-003,863.98600E-006,1.91591E+000,-197.99620E-003,2.43607E-006,1.91591E+000
1,1,19,100.00000E-003,860.03000E-006,2.02281E+000,-191.99620E-003,2.52271E-006,2.02281E+000
1,1,20,100.00000E-003,855.90600E-006,2.16466E+000,-185.99830E-003,2.04752E-006,2.16466E+000
1,1,21,100.00000E-003,851.85300E-006,2.27159E+000,-179.99620E-003,2.48850E-006,2.27159E+000
1,1,22,100.00000E-003,847.70200E-006,2.37851E+000,-173.99630E-003,2.63889E-006,2.37851E+000
1,1,23,100.00000E-003,843.53600E-006,2.48552E+000,-167.99620E-003,2.73340E-006,2.48552E+000
1,1,24,100.00000E-003,839.34900E-006,2.59244E+000,-161.99610E-003,2.80882E-006,2.59244E+000
1,1,25,100.00000E-003,835.04000E-006,2.70394E+000,-155.99610E-003,2.84593E-006,2.70394E+000
1,1,26,100.00000E-003,830.77800E-006,2.81082E+000,-149.99610E-003,2.91671E-006,2.81082E+000
1,1,27,100.00000E-003,826.37300E-006,2.91773E+000,-143.99630E-003,2.96633E-006,2.91773E+000
