Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,97.37240E-003,1.00000E-003,65.03300E-003,-300.00100E-003,-1.58857E-006,65.03300E-003
1,1,2,97.78290E-003,1.00000E-003,289.28400E-003,-293.99800E-003,-1.13079E-006,289.28400E-003
1,1,3,98.21770E-003,1.00000E-003,408.38600E-003,-287.76500E-003,-7.34660E-009,408.38600E-003
1,1,4,98.60910E-003,999.99600E-006,520.67200E-003,-281.98600E-003,288.20500E-009,520.67200E-003
1,1,5,99.04770E-003,999.97200E-006,665.28100E-003,-275.99200E-003,190.07400E-009,665.28100E-003
1,1,6,99.46220E-003,999.83700E-006,772.18900E-003,-269.99800E-003,710.61000E-009,772.18900E-003
1,1,7,99.84040E-003,999.17800E-006,879.56700E-003,-263.99800E-003,936.20000E-009,879.56700E-003
1,1,8,99.99870E-003,996.16600E-006,990.14200E-003,-257.99800E-003,1.06162E-006,990.14200E-003
1,1,9,100.00000E-003,991.56300E-006,1.09959E+000,-251.99800E-003,1.21720E-006,1.09959E+000
1,1,10,100.00000E-003,986.93700E-006,1.22909E+000,-245.99800E-003,1.29153E-006,1.22909E+000
1,1,11,100.00000E-003,982.20300E-006,1.33597E+000,-239.99800E-003,1.46223E-006,1.33597E+000
1,1,12,100.00000E-003,977.51400E-006,1.44288E+000,-233.99800E-003,1.58557E-006,1.44288E+000
1,1,13,100.00000E-003,972.71800E-006,1.54978E+000,-227.99800E-003,1.69130E-006,1.54978E+000
1,1,14,100.00000E-003,967.97900E-006,1.66593E+000,-221.99800E-003,1.64023E-006,1.66593E+000
1,1,15,100.00000E-003,963.24800E-006,1.77308E+000,-215.99800E-003,1.83028E-006,1.77308E+000
1,1,16,100.00000E-003,958.59200E-006,1.88048E+000,-209.99760E-003,1.91631E-006,1.88048E+000
1,1,17,100.00000E-003,953.80800E-006,1.98732E+000,-203.99740E-003,2.02611E-006,1.98732E+000
1,1,18,100.00000E-003,948.96600E-006,2.09423E+000,-197.99720E-003,2.11794E-006,2.09423E+000
1,1,19,100.00000E-003,944.22700E-006,2.20619E+000,-191.99730E-003,2.17416E-006,2.20619E+000
1,1,20,100.00000E-003,939.30100E-006,2.31308E+000,-185.99710E-003,2.26367E-006,2.31308E+000
1,1,21,100.00000E-003,934.37000E-006,2.41999E+000,-179.99730E-003,2.33699E-006,2.41999E+000
1,1,22,100.00000E-003,929.42100E-006,2.52688E+000,-173.99720E-003,2.40915E-006,2.52688E+000
1,1,23,100.00000E-003,924.33800E-006,2.66320E+000,-167.99810E-003,2.04907E-006,2.66320E+000
1,1,24,100.00000E-003,919.48900E-006,2.77016E+000,-161.99740E-003,2.38915E-006,2.77016E+000
1,1,25,100.00000E-003,914.37900E-006,2.87716E+000,-155.99730E-003,2.51490E-006,2.87716E+000
1,1,26,100.00000E-003,909.30800E-006,2.98816E+000,-149.99760E-003,2.52419E-006,2.98816E+000
1,1,27,100.00000E-003,904.12600E-006,3.09695E+000,-143.99750E-003,2.61135E-006,3.09695E+000
1,1,28,100.00000E-003,898.91600E-006,3.20890E+000,-137.99740E-003,2.68205E-006,3.20890E+000
1,1,29,100.00000E-003,893.69800E-006,3.31581E+000,-131.99740E-003,2.75924E-006,3.31581E+000
1,1,30,100.00000E-003,888.48000E-006,3.42273E+000,-125.99730E-003,2.82054E-006,3.42273E+000
1,1,31,100.00000E-003,883.16600E-006,3.52962E+000,-119.99740E-003,2.86922E-006,3.52962E+000
1,1,32,100.00000E-003,877.75500E-006,3.66594E+000,-113.99830E-003,2.49908E-006,3.66594E+000
1,1,33,100.00000E-003,872.43600E-006,3.77294E+000,-107.99740E-003,2.80924E-006,3.77294E+000
1,1,34,100.00000E-003,866.97700E-006,3.88311E+000,-101.99750E-003,2.85309E-006,3.88311E+000
1,1,35,100.00000E-003,861.50400E-006,3.99002E+000,-95.99730E-003,2.94983E-006,3.99002E+000
1,1,36,100.00000E-003,855.97200E-006,4.09692E+000,-89.99720E-003,3.00256E-006,4.09692E+000
1,1,37,100.00000E-003,850.40700E-006,4.21050E+000,-83.99740E-003,3.00281E-006,4.21050E+000
1,1,38,100.00000E-003,844.74000E-006,4.31741E+000,-77.99720E-003,3.05072E-006,4.31741E+000
1,1,39,100.00000E-003,839.03200E-006,4.42428E+000,-71.99720E-003,3.08389E-006,4.42428E+000
1,1,40,100.00000E-003,833.27300E-006,4.53118E+000,-65.99720E-003,3.11323E-006,4.53118E+000
1,1,41,100.00000E-003,827.28800E-006,4.66877E+000,-59.99820E-003,2.71986E-006,4.66877E+000
1,1,42,100.00000E-003,821.45900E-006,4.77570E+000,-53.99740E-003,3.00579E-006,4.77570E+000
1,1,43,100.00000E-003,815.47500E-006,4.88262E+000,-47.99730E-003,3.08081E-006,4.88262E+000
