Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,260.01700E-006,64.56100E-003,-300.00000E-003,-2.14636E-006,64.56100E-003
1,1,2,100.00000E-003,259.87000E-006,168.51400E-003,-293.00000E-003,-1.89969E-006,168.51400E-003
1,1,3,100.00000E-003,259.70300E-006,273.74400E-003,-286.00000E-003,-1.70213E-006,273.74400E-003
1,1,4,100.00000E-003,259.44900E-006,377.30700E-003,-279.00000E-003,-1.52606E-006,377.30700E-003
1,1,5,100.00000E-003,259.40800E-006,480.89500E-003,-272.00000E-003,-1.36778E-006,480.89500E-003
1,1,6,100.00000E-003,259.19200E-006,584.45000E-003,-265.00000E-003,-1.22207E-006,584.45000E-003
1,1,7,100.00000E-003,258.88200E-006,697.23100E-003,-258.00000E-003,-1.09365E-006,697.23100E-003
1,1,8,100.00000E-003,258.68600E-006,803.68800E-003,-250.99900E-003,-968.77700E-009,803.68800E-003
1,1,9,99.99990E-003,258.46600E-006,907.26800E-003,-243.99800E-003,-846.34200E-009,907.26800E-003
1,1,10,100.00000E-003,258.29400E-006,1.01370E+000,-236.99800E-003,-737.76700E-009,1.01370E+000
1,1,11,100.00000E-003,257.97300E-006,1.11728E+000,-229.99800E-003,-629.10700E-009,1.11728E+000
1,1,12,99.99990E-003,257.76600E-006,1.22085E+000,-222.99800E-003,-527.73800E-009,1.22085E+000
1,1,13,100.00000E-003,257.68500E-006,1.32457E+000,-215.99800E-003,-431.95500E-009,1.32457E+000
1,1,14,100.00000E-003,257.53500E-006,1.42814E+000,-208.99780E-003,-344.46500E-009,1.42814E+000
1,1,15,100.00000E-003,257.29900E-006,1.53169E+000,-201.99760E-003,-256.96400E-009,1.53169E+000
1,1,16,100.00010E-003,256.89400E-006,1.66046E+000,-194.99800E-003,-213.49600E-009,1.66046E+000
1,1,17,100.00010E-003,256.17900E-006,1.83201E+000,-187.99800E-003,-207.84300E-009,1.83201E+000
1,1,18,100.00000E-003,255.89300E-006,2.00648E+000,-180.99820E-003,-178.48700E-009,2.00648E+000
1,1,19,100.00000E-003,255.54800E-006,2.20046E+000,-173.99820E-003,-156.96300E-009,2.20046E+000
1,1,20,100.00000E-003,255.17300E-006,2.31874E+000,-166.87110E-003,-37.90190E-009,2.31874E+000
1,1,21,100.00000E-003,254.61800E-006,2.43872E+000,-159.87420E-003,49.35530E-009,2.43872E+000
1,1,22,100.00000E-003,254.40400E-006,2.54811E+000,-152.99770E-003,128.91800E-009,2.54811E+000
1,1,23,100.00000E-003,254.09900E-006,2.65891E+000,-145.99780E-003,203.28900E-009,2.65891E+000
1,1,24,100.00000E-003,253.88800E-006,2.76252E+000,-138.99780E-003,285.50900E-009,2.76252E+000
1,1,25,100.00000E-003,253.56400E-006,2.86609E+000,-131.99750E-003,358.96600E-009,2.86609E+000
1,1,26,100.00000E-003,253.25200E-006,2.96964E+000,-124.99750E-003,426.95900E-009,2.96964E+000
1,1,27,100.00000E-003,253.21100E-006,3.07427E+000,-117.99740E-003,490.50500E-009,3.07427E+000
1,1,28,100.00000E-003,252.74400E-006,3.20185E+000,-110.99740E-003,526.72400E-009,3.20185E+000
1,1,29,100.00000E-003,252.52100E-006,3.30545E+000,-103.99740E-003,591.67500E-009,3.30545E+000
1,1,30,99.99990E-003,252.24800E-006,3.40903E+000,-96.99750E-003,652.21100E-009,3.40903E+000
1,1,31,100.00000E-003,251.81700E-006,3.51845E+000,-89.99740E-003,698.74600E-009,3.51845E+000
1,1,32,100.00000E-003,251.40300E-006,3.66730E+000,-82.99800E-003,681.89000E-009,3.66730E+000
1,1,33,100.00000E-003,251.00600E-006,3.77675E+000,-75.99750E-003,753.20900E-009,3.77675E+000
1,1,34,100.00000E-003,250.57200E-006,3.88366E+000,-68.99970E-003,814.30000E-009,3.88366E+000
1,1,35,99.99990E-003,250.22800E-006,3.98725E+000,-61.99970E-003,875.40000E-009,3.98725E+000
1,1,36,100.00000E-003,249.87800E-006,4.09082E+000,-54.99980E-003,931.39000E-009,4.09082E+000
1,1,37,100.00000E-003,249.59300E-006,4.20457E+000,-47.99970E-003,972.15000E-009,4.20457E+000
1,1,38,100.00000E-003,249.17600E-006,4.31018E+000,-40.99980E-003,1.02172E-006,4.31018E+000
1,1,39,100.00000E-003,248.82900E-006,4.41376E+000,-33.99970E-003,1.07450E-006,4.41376E+000
1,1,40,100.00000E-003,248.44500E-006,4.51738E+000,-26.99980E-003,1.12416E-006,4.51738E+000
1,1,41,100.00000E-003,248.06700E-006,4.62094E+000,-19.99980E-003,1.17251E-006,4.62094E+000
1,1,42,100.00000E-003,247.80000E-006,4.72499E+000,-12.99980E-003,1.21916E-006,4.72499E+000
1,1,43,100.00000E-003,247.45600E-006,4.82882E+000,-5.99970E-003,1.26523E-006,4.82882E+000
1,1,44,99.99990E-003,246.93900E-006,4.93237E+000,1.00030E-003,1.31152E-006,4.93237E+000
1,1,45,100.00000E-003,246.49100E-006,5.03597E+000,8.00030E-003,1.35680E-006,5.03597E+000
1,1,46,100.00000E-003,245.80300E-006,5.16502E+000,15.00030E-003,1.35408E-006,5.16502E+000
1,1,47,100.00000E-003,245.39500E-006,5.26861E+000,22.00020E-003,1.41757E-006,5.26861E+000
1,1,48,100.00000E-003,245.09200E-006,5.37219E+000,29.00030E-003,1.46981E-006,5.37219E+000
1,1,49,100.00000E-003,244.70800E-006,5.47574E+000,36.00030E-003,1.51981E-006,5.47574E+000
1,1,50,100.00000E-003,244.36700E-006,5.57932E+000,43.00020E-003,1.56753E-006,5.57932E+000
1,1,51,100.00000E-003,243.90700E-006,5.68518E+000,50.00030E-003,1.60990E-006,5.68518E+000
1,1,52,100.00000E-003,243.33500E-006,5.78918E+000,57.00020E-003,1.65709E-006,5.78918E+000
1,1,53,100.00000E-003,242.86600E-006,5.89282E+000,64.00030E-003,1.70365E-006,5.89282E+000
1,1,54,100.00000E-003,242.41000E-006,5.99641E+000,71.00030E-003,1.74957E-006,5.99641E+000
1,1,55,100.00000E-003,242.01500E-006,6.09999E+000,78.00030E-003,1.79476E-006,6.09999E+000
1,1,56,100.00000E-003,241.40400E-006,6.21249E+000,85.00030E-003,1.82860E-006,6.21249E+000
1,1,57,100.00000E-003,240.90800E-006,6.31604E+000,92.00020E-003,1.87531E-006,6.31604E+000
1,1,58,100.00000E-003,240.37300E-006,6.41963E+000,99.00030E-003,1.92045E-006,6.41963E+000
1,1,59,100.00000E-003,240.03200E-006,6.52320E+000,106.00040E-003,1.96555E-006,6.52320E+000
1,1,60,100.00000E-003,239.52800E-006,6.62770E+000,113.00030E-003,2.00950E-006,6.62770E+000
1,1,61,100.00000E-003,239.01400E-006,6.73130E+000,120.00030E-003,2.05503E-006,6.73130E+000
1,1,62,100.00000E-003,238.52400E-006,6.83489E+000,127.00030E-003,2.10028E-006,6.83489E+000
1,1,63,99.99990E-003,237.93800E-006,6.93843E+000,134.00020E-003,2.14485E-006,6.93843E+000
1,1,64,100.00000E-003,237.31400E-006,7.04201E+000,141.00030E-003,2.18884E-006,7.04201E+000
1,1,65,100.00000E-003,236.65400E-006,7.17326E+000,148.00020E-003,2.17740E-006,7.17326E+000
1,1,66,100.00010E-003,236.12400E-006,7.27683E+000,155.00020E-003,2.23812E-006,7.27683E+000
1,1,67,100.00000E-003,235.58200E-006,7.38039E+000,162.00030E-003,2.28883E-006,7.38039E+000
1,1,68,100.00000E-003,235.01300E-006,7.48394E+000,169.00030E-003,2.33684E-006,7.48394E+000
1,1,69,100.00000E-003,234.50400E-006,7.59103E+000,176.00030E-003,2.37612E-006,7.59103E+000
1,1,70,100.00000E-003,233.73000E-006,7.71469E+000,183.00030E-003,2.39650E-006,7.71469E+000
1,1,71,100.00000E-003,233.17500E-006,7.81855E+000,190.00020E-003,2.44654E-006,7.81855E+000
1,1,72,100.00010E-003,232.53800E-006,7.92213E+000,197.00030E-003,2.49446E-006,7.92213E+000
1,1,73,100.00000E-003,231.83300E-006,8.02579E+000,204.00030E-003,2.54094E-006,8.02579E+000
1,1,74,100.00000E-003,231.11400E-006,8.12952E+000,211.00000E-003,2.59173E-006,8.12952E+000
1,1,75,100.00000E-003,230.51900E-006,8.23349E+000,218.00000E-003,2.63594E-006,8.23349E+000
1,1,76,100.00000E-003,229.73400E-006,8.33708E+000,225.00000E-003,2.68094E-006,8.33708E+000
1,1,77,100.00000E-003,229.07200E-006,8.44211E+000,232.00000E-003,2.72206E-006,8.44211E+000
1,1,78,100.00000E-003,228.37600E-006,8.54695E+000,239.00000E-003,2.76533E-006,8.54695E+000
1,1,79,99.99990E-003,227.42900E-006,8.67854E+000,246.00000E-003,2.75117E-006,8.67854E+000
1,1,80,100.00000E-003,226.75300E-006,8.78257E+000,253.00000E-003,2.81127E-006,8.78257E+000
1,1,81,100.00000E-003,225.97600E-006,8.88658E+000,260.00000E-003,2.86239E-006,8.88658E+000
1,1,82,100.00000E-003,225.22400E-006,8.99014E+000,267.00000E-003,2.91136E-006,8.99014E+000
1,1,83,100.00000E-003,224.44500E-006,9.09375E+000,274.00000E-003,2.95962E-006,9.09375E+000
1,1,84,100.00000E-003,223.53700E-006,9.21956E+000,281.00000E-003,2.97292E-006,9.21956E+000
1,1,85,100.00000E-003,222.78800E-006,9.32312E+000,288.00000E-003,3.02636E-006,9.32312E+000
1,1,86,100.00000E-003,222.02200E-006,9.42832E+000,295.00000E-003,3.07427E-006,9.42832E+000
1,1,87,100.00000E-003,221.17300E-006,9.53187E+000,302.00000E-003,3.12464E-006,9.53187E+000
1,1,88,100.00000E-003,220.40100E-006,9.63546E+000,309.00000E-003,3.17389E-006,9.63546E+000
1,1,89,100.00010E-003,219.51400E-006,9.73905E+000,316.00000E-003,3.22375E-006,9.73905E+000
1,1,90,100.00000E-003,218.61300E-006,9.84264E+000,323.00000E-003,3.27342E-006,9.84264E+000
1,1,91,99.99990E-003,217.67700E-006,9.94618E+000,330.00000E-003,3.32289E-006,9.94618E+000
1,1,92,99.99990E-003,216.85100E-006,10.04989E+000,337.00000E-003,3.37237E-006,10.04989E+000
1,1,93,100.00000E-003,215.66900E-006,10.18366E+000,344.00000E-003,3.35717E-006,10.18366E+000
1,1,94,100.00000E-003,214.78500E-006,10.28727E+000,351.00000E-003,3.42357E-006,10.28727E+000
1,1,95,100.00000E-003,213.79200E-006,10.39310E+000,358.00000E-003,3.47451E-006,10.39310E+000
1,1,96,100.00000E-003,213.01500E-006,10.49665E+000,365.00000E-003,3.52876E-006,10.49665E+000
1,1,97,100.00000E-003,212.03300E-006,10.60131E+000,372.00000E-003,3.57938E-006,10.60131E+000
1,1,98,100.00000E-003,210.99500E-006,10.72247E+000,379.00000E-003,3.60257E-006,10.72247E+000
1,1,99,100.00020E-003,210.10800E-006,10.82632E+000,386.00000E-003,3.65633E-006,10.82632E+000
1,1,100,100.00000E-003,209.19100E-006,10.92989E+000,393.00000E-003,3.70911E-006,10.92989E+000
1,1,101,99.99990E-003,208.28100E-006,11.03346E+000,400.00000E-003,3.76014E-006,11.03346E+000
1,1,102,100.00000E-003,207.24000E-006,11.13731E+000,407.00000E-003,3.81006E-006,11.13731E+000
1,1,103,100.00000E-003,206.23600E-006,11.24214E+000,414.00000E-003,3.85736E-006,11.24214E+000
1,1,104,100.00000E-003,205.25000E-006,11.34573E+000,421.00000E-003,3.90541E-006,11.34573E+000
1,1,105,100.00000E-003,204.19100E-006,11.44929E+000,428.00000E-003,3.95291E-006,11.44929E+000
1,1,106,100.00000E-003,203.13000E-006,11.55286E+000,435.00000E-003,3.99998E-006,11.55286E+000
1,1,107,100.00000E-003,201.76400E-006,11.68757E+000,442.00000E-003,3.97659E-006,11.68757E+000
1,1,108,100.00000E-003,200.72600E-006,11.79120E+000,449.00000E-003,4.04059E-006,11.79120E+000
1,1,109,100.00000E-003,199.60000E-006,11.89478E+000,456.00000E-003,4.09364E-006,11.89478E+000
1,1,110,99.99990E-003,198.47000E-006,11.99837E+000,463.00000E-003,4.14463E-006,11.99837E+000
1,1,111,100.00000E-003,197.42300E-006,12.10196E+000,470.00000E-003,4.19505E-006,12.10196E+000
1,1,112,100.00000E-003,196.18600E-006,12.22650E+000,477.00000E-003,4.21177E-006,12.22650E+000
1,1,113,100.00000E-003,195.07400E-006,12.33034E+000,484.00000E-003,4.26723E-006,12.33034E+000
1,1,114,100.00000E-003,193.96500E-006,12.43391E+000,491.00000E-003,4.32284E-006,12.43391E+000
1,1,115,100.00000E-003,192.90400E-006,12.53749E+000,498.00000E-003,4.37880E-006,12.53749E+000
1,1,116,100.00000E-003,191.75600E-006,12.64113E+000,505.00000E-003,4.43647E-006,12.64113E+000
1,1,117,99.99990E-003,190.67200E-006,12.74676E+000,512.00000E-003,4.49325E-006,12.74676E+000
1,1,118,100.00000E-003,189.61400E-006,12.85033E+000,519.00000E-003,4.55615E-006,12.85033E+000
1,1,119,100.00000E-003,188.56900E-006,12.95564E+000,526.00000E-003,4.61762E-006,12.95564E+000
1,1,120,100.00010E-003,187.52800E-006,13.05922E+000,533.00000E-003,4.68716E-006,13.05922E+000
1,1,121,100.00000E-003,186.26000E-006,13.19200E+000,540.00000E-003,4.70093E-006,13.19200E+000
1,1,122,100.00000E-003,185.29500E-006,13.29718E+000,547.00000E-003,4.79226E-006,13.29718E+000
1,1,123,100.00000E-003,184.29500E-006,13.40101E+000,554.00000E-003,4.87964E-006,13.40101E+000
1,1,124,100.00000E-003,183.33100E-006,13.50458E+000,561.00000E-003,4.96798E-006,13.50458E+000
1,1,125,100.00000E-003,182.36600E-006,13.60818E+000,568.00000E-003,5.05902E-006,13.60818E+000
1,1,126,100.00000E-003,181.38900E-006,13.73329E+000,575.00000E-003,5.12662E-006,13.73329E+000
1,1,127,100.00000E-003,180.50900E-006,13.83685E+000,582.00000E-003,5.22961E-006,13.83685E+000
1,1,128,100.00010E-003,179.71900E-006,13.94050E+000,589.00000E-003,5.33454E-006,13.94050E+000
1,1,129,100.00000E-003,178.86200E-006,14.04587E+000,596.00000E-003,5.43959E-006,14.04587E+000
1,1,130,100.00000E-003,178.06600E-006,14.15287E+000,603.00000E-003,5.54622E-006,14.15287E+000
1,1,131,100.00000E-003,177.32200E-006,14.25656E+000,610.00000E-003,5.66393E-006,14.25656E+000
1,1,132,100.00000E-003,176.62000E-006,14.36012E+000,617.00000E-003,5.78427E-006,14.36012E+000
1,1,133,99.99990E-003,175.93600E-006,14.46450E+000,624.00000E-003,5.90598E-006,14.46450E+000
1,1,134,100.00000E-003,175.30200E-006,14.56803E+000,631.00000E-003,6.03334E-006,14.56803E+000
1,1,135,100.00000E-003,174.64500E-006,14.69520E+000,638.00000E-003,6.12538E-006,14.69520E+000
1,1,136,100.00000E-003,174.06800E-006,14.79885E+000,645.00000E-003,6.27384E-006,14.79885E+000
1,1,137,100.00000E-003,173.44000E-006,14.90242E+000,652.00000E-003,6.41620E-006,14.90242E+000
1,1,138,100.00000E-003,173.00000E-006,15.00598E+000,659.00000E-003,6.55918E-006,15.00598E+000
1,1,139,99.99990E-003,172.51300E-006,15.10956E+000,666.00000E-003,6.70444E-006,15.10956E+000
1,1,140,100.00000E-003,172.02300E-006,15.23413E+000,673.00000E-003,6.83187E-006,15.23413E+000
1,1,141,100.00000E-003,171.60700E-006,15.33800E+000,680.00000E-003,6.98645E-006,15.33800E+000
1,1,142,100.00000E-003,171.23700E-006,15.44152E+000,687.00000E-003,7.14139E-006,15.44152E+000
1,1,143,99.99990E-003,170.94200E-006,15.54509E+000,694.00000E-003,7.29810E-006,15.54509E+000
1,1,144,99.99990E-003,170.62200E-006,15.64865E+000,701.00000E-003,7.45698E-006,15.64865E+000
