Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00020E-003,18.25820E-006,68.33900E-003,-300.00200E-003,-28.56720E-006,68.33900E-003
1,1,2,99.99990E-003,17.96540E-006,172.38700E-003,-292.99900E-003,-26.44910E-006,172.38700E-003
1,1,3,99.99980E-003,17.72100E-006,276.38800E-003,-285.99900E-003,-24.88860E-006,276.38800E-003
1,1,4,99.99980E-003,17.49670E-006,380.29600E-003,-278.99900E-003,-23.52730E-006,380.29600E-003
1,1,5,99.99970E-003,17.27670E-006,483.86700E-003,-271.99900E-003,-22.29770E-006,483.86700E-003
1,1,6,99.99970E-003,17.07220E-006,587.45800E-003,-264.99900E-003,-21.16130E-006,587.45800E-003
1,1,7,99.99980E-003,16.87630E-006,699.60100E-003,-257.99900E-003,-20.12650E-006,699.60100E-003
1,1,8,99.99980E-003,16.68230E-006,803.18500E-003,-250.99900E-003,-19.11670E-006,803.18500E-003
1,1,9,99.99980E-003,16.49450E-006,907.28400E-003,-243.99900E-003,-18.16870E-006,907.28400E-003
1,1,10,99.99990E-003,16.30710E-006,1.01083E+000,-236.99900E-003,-17.26630E-006,1.01083E+000
1,1,11,99.99980E-003,16.12570E-006,1.11442E+000,-229.99900E-003,-16.40260E-006,1.11442E+000
1,1,12,99.99980E-003,15.94910E-006,1.21949E+000,-222.99900E-003,-15.58060E-006,1.21949E+000
1,1,13,99.99990E-003,15.77570E-006,1.32308E+000,-215.99900E-003,-14.78190E-006,1.32308E+000
1,1,14,99.99980E-003,15.60740E-006,1.42667E+000,-208.99840E-003,-14.03960E-006,1.42667E+000
1,1,15,99.99980E-003,15.43820E-006,1.53025E+000,-201.99820E-003,-13.28760E-006,1.53025E+000
1,1,16,99.99990E-003,15.30640E-006,1.67156E+000,-194.99910E-003,-12.90910E-006,1.67156E+000
1,1,17,99.99990E-003,15.12030E-006,1.77521E+000,-187.99860E-003,-11.99320E-006,1.77521E+000
1,1,18,99.99980E-003,14.94650E-006,1.87878E+000,-180.99850E-003,-11.24440E-006,1.87878E+000
1,1,19,99.99980E-003,14.77910E-006,1.98242E+000,-173.99850E-003,-10.54570E-006,1.98242E+000
1,1,20,99.99980E-003,14.61390E-006,2.08610E+000,-166.99840E-003,-9.87430E-006,2.08610E+000
1,1,21,99.99980E-003,14.46250E-006,2.20620E+000,-159.99850E-003,-9.30368E-006,2.20620E+000
1,1,22,99.99980E-003,14.29380E-006,2.30998E+000,-152.99840E-003,-8.62509E-006,2.30998E+000
1,1,23,99.99980E-003,14.13520E-006,2.41356E+000,-145.99840E-003,-7.99318E-006,2.41356E+000
1,1,24,99.99980E-003,13.96990E-006,2.51739E+000,-138.99840E-003,-7.38155E-006,2.51739E+000
1,1,25,99.99980E-003,13.80660E-006,2.62096E+000,-131.99850E-003,-6.78879E-006,2.62096E+000
1,1,26,99.99980E-003,13.64660E-006,2.72456E+000,-124.99860E-003,-6.21599E-006,2.72456E+000
1,1,27,99.99980E-003,13.48470E-006,2.82812E+000,-117.99850E-003,-5.65807E-006,2.82812E+000
1,1,28,99.99980E-003,13.32090E-006,2.93171E+000,-110.99850E-003,-5.11880E-006,2.93171E+000
1,1,29,99.99980E-003,13.15910E-006,3.03525E+000,-103.99840E-003,-4.59601E-006,3.03525E+000
1,1,30,99.99990E-003,13.01830E-006,3.16384E+000,-96.99880E-003,-4.32095E-006,3.16384E+000
1,1,31,99.99990E-003,12.84070E-006,3.26742E+000,-89.99850E-003,-3.69827E-006,3.26742E+000
1,1,32,99.99980E-003,12.67020E-006,3.37103E+000,-82.99860E-003,-3.19295E-006,3.37103E+000
1,1,33,99.99990E-003,12.50130E-006,3.47462E+000,-75.99850E-003,-2.72251E-006,3.47462E+000
1,1,34,99.99980E-003,12.33170E-006,3.57844E+000,-68.99860E-003,-2.28008E-006,3.57844E+000
