Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,362.14400E-006,63.99700E-003,-300.00200E-003,-10.47310E-006,63.99700E-003
1,1,2,100.00000E-003,362.53900E-006,172.21600E-003,-292.99900E-003,-8.77989E-006,172.21600E-003
1,1,3,100.00000E-003,362.14300E-006,276.07600E-003,-285.99900E-003,-7.60257E-006,276.07600E-003
1,1,4,100.00000E-003,361.86300E-006,379.64600E-003,-278.99900E-003,-6.66457E-006,379.64600E-003
1,1,5,100.00000E-003,361.75300E-006,483.20200E-003,-271.99900E-003,-5.86536E-006,483.20200E-003
1,1,6,100.00000E-003,361.55400E-006,586.77200E-003,-264.99800E-003,-5.16418E-006,586.77200E-003
1,1,7,100.00000E-003,361.12800E-006,698.86600E-003,-257.99900E-003,-4.58102E-006,698.86600E-003
1,1,8,99.99990E-003,361.19900E-006,802.45100E-003,-250.99800E-003,-3.99529E-006,802.45100E-003
1,1,9,100.00000E-003,361.77400E-006,906.04100E-003,-243.99800E-003,-3.46669E-006,906.04100E-003
1,1,10,100.00000E-003,361.24200E-006,1.00962E+000,-236.99800E-003,-2.99837E-006,1.00962E+000
1,1,11,99.99990E-003,361.86200E-006,1.11318E+000,-229.99800E-003,-2.56832E-006,1.11318E+000
1,1,12,100.00000E-003,361.47300E-006,1.21677E+000,-222.99800E-003,-2.17085E-006,1.21677E+000
1,1,13,100.00000E-003,360.88800E-006,1.32035E+000,-215.99800E-003,-1.81791E-006,1.32035E+000
1,1,14,100.00000E-003,360.91100E-006,1.42395E+000,-208.99790E-003,-1.51508E-006,1.42395E+000
1,1,15,100.00000E-003,360.31900E-006,1.58204E+000,-201.99950E-003,-1.93386E-006,1.58204E+000
1,1,16,100.00000E-003,360.11600E-006,1.75312E+000,-194.99990E-003,-1.89569E-006,1.75312E+000
1,1,17,100.00000E-003,360.14200E-006,1.91182E+000,-187.99840E-003,-1.65699E-006,1.91182E+000
1,1,18,100.00000E-003,360.46100E-006,2.07039E+000,-180.99740E-003,-1.41946E-006,2.07039E+000
1,1,19,100.00000E-003,360.30600E-006,2.29786E+000,-174.00440E-003,-2.04428E-006,2.29786E+000
1,1,20,100.00000E-003,360.79600E-006,2.45612E+000,-166.99760E-003,-1.19578E-006,2.45612E+000
1,1,21,99.99990E-003,359.86100E-006,2.71154E+000,-160.00310E-003,-1.65535E-006,2.71154E+000
1,1,22,99.99990E-003,359.58500E-006,2.93744E+000,-152.99910E-003,-1.30304E-006,2.93744E+000
1,1,23,100.00000E-003,361.07300E-006,3.16348E+000,-145.99810E-003,-1.03220E-006,3.16348E+000
1,1,24,100.00000E-003,360.67500E-006,3.33776E+000,-138.97780E-003,-756.87300E-009,3.33776E+000
1,1,25,100.00000E-003,359.74800E-006,3.46262E+000,-131.82830E-003,29.66480E-009,3.46262E+000
1,1,26,100.00000E-003,359.09000E-006,3.57203E+000,-124.98660E-003,352.55300E-009,3.57203E+000
1,1,27,100.00010E-003,357.99900E-006,3.68088E+000,-117.99820E-003,608.38000E-009,3.68088E+000
1,1,28,100.00000E-003,358.92600E-006,3.78778E+000,-110.99810E-003,829.92000E-009,3.78778E+000
1,1,29,99.99990E-003,358.38400E-006,3.89474E+000,-103.99810E-003,1.02412E-006,3.89474E+000
1,1,30,100.00000E-003,357.74900E-006,4.00163E+000,-96.99820E-003,1.18403E-006,4.00163E+000
1,1,31,100.00000E-003,357.32000E-006,4.11236E+000,-89.99840E-003,1.27088E-006,4.11236E+000
1,1,32,100.00000E-003,356.69200E-006,4.21965E+000,-82.99820E-003,1.42929E-006,4.21965E+000
1,1,33,100.00000E-003,355.86200E-006,4.32655E+000,-75.99810E-003,1.54846E-006,4.32655E+000
1,1,34,100.00000E-003,355.40200E-006,4.43344E+000,-68.99800E-003,1.65215E-006,4.43344E+000
1,1,35,100.00000E-003,355.27500E-006,4.54032E+000,-61.99810E-003,1.74241E-006,4.54032E+000
1,1,36,100.00000E-003,354.95600E-006,4.66905E+000,-54.99860E-003,1.57444E-006,4.66905E+000
1,1,37,100.00000E-003,354.57300E-006,4.77663E+000,-47.99820E-003,1.79442E-006,4.77663E+000
1,1,38,100.00000E-003,353.20500E-006,4.88348E+000,-40.99810E-003,1.90991E-006,4.88348E+000
1,1,39,99.99990E-003,352.53500E-006,4.99037E+000,-33.99800E-003,1.98837E-006,4.99037E+000
1,1,40,100.00000E-003,351.78200E-006,5.09727E+000,-26.99790E-003,2.05852E-006,5.09727E+000
1,1,41,100.00000E-003,351.09800E-006,5.21365E+000,-19.99790E-003,2.07742E-006,5.21365E+000
1,1,42,100.00000E-003,350.16400E-006,5.32072E+000,-12.99800E-003,2.15161E-006,5.32072E+000
1,1,43,100.00000E-003,348.85900E-006,5.42760E+000,-5.99800E-003,2.21479E-006,5.42760E+000
1,1,44,100.00000E-003,347.43800E-006,5.53450E+000,1.00190E-003,2.27352E-006,5.53450E+000
1,1,45,100.00000E-003,346.38200E-006,5.67439E+000,8.00120E-003,1.98431E-006,5.67439E+000
1,1,46,100.00000E-003,344.94200E-006,5.78613E+000,15.00150E-003,2.17680E-006,5.78613E+000
1,1,47,100.00000E-003,343.53200E-006,5.89305E+000,22.00180E-003,2.31287E-006,5.89305E+000
1,1,48,100.00010E-003,342.38700E-006,6.00011E+000,29.00190E-003,2.39026E-006,6.00011E+000
1,1,49,100.00000E-003,340.83700E-006,6.10702E+000,36.00180E-003,2.45460E-006,6.10702E+000
1,1,50,100.00000E-003,339.56300E-006,6.22687E+000,43.00180E-003,2.46144E-006,6.22687E+000
1,1,51,100.00000E-003,338.22800E-006,6.33380E+000,50.00190E-003,2.55668E-006,6.33380E+000
1,1,52,100.00000E-003,336.62400E-006,6.44087E+000,57.00180E-003,2.65421E-006,6.44087E+000
1,1,53,100.00000E-003,334.82500E-006,6.54803E+000,64.00180E-003,2.73357E-006,6.54803E+000
1,1,54,100.00000E-003,333.28100E-006,6.68385E+000,71.00130E-003,2.50833E-006,6.68385E+000
1,1,55,100.00000E-003,331.69800E-006,6.79272E+000,78.00160E-003,2.64074E-006,6.79272E+000
1,1,56,100.00000E-003,329.89800E-006,6.89959E+000,85.00180E-003,2.75718E-006,6.89959E+000
1,1,57,100.00000E-003,327.76000E-006,7.00645E+000,92.00210E-003,2.82462E-006,7.00645E+000
1,1,58,100.00000E-003,325.46100E-006,7.11334E+000,99.00190E-003,2.87543E-006,7.11334E+000
1,1,59,100.00000E-003,322.55800E-006,7.22575E+000,106.00180E-003,2.91392E-006,7.22575E+000
1,1,60,100.00000E-003,319.96800E-006,7.33275E+000,113.00180E-003,2.98080E-006,7.33275E+000
1,1,61,100.00000E-003,317.16400E-006,7.43961E+000,120.00180E-003,3.04524E-006,7.43961E+000
1,1,62,100.00000E-003,314.44700E-006,7.54694E+000,127.00180E-003,3.10283E-006,7.54694E+000
1,1,63,100.00000E-003,311.23500E-006,7.67970E+000,134.00110E-003,2.92522E-006,7.67970E+000
1,1,64,100.00000E-003,308.06000E-006,7.78663E+000,141.00170E-003,3.12824E-006,7.78663E+000
1,1,65,100.00000E-003,304.80700E-006,7.89351E+000,148.00180E-003,3.23862E-006,7.89351E+000
1,1,66,100.00000E-003,301.30200E-006,8.00039E+000,155.00120E-003,3.59479E-006,8.00039E+000
