Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99990E-003,272.74400E-006,64.17400E-003,-300.00100E-003,-4.00393E-006,64.17400E-003
1,1,2,100.00000E-003,272.32600E-006,168.13200E-003,-293.00000E-003,-3.26817E-006,168.13200E-003
1,1,3,100.00000E-003,271.76200E-006,273.44800E-003,-286.00000E-003,-2.76643E-006,273.44800E-003
1,1,4,100.00000E-003,271.24200E-006,377.20900E-003,-279.00000E-003,-2.35102E-006,377.20900E-003
1,1,5,100.00000E-003,270.48400E-006,480.77800E-003,-272.00000E-003,-2.00181E-006,480.77800E-003
1,1,6,100.00000E-003,269.87200E-006,584.34800E-003,-265.00000E-003,-1.70168E-006,584.34800E-003
1,1,7,100.00000E-003,269.07200E-006,696.55900E-003,-258.00000E-003,-1.44363E-006,696.55900E-003
1,1,8,100.00000E-003,268.30700E-006,800.11900E-003,-251.00000E-003,-1.20316E-006,800.11900E-003
1,1,9,100.00000E-003,267.63400E-006,958.17800E-003,-243.99900E-003,-1.14691E-006,958.17800E-003
1,1,10,100.00000E-003,266.85400E-006,1.06448E+000,-236.99300E-003,-868.63500E-009,1.06448E+000
1,1,11,100.00000E-003,266.01100E-006,1.17411E+000,-229.99400E-003,-678.79100E-009,1.17411E+000
1,1,12,100.00000E-003,265.09000E-006,1.28365E+000,-222.99300E-003,-510.52200E-009,1.28365E+000
1,1,13,100.00000E-003,264.10200E-006,1.51458E+000,-215.99900E-003,-659.23000E-009,1.51458E+000
1,1,14,99.99990E-003,263.26000E-006,1.77336E+000,-208.99910E-003,-622.82000E-009,1.77336E+000
1,1,15,99.99990E-003,262.22500E-006,1.94985E+000,-201.98470E-003,-491.09300E-009,1.94985E+000
1,1,16,100.00000E-003,261.22600E-006,2.16449E+000,-195.00030E-003,-373.34200E-009,2.16449E+000
1,1,17,100.00000E-003,260.12500E-006,2.28665E+000,-187.78510E-003,-22.39560E-009,2.28665E+000
1,1,18,100.00000E-003,259.10400E-006,2.39606E+000,-180.99330E-003,117.48400E-009,2.39606E+000
