Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,37.63820E-006,67.75900E-003,-300.00100E-003,-2.54587E-006,67.75900E-003
1,1,2,100.00000E-003,37.53370E-006,171.76600E-003,-293.00000E-003,-1.86962E-006,171.76600E-003
1,1,3,99.99990E-003,37.46940E-006,275.35700E-003,-286.00000E-003,-1.44532E-006,275.35700E-003
1,1,4,100.00000E-003,37.40900E-006,378.94900E-003,-279.00000E-003,-1.11470E-006,378.94900E-003
1,1,5,99.99990E-003,37.33710E-006,485.29200E-003,-271.99300E-003,-862.30200E-009,485.29200E-003
1,1,6,100.00000E-003,37.26430E-006,594.72900E-003,-264.99300E-003,-643.57700E-009,594.72900E-003
1,1,7,99.99990E-003,37.21400E-006,706.86900E-003,-257.99300E-003,-449.19700E-009,706.86900E-003
1,1,8,99.99970E-003,37.18240E-006,881.39700E-003,-250.98800E-003,-570.25700E-009,881.39700E-003
1,1,9,99.99980E-003,37.11390E-006,1.05712E+000,-243.98500E-003,-421.17700E-009,1.05712E+000
1,1,10,99.99970E-003,37.01900E-006,1.23660E+000,-236.98500E-003,-272.74800E-009,1.23660E+000
1,1,11,99.99990E-003,36.97560E-006,1.34608E+000,-229.99300E-003,30.41200E-009,1.34608E+000
1,1,12,99.99990E-003,36.89680E-006,1.45550E+000,-222.99300E-003,206.39000E-009,1.45550E+000
1,1,13,99.99990E-003,36.83060E-006,1.56493E+000,-215.99200E-003,338.85100E-009,1.56493E+000
1,1,14,99.99990E-003,36.74980E-006,1.67491E+000,-208.99180E-003,437.89900E-009,1.67491E+000
1,1,15,100.00000E-003,36.67510E-006,1.78717E+000,-201.99190E-003,524.28900E-009,1.78717E+000
1,1,16,99.99990E-003,36.60790E-006,1.89699E+000,-194.99150E-003,621.66400E-009,1.89699E+000
1,1,17,100.00000E-003,36.53560E-006,2.00429E+000,-187.99920E-003,705.53000E-009,2.00429E+000
1,1,18,99.99990E-003,36.46760E-006,2.11125E+000,-180.99920E-003,774.62000E-009,2.11125E+000
1,1,19,99.99990E-003,36.38800E-006,2.21999E+000,-173.99910E-003,850.91000E-009,2.21999E+000
1,1,20,100.00000E-003,36.30190E-006,2.32392E+000,-166.99910E-003,920.92000E-009,2.32392E+000
1,1,21,99.99990E-003,36.23710E-006,2.42750E+000,-159.99910E-003,981.08000E-009,2.42750E+000
1,1,22,99.99990E-003,36.14870E-006,2.53285E+000,-152.99910E-003,1.03001E-006,2.53285E+000
1,1,23,99.99990E-003,36.08010E-006,2.66925E+000,-145.99940E-003,907.18000E-009,2.66925E+000
1,1,24,99.99990E-003,35.99990E-006,2.77288E+000,-138.99910E-003,1.05117E-006,2.77288E+000
1,1,25,99.99990E-003,35.90250E-006,2.87732E+000,-131.99910E-003,1.11627E-006,2.87732E+000
1,1,26,99.99990E-003,35.83220E-006,2.98116E+000,-124.99910E-003,1.16214E-006,2.98116E+000
1,1,27,100.00000E-003,35.74240E-006,3.08478E+000,-117.99910E-003,1.20104E-006,3.08478E+000
1,1,28,100.00000E-003,35.64210E-006,3.20727E+000,-110.99910E-003,1.19169E-006,3.20727E+000
1,1,29,99.99990E-003,35.53930E-006,3.31087E+000,-103.99910E-003,1.23643E-006,3.31087E+000
1,1,30,100.00000E-003,35.46110E-006,3.41442E+000,-96.99920E-003,1.26974E-006,3.41442E+000
1,1,31,99.99990E-003,35.36950E-006,3.51801E+000,-89.99920E-003,1.29657E-006,3.51801E+000
1,1,32,100.00000E-003,35.26830E-006,3.62153E+000,-82.99910E-003,1.32007E-006,3.62153E+000
1,1,33,100.00000E-003,35.15720E-006,3.72515E+000,-75.99910E-003,1.34043E-006,3.72515E+000
1,1,34,99.99990E-003,35.05420E-006,3.82873E+000,-68.99920E-003,1.35841E-006,3.82873E+000
1,1,35,100.00000E-003,34.95820E-006,3.93232E+000,-61.99920E-003,1.37399E-006,3.93232E+000
1,1,36,99.99990E-003,34.85170E-006,4.03589E+000,-54.99920E-003,1.38863E-006,4.03589E+000
1,1,37,100.00000E-003,34.75650E-006,4.16698E+000,-47.99940E-003,1.26253E-006,4.16698E+000
1,1,38,99.99990E-003,34.64330E-006,4.27060E+000,-40.99920E-003,1.35233E-006,4.27060E+000
1,1,39,100.00000E-003,34.53070E-006,4.37438E+000,-33.99920E-003,1.38216E-006,4.37438E+000
1,1,40,99.99990E-003,34.42310E-006,4.47796E+000,-26.99920E-003,1.40287E-006,4.47796E+000
1,1,41,99.99990E-003,34.31940E-006,4.58155E+000,-19.99920E-003,1.41881E-006,4.58155E+000
1,1,42,99.99990E-003,34.20050E-006,4.68537E+000,-12.99920E-003,1.43206E-006,4.68537E+000
1,1,43,99.99990E-003,34.09000E-006,4.78893E+000,-5.99920E-003,1.44576E-006,4.78893E+000
1,1,44,99.99990E-003,33.98350E-006,4.89252E+000,1.00080E-003,1.45564E-006,4.89252E+000
1,1,45,100.00000E-003,33.85400E-006,4.99612E+000,8.00080E-003,1.46601E-006,4.99612E+000
1,1,46,99.99990E-003,33.75070E-006,5.09964E+000,15.00080E-003,1.47704E-006,5.09964E+000
1,1,47,100.00000E-003,33.61930E-006,5.21174E+000,22.00070E-003,1.46808E-006,5.21174E+000
1,1,48,99.99990E-003,33.49180E-006,5.31533E+000,29.00070E-003,1.48426E-006,5.31533E+000
1,1,49,99.99990E-003,33.36840E-006,5.41891E+000,36.00080E-003,1.49829E-006,5.41891E+000
1,1,50,99.99990E-003,33.24370E-006,5.52384E+000,43.00070E-003,1.50410E-006,5.52384E+000
1,1,51,100.00000E-003,33.10680E-006,5.62739E+000,50.00070E-003,1.52132E-006,5.62739E+000
1,1,52,100.00000E-003,32.97590E-006,5.73101E+000,57.00070E-003,1.53445E-006,5.73101E+000
1,1,53,100.00000E-003,32.82970E-006,5.83456E+000,64.00070E-003,1.54813E-006,5.83456E+000
1,1,54,100.00000E-003,32.69890E-006,5.93816E+000,71.00070E-003,1.56215E-006,5.93816E+000
1,1,55,100.00000E-003,32.54980E-006,6.04173E+000,78.00070E-003,1.57370E-006,6.04173E+000
1,1,56,100.00000E-003,32.42090E-006,6.17680E+000,85.00050E-003,1.45020E-006,6.17680E+000
1,1,57,100.00000E-003,32.27280E-006,6.28042E+000,92.00070E-003,1.53182E-006,6.28042E+000
1,1,58,99.99990E-003,32.12470E-006,6.38401E+000,99.00070E-003,1.56326E-006,6.38401E+000
1,1,59,100.00000E-003,31.98740E-006,6.48770E+000,106.00070E-003,1.58519E-006,6.48770E+000
1,1,60,100.00000E-003,31.84140E-006,6.59304E+000,113.00060E-003,1.59604E-006,6.59304E+000
1,1,61,99.99990E-003,31.68690E-006,6.71690E+000,120.00070E-003,1.57731E-006,6.71690E+000
1,1,62,100.00000E-003,31.52770E-006,6.82045E+000,127.00070E-003,1.60757E-006,6.82045E+000
1,1,63,100.00000E-003,31.37010E-006,6.92419E+000,134.00070E-003,1.63148E-006,6.92419E+000
1,1,64,100.00000E-003,31.20240E-006,7.02778E+000,141.00070E-003,1.65392E-006,7.02778E+000
1,1,65,100.00000E-003,31.03890E-006,7.13136E+000,148.00060E-003,1.67524E-006,7.13136E+000
1,1,66,99.99990E-003,30.87410E-006,7.23498E+000,155.00060E-003,1.69597E-006,7.23498E+000
1,1,67,99.99980E-003,30.70140E-006,7.33855E+000,162.00060E-003,1.71800E-006,7.33855E+000
1,1,68,99.99990E-003,30.53980E-006,7.44215E+000,169.00070E-003,1.74068E-006,7.44215E+000
1,1,69,100.00000E-003,30.36540E-006,7.54573E+000,176.00060E-003,1.76357E-006,7.54573E+000
1,1,70,100.00000E-003,30.19050E-006,7.67605E+000,183.00040E-003,1.68070E-006,7.67605E+000
1,1,71,100.00000E-003,30.02780E-006,7.77967E+000,190.00060E-003,1.75989E-006,7.77967E+000
1,1,72,100.00000E-003,29.82790E-006,7.88328E+000,197.00060E-003,1.80291E-006,7.88328E+000
1,1,73,100.00000E-003,29.65100E-006,7.98688E+000,204.00060E-003,1.84210E-006,7.98688E+000
1,1,74,100.00000E-003,29.46750E-006,8.09049E+000,211.00100E-003,1.88982E-006,8.09049E+000
1,1,75,100.00000E-003,29.28090E-006,8.19416E+000,218.00000E-003,1.92629E-006,8.19416E+000
1,1,76,100.00000E-003,29.09450E-006,8.29777E+000,225.00000E-003,1.96889E-006,8.29777E+000
1,1,77,99.99990E-003,28.89040E-006,8.40133E+000,232.00100E-003,2.01391E-006,8.40133E+000
1,1,78,99.99990E-003,28.71790E-006,8.50491E+000,239.00000E-003,2.06263E-006,8.50491E+000
1,1,79,100.00000E-003,28.51960E-006,8.60849E+000,246.00000E-003,2.11463E-006,8.60849E+000
1,1,80,100.00000E-003,28.32870E-006,8.72152E+000,253.00100E-003,2.15305E-006,8.72152E+000
1,1,81,100.00000E-003,28.12750E-006,8.82511E+000,260.00000E-003,2.21955E-006,8.82511E+000
1,1,82,100.00010E-003,27.92660E-006,8.92871E+000,267.00000E-003,2.28795E-006,8.92871E+000
1,1,83,99.99990E-003,27.72220E-006,9.03230E+000,274.00000E-003,2.36103E-006,9.03230E+000
1,1,84,100.00000E-003,27.52700E-006,9.13586E+000,281.00000E-003,2.43996E-006,9.13586E+000
1,1,85,100.00000E-003,27.30550E-006,9.23947E+000,288.00000E-003,2.52376E-006,9.23947E+000
1,1,86,100.00000E-003,27.09370E-006,9.34461E+000,295.00000E-003,2.60773E-006,9.34461E+000
1,1,87,100.00000E-003,26.89330E-006,9.44819E+000,302.00000E-003,2.70875E-006,9.44819E+000
1,1,88,100.00000E-003,26.67690E-006,9.55204E+000,309.00000E-003,2.81409E-006,9.55204E+000
1,1,89,99.99990E-003,26.46890E-006,9.72156E+000,316.00000E-003,2.74824E-006,9.72156E+000
1,1,90,100.00000E-003,26.26040E-006,9.82517E+000,323.00000E-003,2.95338E-006,9.82517E+000
1,1,91,99.99990E-003,26.06080E-006,9.92871E+000,330.00000E-003,3.10954E-006,9.92871E+000
1,1,92,100.00000E-003,25.84490E-006,10.03230E+000,337.00000E-003,3.26489E-006,10.03230E+000
1,1,93,100.00010E-003,25.62910E-006,10.13593E+000,344.00000E-003,3.42608E-006,10.13593E+000
1,1,94,99.99990E-003,25.41600E-006,10.23987E+000,351.00000E-003,3.59662E-006,10.23987E+000
1,1,95,100.00000E-003,25.20430E-006,10.34629E+000,358.00000E-003,3.76684E-006,10.34629E+000
1,1,96,100.00000E-003,25.01530E-006,10.44987E+000,365.00000E-003,3.96498E-006,10.44987E+000
1,1,97,100.00000E-003,24.78410E-006,10.55345E+000,372.00000E-003,4.17021E-006,10.55345E+000
1,1,98,100.00000E-003,24.57450E-006,10.68507E+000,379.00000E-003,4.31147E-006,10.68507E+000
1,1,99,99.99990E-003,24.38380E-006,10.79089E+000,386.00000E-003,4.57923E-006,10.79089E+000
1,1,100,99.99990E-003,24.20340E-006,10.89449E+000,393.00000E-003,4.83879E-006,10.89449E+000
1,1,101,100.00000E-003,24.00680E-006,10.99809E+000,400.00000E-003,5.10618E-006,10.99809E+000
1,1,102,99.99990E-003,23.81460E-006,11.10168E+000,407.00000E-003,5.38801E-006,11.10168E+000
1,1,103,100.00000E-003,23.63060E-006,11.22888E+000,414.00000E-003,5.66213E-006,11.22888E+000
1,1,104,100.00000E-003,23.44360E-006,11.33246E+000,421.00000E-003,5.98414E-006,11.33246E+000
1,1,105,100.00000E-003,23.26650E-006,11.43934E+000,428.00000E-003,6.32017E-006,11.43934E+000
1,1,106,100.00000E-003,23.09710E-006,11.54626E+000,435.00000E-003,6.67257E-006,11.54626E+000
1,1,107,100.00000E-003,22.93570E-006,11.68807E+000,442.00000E-003,6.96977E-006,11.68807E+000
1,1,108,99.99990E-003,22.77360E-006,11.79498E+000,449.00000E-003,7.40610E-006,11.79498E+000
1,1,109,99.99990E-003,22.62020E-006,11.90420E+000,456.00000E-003,7.81515E-006,11.90420E+000
1,1,110,100.00000E-003,22.47980E-006,12.01344E+000,463.00000E-003,8.24514E-006,12.01344E+000
1,1,111,99.99990E-003,22.33990E-006,12.12041E+000,470.00000E-003,8.70370E-006,12.12041E+000
1,1,112,99.99990E-003,22.21540E-006,12.23278E+000,477.00000E-003,9.15940E-006,12.23278E+000
1,1,113,100.00000E-003,22.10600E-006,12.33638E+000,484.00000E-003,9.64670E-006,12.33638E+000
1,1,114,99.99990E-003,21.98990E-006,12.43997E+000,491.00000E-003,10.14910E-006,12.43997E+000
1,1,115,99.99990E-003,21.89280E-006,12.54356E+000,498.00000E-003,10.66680E-006,12.54356E+000
1,1,116,100.00000E-003,21.79460E-006,12.64894E+000,505.00000E-003,11.19640E-006,12.64894E+000
1,1,117,99.99990E-003,21.70480E-006,12.75424E+000,512.00000E-003,11.74340E-006,12.75424E+000
1,1,118,100.00000E-003,21.62780E-006,12.85784E+000,519.00000E-003,12.30820E-006,12.85784E+000
1,1,119,100.00000E-003,21.55920E-006,12.96168E+000,526.00000E-003,12.88470E-006,12.96168E+000
1,1,120,100.00000E-003,21.50450E-006,13.06526E+000,533.00000E-003,13.47510E-006,13.06526E+000
1,1,121,100.00000E-003,21.45570E-006,13.19799E+000,540.00000E-003,14.03460E-006,13.19799E+000
1,1,122,99.99990E-003,21.39510E-006,13.30212E+000,547.00000E-003,14.67510E-006,13.30212E+000
1,1,123,99.99990E-003,21.36300E-006,13.40571E+000,554.00000E-003,15.30570E-006,13.40571E+000
1,1,124,100.00000E-003,21.32460E-006,13.50930E+000,561.00000E-003,15.94400E-006,13.50930E+000
1,1,125,100.00000E-003,21.30070E-006,13.61290E+000,568.00000E-003,16.59180E-006,13.61290E+000
1,1,126,100.00000E-003,21.28800E-006,13.73898E+000,575.00000E-003,17.23420E-006,13.73898E+000
1,1,127,100.00000E-003,21.27710E-006,13.84256E+000,582.00000E-003,17.90320E-006,13.84256E+000
1,1,128,100.00000E-003,21.27630E-006,13.94627E+000,589.00000E-003,18.57750E-006,13.94627E+000
1,1,129,100.00010E-003,21.28430E-006,14.04987E+000,596.00000E-003,19.26100E-006,14.04987E+000
1,1,130,100.00000E-003,21.29640E-006,14.15343E+000,603.00000E-003,19.95160E-006,14.15343E+000
1,1,131,99.99990E-003,21.30800E-006,14.25913E+000,610.00000E-003,20.64690E-006,14.25913E+000
1,1,132,100.00000E-003,21.32710E-006,14.36270E+000,617.00000E-003,21.35250E-006,14.36270E+000
1,1,133,100.00000E-003,21.33790E-006,14.46651E+000,624.00000E-003,22.06320E-006,14.46651E+000
1,1,134,100.00000E-003,21.36020E-006,14.57010E+000,631.00000E-003,22.78280E-006,14.57010E+000
1,1,135,99.99990E-003,21.40420E-006,14.70224E+000,638.00000E-003,23.45430E-006,14.70224E+000
1,1,136,100.00000E-003,21.43380E-006,14.80592E+000,645.00000E-003,24.20660E-006,14.80592E+000
1,1,137,100.00000E-003,21.48280E-006,14.90955E+000,652.00000E-003,24.94860E-006,14.90955E+000
1,1,138,99.99990E-003,21.53380E-006,15.01313E+000,659.00000E-003,25.69570E-006,15.01313E+000
1,1,139,99.99990E-003,21.56570E-006,15.11835E+000,666.00000E-003,26.44380E-006,15.11835E+000
1,1,140,99.99990E-003,21.61390E-006,15.24116E+000,673.00000E-003,27.17620E-006,15.24116E+000
1,1,141,99.99990E-003,21.65010E-006,15.34475E+000,680.00000E-003,27.94280E-006,15.34475E+000
1,1,142,100.00000E-003,21.70620E-006,15.44833E+000,687.00000E-003,28.71330E-006,15.44833E+000
1,1,143,99.99990E-003,21.75520E-006,15.55192E+000,694.00000E-003,29.49010E-006,15.55192E+000
1,1,144,99.99990E-003,21.81660E-006,15.65560E+000,701.00000E-003,30.27110E-006,15.65560E+000
1,1,145,99.99990E-003,21.87200E-006,15.75977E+000,708.00000E-003,31.05490E-006,15.75977E+000
1,1,146,99.99990E-003,21.92590E-006,15.86343E+000,715.00000E-003,31.84420E-006,15.86343E+000
1,1,147,99.99990E-003,21.98330E-006,15.96702E+000,722.00000E-003,32.63660E-006,15.96702E+000
1,1,148,100.00000E-003,22.03770E-006,16.07066E+000,729.00000E-003,33.43430E-006,16.07066E+000
1,1,149,100.00000E-003,22.08660E-006,16.20706E+000,736.00000E-003,34.14510E-006,16.20706E+000
1,1,150,99.99990E-003,22.14090E-006,16.31070E+000,743.00000E-003,34.97040E-006,16.31070E+000
1,1,151,100.00000E-003,22.19890E-006,16.41427E+000,750.00000E-003,35.78610E-006,16.41427E+000
1,1,152,100.00000E-003,22.25440E-006,16.51784E+000,757.00000E-003,36.60190E-006,16.51784E+000
1,1,153,99.99990E-003,22.29090E-006,16.62144E+000,764.00000E-003,37.41860E-006,16.62144E+000
1,1,154,99.99990E-003,22.34370E-006,16.74541E+000,771.00000E-003,38.18600E-006,16.74541E+000
1,1,155,99.99990E-003,22.39940E-006,16.84910E+000,778.00000E-003,39.01100E-006,16.84910E+000
1,1,156,100.00000E-003,22.44720E-006,16.95268E+000,785.00000E-003,39.83520E-006,16.95268E+000
1,1,157,100.00000E-003,22.48370E-006,17.05786E+000,792.00000E-003,40.65410E-006,17.05786E+000
1,1,158,99.99990E-003,22.52310E-006,17.16177E+000,799.00000E-003,41.47780E-006,17.16177E+000
1,1,159,100.00000E-003,22.56870E-006,17.26539E+000,806.00000E-003,42.30210E-006,17.26539E+000
1,1,160,100.00000E-003,22.61690E-006,17.36897E+000,813.00000E-003,43.12770E-006,17.36897E+000
1,1,161,99.99990E-003,22.66100E-006,17.47255E+000,820.00100E-003,43.95130E-006,17.47255E+000
1,1,162,99.99990E-003,22.68120E-006,17.57614E+000,827.00000E-003,44.77890E-006,17.57614E+000
