Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,53.16140E-006,67.38700E-003,-300.00000E-003,-1.53850E-006,67.38700E-003
1,1,2,99.99990E-003,53.01100E-006,171.34300E-003,-293.00000E-003,-1.04137E-006,171.34300E-003
1,1,3,99.99980E-003,52.87270E-006,278.48500E-003,-285.99400E-003,-798.56200E-009,278.48500E-003
1,1,4,99.99990E-003,52.73720E-006,387.92100E-003,-278.99400E-003,-615.16000E-009,387.92100E-003
1,1,5,99.99950E-003,52.65530E-006,616.76600E-003,-271.99900E-003,-769.54000E-009,616.76600E-003
1,1,6,99.99990E-003,52.50510E-006,723.16700E-003,-264.99400E-003,-432.36900E-009,723.16700E-003
1,1,7,99.99940E-003,52.39480E-006,897.93600E-003,-257.98100E-003,-547.43800E-009,897.93600E-003
1,1,8,99.99970E-003,52.26910E-006,1.07724E+000,-250.99100E-003,-482.67400E-009,1.07724E+000
1,1,9,99.99920E-003,52.13100E-006,1.27155E+000,-243.97500E-003,-351.36500E-009,1.27155E+000
1,1,10,99.99920E-003,51.99220E-006,1.44966E+000,-236.97400E-003,-256.67200E-009,1.44966E+000
1,1,11,99.99990E-003,51.87000E-006,1.66243E+000,-230.00000E-003,-274.85700E-009,1.66243E+000
1,1,12,100.00000E-003,51.69400E-006,1.78502E+000,-222.80700E-003,4.13350E-009,1.78502E+000
1,1,13,99.99990E-003,51.54790E-006,1.89446E+000,-215.99300E-003,91.68700E-009,1.89446E+000
1,1,14,99.99990E-003,51.39200E-006,2.00398E+000,-208.99280E-003,163.09800E-009,2.00398E+000
1,1,15,99.99990E-003,51.22860E-006,2.11337E+000,-201.99320E-003,230.62300E-009,2.11337E+000
1,1,16,99.99990E-003,51.06130E-006,2.23006E+000,-194.99300E-003,279.92100E-009,2.23006E+000
1,1,17,99.99990E-003,50.89330E-006,2.34099E+000,-187.99300E-003,327.79300E-009,2.34099E+000
1,1,18,99.99990E-003,50.71900E-006,2.45204E+000,-180.99240E-003,375.43000E-009,2.45204E+000
1,1,19,99.99990E-003,50.54570E-006,2.56151E+000,-173.99270E-003,429.29400E-009,2.56151E+000
1,1,20,99.99990E-003,50.36700E-006,2.67116E+000,-166.99160E-003,472.20000E-009,2.67116E+000
1,1,21,100.00000E-003,50.18160E-006,2.78064E+000,-159.99250E-003,515.81600E-009,2.78064E+000
