Repeat,VAR2,Point,D1__CH1 Voltage,D1__CH1 Current,D1__CH1 Resistance,D1__CH1 Time,D1__CH2 Voltage,D1__CH2 Current,D1__CH2 Resistance,D1__CH2 Time,D2__CH1 Voltage,D2__CH1 Current,D2__CH1 Resistance,D2__CH1 Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,330.56400E-006,302.51328E+000,81.26700E-003,100.00000E-003,993.10400E-006,100.69439E+000,81.26700E-003,91.72200E-003,1.00000E-003,91.72200E+000,83.33000E-003,-300.00000E-003,-2.27831E-006,83.33000E-003
1,1,2,100.00000E-003,330.53200E-006,302.54257E+000,205.00100E-003,100.00000E-003,991.72400E-006,100.83451E+000,205.00100E-003,91.78900E-003,1.00000E-003,91.78900E+000,202.01700E-003,-292.99900E-003,-1.44029E-006,202.01700E-003
1,1,3,100.00000E-003,330.50700E-006,302.56545E+000,338.80300E-003,100.00000E-003,990.56300E-006,100.95269E+000,338.80300E-003,91.86710E-003,1.00000E-003,91.86710E+000,391.62900E-003,-285.99900E-003,-1.16578E-006,391.62900E-003
1,1,4,100.00000E-003,330.35200E-006,302.70742E+000,514.74100E-003,100.00000E-003,989.64300E-006,101.04654E+000,514.74100E-003,91.96590E-003,1.00000E-003,91.96590E+000,514.67400E-003,-278.99100E-003,-633.90500E-009,514.67400E-003
1,1,5,100.00000E-003,330.29800E-006,302.75690E+000,667.22700E-003,100.00000E-003,987.99700E-006,101.21488E+000,667.22700E-003,92.07540E-003,1.00000E-003,92.07540E+000,698.14300E-003,-271.99600E-003,-560.31100E-009,698.14300E-003
1,1,6,100.00000E-003,330.15000E-006,302.89262E+000,818.99900E-003,100.00000E-003,986.56600E-006,101.36169E+000,818.99900E-003,92.19140E-003,1.00000E-003,92.19140E+000,819.18400E-003,-264.99100E-003,-112.78900E-009,819.18400E-003
1,1,7,99.99990E-003,329.96400E-006,303.06306E+000,945.60600E-003,100.00000E-003,984.95600E-006,101.52738E+000,945.60600E-003,92.32160E-003,1.00000E-003,92.32160E+000,948.17200E-003,-257.99000E-003,148.36700E-009,948.17200E-003
1,1,8,100.00000E-003,329.84600E-006,303.17178E+000,1.06528E+000,100.00000E-003,983.17800E-006,101.71098E+000,1.06528E+000,92.46250E-003,1.00000E-003,92.46250E+000,1.06875E+000,-250.99000E-003,376.83300E-009,1.06875E+000
1,1,9,100.00000E-003,329.93000E-006,303.09460E+000,1.19637E+000,100.00000E-003,981.45600E-006,101.88944E+000,1.19637E+000,92.61490E-003,1.00000E-003,92.61490E+000,1.19899E+000,-243.99000E-003,542.09700E-009,1.19899E+000
1,1,10,100.00000E-003,329.92900E-006,303.09551E+000,1.33395E+000,100.00000E-003,979.57700E-006,102.08488E+000,1.33395E+000,92.77290E-003,1.00000E-003,92.77290E+000,1.33441E+000,-236.99900E-003,681.70000E-009,1.33441E+000
1,1,11,100.00000E-003,329.68300E-006,303.32168E+000,1.46331E+000,100.00000E-003,978.02800E-006,102.24656E+000,1.46331E+000,92.94080E-003,1.00000E-003,92.94080E+000,1.46085E+000,-229.99900E-003,843.27000E-009,1.46085E+000
1,1,12,100.00000E-003,329.44000E-006,303.54541E+000,1.58461E+000,99.99990E-003,975.87400E-006,102.47214E+000,1.58461E+000,93.11330E-003,1.00000E-003,93.11330E+000,1.58156E+000,-222.99900E-003,985.52000E-009,1.58156E+000
1,1,13,100.00000E-003,329.36400E-006,303.61545E+000,1.73762E+000,100.00000E-003,973.96600E-006,102.67299E+000,1.73762E+000,93.28730E-003,1.00000E-003,93.28730E+000,1.70249E+000,-215.99800E-003,1.30713E-006,1.70249E+000
1,1,14,99.99990E-003,329.23000E-006,303.73872E+000,1.87473E+000,100.00000E-003,972.31800E-006,102.84701E+000,1.87473E+000,93.49090E-003,1.00000E-003,93.49090E+000,1.87172E+000,-208.99900E-003,1.10119E-006,1.87172E+000
1,1,15,99.99990E-003,328.97900E-006,303.97047E+000,2.00428E+000,100.00000E-003,970.76500E-006,103.01154E+000,2.00428E+000,93.69300E-003,1.00000E-003,93.69300E+000,2.00146E+000,-201.99890E-003,1.21359E-006,2.00146E+000
1,1,16,99.99990E-003,328.76400E-006,304.16925E+000,2.13826E+000,100.00000E-003,968.87900E-006,103.21206E+000,2.13826E+000,93.90170E-003,1.00000E-003,93.90170E+000,2.13417E+000,-194.99890E-003,1.29434E-006,2.13417E+000
1,1,17,100.00000E-003,328.59500E-006,304.32599E+000,2.26213E+000,100.00000E-003,966.79100E-006,103.43497E+000,2.26213E+000,94.11690E-003,1.00000E-003,94.11690E+000,2.25798E+000,-187.99890E-003,1.39276E-006,2.25798E+000
1,1,18,99.99990E-003,328.34800E-006,304.55462E+000,2.39510E+000,99.99990E-003,964.48200E-006,103.68249E+000,2.39510E+000,94.34270E-003,1.00000E-003,94.34270E+000,2.39254E+000,-180.99890E-003,1.44297E-006,2.39254E+000
1,1,19,100.00000E-003,328.07800E-006,304.80556E+000,2.54846E+000,100.00000E-003,962.37500E-006,103.90960E+000,2.54846E+000,94.58190E-003,1.00000E-003,94.58190E+000,2.54770E+000,-173.99890E-003,1.44327E-006,2.54770E+000
1,1,20,99.99990E-003,327.84300E-006,305.02375E+000,2.68430E+000,99.99990E-003,959.89700E-006,104.17774E+000,2.68430E+000,94.82430E-003,1.00000E-003,94.82430E+000,2.68621E+000,-166.99890E-003,1.47722E-006,2.68621E+000
1,1,21,99.99990E-003,327.66000E-006,305.19410E+000,2.80992E+000,100.00000E-003,957.45800E-006,104.44322E+000,2.80992E+000,95.07050E-003,1.00000E-003,95.07050E+000,2.80804E+000,-159.99890E-003,1.59000E-006,2.80804E+000
1,1,22,99.99990E-003,327.42200E-006,305.41595E+000,2.94498E+000,100.00000E-003,955.06600E-006,104.70481E+000,2.94498E+000,95.33350E-003,1.00000E-003,95.33350E+000,2.94193E+000,-152.99890E-003,1.63053E-006,2.94193E+000
1,1,23,100.00000E-003,327.13000E-006,305.68887E+000,3.09897E+000,100.00000E-003,952.49500E-006,104.98743E+000,3.09897E+000,95.60750E-003,1.00000E-003,95.60750E+000,3.09893E+000,-145.99890E-003,1.61156E-006,3.09893E+000
1,1,24,100.00000E-003,326.93500E-006,305.87120E+000,3.24674E+000,100.00000E-003,949.64300E-006,105.30273E+000,3.24674E+000,95.88720E-003,1.00000E-003,95.88720E+000,3.24949E+000,-138.99890E-003,1.63100E-006,3.24949E+000
1,1,25,100.00000E-003,326.64300E-006,306.14463E+000,3.37978E+000,100.00000E-003,947.04300E-006,105.59183E+000,3.37978E+000,96.17220E-003,1.00000E-003,96.17220E+000,3.37575E+000,-131.99880E-003,1.70918E-006,3.37575E+000
