Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,699.91000E-006,64.72000E-003,-300.00100E-003,-5.64381E-006,64.72000E-003
1,1,2,99.99990E-003,699.36300E-006,168.64300E-003,-293.00000E-003,-4.30068E-006,168.64300E-003
1,1,3,100.00000E-003,698.72600E-006,272.20700E-003,-285.99900E-003,-3.42995E-006,272.20700E-003
1,1,4,100.00000E-003,697.96900E-006,375.71900E-003,-278.99900E-003,-2.75148E-006,375.71900E-003
1,1,5,100.00000E-003,696.76000E-006,479.27500E-003,-271.99900E-003,-2.19054E-006,479.27500E-003
1,1,6,100.00000E-003,696.04900E-006,582.82600E-003,-264.99900E-003,-1.72685E-006,582.82600E-003
1,1,7,100.00000E-003,694.82400E-006,695.30100E-003,-257.99900E-003,-1.34323E-006,695.30100E-003
1,1,8,100.00000E-003,694.25300E-006,853.34300E-003,-250.99900E-003,-1.34157E-006,853.34300E-003
1,1,9,100.00000E-003,693.73900E-006,959.89000E-003,-243.98500E-003,-815.88700E-009,959.89000E-003
1,1,10,100.00000E-003,693.49800E-006,1.21015E+000,-237.00000E-003,-1.22982E-006,1.21015E+000
1,1,11,100.00000E-003,691.87000E-006,1.43580E+000,-229.99900E-003,-950.58000E-009,1.43580E+000
1,1,12,100.00000E-003,690.41800E-006,1.60724E+000,-222.98400E-003,-715.39000E-009,1.60724E+000
1,1,13,100.00000E-003,689.08100E-006,1.78988E+000,-215.98400E-003,-449.47100E-009,1.78988E+000
1,1,14,100.00000E-003,686.85200E-006,1.89983E+000,-208.99040E-003,90.79700E-009,1.89983E+000
1,1,15,100.00000E-003,685.53400E-006,2.01002E+000,-201.98840E-003,363.05900E-009,2.01002E+000
1,1,16,100.00010E-003,678.93400E-006,2.11955E+000,-194.99870E-003,571.30000E-009,2.11955E+000
1,1,17,100.00000E-003,676.62800E-006,2.22319E+000,-187.99860E-003,774.58000E-009,2.22319E+000
1,1,18,99.99990E-003,677.24700E-006,2.32672E+000,-180.99860E-003,925.00000E-009,2.32672E+000
1,1,19,100.00000E-003,676.79200E-006,2.43266E+000,-173.99860E-003,1.03707E-006,2.43266E+000
1,1,20,100.00000E-003,673.57700E-006,2.53619E+000,-166.99850E-003,1.17720E-006,2.53619E+000
1,1,21,99.99990E-003,672.47400E-006,2.66000E+000,-159.99890E-003,1.09242E-006,2.66000E+000
1,1,22,100.00000E-003,671.62400E-006,2.76469E+000,-152.99850E-003,1.30915E-006,2.76469E+000
1,1,23,99.99990E-003,671.81500E-006,2.86858E+000,-145.99840E-003,1.42031E-006,2.86858E+000
1,1,24,100.00000E-003,670.40500E-006,2.97209E+000,-138.99840E-003,1.52209E-006,2.97209E+000
1,1,25,100.00000E-003,666.78700E-006,3.07565E+000,-131.99840E-003,1.60880E-006,3.07565E+000
1,1,26,100.00000E-003,666.52900E-006,3.20309E+000,-124.99850E-003,1.58844E-006,3.20309E+000
1,1,27,100.00000E-003,662.13600E-006,3.30664E+000,-117.99840E-003,1.68945E-006,3.30664E+000
1,1,28,100.00000E-003,660.76800E-006,3.41030E+000,-110.99850E-003,1.75607E-006,3.41030E+000
1,1,29,100.00000E-003,660.32800E-006,3.51389E+000,-103.99860E-003,1.81036E-006,3.51389E+000
1,1,30,100.00000E-003,658.92500E-006,3.61900E+000,-96.99860E-003,1.84249E-006,3.61900E+000
1,1,31,100.00000E-003,659.04500E-006,3.72257E+000,-89.99850E-003,1.89126E-006,3.72257E+000
1,1,32,100.00000E-003,657.24200E-006,3.82614E+000,-82.99850E-003,1.93016E-006,3.82614E+000
1,1,33,100.00000E-003,655.02400E-006,3.92966E+000,-75.99850E-003,1.96071E-006,3.92966E+000
1,1,34,100.00000E-003,653.66700E-006,4.03547E+000,-68.99860E-003,1.96493E-006,4.03547E+000
1,1,35,100.00000E-003,652.50300E-006,4.16748E+000,-61.99900E-003,1.74749E-006,4.16748E+000
1,1,36,100.00000E-003,651.23100E-006,4.27105E+000,-54.99860E-003,1.91317E-006,4.27105E+000
1,1,37,100.00000E-003,649.14800E-006,4.37461E+000,-47.99870E-003,1.96622E-006,4.37461E+000
1,1,38,99.99990E-003,648.99200E-006,4.47818E+000,-40.99860E-003,1.98809E-006,4.47818E+000
1,1,39,100.00000E-003,646.56200E-006,4.58174E+000,-33.99850E-003,2.01478E-006,4.58174E+000
1,1,40,100.00000E-003,643.45000E-006,4.70695E+000,-26.99870E-003,1.95554E-006,4.70695E+000
1,1,41,100.00000E-003,640.45500E-006,4.81049E+000,-19.99850E-003,1.99449E-006,4.81049E+000
1,1,42,100.00000E-003,637.30500E-006,4.91419E+000,-12.99850E-003,2.02052E-006,4.91419E+000
1,1,43,100.00000E-003,634.07400E-006,5.01775E+000,-5.99860E-003,2.03442E-006,5.01775E+000
1,1,44,100.00000E-003,630.66300E-006,5.12132E+000,1.00130E-003,2.04690E-006,5.12132E+000
