Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,450.22400E-006,182.70800E-003,-300.00000E-003,-154.05000E-009,182.70800E-003
1,1,2,100.00000E-003,447.92700E-006,357.42900E-003,-293.01900E-003,-75.21400E-009,357.42900E-003
1,1,3,100.00000E-003,445.60500E-006,467.21400E-003,-285.99600E-003,171.65600E-009,467.21400E-003
1,1,4,100.00000E-003,443.20700E-006,576.63200E-003,-278.99700E-003,262.54000E-009,576.63200E-003
1,1,5,100.00000E-003,440.76200E-006,686.05800E-003,-271.99500E-003,328.80700E-009,686.05800E-003
1,1,6,99.99990E-003,438.25600E-006,819.52900E-003,-264.99500E-003,361.23800E-009,819.52900E-003
1,1,7,100.00000E-003,435.72400E-006,928.94400E-003,-257.99700E-003,415.05600E-009,928.94400E-003
1,1,8,100.00000E-003,433.17700E-006,1.03842E+000,-250.99500E-003,453.91800E-009,1.03842E+000
1,1,9,100.00000E-003,430.56200E-006,1.14531E+000,-244.00000E-003,489.67000E-009,1.14531E+000
1,1,10,100.00000E-003,427.89800E-006,1.27593E+000,-236.99800E-003,465.81900E-009,1.27593E+000
1,1,11,100.00000E-003,425.27000E-006,1.38542E+000,-229.99500E-003,531.67100E-009,1.38542E+000
1,1,12,100.00000E-003,422.57200E-006,1.49379E+000,-223.00000E-003,561.71000E-009,1.49379E+000
1,1,13,100.00000E-003,419.87100E-006,1.60020E+000,-215.99500E-003,602.13900E-009,1.60020E+000
1,1,14,100.00000E-003,417.18000E-006,1.71204E+000,-208.99230E-003,604.03000E-009,1.71204E+000
1,1,15,100.00000E-003,414.38400E-006,1.82547E+000,-201.99630E-003,630.87300E-009,1.82547E+000
1,1,16,100.00000E-003,411.57100E-006,1.93246E+000,-194.99950E-003,652.02000E-009,1.93246E+000
1,1,17,100.00000E-003,408.73100E-006,2.03880E+000,-187.99480E-003,683.37000E-009,2.03880E+000
1,1,18,100.00000E-003,405.88000E-006,2.14566E+000,-180.99960E-003,693.25000E-009,2.14566E+000
1,1,19,100.00000E-003,402.93500E-006,2.28176E+000,-173.99630E-003,647.14300E-009,2.28176E+000
1,1,20,100.00000E-003,399.97400E-006,2.44291E+000,-167.00140E-003,575.50000E-009,2.44291E+000
1,1,21,100.00000E-003,397.07900E-006,2.54650E+000,-159.99960E-003,676.65000E-009,2.54650E+000
1,1,22,99.99990E-003,394.12200E-006,2.65286E+000,-152.99450E-003,722.72300E-009,2.65286E+000
1,1,23,100.00000E-003,391.04300E-006,2.79097E+000,-145.99700E-003,669.71800E-009,2.79097E+000
1,1,24,100.00000E-003,388.03700E-006,2.89790E+000,-138.99960E-003,724.91000E-009,2.89790E+000
1,1,25,100.00000E-003,384.96600E-006,3.00446E+000,-131.99300E-003,764.27200E-009,3.00446E+000
1,1,26,100.00000E-003,381.86400E-006,3.11131E+000,-124.99960E-003,775.72000E-009,3.11131E+000
1,1,27,100.00000E-003,378.72200E-006,3.21489E+000,-117.99950E-003,800.69000E-009,3.21489E+000
1,1,28,99.99990E-003,375.44800E-006,3.37786E+000,-111.00180E-003,684.29000E-009,3.37786E+000
1,1,29,100.00000E-003,372.28000E-006,3.48142E+000,-103.99960E-003,775.65000E-009,3.48142E+000
1,1,30,100.00000E-003,368.95900E-006,3.64109E+000,-97.00170E-003,681.90000E-009,3.64109E+000
1,1,31,99.99990E-003,365.66300E-006,3.77047E+000,-89.99970E-003,716.64000E-009,3.77047E+000
1,1,32,100.00000E-003,362.26100E-006,3.92864E+000,-83.00190E-003,672.59000E-009,3.92864E+000
1,1,33,100.00000E-003,358.95100E-006,4.03220E+000,-75.99970E-003,771.92000E-009,4.03220E+000
1,1,34,100.00000E-003,355.45200E-006,4.19251E+000,-69.00150E-003,689.61000E-009,4.19251E+000
1,1,35,100.00000E-003,352.05800E-006,4.29609E+000,-61.99960E-003,786.02000E-009,4.29609E+000
1,1,36,100.00000E-003,348.56000E-006,4.39968E+000,-54.99960E-003,825.60000E-009,4.39968E+000
1,1,37,100.00000E-003,344.87400E-006,4.55996E+000,-47.99990E-003,730.97000E-009,4.55996E+000
1,1,38,100.00000E-003,341.36800E-006,4.66350E+000,-40.99960E-003,817.71000E-009,4.66350E+000
1,1,39,100.00000E-003,337.71600E-006,4.78794E+000,-33.99600E-003,815.38800E-009,4.78794E+000
1,1,40,100.00000E-003,334.07500E-006,4.89488E+000,-26.99960E-003,851.67000E-009,4.89488E+000
1,1,41,100.00000E-003,330.35200E-006,4.99846E+000,-19.99960E-003,883.11000E-009,4.99846E+000
1,1,42,99.99990E-003,326.56600E-006,5.10202E+000,-12.99970E-003,905.53000E-009,5.10202E+000
1,1,43,100.00000E-003,322.75600E-006,5.20595E+000,-5.99960E-003,924.02000E-009,5.20595E+000
1,1,44,100.00000E-003,318.87100E-006,5.32678E+000,1.00040E-003,920.76000E-009,5.32678E+000
1,1,45,100.00000E-003,314.95300E-006,5.43238E+000,8.00040E-003,936.81000E-009,5.43238E+000
1,1,46,100.00000E-003,310.98500E-006,5.53593E+000,15.00040E-003,958.80000E-009,5.53593E+000
1,1,47,100.00000E-003,306.97500E-006,5.63948E+000,22.00040E-003,975.89000E-009,5.63948E+000
1,1,48,99.99990E-003,302.91500E-006,5.74304E+000,29.00040E-003,990.88000E-009,5.74304E+000
1,1,49,100.00000E-003,298.80400E-006,5.84818E+000,36.00030E-003,1.00049E-006,5.84818E+000
1,1,50,100.00000E-003,294.64200E-006,5.95219E+000,43.00050E-003,1.01592E-006,5.95219E+000
1,1,51,100.00000E-003,290.44800E-006,6.05573E+000,50.00050E-003,1.03142E-006,6.05573E+000
1,1,52,99.99990E-003,286.19300E-006,6.15930E+000,57.00040E-003,1.04498E-006,6.15930E+000
1,1,53,100.00000E-003,281.78000E-006,6.29254E+000,64.00030E-003,978.88000E-009,6.29254E+000
1,1,54,99.99990E-003,277.47100E-006,6.39637E+000,71.00040E-003,1.02975E-006,6.39637E+000
1,1,55,100.00000E-003,273.07400E-006,6.49988E+000,78.00040E-003,1.05368E-006,6.49988E+000
1,1,56,100.00000E-003,268.61800E-006,6.60342E+000,85.00040E-003,1.06978E-006,6.60342E+000
1,1,57,100.00000E-003,264.10500E-006,6.70696E+000,92.00040E-003,1.08376E-006,6.70696E+000
1,1,58,100.00000E-003,259.49500E-006,6.83523E+000,99.00040E-003,1.06302E-006,6.83523E+000
1,1,59,100.00000E-003,254.90700E-006,6.93883E+000,106.00050E-003,1.08638E-006,6.93883E+000
1,1,60,100.00000E-003,250.26200E-006,7.04235E+000,113.00040E-003,1.10414E-006,7.04235E+000
1,1,61,99.99990E-003,245.57400E-006,7.14594E+000,120.00040E-003,1.11763E-006,7.14594E+000
1,1,62,100.00000E-003,240.81600E-006,7.24950E+000,127.00040E-003,1.13306E-006,7.24950E+000
1,1,63,100.00000E-003,236.00000E-006,7.35311E+000,134.00040E-003,1.14799E-006,7.35311E+000
1,1,64,100.00000E-003,231.16800E-006,7.45668E+000,141.00040E-003,1.16322E-006,7.45668E+000
1,1,65,100.00000E-003,226.27400E-006,7.56062E+000,148.00040E-003,1.17728E-006,7.56062E+000
1,1,66,100.00000E-003,221.34900E-006,7.66416E+000,155.00040E-003,1.19284E-006,7.66416E+000
1,1,67,100.00000E-003,216.26500E-006,7.79606E+000,162.00030E-003,1.13366E-006,7.79606E+000
1,1,68,100.00000E-003,211.30200E-006,7.89972E+000,169.00040E-003,1.18866E-006,7.89972E+000
1,1,69,99.99990E-003,206.26700E-006,8.00328E+000,176.00040E-003,1.21763E-006,8.00328E+000
1,1,70,100.00000E-003,201.18900E-006,8.11062E+000,183.00040E-003,1.23212E-006,8.11062E+000
1,1,71,100.00000E-003,196.09600E-006,8.21415E+000,190.00040E-003,1.26201E-006,8.21415E+000
1,1,72,100.00000E-003,190.92600E-006,8.33634E+000,197.00030E-003,1.26331E-006,8.33634E+000
1,1,73,100.00000E-003,185.78600E-006,8.43990E+000,204.00040E-003,1.29649E-006,8.43990E+000
1,1,74,100.00000E-003,180.49700E-006,8.54687E+000,211.00000E-003,1.32323E-006,8.54687E+000
1,1,75,100.00010E-003,175.31600E-006,8.65113E+000,218.00000E-003,1.35494E-006,8.65113E+000
1,1,76,100.00000E-003,170.11000E-006,8.75869E+000,225.00000E-003,1.37695E-006,8.75869E+000
1,1,77,100.00000E-003,164.89900E-006,8.86658E+000,232.00000E-003,1.40827E-006,8.86658E+000
1,1,78,100.00000E-003,159.70500E-006,8.97050E+000,239.00000E-003,1.44987E-006,8.97050E+000
1,1,79,100.00000E-003,154.50200E-006,9.07733E+000,246.00000E-003,1.48345E-006,9.07733E+000
1,1,80,100.00000E-003,149.33200E-006,9.18421E+000,253.00000E-003,1.52156E-006,9.18421E+000
1,1,81,100.00000E-003,144.11600E-006,9.30537E+000,260.00000E-003,1.52857E-006,9.30537E+000
1,1,82,100.00000E-003,139.02400E-006,9.41230E+000,267.00000E-003,1.59119E-006,9.41230E+000
1,1,83,100.00000E-003,133.96400E-006,9.51921E+000,274.00000E-003,1.64667E-006,9.51921E+000
1,1,84,100.00000E-003,128.95300E-006,9.62609E+000,281.00000E-003,1.70400E-006,9.62609E+000
1,1,85,100.00000E-003,123.99800E-006,9.73295E+000,288.00000E-003,1.76492E-006,9.73295E+000
1,1,86,100.00000E-003,119.09100E-006,9.84554E+000,295.00000E-003,1.81882E-006,9.84554E+000
1,1,87,100.00000E-003,114.31500E-006,9.95247E+000,302.00000E-003,1.89552E-006,9.95247E+000
1,1,88,100.00000E-003,109.61700E-006,10.05933E+000,309.00000E-003,1.97283E-006,10.05933E+000
1,1,89,100.00000E-003,105.03400E-006,10.16622E+000,316.00000E-003,2.05606E-006,10.16622E+000
1,1,90,100.00000E-003,100.46300E-006,10.30786E+000,323.00000E-003,2.07128E-006,10.30786E+000
1,1,91,100.00000E-003,96.18900E-006,10.41476E+000,330.00000E-003,2.20345E-006,10.41476E+000
1,1,92,100.00000E-003,92.04300E-006,10.52168E+000,337.00000E-003,2.31932E-006,10.52168E+000
1,1,93,100.00040E-003,88.05040E-006,10.63228E+000,344.00000E-003,2.42317E-006,10.63228E+000
1,1,94,100.00050E-003,84.26900E-006,10.73917E+000,351.00000E-003,2.55568E-006,10.73917E+000
1,1,95,100.00040E-003,80.66760E-006,10.85938E+000,358.00000E-003,2.67592E-006,10.85938E+000
1,1,96,100.00040E-003,77.30190E-006,10.96676E+000,365.00000E-003,2.81735E-006,10.96676E+000
1,1,97,100.00030E-003,74.17390E-006,11.07368E+000,372.00000E-003,2.96839E-006,11.07368E+000
1,1,98,100.00040E-003,71.30310E-006,11.18056E+000,379.00000E-003,3.12775E-006,11.18056E+000
1,1,99,100.00020E-003,68.66440E-006,11.30579E+000,386.00000E-003,3.25444E-006,11.30579E+000
1,1,100,100.00030E-003,66.36980E-006,11.41312E+000,393.00000E-003,3.45156E-006,11.41312E+000
1,1,101,100.00020E-003,64.36280E-006,11.52000E+000,400.00000E-003,3.64385E-006,11.52000E+000
1,1,102,100.00020E-003,62.66810E-006,11.62687E+000,407.00000E-003,3.84309E-006,11.62687E+000
1,1,103,100.00020E-003,61.28880E-006,11.73382E+000,414.00000E-003,4.05098E-006,11.73382E+000
1,1,104,100.00010E-003,60.22370E-006,11.84906E+000,421.00000E-003,4.25957E-006,11.84906E+000
1,1,105,100.00010E-003,59.47990E-006,11.95656E+000,428.00000E-003,4.48941E-006,11.95656E+000
1,1,106,100.00000E-003,59.04170E-006,12.06345E+000,435.00000E-003,4.72915E-006,12.06345E+000
1,1,107,100.00000E-003,58.89640E-006,12.17069E+000,442.00000E-003,4.97523E-006,12.17069E+000
1,1,108,100.00000E-003,59.02940E-006,12.31580E+000,449.00000E-003,5.15664E-006,12.31580E+000
1,1,109,99.99990E-003,59.43250E-006,12.42274E+000,456.00000E-003,5.46211E-006,12.42274E+000
1,1,110,99.99990E-003,60.08040E-006,12.52965E+000,463.00000E-003,5.74891E-006,12.52965E+000
1,1,111,99.99980E-003,60.95050E-006,12.63658E+000,470.00100E-003,6.03812E-006,12.63658E+000
1,1,112,99.99980E-003,62.03420E-006,12.74382E+000,477.00100E-003,6.33438E-006,12.74382E+000
1,1,113,99.99980E-003,63.31860E-006,12.85455E+000,484.00000E-003,6.62963E-006,12.85455E+000
1,1,114,99.99980E-003,64.79060E-006,12.96416E+000,491.00000E-003,6.93695E-006,12.96416E+000
1,1,115,99.99970E-003,66.44510E-006,13.07382E+000,498.00000E-003,7.25491E-006,13.07382E+000
1,1,116,99.99960E-003,68.26280E-006,13.18071E+000,505.00100E-003,7.59200E-006,13.18071E+000
1,1,117,99.99970E-003,70.30170E-006,13.31600E+000,512.00000E-003,7.85205E-006,13.31600E+000
1,1,118,99.99950E-003,72.42610E-006,13.42294E+000,519.00100E-003,8.23460E-006,13.42294E+000
1,1,119,99.99970E-003,74.71180E-006,13.52906E+000,526.00000E-003,8.57870E-006,13.52906E+000
1,1,120,99.99940E-003,77.12670E-006,13.63786E+000,533.00100E-003,8.94400E-006,13.63786E+000
1,1,121,99.99950E-003,79.67240E-006,13.74142E+000,540.00000E-003,9.30100E-006,13.74142E+000
1,1,122,99.99950E-003,82.35390E-006,13.85176E+000,547.00000E-003,9.66210E-006,13.85176E+000
1,1,123,99.99950E-003,85.13720E-006,13.95536E+000,554.00000E-003,10.03600E-006,13.95536E+000
1,1,124,99.99940E-003,88.01970E-006,14.05895E+000,561.00000E-003,10.41190E-006,14.05895E+000
1,1,125,99.99950E-003,91.01790E-006,14.16423E+000,568.00000E-003,10.78390E-006,14.16423E+000
1,1,126,99.99940E-003,94.09470E-006,14.26783E+000,575.00000E-003,11.16670E-006,14.26783E+000
1,1,127,99.99930E-003,97.26220E-006,14.37152E+000,582.00000E-003,11.54950E-006,14.37152E+000
1,1,128,99.99940E-003,100.52190E-006,14.47887E+000,589.00000E-003,11.92170E-006,14.47887E+000
