Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,461.47400E-006,188.31900E-003,-299.99900E-003,-180.23000E-009,188.31900E-003
1,1,2,100.00000E-003,458.58200E-006,310.94700E-003,-292.97000E-003,28.08270E-009,310.94700E-003
1,1,3,100.00000E-003,455.75500E-006,539.89500E-003,-286.00000E-003,-3.53000E-009,539.89500E-003
1,1,4,100.00000E-003,452.78800E-006,771.28800E-003,-279.00000E-003,27.88000E-009,771.28800E-003
1,1,5,100.00000E-003,449.83000E-006,880.76300E-003,-271.99800E-003,176.93000E-009,880.76300E-003
1,1,6,100.00000E-003,446.79300E-006,990.18900E-003,-264.99800E-003,248.01800E-009,990.18900E-003
1,1,7,100.00000E-003,443.70000E-006,1.10105E+000,-257.99600E-003,297.89400E-009,1.10105E+000
1,1,8,100.00000E-003,440.55600E-006,1.21048E+000,-250.99800E-003,338.88200E-009,1.21048E+000
1,1,9,100.00000E-003,437.36900E-006,1.32849E+000,-243.99900E-003,366.18500E-009,1.32849E+000
1,1,10,100.00000E-003,434.16200E-006,1.43825E+000,-236.99600E-003,393.80900E-009,1.43825E+000
1,1,11,100.00000E-003,430.91300E-006,1.54809E+000,-229.99800E-003,424.88500E-009,1.54809E+000
1,1,12,100.00000E-003,427.61300E-006,1.65765E+000,-222.99700E-003,443.93900E-009,1.65765E+000
1,1,13,100.00000E-003,424.25600E-006,1.78983E+000,-215.99800E-003,417.94600E-009,1.78983E+000
1,1,14,100.00000E-003,420.94700E-006,1.89672E+000,-208.99960E-003,463.22000E-009,1.89672E+000
1,1,15,100.00000E-003,417.51900E-006,2.00610E+000,-201.99700E-003,491.08000E-009,2.00610E+000
1,1,16,100.00000E-003,414.08200E-006,2.11295E+000,-194.99960E-003,511.10000E-009,2.11295E+000
1,1,17,99.99990E-003,410.61600E-006,2.22233E+000,-187.99630E-003,531.36100E-009,2.22233E+000
1,1,18,100.00000E-003,407.07000E-006,2.34760E+000,-180.99860E-003,532.82600E-009,2.34760E+000
1,1,19,100.00000E-003,403.50100E-006,2.45905E+000,-173.99870E-003,550.84800E-009,2.45905E+000
1,1,20,100.00000E-003,399.88900E-006,2.57005E+000,-166.99620E-003,569.22200E-009,2.57005E+000
1,1,21,100.00000E-003,396.23500E-006,2.67703E+000,-159.99980E-003,583.14000E-009,2.67703E+000
1,1,22,100.00000E-003,392.54700E-006,2.79540E+000,-152.99520E-003,585.54500E-009,2.79540E+000
1,1,23,100.00000E-003,388.80900E-006,2.90847E+000,-145.99780E-003,602.25400E-009,2.90847E+000
1,1,24,100.00000E-003,385.03600E-006,3.01731E+000,-138.99970E-003,614.71000E-009,3.01731E+000
1,1,25,100.00000E-003,381.17300E-006,3.17876E+000,-132.00210E-003,529.76000E-009,3.17876E+000
