Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,518.09300E-006,67.76900E-003,-300.00100E-003,-603.04200E-009,67.76900E-003
1,1,2,100.00000E-003,516.92600E-006,171.72800E-003,-292.99800E-003,-322.47000E-009,171.72800E-003
1,1,3,100.00000E-003,515.12400E-006,343.25800E-003,-285.99800E-003,-262.98000E-009,343.25800E-003
1,1,4,100.00000E-003,513.68900E-006,446.81600E-003,-278.99700E-003,-56.89800E-009,446.81600E-003
1,1,5,100.00000E-003,512.03300E-006,550.44100E-003,-271.99700E-003,74.44200E-009,550.44100E-003
1,1,6,100.00000E-003,510.13600E-006,667.59800E-003,-264.99700E-003,141.96200E-009,667.59800E-003
1,1,7,100.00000E-003,508.33400E-006,771.16400E-003,-257.99700E-003,250.92700E-009,771.16400E-003
1,1,8,100.00000E-003,506.36600E-006,881.34800E-003,-250.99600E-003,316.23700E-009,881.34800E-003
1,1,9,100.00000E-003,504.36500E-006,991.10700E-003,-243.99600E-003,381.33600E-009,991.10700E-003
1,1,10,100.00000E-003,502.31000E-006,1.10051E+000,-236.99600E-003,443.01000E-009,1.10051E+000
1,1,11,100.00000E-003,500.19100E-006,1.21542E+000,-229.99600E-003,492.22300E-009,1.21542E+000
1,1,12,100.00000E-003,498.05800E-006,1.32507E+000,-222.99600E-003,545.82700E-009,1.32507E+000
1,1,13,100.00000E-003,495.86900E-006,1.43448E+000,-215.99600E-003,595.69200E-009,1.43448E+000
1,1,14,100.00000E-003,493.66300E-006,1.54418E+000,-208.99570E-003,635.25300E-009,1.54418E+000
1,1,15,100.00000E-003,491.23800E-006,1.67207E+000,-201.99680E-003,630.71500E-009,1.67207E+000
1,1,16,100.00000E-003,489.01900E-006,1.78158E+000,-194.99570E-003,697.95400E-009,1.78158E+000
1,1,17,100.00000E-003,486.70100E-006,1.89101E+000,-187.99550E-003,743.83300E-009,1.89101E+000
1,1,18,100.00000E-003,484.33500E-006,1.99790E+000,-180.99960E-003,789.71000E-009,1.99790E+000
1,1,19,100.00000E-003,481.93000E-006,2.10424E+000,-173.99530E-003,831.19100E-009,2.10424E+000
1,1,20,100.00000E-003,478.92500E-006,2.27509E+000,-166.99980E-003,722.01000E-009,2.27509E+000
1,1,21,100.00000E-003,476.73000E-006,2.37870E+000,-159.99960E-003,829.03000E-009,2.37870E+000
1,1,22,100.00000E-003,474.28500E-006,2.48226E+000,-152.99960E-003,885.40000E-009,2.48226E+000
1,1,23,100.00000E-003,471.07900E-006,2.66266E+000,-145.99980E-003,755.76000E-009,2.66266E+000
1,1,24,100.00000E-003,468.80100E-006,2.76624E+000,-138.99960E-003,871.17000E-009,2.76624E+000
1,1,25,100.00000E-003,466.31200E-006,2.86979E+000,-131.99960E-003,929.42000E-009,2.86979E+000
1,1,26,100.00000E-003,463.70500E-006,2.97336E+000,-124.99960E-003,971.18000E-009,2.97336E+000
1,1,27,100.00000E-003,461.04700E-006,3.07694E+000,-117.99960E-003,1.00636E-006,3.07694E+000
1,1,28,100.00000E-003,458.33000E-006,3.18051E+000,-110.99960E-003,1.03705E-006,3.18051E+000
1,1,29,100.00000E-003,455.55500E-006,3.28513E+000,-103.99950E-003,1.06309E-006,3.28513E+000
1,1,30,100.00000E-003,452.73300E-006,3.38917E+000,-96.99960E-003,1.08598E-006,3.38917E+000
1,1,31,100.00000E-003,449.82800E-006,3.49670E+000,-89.99970E-003,1.09657E-006,3.49670E+000
1,1,32,100.00000E-003,446.96300E-006,3.60026E+000,-82.99960E-003,1.12316E-006,3.60026E+000
1,1,33,100.00000E-003,443.99000E-006,3.70861E+000,-75.99950E-003,1.13734E-006,3.70861E+000
1,1,34,100.00000E-003,441.02600E-006,3.81218E+000,-68.99960E-003,1.15818E-006,3.81218E+000
1,1,35,100.00000E-003,438.03600E-006,3.91574E+000,-61.99960E-003,1.17655E-006,3.91574E+000
1,1,36,100.00000E-003,434.96700E-006,4.01931E+000,-54.99960E-003,1.19334E-006,4.01931E+000
1,1,37,100.00000E-003,431.87000E-006,4.12287E+000,-47.99950E-003,1.20817E-006,4.12287E+000
1,1,38,100.00000E-003,428.72700E-006,4.22799E+000,-40.99960E-003,1.22002E-006,4.22799E+000
1,1,39,100.00000E-003,425.53300E-006,4.33157E+000,-33.99960E-003,1.23455E-006,4.33157E+000
1,1,40,100.00000E-003,422.33900E-006,4.43511E+000,-26.99950E-003,1.24785E-006,4.43511E+000
1,1,41,100.00010E-003,419.05400E-006,4.53867E+000,-19.99960E-003,1.26123E-006,4.53867E+000
1,1,42,100.00000E-003,415.30000E-006,4.67358E+000,-12.99970E-003,1.19010E-006,4.67358E+000
1,1,43,100.00000E-003,412.11800E-006,4.77719E+000,-5.99960E-003,1.24135E-006,4.77719E+000
1,1,44,100.00000E-003,408.76100E-006,4.88255E+000,1.00040E-003,1.26362E-006,4.88255E+000
1,1,45,100.00000E-003,405.34300E-006,4.98612E+000,8.00040E-003,1.28266E-006,4.98612E+000
1,1,46,100.00000E-003,401.88200E-006,5.08966E+000,15.00040E-003,1.29942E-006,5.08966E+000
1,1,47,100.00000E-003,398.18600E-006,5.21278E+000,22.00040E-003,1.28972E-006,5.21278E+000
1,1,48,100.00000E-003,394.66800E-006,5.31633E+000,29.00040E-003,1.31180E-006,5.31633E+000
1,1,49,100.00000E-003,391.10100E-006,5.41990E+000,36.00040E-003,1.33195E-006,5.41990E+000
1,1,50,100.00000E-003,387.47100E-006,5.52345E+000,43.00040E-003,1.35301E-006,5.52345E+000
1,1,51,100.00000E-003,383.78600E-006,5.62702E+000,50.00040E-003,1.37654E-006,5.62702E+000
1,1,52,100.00000E-003,380.04100E-006,5.73271E+000,57.00030E-003,1.39337E-006,5.73271E+000
