Repeat,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,100.00000E-003,344.45800E-006,20.00000E-003,300.00000E-003,367.10000E-009,20.00000E-003
1,2,100.00000E-003,344.46600E-006,120.00000E-003,300.00000E-003,367.00000E-009,120.00000E-003
1,3,100.00000E-003,344.46400E-006,220.00000E-003,300.00000E-003,367.10000E-009,220.00000E-003
1,4,100.00000E-003,344.47500E-006,320.00000E-003,300.00000E-003,367.10000E-009,320.00000E-003
1,5,100.00000E-003,344.49300E-006,420.00000E-003,300.00000E-003,367.20000E-009,420.00000E-003
1,6,100.00000E-003,344.49000E-006,520.00000E-003,300.00000E-003,367.10000E-009,520.00000E-003
1,7,100.00000E-003,344.51400E-006,620.00000E-003,300.00000E-003,367.00000E-009,620.00000E-003
1,8,100.00000E-003,344.53300E-006,720.00000E-003,300.00000E-003,367.10000E-009,720.00000E-003
1,9,100.00000E-003,344.54500E-006,820.00000E-003,300.00000E-003,367.20000E-009,820.00000E-003
1,10,100.00000E-003,344.55800E-006,920.00000E-003,300.00000E-003,367.10000E-009,920.00000E-003
1,11,100.00000E-003,344.55000E-006,1.02000E+000,300.00000E-003,366.90000E-009,1.02000E+000
1,12,100.00000E-003,344.55500E-006,1.12000E+000,300.00000E-003,366.80000E-009,1.12000E+000
1,13,100.00000E-003,344.55200E-006,1.22000E+000,300.00000E-003,366.80000E-009,1.22000E+000
1,14,100.00000E-003,344.55800E-006,1.32000E+000,300.00000E-003,367.00000E-009,1.32000E+000
1,15,100.00000E-003,344.56800E-006,1.42000E+000,300.00000E-003,366.90000E-009,1.42000E+000
1,16,100.00000E-003,344.57300E-006,1.52000E+000,300.00000E-003,366.80000E-009,1.52000E+000
1,17,100.00000E-003,344.57600E-006,1.62000E+000,300.00000E-003,366.90000E-009,1.62000E+000
1,18,100.00000E-003,344.61800E-006,1.72000E+000,300.00000E-003,366.70000E-009,1.72000E+000
1,19,100.00000E-003,344.61700E-006,1.82000E+000,300.00000E-003,366.80000E-009,1.82000E+000
1,20,100.00000E-003,344.63500E-006,1.92000E+000,300.00000E-003,367.00000E-009,1.92000E+000
1,21,100.00000E-003,344.64800E-006,2.02000E+000,300.00000E-003,366.90000E-009,2.02000E+000
1,22,100.00000E-003,344.61400E-006,2.12000E+000,300.00000E-003,366.80000E-009,2.12000E+000
1,23,100.00000E-003,344.62300E-006,2.22000E+000,300.00000E-003,366.80000E-009,2.22000E+000
1,24,100.00000E-003,344.64400E-006,2.32000E+000,300.00000E-003,366.60000E-009,2.32000E+000
1,25,100.00000E-003,344.62900E-006,2.42000E+000,300.00000E-003,366.70000E-009,2.42000E+000
1,26,100.00000E-003,344.65900E-006,2.52000E+000,300.00000E-003,366.70000E-009,2.52000E+000
1,27,100.00000E-003,344.69300E-006,2.62000E+000,300.00000E-003,366.80000E-009,2.62000E+000
1,28,100.00000E-003,344.68700E-006,2.72000E+000,300.00000E-003,366.60000E-009,2.72000E+000
1,29,100.00000E-003,344.68300E-006,2.82000E+000,300.00000E-003,366.60000E-009,2.82000E+000
1,30,100.00000E-003,344.69300E-006,2.92000E+000,300.00000E-003,366.60000E-009,2.92000E+000
1,31,100.00000E-003,344.68500E-006,3.02000E+000,300.00000E-003,366.70000E-009,3.02000E+000
1,32,100.00000E-003,344.68800E-006,3.12000E+000,300.00000E-003,366.70000E-009,3.12000E+000
1,33,100.00000E-003,344.70500E-006,3.22000E+000,300.00000E-003,366.60000E-009,3.22000E+000
1,34,100.00000E-003,344.70700E-006,3.32000E+000,300.00000E-003,366.90000E-009,3.32000E+000
