Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,677.82500E-006,186.98200E-003,-300.00000E-003,-118.45000E-009,186.98200E-003
1,1,2,100.00000E-003,676.15700E-006,306.83800E-003,-295.00600E-003,43.01230E-009,306.83800E-003
1,1,3,100.00000E-003,674.61300E-006,536.40600E-003,-290.00000E-003,-3.71000E-009,536.40600E-003
1,1,4,100.00000E-003,673.03000E-006,780.73500E-003,-285.00000E-003,13.86000E-009,780.73500E-003
1,1,5,100.00000E-003,671.35800E-006,1.00632E+000,-280.00100E-003,34.57000E-009,1.00632E+000
1,1,6,100.00000E-003,669.69200E-006,1.23302E+000,-275.00000E-003,55.82000E-009,1.23302E+000
1,1,7,100.00000E-003,668.06500E-006,1.46704E+000,-270.00000E-003,68.82000E-009,1.46704E+000
1,1,8,99.99990E-003,666.41600E-006,1.57714E+000,-264.99600E-003,185.02700E-009,1.57714E+000
1,1,9,100.00000E-003,664.68100E-006,1.78350E+000,-259.99900E-003,149.88000E-009,1.78350E+000
1,1,10,100.00000E-003,663.04800E-006,2.01221E+000,-255.00100E-003,128.68000E-009,2.01221E+000
1,1,11,99.99990E-003,661.43700E-006,2.11856E+000,-249.99900E-003,245.80700E-009,2.11856E+000
1,1,12,99.99990E-003,659.67000E-006,2.22801E+000,-244.99800E-003,293.64300E-009,2.22801E+000
1,1,13,100.00000E-003,657.98700E-006,2.33794E+000,-239.99900E-003,327.53400E-009,2.33794E+000
1,1,14,100.00000E-003,656.25400E-006,2.44729E+000,-234.99800E-003,354.40000E-009,2.44729E+000
1,1,15,100.00000E-003,654.61500E-006,2.55665E+000,-229.99900E-003,382.03600E-009,2.55665E+000
1,1,16,100.00000E-003,652.85700E-006,2.66950E+000,-225.00000E-003,395.03000E-009,2.66950E+000
1,1,17,100.00000E-003,651.06900E-006,2.79589E+000,-219.99900E-003,387.27300E-009,2.79589E+000
1,1,18,100.00000E-003,649.29300E-006,2.90921E+000,-214.99900E-003,424.39200E-009,2.90921E+000
1,1,19,100.00000E-003,647.51300E-006,3.02174E+000,-209.99950E-003,444.67100E-009,3.02174E+000
1,1,20,100.00000E-003,645.73600E-006,3.13106E+000,-204.99870E-003,474.04900E-009,3.13106E+000
1,1,21,100.00000E-003,643.95600E-006,3.24045E+000,-199.99910E-003,497.70400E-009,3.24045E+000
1,1,22,100.00000E-003,642.13100E-006,3.34984E+000,-194.99920E-003,516.36800E-009,3.34984E+000
1,1,23,100.00000E-003,640.31100E-006,3.46107E+000,-189.99860E-003,535.58900E-009,3.46107E+000
1,1,24,100.00000E-003,638.51000E-006,3.57045E+000,-185.00020E-003,553.68500E-009,3.57045E+000
1,1,25,100.00000E-003,636.65900E-006,3.67982E+000,-179.99860E-003,573.48500E-009,3.67982E+000
1,1,26,100.00000E-003,634.79400E-006,3.79616E+000,-174.99890E-003,572.76700E-009,3.79616E+000
1,1,27,100.00000E-003,632.91300E-006,3.90315E+000,-169.99970E-003,592.79000E-009,3.90315E+000
1,1,28,100.00000E-003,631.06200E-006,4.01000E+000,-164.99980E-003,610.63000E-009,4.01000E+000
1,1,29,100.00000E-003,629.14500E-006,4.11935E+000,-160.00010E-003,638.05400E-009,4.11935E+000
1,1,30,100.00000E-003,627.24500E-006,4.22621E+000,-154.99960E-003,646.12000E-009,4.22621E+000
1,1,31,100.00000E-003,625.30500E-006,4.34118E+000,-149.99970E-003,651.89000E-009,4.34118E+000
1,1,32,100.00000E-003,623.39400E-006,4.44803E+000,-144.99970E-003,670.90000E-009,4.44803E+000
1,1,33,100.00000E-003,621.38200E-006,4.55499E+000,-139.99960E-003,686.11000E-009,4.55499E+000
1,1,34,100.00000E-003,619.41100E-006,4.66189E+000,-134.99960E-003,700.38000E-009,4.66189E+000
1,1,35,100.00000E-003,617.40800E-006,4.79206E+000,-129.99980E-003,662.39000E-009,4.79206E+000
1,1,36,100.00000E-003,615.36400E-006,4.90049E+000,-124.99970E-003,704.12000E-009,4.90049E+000
1,1,37,100.00000E-003,613.34800E-006,5.00752E+000,-119.99950E-003,722.90000E-009,5.00752E+000
1,1,38,100.00000E-003,611.30800E-006,5.11832E+000,-114.99970E-003,727.45000E-009,5.11832E+000
1,1,39,100.00000E-003,609.21000E-006,5.22806E+000,-109.99950E-003,738.72000E-009,5.22806E+000
1,1,40,100.00000E-003,607.14800E-006,5.34623E+000,-104.99960E-003,744.12000E-009,5.34623E+000
1,1,41,100.00000E-003,605.06500E-006,5.45343E+000,-99.99960E-003,760.58000E-009,5.45343E+000
1,1,42,100.00000E-003,602.94200E-006,5.56034E+000,-94.99960E-003,772.45000E-009,5.56034E+000
1,1,43,100.00000E-003,600.78200E-006,5.66718E+000,-89.99960E-003,783.33000E-009,5.66718E+000
1,1,44,100.00000E-003,598.55700E-006,5.79456E+000,-84.99980E-003,743.72000E-009,5.79456E+000
1,1,45,100.00000E-003,596.35100E-006,5.95260E+000,-80.00250E-003,677.82000E-009,5.95260E+000
1,1,46,100.00000E-003,594.18600E-006,6.05947E+000,-74.99960E-003,750.99000E-009,6.05947E+000
1,1,47,100.00000E-003,591.96700E-006,6.16630E+000,-69.99960E-003,774.15000E-009,6.16630E+000
1,1,48,100.00000E-003,589.69100E-006,6.29630E+000,-64.99970E-003,736.31000E-009,6.29630E+000
1,1,49,100.00000E-003,587.43100E-006,6.40317E+000,-59.99960E-003,778.43000E-009,6.40317E+000
1,1,50,100.00000E-003,585.17500E-006,6.51005E+000,-54.99960E-003,794.69000E-009,6.51005E+000
