Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,99.99990E-003,209.20000E-006,64.90100E-003,-300.00000E-003,-724.80000E-009,64.90100E-003
1,1,2,100.00000E-003,209.10500E-006,171.62700E-003,-294.99800E-003,-619.88500E-009,171.62700E-003
1,1,3,100.00000E-003,209.06400E-006,282.73300E-003,-289.99500E-003,-538.43100E-009,282.73300E-003
1,1,4,100.00000E-003,208.94800E-006,394.17700E-003,-284.99600E-003,-467.63300E-009,394.17700E-003
1,1,5,100.00000E-003,208.86100E-006,661.63800E-003,-280.00000E-003,-430.84000E-009,661.63800E-003
1,1,6,100.00000E-003,208.75300E-006,887.21300E-003,-274.99900E-003,-366.73000E-009,887.21300E-003
1,1,7,100.00000E-003,208.63900E-006,1.06420E+000,-269.98300E-003,-358.63900E-009,1.06420E+000
1,1,8,99.99990E-003,208.50200E-006,1.24339E+000,-264.97900E-003,-264.75700E-009,1.24339E+000
1,1,9,100.00000E-003,208.37700E-006,1.47214E+000,-260.00000E-003,-212.44000E-009,1.47214E+000
1,1,10,100.00010E-003,208.21600E-006,1.65763E+000,-255.00700E-003,-202.94800E-009,1.65763E+000
1,1,11,100.00000E-003,208.11100E-006,1.88717E+000,-250.00000E-003,-132.69000E-009,1.88717E+000
1,1,12,99.99990E-003,207.97500E-006,2.00684E+000,-244.83600E-003,-58.24830E-009,2.00684E+000
1,1,13,99.99990E-003,207.87500E-006,2.16605E+000,-239.89400E-003,-59.08460E-009,2.16605E+000
1,1,14,100.00000E-003,207.75100E-006,2.28989E+000,-234.95400E-003,13.75890E-009,2.28989E+000
1,1,15,99.99990E-003,207.67000E-006,2.41016E+000,-230.01000E-003,58.51620E-009,2.41016E+000
1,1,16,100.00000E-003,207.65100E-006,2.66027E+000,-225.00000E-003,-15.89000E-009,2.66027E+000
1,1,17,100.00000E-003,207.52600E-006,2.78367E+000,-220.04600E-003,73.07140E-009,2.78367E+000
1,1,18,100.00000E-003,207.55100E-006,3.01326E+000,-215.00000E-003,19.42000E-009,3.01326E+000
1,1,19,100.00000E-003,207.49500E-006,3.22589E+000,-210.00460E-003,9.07100E-009,3.22589E+000
1,1,20,100.00000E-003,207.33700E-006,3.45643E+000,-205.00100E-003,28.94000E-009,3.45643E+000
1,1,21,100.00000E-003,207.17500E-006,3.66620E+000,-200.00070E-003,37.63300E-009,3.66620E+000
1,1,22,100.00000E-003,207.38000E-006,3.89558E+000,-195.00040E-003,55.84000E-009,3.89558E+000
1,1,23,100.00010E-003,207.30100E-006,4.12417E+000,-190.00070E-003,61.78000E-009,4.12417E+000
1,1,24,100.00000E-003,207.18700E-006,4.35356E+000,-185.00000E-003,77.29000E-009,4.35356E+000
1,1,25,100.00000E-003,207.11200E-006,4.58444E+000,-180.00010E-003,91.91000E-009,4.58444E+000
1,1,26,100.00000E-003,206.97000E-006,4.83483E+000,-175.00010E-003,99.58000E-009,4.83483E+000
1,1,27,100.00010E-003,207.33900E-006,5.06706E+000,-169.99990E-003,111.14000E-009,5.06706E+000
1,1,28,100.00000E-003,207.19400E-006,5.29735E+000,-165.00040E-003,120.42000E-009,5.29735E+000
1,1,29,100.00000E-003,207.00400E-006,5.52788E+000,-160.00080E-003,124.87000E-009,5.52788E+000
1,1,30,100.00000E-003,206.90100E-006,5.67584E+000,-154.99930E-003,175.70800E-009,5.67584E+000
1,1,31,100.00000E-003,206.84100E-006,5.90617E+000,-150.00090E-003,162.96000E-009,5.90617E+000
1,1,32,100.00000E-003,206.74600E-006,6.16925E+000,-145.00000E-003,161.62000E-009,6.16925E+000
1,1,33,100.00000E-003,206.62700E-006,6.39783E+000,-140.00040E-003,170.73000E-009,6.39783E+000
1,1,34,100.00000E-003,206.45800E-006,6.50951E+000,-134.99540E-003,250.32900E-009,6.50951E+000
1,1,35,100.00000E-003,206.25100E-006,6.68749E+000,-130.02570E-003,244.30800E-009,6.68749E+000
1,1,36,100.00000E-003,206.09500E-006,6.86466E+000,-125.01920E-003,271.45600E-009,6.86466E+000
1,1,37,99.99990E-003,205.87700E-006,6.97442E+000,-120.00100E-003,316.89300E-009,6.97442E+000
1,1,38,100.00000E-003,205.78200E-006,7.17676E+000,-115.00080E-003,310.65200E-009,7.17676E+000
