Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,99.99300E-003,256.14800E-009,139.63700E-003,-299.99400E-003,-88.22600E-009,139.63700E-003
1,1,2,99.99920E-003,187.08800E-009,262.18400E-003,-294.92100E-003,-16.57910E-009,262.18400E-003
1,1,3,99.99890E-003,136.47500E-009,390.20600E-003,-289.95800E-003,38.87850E-009,390.20600E-003
1,1,4,99.99640E-003,117.37700E-009,544.98600E-003,-284.99700E-003,52.49600E-009,544.98600E-003
1,1,5,99.97690E-003,87.78970E-009,674.27300E-003,-280.00000E-003,83.34200E-009,674.27300E-003
1,1,6,100.00410E-003,66.50000E-009,847.00000E-003,-275.00400E-003,98.82600E-009,847.00000E-003
1,1,7,99.96430E-003,28.76150E-009,977.17000E-003,-270.00000E-003,134.01200E-009,977.17000E-003
1,1,8,99.95590E-003,-4.88450E-009,1.10477E+000,-265.00000E-003,162.98700E-009,1.10477E+000
1,1,9,99.99410E-003,18.25000E-009,1.38562E+000,-259.99500E-003,139.11600E-009,1.38562E+000
1,1,10,99.99730E-003,17.31400E-009,1.63577E+000,-254.99700E-003,136.28900E-009,1.63577E+000
1,1,11,99.94950E-003,-15.98250E-009,1.76556E+000,-250.00000E-003,170.84200E-009,1.76556E+000
1,1,12,99.91080E-003,-43.90290E-009,1.89249E+000,-244.99900E-003,204.68600E-009,1.89249E+000
1,1,13,99.90920E-003,-63.47620E-009,2.02050E+000,-239.99900E-003,228.28300E-009,2.02050E+000
1,1,14,99.99970E-003,-26.83900E-009,2.24284E+000,-235.00000E-003,191.74400E-009,2.24284E+000
1,1,15,100.00210E-003,-29.47200E-009,2.42619E+000,-230.00200E-003,193.60900E-009,2.42619E+000
1,1,16,100.00390E-003,-34.54000E-009,2.60895E+000,-225.00400E-003,197.78800E-009,2.60895E+000
1,1,17,99.93740E-003,-64.87270E-009,2.77028E+000,-219.99900E-003,230.80000E-009,2.77028E+000
1,1,18,100.00240E-003,-59.79800E-009,2.95576E+000,-215.00300E-003,216.68300E-009,2.95576E+000
1,1,19,100.00240E-003,-86.82600E-009,3.13708E+000,-210.00240E-003,222.93100E-009,3.13708E+000
1,1,20,100.00620E-003,-69.19000E-009,3.33258E+000,-205.00650E-003,227.44500E-009,3.33258E+000
1,1,21,100.00360E-003,-68.71200E-009,3.51916E+000,-200.00410E-003,224.44400E-009,3.51916E+000
1,1,22,99.99890E-003,-90.31900E-009,3.72885E+000,-194.99950E-003,229.88700E-009,3.72885E+000
1,1,23,100.00520E-003,-103.92900E-009,3.91159E+000,-190.00580E-003,232.30600E-009,3.91159E+000
1,1,24,100.00550E-003,-101.76000E-009,4.09596E+000,-185.00550E-003,239.03100E-009,4.09596E+000
1,1,25,100.00340E-003,-102.90400E-009,4.30615E+000,-180.00370E-003,237.88200E-009,4.30615E+000
1,1,26,100.00420E-003,-111.76000E-009,4.48873E+000,-175.00460E-003,247.07400E-009,4.48873E+000
1,1,27,100.00450E-003,-121.05100E-009,4.67281E+000,-170.00450E-003,255.62300E-009,4.67281E+000
1,1,28,100.00370E-003,-131.94200E-009,4.86385E+000,-165.00400E-003,267.99900E-009,4.86385E+000
1,1,29,100.00310E-003,-134.75100E-009,5.04660E+000,-160.00330E-003,277.18100E-009,5.04660E+000
1,1,30,99.99920E-003,-138.58000E-009,5.24792E+000,-154.99970E-003,279.06500E-009,5.24792E+000
1,1,31,100.00300E-003,-148.18300E-009,5.43043E+000,-150.00370E-003,286.24700E-009,5.43043E+000
1,1,32,100.00180E-003,-157.60300E-009,5.61298E+000,-145.00210E-003,301.79800E-009,5.61298E+000
1,1,33,100.00420E-003,-134.58300E-009,5.83037E+000,-140.00450E-003,280.84300E-009,5.83037E+000
1,1,34,100.00280E-003,-154.08700E-009,6.01297E+000,-135.00290E-003,301.73200E-009,6.01297E+000
1,1,35,100.00040E-003,-169.12300E-009,6.19759E+000,-130.00060E-003,320.17100E-009,6.19759E+000
1,1,36,99.99910E-003,-183.26200E-009,6.38460E+000,-124.99920E-003,332.31700E-009,6.38460E+000
1,1,37,99.99810E-003,-192.15300E-009,6.56895E+000,-119.99800E-003,342.24400E-009,6.56895E+000
1,1,38,99.99760E-003,-195.64100E-009,6.75782E+000,-114.99820E-003,348.36300E-009,6.75782E+000
1,1,39,99.99730E-003,-193.27900E-009,6.94118E+000,-109.99790E-003,355.32300E-009,6.94118E+000
1,1,40,99.99680E-003,-217.69000E-009,7.12566E+000,-104.99650E-003,368.79400E-009,7.12566E+000
1,1,41,99.99670E-003,-173.12600E-009,7.34041E+000,-99.99690E-003,332.90400E-009,7.34041E+000
1,1,42,99.99780E-003,-208.10000E-009,7.52628E+000,-94.99810E-003,365.51300E-009,7.52628E+000
1,1,43,99.99640E-003,-225.06000E-009,7.70878E+000,-89.99630E-003,381.89000E-009,7.70878E+000
1,1,44,99.99800E-003,-228.25200E-009,7.82890E+000,-84.99850E-003,384.88900E-009,7.82890E+000
1,1,45,99.99370E-003,-262.80300E-009,8.01196E+000,-79.99330E-003,430.15400E-009,8.01196E+000
1,1,46,99.99340E-003,-266.57300E-009,8.19479E+000,-74.99320E-003,435.43700E-009,8.19479E+000
1,1,47,99.99830E-003,-176.25000E-009,8.44483E+000,-69.99990E-003,343.68000E-009,8.44483E+000
1,1,48,99.99530E-003,-238.17200E-009,8.62545E+000,-64.99520E-003,406.44700E-009,8.62545E+000
1,1,49,99.99730E-003,-223.74000E-009,8.83931E+000,-59.99630E-003,389.96600E-009,8.83931E+000
1,1,50,99.99700E-003,-236.57600E-009,9.02186E+000,-54.99660E-003,403.31800E-009,9.02186E+000
1,1,51,99.99510E-003,-169.80600E-009,9.26115E+000,-49.99950E-003,341.82000E-009,9.26115E+000
1,1,52,99.99730E-003,-212.39500E-009,9.44063E+000,-44.99710E-003,395.74500E-009,9.44063E+000
1,1,53,99.99630E-003,-222.11600E-009,9.62729E+000,-39.99670E-003,406.46200E-009,9.62729E+000
1,1,54,99.99820E-003,-190.65100E-009,9.84248E+000,-34.99860E-003,380.02900E-009,9.84248E+000
1,1,55,99.99750E-003,-196.97900E-009,10.02666E+000,-29.99780E-003,394.55500E-009,10.02666E+000
1,1,56,99.99620E-003,-218.22500E-009,10.21006E+000,-24.99660E-003,409.96200E-009,10.21006E+000
1,1,57,99.98740E-003,-209.40500E-009,10.39979E+000,-19.98710E-003,402.94500E-009,10.39979E+000
1,1,58,99.99550E-003,-233.60000E-009,10.58526E+000,-14.99580E-003,421.56400E-009,10.58526E+000
1,1,59,99.99370E-003,-169.20800E-009,10.82470E+000,-9.99940E-003,352.19000E-009,10.82470E+000
1,1,60,99.99700E-003,-216.62200E-009,11.00428E+000,-4.99680E-003,403.18300E-009,11.00428E+000
1,1,61,99.99520E-003,-224.08000E-009,11.18713E+000,4.40000E-006,414.31400E-009,11.18713E+000
1,1,62,99.99360E-003,-222.53400E-009,11.38539E+000,5.00630E-003,410.58500E-009,11.38539E+000
1,1,63,99.99490E-003,-259.86900E-009,11.56824E+000,10.00510E-003,428.61200E-009,11.56824E+000
1,1,64,99.99850E-003,-252.93800E-009,11.68348E+000,15.00130E-003,413.07900E-009,11.68348E+000
1,1,65,99.99420E-003,-190.64200E-009,11.93824E+000,20.00050E-003,364.60000E-009,11.93824E+000
