Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,958.52000E-006,189.27600E-003,-300.00000E-003,-95.54000E-009,189.27600E-003
1,1,2,100.00000E-003,953.86000E-006,311.91100E-003,-295.01100E-003,38.17510E-009,311.91100E-003
1,1,3,100.00000E-003,949.49700E-006,541.92300E-003,-290.00100E-003,10.74000E-009,541.92300E-003
1,1,4,100.00000E-003,945.11600E-006,783.01700E-003,-285.00000E-003,51.77000E-009,783.01700E-003
1,1,5,100.00000E-003,940.68300E-006,1.01276E+000,-280.00100E-003,62.44000E-009,1.01276E+000
1,1,6,100.00000E-003,935.67100E-006,1.24443E+000,-275.00200E-003,91.89000E-009,1.24443E+000
1,1,7,100.00000E-003,930.75700E-006,1.47491E+000,-270.00100E-003,120.15000E-009,1.47491E+000
1,1,8,100.00000E-003,925.87500E-006,1.70532E+000,-265.00100E-003,144.52000E-009,1.70532E+000
1,1,9,100.00000E-003,921.53500E-006,1.95074E+000,-260.00000E-003,168.11000E-009,1.95074E+000
1,1,10,100.00000E-003,916.76500E-006,2.18384E+000,-255.00100E-003,184.37000E-009,2.18384E+000
1,1,11,100.00000E-003,912.05800E-006,2.36263E+000,-250.02200E-003,244.28300E-009,2.36263E+000
1,1,12,100.00000E-003,907.45400E-006,2.47514E+000,-245.00500E-003,327.89500E-009,2.47514E+000
1,1,13,100.00000E-003,902.61700E-006,2.70556E+000,-240.00100E-003,277.61000E-009,2.70556E+000
1,1,14,100.00000E-003,897.85300E-006,2.95474E+000,-235.00000E-003,278.25000E-009,2.95474E+000
1,1,15,100.00000E-003,893.02300E-006,3.18653E+000,-230.00000E-003,289.49000E-009,3.18653E+000
1,1,16,100.00000E-003,888.05000E-006,3.41755E+000,-225.00000E-003,300.63000E-009,3.41755E+000
1,1,17,100.00000E-003,883.43200E-006,3.52713E+000,-220.00500E-003,422.93100E-009,3.52713E+000
1,1,18,100.00000E-003,878.74900E-006,3.63656E+000,-215.00100E-003,479.10700E-009,3.63656E+000
1,1,19,100.00000E-003,874.14200E-006,3.74596E+000,-210.00240E-003,533.23300E-009,3.74596E+000
1,1,20,100.00000E-003,869.43100E-006,3.85558E+000,-205.00340E-003,567.94200E-009,3.85558E+000
1,1,21,100.00000E-003,864.71100E-006,3.96498E+000,-200.00150E-003,617.70300E-009,3.96498E+000
1,1,22,100.00000E-003,859.95200E-006,4.07246E+000,-194.99940E-003,638.70000E-009,4.07246E+000
1,1,23,100.00000E-003,855.24400E-006,4.18119E+000,-189.99950E-003,672.24000E-009,4.18119E+000
1,1,24,100.00000E-003,850.43100E-006,4.29638E+000,-184.99950E-003,689.49000E-009,4.29638E+000
1,1,25,100.00000E-003,845.63500E-006,4.40356E+000,-179.99970E-003,735.21000E-009,4.40356E+000
1,1,26,100.00000E-003,840.76100E-006,4.51083E+000,-174.99970E-003,772.63000E-009,4.51083E+000
1,1,27,100.00000E-003,835.71800E-006,4.61769E+000,-169.99970E-003,807.93000E-009,4.61769E+000
1,1,28,100.00000E-003,830.72500E-006,4.72459E+000,-164.99960E-003,841.51000E-009,4.72459E+000
1,1,29,100.00000E-003,825.61400E-006,4.83698E+000,-159.99940E-003,870.09000E-009,4.83698E+000
1,1,30,100.00000E-003,820.47000E-006,4.94390E+000,-154.99940E-003,904.32000E-009,4.94390E+000
1,1,31,100.00000E-003,815.25200E-006,5.05085E+000,-149.99940E-003,936.86000E-009,5.05085E+000
