Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,505.93600E-006,79.29500E-003,-299.91200E-003,-62.12540E-009,79.29500E-003
1,1,2,99.99990E-003,504.78500E-006,199.55600E-003,-294.96000E-003,30.38820E-009,199.55600E-003
1,1,3,100.00000E-003,503.60400E-006,323.84100E-003,-290.01900E-003,67.14940E-009,323.84100E-003
1,1,4,100.00000E-003,502.38000E-006,552.78800E-003,-285.00000E-003,27.62000E-009,552.78800E-003
1,1,5,100.00000E-003,501.09000E-006,699.50500E-003,-280.05400E-003,84.94930E-009,699.50500E-003
1,1,6,100.00000E-003,499.84800E-006,930.11700E-003,-275.00100E-003,46.84000E-009,930.11700E-003
1,1,7,100.00000E-003,498.53500E-006,1.17001E+000,-270.00000E-003,54.36000E-009,1.17001E+000
1,1,8,100.00000E-003,497.28300E-006,1.27669E+000,-264.99900E-003,113.04600E-009,1.27669E+000
1,1,9,100.00000E-003,495.92000E-006,1.50544E+000,-260.00000E-003,81.93000E-009,1.50544E+000
1,1,10,100.00000E-003,494.57900E-006,1.73383E+000,-255.00100E-003,81.64000E-009,1.73383E+000
1,1,11,100.00000E-003,493.22200E-006,1.95942E+000,-250.00100E-003,86.56000E-009,1.95942E+000
1,1,12,100.00000E-003,491.90000E-006,2.07017E+000,-244.99700E-003,142.42400E-009,2.07017E+000
1,1,13,99.99990E-003,490.50200E-006,2.29934E+000,-240.00100E-003,111.16000E-009,2.29934E+000
1,1,14,100.00000E-003,489.07200E-006,2.52503E+000,-235.00100E-003,112.16000E-009,2.52503E+000
1,1,15,100.00000E-003,487.63700E-006,2.77062E+000,-230.00100E-003,114.01000E-009,2.77062E+000
1,1,16,100.00000E-003,486.22000E-006,2.99826E+000,-225.00100E-003,117.21000E-009,2.99826E+000
1,1,17,100.00000E-003,484.77400E-006,3.23154E+000,-220.00000E-003,127.64000E-009,3.23154E+000
1,1,18,100.00000E-003,483.40900E-006,3.33831E+000,-214.99800E-003,189.87800E-009,3.33831E+000
1,1,19,100.00000E-003,482.00800E-006,3.44774E+000,-209.99810E-003,220.25500E-009,3.44774E+000
1,1,20,100.00000E-003,480.57900E-006,3.55715E+000,-204.99800E-003,242.84500E-009,3.55715E+000
1,1,21,100.00000E-003,479.04900E-006,3.75930E+000,-200.02530E-003,232.07500E-009,3.75930E+000
1,1,22,100.00000E-003,477.58500E-006,3.86987E+000,-194.99750E-003,254.21800E-009,3.86987E+000
1,1,23,100.00000E-003,476.10100E-006,3.97930E+000,-189.99840E-003,281.37400E-009,3.97930E+000
1,1,24,100.00000E-003,474.61600E-006,4.08870E+000,-184.99770E-003,299.41200E-009,4.08870E+000
1,1,25,100.00000E-003,473.09800E-006,4.19818E+000,-179.99780E-003,318.63900E-009,4.19818E+000
1,1,26,100.00000E-003,471.57800E-006,4.30769E+000,-174.99840E-003,334.73600E-009,4.30769E+000
1,1,27,100.00000E-003,470.02200E-006,4.41709E+000,-169.99720E-003,350.76700E-009,4.41709E+000
1,1,28,100.00000E-003,468.47600E-006,4.52655E+000,-164.99860E-003,366.56700E-009,4.52655E+000
1,1,29,100.00000E-003,466.89400E-006,4.63595E+000,-159.99720E-003,381.34400E-009,4.63595E+000
1,1,30,100.00000E-003,465.29800E-006,4.74928E+000,-154.99730E-003,391.68200E-009,4.74928E+000
1,1,31,100.00000E-003,463.70500E-006,4.86196E+000,-149.99820E-003,405.06500E-009,4.86196E+000
1,1,32,100.00000E-003,462.08900E-006,4.97305E+000,-144.99850E-003,418.28900E-009,4.97305E+000
1,1,33,100.00000E-003,460.44400E-006,5.08250E+000,-139.99740E-003,436.32500E-009,5.08250E+000
1,1,34,100.00000E-003,458.78800E-006,5.19189E+000,-134.99820E-003,449.83800E-009,5.19189E+000
1,1,35,100.00000E-003,457.11800E-006,5.30314E+000,-129.99740E-003,460.66500E-009,5.30314E+000
1,1,36,100.00000E-003,455.43800E-006,5.41256E+000,-124.99800E-003,477.39200E-009,5.41256E+000
1,1,37,100.00000E-003,453.75400E-006,5.52192E+000,-119.99840E-003,489.52400E-009,5.52192E+000
1,1,38,100.00000E-003,452.04800E-006,5.63133E+000,-114.99720E-003,504.42600E-009,5.63133E+000
1,1,39,100.00000E-003,450.32600E-006,5.74480E+000,-109.99790E-003,514.07900E-009,5.74480E+000
1,1,40,100.00000E-003,448.59100E-006,5.85420E+000,-104.99820E-003,524.99800E-009,5.85420E+000
1,1,41,100.00000E-003,446.84000E-006,5.96368E+000,-99.99740E-003,540.65500E-009,5.96368E+000
1,1,42,100.00000E-003,445.07000E-006,6.07307E+000,-94.99810E-003,550.50300E-009,6.07307E+000
1,1,43,100.00000E-003,443.28200E-006,6.19034E+000,-89.99900E-003,549.74500E-009,6.19034E+000
1,1,44,100.00000E-003,441.49400E-006,6.30100E+000,-84.99740E-003,567.05200E-009,6.30100E+000
1,1,45,99.99990E-003,439.70700E-006,6.40811E+000,-79.99980E-003,572.18000E-009,6.40811E+000
1,1,46,100.00000E-003,437.89500E-006,6.51450E+000,-74.99770E-003,597.41900E-009,6.51450E+000
1,1,47,100.00000E-003,436.06600E-006,6.62385E+000,-69.99890E-003,605.49200E-009,6.62385E+000
1,1,48,100.00000E-003,434.19500E-006,6.73654E+000,-64.99790E-003,611.43900E-009,6.73654E+000
