Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,244.22400E-006,186.30200E-003,-299.99900E-003,-202.02000E-009,186.30200E-003
1,1,2,100.00000E-003,243.86700E-006,412.34900E-003,-294.99900E-003,-165.46000E-009,412.34900E-003
1,1,3,100.00000E-003,243.47700E-006,638.92400E-003,-290.00000E-003,-141.37000E-009,638.92400E-003
1,1,4,100.00000E-003,243.07200E-006,901.02100E-003,-284.99900E-003,-126.96000E-009,901.02100E-003
1,1,5,100.00000E-003,242.70500E-006,1.12416E+000,-280.00000E-003,-108.73000E-009,1.12416E+000
1,1,6,100.00000E-003,242.19900E-006,1.26631E+000,-275.00900E-003,-88.89940E-009,1.26631E+000
1,1,7,100.00000E-003,241.78300E-006,1.39016E+000,-269.89700E-003,-49.99900E-009,1.39016E+000
1,1,8,100.00000E-003,241.24600E-006,1.51231E+000,-264.88000E-003,-22.11150E-009,1.51231E+000
1,1,9,100.00000E-003,240.75200E-006,1.63512E+000,-259.93200E-003,-6.95260E-009,1.63512E+000
1,1,10,99.99990E-003,240.49200E-006,1.78049E+000,-254.90900E-003,-10.05600E-009,1.78049E+000
1,1,11,100.00000E-003,240.28400E-006,1.90282E+000,-249.96800E-003,20.67990E-009,1.90282E+000
1,1,12,99.99990E-003,239.77600E-006,2.02245E+000,-244.99300E-003,40.30020E-009,2.02245E+000
1,1,13,100.00000E-003,239.27700E-006,2.14216E+000,-239.98400E-003,58.88600E-009,2.14216E+000
1,1,14,100.00000E-003,238.88300E-006,2.29519E+000,-234.97600E-003,48.86900E-009,2.29519E+000
1,1,15,100.00000E-003,238.37000E-006,2.41780E+000,-230.01800E-003,73.64290E-009,2.41780E+000
1,1,16,100.00000E-003,237.88200E-006,2.64730E+000,-225.00000E-003,21.02000E-009,2.64730E+000
1,1,17,100.00000E-003,237.36600E-006,2.80051E+000,-220.02000E-003,57.65700E-009,2.80051E+000
1,1,18,100.00000E-003,236.92300E-006,3.02907E+000,-215.00000E-003,28.10000E-009,3.02907E+000
1,1,19,100.00000E-003,236.34700E-006,3.28196E+000,-209.99990E-003,23.57000E-009,3.28196E+000
1,1,20,100.00000E-003,235.92500E-006,3.50753E+000,-205.00060E-003,27.22000E-009,3.50753E+000
1,1,21,100.00000E-003,235.50900E-006,3.73060E+000,-199.99960E-003,36.54000E-009,3.73060E+000
1,1,22,99.99990E-003,234.85900E-006,3.95962E+000,-195.00030E-003,38.49000E-009,3.95962E+000
1,1,23,99.99990E-003,234.41600E-006,4.18270E+000,-189.99990E-003,44.73000E-009,4.18270E+000
1,1,24,100.00000E-003,233.94400E-006,4.41188E+000,-184.99980E-003,49.21000E-009,4.41188E+000
1,1,25,100.00000E-003,233.60000E-006,4.63755E+000,-180.00120E-003,49.87000E-009,4.63755E+000
1,1,26,99.99990E-003,233.08200E-006,4.88147E+000,-175.00000E-003,56.14000E-009,4.88147E+000
1,1,27,99.99990E-003,232.62600E-006,5.10702E+000,-170.00090E-003,59.76000E-009,5.10702E+000
1,1,28,99.99990E-003,232.19200E-006,5.34683E+000,-165.00000E-003,66.01000E-009,5.34683E+000
1,1,29,100.00000E-003,231.74500E-006,5.57243E+000,-160.00120E-003,68.03000E-009,5.57243E+000
1,1,30,100.00000E-003,231.22800E-006,5.79810E+000,-155.00010E-003,77.85000E-009,5.79810E+000
1,1,31,100.00000E-003,230.60600E-006,6.02383E+000,-150.00110E-003,80.52000E-009,6.02383E+000
1,1,32,100.00000E-003,230.16200E-006,6.24938E+000,-145.00030E-003,87.07000E-009,6.24938E+000
1,1,33,100.00000E-003,229.54800E-006,6.47633E+000,-140.00050E-003,92.31000E-009,6.47633E+000
1,1,34,99.99990E-003,229.01500E-006,6.70191E+000,-135.00120E-003,94.97000E-009,6.70191E+000
1,1,35,100.00000E-003,228.43600E-006,6.92754E+000,-130.00030E-003,104.07000E-009,6.92754E+000
1,1,36,100.00000E-003,228.00400E-006,7.15304E+000,-125.00130E-003,105.12000E-009,7.15304E+000
1,1,37,100.00000E-003,227.39400E-006,7.29779E+000,-119.99870E-003,140.18000E-009,7.29779E+000
1,1,38,100.00000E-003,226.85200E-006,7.52693E+000,-115.00060E-003,126.35000E-009,7.52693E+000
1,1,39,100.00000E-003,226.23500E-006,7.75253E+000,-110.00140E-003,127.12000E-009,7.75253E+000
1,1,40,100.00000E-003,225.55400E-006,7.97832E+000,-105.00040E-003,132.15000E-009,7.97832E+000
1,1,41,100.00000E-003,225.02200E-006,8.08678E+000,-99.99760E-003,189.49200E-009,8.08678E+000
1,1,42,99.99990E-003,224.44800E-006,8.29604E+000,-95.00000E-003,166.26500E-009,8.29604E+000
1,1,43,100.00000E-003,223.84600E-006,8.52629E+000,-90.00100E-003,155.34000E-009,8.52629E+000
1,1,44,100.00000E-003,223.28200E-006,8.75187E+000,-85.00140E-003,155.21000E-009,8.75187E+000
1,1,45,100.00000E-003,222.63600E-006,8.98249E+000,-80.00100E-003,155.46000E-009,8.98249E+000
1,1,46,100.00000E-003,221.96200E-006,9.08904E+000,-74.99790E-003,216.23000E-009,9.08904E+000
1,1,47,100.00000E-003,221.33300E-006,9.29802E+000,-70.00000E-003,192.59600E-009,9.29802E+000
1,1,48,100.00000E-003,220.74200E-006,9.40741E+000,-64.99760E-003,237.20100E-009,9.40741E+000
1,1,49,100.00000E-003,220.03100E-006,9.52217E+000,-59.99800E-003,255.63200E-009,9.52217E+000
1,1,50,100.00000E-003,219.41100E-006,9.75275E+000,-55.00160E-003,208.86000E-009,9.75275E+000
1,1,51,100.00000E-003,218.79200E-006,9.85946E+000,-49.99710E-003,259.47500E-009,9.85946E+000
1,1,52,100.00000E-003,218.11300E-006,9.96888E+000,-44.99880E-003,280.16600E-009,9.96888E+000
1,1,53,100.00000E-003,217.50200E-006,10.19925E+000,-40.00140E-003,229.60000E-009,10.19925E+000
1,1,54,99.99990E-003,216.71700E-006,10.30558E+000,-34.99800E-003,281.02100E-009,10.30558E+000
1,1,55,100.00010E-003,215.92800E-006,10.53433E+000,-30.00160E-003,235.63000E-009,10.53433E+000
1,1,56,100.00000E-003,215.27300E-006,10.64070E+000,-24.99740E-003,286.28600E-009,10.64070E+000
1,1,57,100.00000E-003,214.45300E-006,10.75160E+000,-19.99920E-003,303.58200E-009,10.75160E+000
1,1,58,100.00000E-003,213.74800E-006,10.86134E+000,-14.99680E-003,318.31500E-009,10.86134E+000
1,1,59,100.00000E-003,213.04200E-006,10.97081E+000,-9.99800E-003,333.06600E-009,10.97081E+000
1,1,60,100.00000E-003,212.28500E-006,11.08039E+000,-4.99860E-003,341.56100E-009,11.08039E+000
1,1,61,99.99990E-003,211.57100E-006,11.18970E+000,2.10000E-006,355.09300E-009,11.18970E+000
