Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,221.50500E-006,186.44100E-003,-299.99900E-003,-106.28000E-009,186.44100E-003
1,1,2,100.00000E-003,220.86500E-006,409.87000E-003,-295.00000E-003,-85.66000E-009,409.87000E-003
1,1,3,100.00000E-003,220.14300E-006,529.26000E-003,-289.86200E-003,-52.34570E-009,529.26000E-003
1,1,4,100.00000E-003,219.45600E-006,652.21900E-003,-284.90600E-003,-28.49840E-009,652.21900E-003
1,1,5,100.00000E-003,218.75500E-006,797.14100E-003,-279.90200E-003,-17.58620E-009,797.14100E-003
1,1,6,100.00000E-003,218.04000E-006,919.37400E-003,-274.94900E-003,5.34590E-009,919.37400E-003
1,1,7,100.00000E-003,217.31500E-006,1.04147E+000,-269.97600E-003,21.04780E-009,1.04147E+000
1,1,8,100.00000E-003,216.59800E-006,1.16368E+000,-264.96000E-003,39.41130E-009,1.16368E+000
1,1,9,100.00010E-003,215.88700E-006,1.29355E+000,-259.99000E-003,45.32950E-009,1.29355E+000
1,1,10,100.00000E-003,215.14300E-006,1.41614E+000,-254.99400E-003,62.29650E-009,1.41614E+000
1,1,11,100.00000E-003,214.39600E-006,1.53825E+000,-250.04200E-003,68.85640E-009,1.53825E+000
1,1,12,100.00000E-003,213.65600E-006,1.66040E+000,-245.03600E-003,83.34280E-009,1.66040E+000
1,1,13,100.00000E-003,212.88600E-006,1.79982E+000,-240.04300E-003,80.14340E-009,1.79982E+000
1,1,14,100.00000E-003,212.12300E-006,2.03101E+000,-235.00000E-003,35.09000E-009,2.03101E+000
1,1,15,100.00000E-003,211.32400E-006,2.28329E+000,-230.00000E-003,29.68000E-009,2.28329E+000
1,1,16,100.00000E-003,210.52700E-006,2.51193E+000,-225.00100E-003,31.09000E-009,2.51193E+000
1,1,17,100.00000E-003,209.75900E-006,2.73752E+000,-220.00000E-003,32.39000E-009,2.73752E+000
1,1,18,100.00000E-003,208.96400E-006,2.96822E+000,-215.00000E-003,37.61000E-009,2.96822E+000
1,1,19,100.00000E-003,208.18200E-006,3.19453E+000,-210.00030E-003,38.01000E-009,3.19453E+000
1,1,20,100.00000E-003,207.39400E-006,3.41900E+000,-205.00010E-003,44.31000E-009,3.41900E+000
1,1,21,100.00000E-003,206.57700E-006,3.64454E+000,-200.00030E-003,46.55000E-009,3.64454E+000
1,1,22,100.00000E-003,205.74400E-006,3.91111E+000,-195.00040E-003,44.92000E-009,3.91111E+000
1,1,23,100.00000E-003,204.92500E-006,4.13838E+000,-190.00060E-003,48.13000E-009,4.13838E+000
1,1,24,100.00000E-003,204.09600E-006,4.34410E+000,-185.01560E-003,58.96400E-009,4.34410E+000
1,1,25,100.00000E-003,203.25200E-006,4.57272E+000,-180.00080E-003,56.20000E-009,4.57272E+000
1,1,26,100.00000E-003,202.38200E-006,4.80131E+000,-175.00030E-003,63.78000E-009,4.80131E+000
1,1,27,100.00000E-003,201.53200E-006,5.02989E+000,-170.00020E-003,69.86000E-009,5.02989E+000
1,1,28,100.00010E-003,200.66100E-006,5.29083E+000,-164.99990E-003,70.41000E-009,5.29083E+000
