Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,240.71600E-006,77.51300E-003,-299.96000E-003,-66.38320E-009,77.51300E-003
1,1,2,100.00000E-003,240.14000E-006,197.52300E-003,-294.92600E-003,-24.72560E-009,197.52300E-003
1,1,3,100.00000E-003,239.56200E-006,317.17000E-003,-289.92000E-003,-5.66000E-009,317.17000E-003
1,1,4,100.00000E-003,238.97800E-006,436.80300E-003,-284.94100E-003,7.78980E-009,436.80300E-003
1,1,5,100.00000E-003,238.38400E-006,559.18500E-003,-279.97800E-003,16.79130E-009,559.18500E-003
1,1,6,100.00000E-003,237.78600E-006,694.98100E-003,-274.97800E-003,21.69250E-009,694.98100E-003
1,1,7,100.00000E-003,237.19400E-006,815.63300E-003,-269.94700E-003,37.52000E-009,815.63300E-003
1,1,8,100.00000E-003,236.59000E-006,935.77200E-003,-264.95200E-003,46.03210E-009,935.77200E-003
1,1,9,100.00000E-003,235.96300E-006,1.05924E+000,-259.99500E-003,51.79570E-009,1.05924E+000
1,1,10,100.00000E-003,235.31700E-006,1.18531E+000,-254.96200E-003,59.23030E-009,1.18531E+000
1,1,11,100.00000E-003,234.70200E-006,1.30744E+000,-250.00000E-003,65.58530E-009,1.30744E+000
1,1,12,100.00000E-003,234.08100E-006,1.42952E+000,-244.99000E-003,74.16840E-009,1.42952E+000
1,1,13,100.00000E-003,233.44500E-006,1.60399E+000,-240.01400E-003,17.77500E-009,1.60399E+000
1,1,14,100.00000E-003,232.77700E-006,1.78582E+000,-235.01300E-003,18.32500E-009,1.78582E+000
1,1,15,100.00000E-003,232.14200E-006,1.89525E+000,-229.99900E-003,66.56500E-009,1.89525E+000
1,1,16,100.00000E-003,231.48500E-006,2.07016E+000,-225.01700E-003,23.49600E-009,2.07016E+000
1,1,17,100.00000E-003,230.80300E-006,2.25514E+000,-220.00500E-003,48.50000E-009,2.25514E+000
1,1,18,100.00000E-003,230.14000E-006,2.43208E+000,-215.01600E-003,27.48100E-009,2.43208E+000
1,1,19,100.00010E-003,229.47700E-006,2.60902E+000,-210.01920E-003,24.78600E-009,2.60902E+000
1,1,20,100.00000E-003,228.80900E-006,2.78573E+000,-205.01810E-003,26.40400E-009,2.78573E+000
1,1,21,100.00000E-003,228.13400E-006,2.89509E+000,-199.99860E-003,86.82000E-009,2.89509E+000
1,1,22,100.00000E-003,227.43500E-006,3.06972E+000,-195.02210E-003,29.41800E-009,3.06972E+000
1,1,23,100.00000E-003,226.74600E-006,3.25147E+000,-190.02150E-003,31.08100E-009,3.25147E+000
1,1,24,99.99990E-003,226.05900E-006,3.36111E+000,-184.99860E-003,100.13000E-009,3.36111E+000
1,1,25,100.00000E-003,225.37400E-006,3.53805E+000,-180.02600E-003,34.34100E-009,3.53805E+000
1,1,26,100.00000E-003,224.65700E-006,3.68062E+000,-174.99900E-003,97.41400E-009,3.68062E+000
1,1,27,100.00010E-003,223.95700E-006,3.79030E+000,-169.99870E-003,117.03000E-009,3.79030E+000
1,1,28,100.00000E-003,223.25500E-006,3.89968E+000,-164.99820E-003,128.20700E-009,3.89968E+000
1,1,29,100.00000E-003,222.56300E-006,4.00902E+000,-159.99880E-003,136.94100E-009,4.00902E+000
1,1,30,99.99990E-003,221.86900E-006,4.11846E+000,-154.99790E-003,144.78300E-009,4.11846E+000
1,1,31,100.00000E-003,221.13700E-006,4.24254E+000,-149.99850E-003,146.19000E-009,4.24254E+000
1,1,32,100.00000E-003,220.40400E-006,4.35607E+000,-144.99890E-003,152.19100E-009,4.35607E+000
1,1,33,100.00000E-003,219.66700E-006,4.46874E+000,-139.99800E-003,160.36800E-009,4.46874E+000
1,1,34,100.00000E-003,218.92400E-006,4.57825E+000,-134.99830E-003,169.22000E-009,4.57825E+000
1,1,35,100.00000E-003,218.20000E-006,4.68781E+000,-129.99810E-003,175.75400E-009,4.68781E+000
1,1,36,100.00000E-003,217.45400E-006,4.79747E+000,-124.99790E-003,182.81300E-009,4.79747E+000
1,1,37,100.00000E-003,216.68200E-006,4.90863E+000,-119.99840E-003,186.65000E-009,4.90863E+000
1,1,38,100.00000E-003,215.92800E-006,5.02022E+000,-114.99880E-003,191.78900E-009,5.02022E+000
1,1,39,100.00000E-003,215.15400E-006,5.12962E+000,-109.99750E-003,201.55000E-009,5.12962E+000
1,1,40,100.00000E-003,214.38700E-006,5.23938E+000,-104.99810E-003,206.50600E-009,5.23938E+000
1,1,41,100.00000E-003,213.61600E-006,5.34878E+000,-99.99760E-003,213.83400E-009,5.34878E+000
1,1,42,100.00000E-003,212.83300E-006,5.45831E+000,-94.99770E-003,219.20200E-009,5.45831E+000
1,1,43,100.00000E-003,212.03400E-006,5.56797E+000,-89.99800E-003,225.34900E-009,5.56797E+000
1,1,44,100.00000E-003,211.22500E-006,5.68741E+000,-84.99810E-003,223.49100E-009,5.68741E+000
1,1,45,100.00000E-003,210.43900E-006,5.79679E+000,-79.99790E-003,235.01000E-009,5.79679E+000
1,1,46,100.00000E-003,209.64500E-006,5.90835E+000,-74.99830E-003,238.07400E-009,5.90835E+000
1,1,47,100.00000E-003,208.82300E-006,6.01962E+000,-69.99790E-003,244.67600E-009,6.01962E+000
1,1,48,100.00000E-003,208.01300E-006,6.12900E+000,-64.99740E-003,254.44300E-009,6.12900E+000
1,1,49,100.00000E-003,207.18600E-006,6.24117E+000,-59.99720E-003,258.32000E-009,6.24117E+000
1,1,50,100.00000E-003,206.33700E-006,6.35054E+000,-54.99770E-003,266.39500E-009,6.35054E+000
1,1,51,100.00000E-003,205.51300E-006,6.45993E+000,-49.99770E-003,273.00900E-009,6.45993E+000
