Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,613.36200E-006,76.88700E-003,-300.00100E-003,-24.70620E-009,76.88700E-003
1,1,2,100.00000E-003,611.94700E-006,198.71000E-003,-294.95200E-003,2.65620E-009,198.71000E-003
1,1,3,100.00000E-003,610.47800E-006,318.36900E-003,-289.94900E-003,14.48770E-009,318.36900E-003
1,1,4,100.00000E-003,609.07500E-006,427.76100E-003,-285.00000E-003,21.96400E-009,427.76100E-003
1,1,5,100.00000E-003,607.47600E-006,544.46100E-003,-279.96700E-003,33.03370E-009,544.46100E-003
1,1,6,100.00000E-003,605.86600E-006,687.00100E-003,-274.96600E-003,29.79250E-009,687.00100E-003
1,1,7,100.00000E-003,604.38700E-006,796.41700E-003,-270.00000E-003,38.50900E-009,796.41700E-003
1,1,8,99.99990E-003,602.77000E-006,913.29300E-003,-264.95800E-003,49.90320E-009,913.29300E-003
1,1,9,100.00000E-003,601.18600E-006,1.03313E+000,-259.94400E-003,54.48730E-009,1.03313E+000
1,1,10,100.00000E-003,599.52400E-006,1.18735E+000,-254.97200E-003,47.10750E-009,1.18735E+000
1,1,11,100.00000E-003,598.02600E-006,1.29882E+000,-250.00000E-003,54.39000E-009,1.29882E+000
1,1,12,99.99990E-003,596.40900E-006,1.41549E+000,-244.94900E-003,67.93360E-009,1.41549E+000
1,1,13,100.00000E-003,594.72800E-006,1.53513E+000,-239.94900E-003,72.04790E-009,1.53513E+000
1,1,14,100.00000E-003,593.14400E-006,1.67667E+000,-235.00000E-003,59.34300E-009,1.67667E+000
1,1,15,100.00000E-003,591.61200E-006,1.78032E+000,-230.00000E-003,74.21600E-009,1.78032E+000
1,1,16,100.00000E-003,589.81100E-006,1.95183E+000,-225.00400E-003,50.89500E-009,1.95183E+000
1,1,17,100.00000E-003,588.10800E-006,2.12328E+000,-220.00500E-003,46.84300E-009,2.12328E+000
1,1,18,100.00000E-003,586.56000E-006,2.22714E+000,-215.00000E-003,80.59400E-009,2.22714E+000
1,1,19,100.00000E-003,584.99500E-006,2.33286E+000,-209.99940E-003,87.68200E-009,2.33286E+000
1,1,20,100.00000E-003,583.21700E-006,2.50427E+000,-205.00460E-003,60.76600E-009,2.50427E+000
1,1,21,100.00000E-003,581.63100E-006,2.60787E+000,-199.99940E-003,93.72800E-009,2.60787E+000
1,1,22,100.00000E-003,579.76800E-006,2.78569E+000,-195.00420E-003,68.04000E-009,2.78569E+000
1,1,23,100.00000E-003,577.92200E-006,2.95713E+000,-190.00520E-003,63.87300E-009,2.95713E+000
1,1,24,100.00000E-003,576.34500E-006,3.06069E+000,-184.99930E-003,101.64300E-009,3.06069E+000
1,1,25,100.00000E-003,574.66300E-006,3.17708E+000,-179.99950E-003,105.04100E-009,3.17708E+000
1,1,26,100.00000E-003,572.94500E-006,3.28067E+000,-174.99910E-003,117.38000E-009,3.28067E+000
1,1,27,99.99990E-003,571.24300E-006,3.38422E+000,-169.99910E-003,124.95400E-009,3.38422E+000
1,1,28,100.00000E-003,569.49100E-006,3.48778E+000,-164.99920E-003,131.37600E-009,3.48778E+000
1,1,29,100.00000E-003,567.75000E-006,3.59135E+000,-159.99910E-003,137.51400E-009,3.59135E+000
