Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,604.43000E-006,76.60600E-003,-299.92600E-003,-49.92260E-009,76.60600E-003
1,1,2,100.00000E-003,602.83200E-006,199.65900E-003,-294.97100E-003,3.06570E-009,199.65900E-003
1,1,3,100.00000E-003,601.22300E-006,319.90400E-003,-289.95800E-003,34.67060E-009,319.90400E-003
1,1,4,100.00000E-003,599.53100E-006,442.12400E-003,-284.96600E-003,52.72550E-009,442.12400E-003
1,1,5,100.00010E-003,597.86700E-006,564.25500E-003,-280.02000E-003,65.10390E-009,564.25500E-003
1,1,6,100.00000E-003,596.23700E-006,692.12100E-003,-274.99500E-003,78.12120E-009,692.12100E-003
1,1,7,100.00000E-003,594.59800E-006,922.72600E-003,-270.00000E-003,34.69000E-009,922.72600E-003
1,1,8,100.00000E-003,592.93700E-006,1.17587E+000,-265.00000E-003,33.05000E-009,1.17587E+000
1,1,9,100.00000E-003,591.25700E-006,1.40140E+000,-260.00100E-003,35.35000E-009,1.40140E+000
1,1,10,100.00000E-003,589.56100E-006,1.62688E+000,-255.00000E-003,43.07000E-009,1.62688E+000
1,1,11,100.00000E-003,587.84100E-006,1.85350E+000,-250.00100E-003,45.60000E-009,1.85350E+000
1,1,12,100.00000E-003,586.06800E-006,2.07666E+000,-245.00000E-003,51.74000E-009,2.07666E+000
1,1,13,100.00000E-003,584.26300E-006,2.30471E+000,-240.00100E-003,54.80000E-009,2.30471E+000
1,1,14,100.00000E-003,582.47700E-006,2.52778E+000,-235.00000E-003,60.11000E-009,2.52778E+000
1,1,15,100.00000E-003,580.75200E-006,2.72398E+000,-230.01900E-003,34.56400E-009,2.72398E+000
1,1,16,100.00000E-003,578.98700E-006,2.95256E+000,-225.00100E-003,65.51000E-009,2.95256E+000
1,1,17,100.00000E-003,577.10500E-006,3.17946E+000,-220.00100E-003,69.47000E-009,3.17946E+000
1,1,18,99.99990E-003,575.29700E-006,3.40586E+000,-215.00100E-003,76.25000E-009,3.40586E+000
1,1,19,100.00000E-003,573.55800E-006,3.63133E+000,-210.00080E-003,75.05000E-009,3.63133E+000
1,1,20,100.00000E-003,571.73200E-006,3.85690E+000,-205.00010E-003,84.23000E-009,3.85690E+000
1,1,21,100.00000E-003,569.81100E-006,4.08241E+000,-200.00130E-003,83.03000E-009,4.08241E+000
1,1,22,100.00000E-003,567.90200E-006,4.30915E+000,-195.00010E-003,92.56000E-009,4.30915E+000
1,1,23,100.00000E-003,566.03700E-006,4.53471E+000,-190.00140E-003,90.65000E-009,4.53471E+000
1,1,24,100.00000E-003,564.08900E-006,4.79538E+000,-185.00050E-003,92.25000E-009,4.79538E+000
1,1,25,100.00000E-003,562.14500E-006,5.02100E+000,-180.00080E-003,98.93000E-009,5.02100E+000
1,1,26,100.00000E-003,560.20300E-006,5.24686E+000,-175.00110E-003,104.88000E-009,5.24686E+000
