Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,876.41800E-006,185.81600E-003,-299.99800E-003,-398.81000E-009,185.81600E-003
1,1,2,100.00000E-003,873.65100E-006,363.78800E-003,-293.97800E-003,-241.45100E-009,363.78800E-003
1,1,3,100.00000E-003,870.86300E-006,592.02300E-003,-288.00000E-003,-189.52000E-009,592.02300E-003
1,1,4,100.00000E-003,867.88900E-006,711.60000E-003,-281.86500E-003,-11.32060E-009,711.60000E-003
1,1,5,100.00000E-003,865.07600E-006,836.00800E-003,-276.05400E-003,72.59160E-009,836.00800E-003
1,1,6,100.00000E-003,862.22300E-006,1.07049E+000,-270.00000E-003,-7.85000E-009,1.07049E+000
1,1,7,100.00000E-003,859.21300E-006,1.27871E+000,-263.99700E-003,42.10400E-009,1.27871E+000
1,1,8,100.00000E-003,856.20200E-006,1.50735E+000,-258.00100E-003,45.31000E-009,1.50735E+000
1,1,9,99.99990E-003,853.14100E-006,1.73590E+000,-252.00000E-003,82.19000E-009,1.73590E+000
1,1,10,100.00000E-003,850.10900E-006,1.96960E+000,-246.00000E-003,111.42000E-009,1.96960E+000
1,1,11,100.00000E-003,847.00000E-006,2.19830E+000,-240.00000E-003,133.60000E-009,2.19830E+000
1,1,12,100.00000E-003,843.91000E-006,2.44815E+000,-234.00100E-003,154.05000E-009,2.44815E+000
1,1,13,100.00000E-003,840.78100E-006,2.55758E+000,-228.00200E-003,296.58100E-009,2.55758E+000
1,1,14,100.00000E-003,837.61400E-006,2.66699E+000,-221.99900E-003,372.51100E-009,2.66699E+000
1,1,15,100.00000E-003,834.44500E-006,2.79123E+000,-216.00300E-003,403.61500E-009,2.79123E+000
1,1,16,100.00000E-003,831.27000E-006,2.90108E+000,-209.99950E-003,467.87600E-009,2.90108E+000
1,1,17,100.00000E-003,827.94600E-006,3.01078E+000,-204.00180E-003,520.31200E-009,3.01078E+000
1,1,18,100.00000E-003,824.75000E-006,3.12013E+000,-198.00170E-003,560.77600E-009,3.12013E+000
1,1,19,100.00000E-003,821.38500E-006,3.23087E+000,-192.00120E-003,600.63700E-009,3.23087E+000
1,1,20,100.00000E-003,818.03600E-006,3.34570E+000,-186.00140E-003,631.86800E-009,3.34570E+000
1,1,21,100.00000E-003,814.62900E-006,3.45514E+000,-179.99970E-003,644.70000E-009,3.45514E+000
1,1,22,100.00000E-003,811.06700E-006,3.62032E+000,-174.00220E-003,566.35000E-009,3.62032E+000
1,1,23,100.00000E-003,807.68500E-006,3.72717E+000,-167.99970E-003,655.70000E-009,3.72717E+000
1,1,24,100.00000E-003,804.13300E-006,3.83916E+000,-161.99960E-003,694.11000E-009,3.83916E+000
1,1,25,100.00000E-003,800.62200E-006,3.94602E+000,-155.99960E-003,730.22000E-009,3.94602E+000
1,1,26,100.00000E-003,797.05700E-006,4.05294E+000,-149.99970E-003,761.23000E-009,4.05294E+000
1,1,27,100.00000E-003,793.40500E-006,4.16172E+000,-143.99950E-003,786.55000E-009,4.16172E+000
1,1,28,100.00000E-003,789.70900E-006,4.29106E+000,-137.99960E-003,758.88000E-009,4.29106E+000
1,1,29,100.00000E-003,786.02200E-006,4.39796E+000,-131.99950E-003,811.80000E-009,4.39796E+000
1,1,30,100.00000E-003,782.31400E-006,4.50480E+000,-125.99950E-003,842.69000E-009,4.50480E+000
1,1,31,100.00000E-003,778.49300E-006,4.61169E+000,-119.99950E-003,868.84000E-009,4.61169E+000
1,1,32,100.00000E-003,774.69500E-006,4.72021E+000,-113.99970E-003,886.96000E-009,4.72021E+000
1,1,33,100.00000E-003,770.84100E-006,4.83563E+000,-107.99930E-003,901.04000E-009,4.83563E+000
1,1,34,100.00000E-003,766.91800E-006,4.94252E+000,-101.99950E-003,923.87000E-009,4.94252E+000
1,1,35,100.00000E-003,762.90100E-006,5.05201E+000,-95.99970E-003,937.54000E-009,5.05201E+000
1,1,36,100.00000E-003,758.88000E-006,5.15884E+000,-89.99950E-003,959.58000E-009,5.15884E+000
