Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,666.60000E-006,185.99200E-003,-299.99800E-003,-547.52000E-009,185.99200E-003
1,1,2,100.00000E-003,666.40900E-006,414.95100E-003,-294.00000E-003,-411.79000E-009,414.95100E-003
1,1,3,100.00000E-003,666.12400E-006,591.88000E-003,-287.99000E-003,-375.51200E-009,591.88000E-003
1,1,4,100.00000E-003,665.86900E-006,779.05000E-003,-282.01100E-003,-296.60100E-009,779.05000E-003
1,1,5,100.00000E-003,665.62800E-006,954.85400E-003,-275.98300E-003,-135.58200E-009,954.85400E-003
1,1,6,100.00000E-003,665.33800E-006,1.13341E+000,-269.99400E-003,-106.13300E-009,1.13341E+000
1,1,7,100.00000E-003,665.00400E-006,1.27933E+000,-263.79700E-003,-36.00930E-009,1.27933E+000
1,1,8,100.00000E-003,664.76300E-006,1.40155E+000,-258.04700E-003,52.18370E-009,1.40155E+000
1,1,9,100.00000E-003,664.58600E-006,1.63187E+000,-251.99900E-003,-44.36000E-009,1.63187E+000
1,1,10,100.00000E-003,664.35600E-006,1.88802E+000,-246.00200E-003,-28.82000E-009,1.88802E+000
1,1,11,100.00000E-003,664.08700E-006,2.11871E+000,-240.00000E-003,-17.57000E-009,2.11871E+000
1,1,12,100.00000E-003,663.84000E-006,2.34735E+000,-233.99900E-003,13.91000E-009,2.34735E+000
1,1,13,100.00000E-003,663.61100E-006,2.57611E+000,-228.00100E-003,51.42000E-009,2.57611E+000
1,1,14,100.00000E-003,663.37500E-006,2.78119E+000,-222.02600E-003,103.33600E-009,2.78119E+000
1,1,15,100.00000E-003,663.06300E-006,3.01089E+000,-216.00000E-003,102.92000E-009,3.01089E+000
1,1,16,100.00000E-003,662.76400E-006,3.23864E+000,-209.99920E-003,118.17100E-009,3.23864E+000
1,1,17,100.00000E-003,662.50100E-006,3.41635E+000,-204.02160E-003,136.86800E-009,3.41635E+000
1,1,18,100.00000E-003,662.20100E-006,3.59423E+000,-198.01370E-003,208.57200E-009,3.59423E+000
1,1,19,100.00000E-003,661.97200E-006,3.70981E+000,-191.99560E-003,312.52000E-009,3.70981E+000
1,1,20,100.00000E-003,661.71200E-006,3.90095E+000,-186.01330E-003,377.26000E-009,3.90095E+000
1,1,21,100.00000E-003,661.42200E-006,4.01033E+000,-180.00050E-003,393.67300E-009,4.01033E+000
1,1,22,100.00000E-003,661.13100E-006,4.11973E+000,-174.00580E-003,460.46600E-009,4.11973E+000
1,1,23,100.00000E-003,660.82300E-006,4.22911E+000,-168.00360E-003,502.27600E-009,4.22911E+000
1,1,24,100.00000E-003,660.54600E-006,4.34330E+000,-162.00130E-003,547.49000E-009,4.34330E+000
1,1,25,100.00000E-003,660.26300E-006,4.45267E+000,-156.00810E-003,594.89700E-009,4.45267E+000
1,1,26,100.00000E-003,659.93300E-006,4.61373E+000,-150.00150E-003,516.08000E-009,4.61373E+000
1,1,27,100.00000E-003,659.60100E-006,4.72317E+000,-144.00430E-003,629.43800E-009,4.72317E+000
1,1,28,100.00000E-003,659.29500E-006,4.83768E+000,-138.00790E-003,673.66800E-009,4.83768E+000
1,1,29,100.00000E-003,658.97200E-006,5.00200E+000,-132.00550E-003,548.12000E-009,5.00200E+000
1,1,30,100.00000E-003,658.65600E-006,5.16325E+000,-126.00210E-003,585.24000E-009,5.16325E+000
1,1,31,100.00000E-003,658.34700E-006,5.34749E+000,-120.00150E-003,565.27000E-009,5.34749E+000
1,1,32,100.00000E-003,658.01500E-006,5.50854E+000,-114.00210E-003,573.55000E-009,5.50854E+000
1,1,33,100.00000E-003,657.63300E-006,5.67012E+000,-108.00330E-003,589.59000E-009,5.67012E+000
1,1,34,100.00000E-003,657.32600E-006,5.85009E+000,-102.00310E-003,588.18000E-009,5.85009E+000
1,1,35,100.00000E-003,656.92600E-006,6.01112E+000,-96.00200E-003,607.65000E-009,6.01112E+000
1,1,36,100.00000E-003,656.59200E-006,6.17214E+000,-90.00310E-003,614.24000E-009,6.17214E+000
1,1,37,100.00000E-003,656.20100E-006,6.35032E+000,-84.00330E-003,621.20000E-009,6.35032E+000
