Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,87.15700E-003,1.00000E-003,77.14000E-003,-299.85600E-003,-48.19570E-009,77.14000E-003
1,1,2,87.25360E-003,1.00000E-003,307.26100E-003,-294.00000E-003,41.09000E-009,307.26100E-003
1,1,3,87.33720E-003,1.00000E-003,536.49000E-003,-288.00000E-003,94.25000E-009,536.49000E-003
1,1,4,87.47310E-003,1.00000E-003,812.71700E-003,-282.00000E-003,95.45000E-009,812.71700E-003
1,1,5,87.66600E-003,1.00000E-003,924.23900E-003,-276.00000E-003,309.38500E-009,924.23900E-003
1,1,6,87.76880E-003,1.00000E-003,1.03366E+000,-270.00100E-003,407.65300E-009,1.03366E+000
1,1,7,88.05030E-003,1.00000E-003,1.17604E+000,-264.00100E-003,368.95900E-009,1.17604E+000
1,1,8,88.20810E-003,1.00000E-003,1.28625E+000,-258.00000E-003,479.75500E-009,1.28625E+000
1,1,9,88.34550E-003,1.00000E-003,1.39586E+000,-252.00300E-003,528.02600E-009,1.39586E+000
1,1,10,88.46880E-003,1.00000E-003,1.50692E+000,-246.00100E-003,560.13800E-009,1.50692E+000
1,1,11,88.59770E-003,1.00000E-003,1.61633E+000,-240.00200E-003,596.09900E-009,1.61633E+000
1,1,12,88.73260E-003,1.00000E-003,1.73232E+000,-234.00300E-003,617.37900E-009,1.73232E+000
1,1,13,88.87040E-003,1.00000E-003,1.84364E+000,-228.00400E-003,636.35100E-009,1.84364E+000
1,1,14,89.00720E-003,1.00000E-003,1.95461E+000,-222.00100E-003,663.10500E-009,1.95461E+000
1,1,15,89.15200E-003,1.00000E-003,2.06320E+000,-215.99900E-003,678.92000E-009,2.06320E+000
1,1,16,89.29410E-003,1.00000E-003,2.17555E+000,-209.99940E-003,682.38000E-009,2.17555E+000
1,1,17,89.45350E-003,1.00000E-003,2.28244E+000,-203.99910E-003,728.24000E-009,2.28244E+000
1,1,18,89.61850E-003,1.00000E-003,2.38934E+000,-197.99910E-003,755.38000E-009,2.38934E+000
1,1,19,89.77150E-003,1.00000E-003,2.49809E+000,-191.99910E-003,770.39000E-009,2.49809E+000
1,1,20,89.90660E-003,1.00000E-003,2.60528E+000,-185.99920E-003,797.53000E-009,2.60528E+000
1,1,21,90.04740E-003,1.00000E-003,2.71878E+000,-179.99920E-003,809.91000E-009,2.71878E+000
1,1,22,90.21140E-003,1.00000E-003,2.82566E+000,-173.99910E-003,837.97000E-009,2.82566E+000
1,1,23,90.37100E-003,1.00000E-003,2.93253E+000,-167.99910E-003,862.10000E-009,2.93253E+000
1,1,24,90.52320E-003,1.00000E-003,3.03948E+000,-161.99890E-003,885.40000E-009,3.03948E+000
1,1,25,90.68080E-003,1.00000E-003,3.18121E+000,-155.99920E-003,786.34000E-009,3.18121E+000
1,1,26,90.85280E-003,1.00000E-003,3.28810E+000,-149.99920E-003,883.57000E-009,3.28810E+000
1,1,27,91.01860E-003,1.00000E-003,3.39552E+000,-143.99890E-003,924.97000E-009,3.39552E+000
1,1,28,91.16270E-003,1.00000E-003,3.50385E+000,-137.99880E-003,954.10000E-009,3.50385E+000
1,1,29,91.29640E-003,1.00000E-003,3.61073E+000,-131.99880E-003,984.32000E-009,3.61073E+000
1,1,30,91.45240E-003,1.00000E-003,3.72379E+000,-125.99950E-003,995.12000E-009,3.72379E+000
1,1,31,91.62850E-003,1.00000E-003,3.83065E+000,-119.99900E-003,1.02958E-006,3.83065E+000
1,1,32,91.83260E-003,1.00000E-003,3.93751E+000,-113.99890E-003,1.05598E-006,3.93751E+000
1,1,33,92.06740E-003,1.00000E-003,4.04451E+000,-107.99900E-003,1.07798E-006,4.04451E+000
1,1,34,92.31940E-003,1.00000E-003,4.18698E+000,-101.99940E-003,968.44000E-009,4.18698E+000
1,1,35,92.52780E-003,1.00000E-003,4.29550E+000,-95.99940E-003,1.05371E-006,4.29550E+000
1,1,36,92.73930E-003,1.00000E-003,4.40240E+000,-89.99890E-003,1.09456E-006,4.40240E+000
1,1,37,92.95440E-003,1.00000E-003,4.51036E+000,-83.99890E-003,1.11789E-006,4.51036E+000
1,1,38,93.16590E-003,1.00000E-003,4.61721E+000,-77.99910E-003,1.13738E-006,4.61721E+000
1,1,39,93.38670E-003,1.00000E-003,4.72487E+000,-71.99900E-003,1.15574E-006,4.72487E+000
1,1,40,93.61400E-003,1.00000E-003,4.83174E+000,-65.99870E-003,1.17380E-006,4.83174E+000
1,1,41,93.83810E-003,1.00000E-003,4.93859E+000,-59.99880E-003,1.18558E-006,4.93859E+000
1,1,42,94.07740E-003,1.00000E-003,5.04587E+000,-53.99870E-003,1.19498E-006,5.04587E+000
1,1,43,94.32120E-003,1.00000E-003,5.19073E+000,-47.99970E-003,1.07632E-006,5.19073E+000
1,1,44,94.57690E-003,1.00000E-003,5.29761E+000,-41.99890E-003,1.16079E-006,5.29761E+000
1,1,45,94.82760E-003,1.00000E-003,5.40451E+000,-35.99910E-003,1.18924E-006,5.40451E+000
1,1,46,95.08560E-003,1.00000E-003,5.51146E+000,-29.99900E-003,1.20849E-006,5.51146E+000
1,1,47,95.34510E-003,1.00000E-003,5.62211E+000,-23.99960E-003,1.20472E-006,5.62211E+000
1,1,48,95.61320E-003,1.00000E-003,5.73921E+000,-17.99870E-003,1.21015E-006,5.73921E+000
