Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,95.46270E-003,1.00000E-003,131.77100E-003,-299.98600E-003,-63.81900E-009,131.77100E-003
1,1,2,95.81140E-003,1.00000E-003,360.94300E-003,-294.00000E-003,3.90000E-009,360.94300E-003
1,1,3,96.17780E-003,1.00000E-003,591.81900E-003,-288.00000E-003,65.71000E-009,591.81900E-003
1,1,4,96.53810E-003,1.00000E-003,849.64300E-003,-282.00000E-003,81.44000E-009,849.64300E-003
1,1,5,96.89960E-003,1.00000E-003,1.02887E+000,-276.02600E-003,215.95500E-009,1.02887E+000
1,1,6,97.27440E-003,1.00000E-003,1.13839E+000,-269.99800E-003,364.47800E-009,1.13839E+000
1,1,7,97.64940E-003,1.00000E-003,1.27063E+000,-264.00000E-003,423.14700E-009,1.27063E+000
1,1,8,98.03280E-003,1.00000E-003,1.38007E+000,-258.00100E-003,482.15400E-009,1.38007E+000
1,1,9,98.41360E-003,999.99900E-006,1.48947E+000,-252.00000E-003,527.34600E-009,1.48947E+000
1,1,10,98.79510E-003,999.99400E-006,1.59887E+000,-246.00200E-003,562.71800E-009,1.59887E+000
1,1,11,99.18590E-003,999.95000E-006,1.73608E+000,-239.99700E-003,505.22600E-009,1.73608E+000
1,1,12,99.56190E-003,999.76500E-006,1.84548E+000,-234.00300E-003,590.62500E-009,1.84548E+000
1,1,13,99.88270E-003,999.00800E-006,1.95485E+000,-228.00100E-003,633.51000E-009,1.95485E+000
1,1,14,99.99890E-003,996.07600E-006,2.06208E+000,-222.00000E-003,655.78000E-009,2.06208E+000
1,1,15,100.00000E-003,991.91900E-006,2.16895E+000,-215.99900E-003,687.64000E-009,2.16895E+000
1,1,16,100.00000E-003,987.78900E-006,2.29656E+000,-209.99930E-003,688.06000E-009,2.29656E+000
1,1,17,100.00000E-003,983.58300E-006,2.40345E+000,-203.99910E-003,729.05000E-009,2.40345E+000
1,1,18,100.00000E-003,979.37300E-006,2.51030E+000,-197.99920E-003,758.40000E-009,2.51030E+000
1,1,19,100.00000E-003,975.10800E-006,2.61716E+000,-191.99880E-003,784.47000E-009,2.61716E+000
1,1,20,100.00000E-003,970.89100E-006,2.74324E+000,-185.99950E-003,735.51000E-009,2.74324E+000
1,1,21,100.00000E-003,966.61300E-006,2.85017E+000,-179.99910E-003,803.16000E-009,2.85017E+000
1,1,22,100.00000E-003,962.31000E-006,2.95708E+000,-173.99900E-003,834.26000E-009,2.95708E+000
1,1,23,100.00000E-003,957.96500E-006,3.06395E+000,-167.99890E-003,859.17000E-009,3.06395E+000
1,1,24,100.00000E-003,953.64200E-006,3.17081E+000,-161.99890E-003,883.98000E-009,3.17081E+000
1,1,25,100.00000E-003,949.28200E-006,3.28370E+000,-155.99900E-003,897.07000E-009,3.28370E+000
1,1,26,100.00000E-003,944.86400E-006,3.39059E+000,-149.99910E-003,924.78000E-009,3.39059E+000
1,1,27,99.99990E-003,940.43500E-006,3.49746E+000,-143.99900E-003,950.04000E-009,3.49746E+000
1,1,28,99.99990E-003,935.89900E-006,3.60433E+000,-137.99910E-003,973.20000E-009,3.60433E+000
1,1,29,100.00000E-003,931.44300E-006,3.74356E+000,-131.99940E-003,874.75000E-009,3.74356E+000
1,1,30,100.00000E-003,926.83200E-006,3.85045E+000,-125.99890E-003,970.06000E-009,3.85045E+000
1,1,31,100.00000E-003,922.29500E-006,3.95728E+000,-119.99890E-003,1.01161E-006,3.95728E+000
1,1,32,100.00000E-003,917.65000E-006,4.06571E+000,-113.99890E-003,1.03964E-006,4.06571E+000
1,1,33,100.00000E-003,912.98000E-006,4.17290E+000,-107.99860E-003,1.06241E-006,4.17290E+000
1,1,34,100.00000E-003,908.26800E-006,4.29199E+000,-101.99890E-003,1.06488E-006,4.29199E+000
1,1,35,100.00000E-003,903.51500E-006,4.39883E+000,-95.99870E-003,1.09285E-006,4.39883E+000
1,1,36,100.00000E-003,898.71100E-006,4.50601E+000,-89.99900E-003,1.11046E-006,4.50601E+000
1,1,37,100.00000E-003,893.88900E-006,4.61287E+000,-83.99870E-003,1.12892E-006,4.61287E+000
1,1,38,100.00000E-003,888.93100E-006,4.73716E+000,-77.99920E-003,1.07546E-006,4.73716E+000
1,1,39,100.00000E-003,884.08300E-006,4.84490E+000,-71.99890E-003,1.13182E-006,4.84490E+000
1,1,40,100.00000E-003,879.04700E-006,4.95175E+000,-65.99900E-003,1.15451E-006,4.95175E+000
1,1,41,100.00000E-003,874.08200E-006,5.05858E+000,-59.99880E-003,1.17228E-006,5.05858E+000
1,1,42,100.00000E-003,868.98800E-006,5.16544E+000,-53.99880E-003,1.18650E-006,5.16544E+000
1,1,43,100.00000E-003,863.84200E-006,5.28377E+000,-47.99900E-003,1.18223E-006,5.28377E+000
1,1,44,100.00000E-003,858.65600E-006,5.39066E+000,-41.99870E-003,1.20229E-006,5.39066E+000
1,1,45,100.00000E-003,853.45900E-006,5.49752E+000,-35.99870E-003,1.21593E-006,5.49752E+000
1,1,46,99.99990E-003,848.19400E-006,5.60438E+000,-29.99870E-003,1.23018E-006,5.60438E+000
1,1,47,100.00000E-003,842.82100E-006,5.74807E+000,-23.99910E-003,1.11567E-006,5.74807E+000
1,1,48,100.00000E-003,837.43800E-006,5.85497E+000,-17.99890E-003,1.19658E-006,5.85497E+000
1,1,49,100.00000E-003,832.04500E-006,5.96180E+000,-11.99870E-003,1.22691E-006,5.96180E+000
1,1,50,100.00000E-003,826.62000E-006,6.06864E+000,-5.99890E-003,1.24610E-006,6.06864E+000
1,1,51,100.00000E-003,821.14100E-006,6.17750E+000,600.00000E-009,1.25105E-006,6.17750E+000
1,1,52,100.00000E-003,815.62100E-006,6.28577E+000,6.00110E-003,1.26888E-006,6.28577E+000
1,1,53,100.00000E-003,809.97800E-006,6.39261E+000,12.00130E-003,1.28573E-006,6.39261E+000
1,1,54,100.00000E-003,804.35700E-006,6.49946E+000,18.00120E-003,1.29965E-006,6.49946E+000
1,1,55,100.00000E-003,798.69800E-006,6.60633E+000,24.00120E-003,1.31238E-006,6.60633E+000
1,1,56,100.00000E-003,792.92200E-006,6.74430E+000,30.00090E-003,1.22060E-006,6.74430E+000
1,1,57,100.00000E-003,787.13800E-006,6.85122E+000,36.00130E-003,1.28810E-006,6.85122E+000
1,1,58,100.00000E-003,781.35200E-006,6.95806E+000,42.00110E-003,1.31545E-006,6.95806E+000
1,1,59,100.00000E-003,775.52200E-006,7.06491E+000,48.00120E-003,1.33685E-006,7.06491E+000
1,1,60,100.00000E-003,769.64700E-006,7.17176E+000,54.00100E-003,1.35439E-006,7.17176E+000
1,1,61,100.00000E-003,763.77100E-006,7.29106E+000,60.00120E-003,1.34761E-006,7.29106E+000
1,1,62,100.00000E-003,757.86900E-006,7.39792E+000,66.00100E-003,1.36745E-006,7.39792E+000
1,1,63,100.00000E-003,751.95700E-006,7.50480E+000,72.00110E-003,1.38151E-006,7.50480E+000
1,1,64,100.00000E-003,745.96900E-006,7.61166E+000,78.00130E-003,1.39286E-006,7.61166E+000
1,1,65,100.00000E-003,739.85400E-006,7.75127E+000,84.00110E-003,1.29183E-006,7.75127E+000
1,1,66,100.00000E-003,733.84200E-006,7.85817E+000,90.00110E-003,1.34923E-006,7.85817E+000
1,1,67,99.99990E-003,727.83700E-006,7.96502E+000,96.00120E-003,1.36848E-006,7.96502E+000
1,1,68,100.00000E-003,721.82000E-006,8.07193E+000,102.00100E-003,1.37682E-006,8.07193E+000
1,1,69,100.00000E-003,715.78300E-006,8.17876E+000,108.00140E-003,1.38461E-006,8.17876E+000
1,1,70,100.00000E-003,709.68100E-006,8.29092E+000,114.00110E-003,1.37688E-006,8.29092E+000
1,1,71,100.00000E-003,703.65700E-006,8.39780E+000,120.00120E-003,1.38189E-006,8.39780E+000
1,1,72,100.00000E-003,697.59100E-006,8.50465E+000,126.00120E-003,1.38436E-006,8.50465E+000
1,1,73,100.00000E-003,691.54500E-006,8.61150E+000,132.00150E-003,1.38746E-006,8.61150E+000
1,1,74,100.00000E-003,685.44400E-006,8.75034E+000,138.00100E-003,1.29440E-006,8.75034E+000
1,1,75,100.00000E-003,679.41900E-006,8.85725E+000,144.00100E-003,1.34582E-006,8.85725E+000
1,1,76,100.00000E-003,673.40000E-006,8.96416E+000,150.00100E-003,1.36559E-006,8.96416E+000
1,1,77,100.00000E-003,667.47500E-006,9.07103E+000,156.00120E-003,1.37964E-006,9.07103E+000
1,1,78,99.99990E-003,661.58100E-006,9.17785E+000,162.00130E-003,1.39067E-006,9.17785E+000
1,1,79,100.00000E-003,655.59700E-006,9.29694E+000,168.00100E-003,1.38457E-006,9.29694E+000
1,1,80,100.00000E-003,649.75600E-006,9.40381E+000,174.00110E-003,1.40118E-006,9.40381E+000
1,1,81,100.00000E-003,643.95500E-006,9.51066E+000,180.00120E-003,1.41533E-006,9.51066E+000
1,1,82,100.00000E-003,638.20800E-006,9.61794E+000,186.00120E-003,1.42709E-006,9.61794E+000
1,1,83,100.00000E-003,632.39700E-006,9.75723E+000,192.00080E-003,1.35879E-006,9.75723E+000
