Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,89.02560E-003,1.00000E-003,66.94700E-003,-299.98800E-003,-727.35800E-009,66.94700E-003
1,1,2,89.43850E-003,1.00000E-003,187.00600E-003,-293.81300E-003,-27.77700E-009,187.00600E-003
1,1,3,89.80560E-003,1.00000E-003,415.77700E-003,-288.00100E-003,-219.95000E-009,415.77700E-003
1,1,4,90.21390E-003,1.00000E-003,592.89900E-003,-282.01000E-003,-136.40700E-009,592.89900E-003
1,1,5,90.62280E-003,1.00000E-003,706.75600E-003,-276.00000E-003,349.63300E-009,706.75600E-003
1,1,6,91.04680E-003,1.00000E-003,820.16400E-003,-269.99700E-003,573.34100E-009,820.16400E-003
1,1,7,91.46790E-003,1.00000E-003,981.75000E-003,-264.00100E-003,443.46000E-009,981.75000E-003
1,1,8,91.89120E-003,1.00000E-003,1.16027E+000,-258.00000E-003,482.52000E-009,1.16027E+000
1,1,9,92.32810E-003,1.00000E-003,1.32166E+000,-252.00200E-003,595.59000E-009,1.32166E+000
1,1,10,92.77020E-003,1.00000E-003,1.48283E+000,-246.00300E-003,696.68000E-009,1.48283E+000
1,1,11,93.19750E-003,1.00000E-003,1.58973E+000,-239.99900E-003,1.07494E-006,1.58973E+000
1,1,12,93.63840E-003,1.00000E-003,1.70526E+000,-233.99800E-003,1.26484E-006,1.70526E+000
1,1,13,94.08930E-003,1.00000E-003,1.81376E+000,-227.99800E-003,1.40604E-006,1.81376E+000
1,1,14,94.55110E-003,1.00000E-003,1.92082E+000,-221.99800E-003,1.57681E-006,1.92082E+000
1,1,15,95.01000E-003,1.00000E-003,2.02765E+000,-215.99800E-003,1.72140E-006,2.02765E+000
1,1,16,95.47370E-003,1.00000E-003,2.16954E+000,-209.99920E-003,1.60080E-006,2.16954E+000
1,1,17,95.94360E-003,1.00000E-003,2.27671E+000,-203.99790E-003,1.87444E-006,2.27671E+000
1,1,18,96.43250E-003,1.00000E-003,2.38360E+000,-197.99790E-003,2.02912E-006,2.38360E+000
1,1,19,96.93340E-003,1.00000E-003,2.49044E+000,-191.99750E-003,2.16640E-006,2.49044E+000
1,1,20,97.43340E-003,1.00000E-003,2.59754E+000,-185.99720E-003,2.28395E-006,2.59754E+000
1,1,21,97.92200E-003,1.00000E-003,2.70826E+000,-179.99760E-003,2.38611E-006,2.70826E+000
1,1,22,98.43200E-003,999.99900E-006,2.81514E+000,-173.99740E-003,2.50050E-006,2.81514E+000
1,1,23,98.98370E-003,999.97900E-006,2.92198E+000,-167.99690E-003,2.61237E-006,2.92198E+000
1,1,24,99.50580E-003,999.79800E-006,3.02884E+000,-161.99710E-003,2.70932E-006,3.02884E+000
1,1,25,99.93960E-003,998.52900E-006,3.17208E+000,-155.99760E-003,2.54605E-006,3.17208E+000
1,1,26,100.00000E-003,993.44100E-006,3.27901E+000,-149.99700E-003,2.78363E-006,3.27901E+000
1,1,27,100.00000E-003,987.96100E-006,3.38590E+000,-143.99670E-003,2.92389E-006,3.38590E+000
1,1,28,100.00000E-003,982.32900E-006,3.49311E+000,-137.99690E-003,3.03604E-006,3.49311E+000
1,1,29,100.00000E-003,976.41700E-006,3.59999E+000,-131.99690E-003,3.14541E-006,3.59999E+000
1,1,30,100.00000E-003,970.13100E-006,3.71139E+000,-125.99640E-003,3.22782E-006,3.71139E+000
1,1,31,100.00000E-003,963.86400E-006,3.82002E+000,-119.99710E-003,3.30384E-006,3.82002E+000
1,1,32,100.00000E-003,957.74700E-006,3.92687E+000,-113.99650E-003,3.40825E-006,3.92687E+000
1,1,33,100.00000E-003,951.74200E-006,4.03371E+000,-107.99630E-003,3.49110E-006,4.03371E+000
1,1,34,100.00000E-003,945.60100E-006,4.17103E+000,-101.99680E-003,3.31799E-006,4.17103E+000
1,1,35,100.00000E-003,939.41400E-006,4.27797E+000,-95.99660E-003,3.51032E-006,4.27797E+000
1,1,36,100.00000E-003,933.16000E-006,4.38484E+000,-89.99670E-003,3.60987E-006,4.38484E+000
1,1,37,100.00000E-003,926.80400E-006,4.49173E+000,-83.99670E-003,3.68972E-006,4.49173E+000
1,1,38,100.00000E-003,920.57800E-006,4.59892E+000,-77.99670E-003,3.76327E-006,4.59892E+000
1,1,39,100.00000E-003,914.22800E-006,4.71457E+000,-71.99610E-003,3.78399E-006,4.71457E+000
1,1,40,100.00000E-003,907.86000E-006,4.82185E+000,-65.99620E-003,3.83957E-006,4.82185E+000
1,1,41,100.00000E-003,901.30100E-006,4.92941E+000,-59.99660E-003,3.88966E-006,4.92941E+000
1,1,42,100.00000E-003,894.62500E-006,5.03862E+000,-53.99750E-003,3.88625E-006,5.03862E+000
1,1,43,100.00000E-003,887.75000E-006,5.17579E+000,-47.99670E-003,3.73774E-006,5.17579E+000
1,1,44,100.00000E-003,880.80700E-006,5.28266E+000,-41.99650E-003,3.88661E-006,5.28266E+000
1,1,45,100.00000E-003,873.78600E-006,5.38953E+000,-35.99640E-003,3.95540E-006,5.38953E+000
1,1,46,100.00000E-003,866.80300E-006,5.49637E+000,-29.99640E-003,4.00415E-006,5.49637E+000
1,1,47,100.00000E-003,859.68000E-006,5.60324E+000,-23.99650E-003,4.04126E-006,5.60324E+000
1,1,48,100.00000E-003,852.51700E-006,5.71859E+000,-17.99620E-003,4.03944E-006,5.71859E+000
1,1,49,100.00000E-003,845.24300E-006,5.82546E+000,-11.99620E-003,4.06955E-006,5.82546E+000
1,1,50,100.00000E-003,837.98700E-006,5.93285E+000,-5.99610E-003,4.09573E-006,5.93285E+000
1,1,51,100.00000E-003,830.56800E-006,6.04202E+000,2.20000E-006,4.06803E-006,6.04202E+000
1,1,52,100.00000E-003,823.11700E-006,6.18193E+000,6.00340E-003,3.89325E-006,6.18193E+000
1,1,53,100.00000E-003,815.77600E-006,6.29029E+000,12.00320E-003,4.02735E-006,6.29029E+000
1,1,54,100.00000E-003,808.30200E-006,6.39717E+000,18.00350E-003,4.08856E-006,6.39717E+000
1,1,55,100.00000E-003,800.68600E-006,6.50744E+000,24.00170E-003,4.05598E-006,6.50744E+000
1,1,56,100.00000E-003,793.06200E-006,6.61429E+000,30.00360E-003,4.15252E-006,6.61429E+000
1,1,57,100.00000E-003,785.47900E-006,6.72160E+000,36.00340E-003,4.19016E-006,6.72160E+000
1,1,58,100.00000E-003,777.75300E-006,6.82844E+000,42.00370E-003,4.23288E-006,6.82844E+000
1,1,59,100.00000E-003,770.03100E-006,6.93528E+000,48.00390E-003,4.27326E-006,6.93528E+000
1,1,60,99.99990E-003,762.20200E-006,7.04443E+000,54.00240E-003,4.25921E-006,7.04443E+000
1,1,61,100.00000E-003,754.24200E-006,7.18972E+000,60.00150E-003,4.05533E-006,7.18972E+000
1,1,62,100.00000E-003,746.35600E-006,7.30239E+000,66.00070E-003,4.18293E-006,7.30239E+000
1,1,63,100.00000E-003,738.39800E-006,7.41135E+000,72.00260E-003,4.27656E-006,7.41135E+000
1,1,64,100.00000E-003,730.43400E-006,7.51832E+000,78.00430E-003,4.32225E-006,7.51832E+000
1,1,65,100.00000E-003,722.37600E-006,7.62517E+000,84.00380E-003,4.34326E-006,7.62517E+000
1,1,66,100.00000E-003,714.27900E-006,7.73825E+000,90.00370E-003,4.34517E-006,7.73825E+000
1,1,67,100.00000E-003,706.02600E-006,7.84860E+000,96.00140E-003,4.31899E-006,7.84860E+000
1,1,68,100.00000E-003,697.98400E-006,7.95543E+000,102.00420E-003,4.42213E-006,7.95543E+000
1,1,69,100.00000E-003,689.74300E-006,8.06230E+000,108.00430E-003,4.47041E-006,8.06230E+000
1,1,70,100.00000E-003,681.51100E-006,8.18876E+000,114.00170E-003,4.33228E-006,8.18876E+000
1,1,71,100.00000E-003,673.37000E-006,8.29575E+000,120.00420E-003,4.51390E-006,8.29575E+000
1,1,72,100.00000E-003,665.08100E-006,8.40254E+000,126.00420E-003,4.59021E-006,8.40254E+000
1,1,73,100.00000E-003,656.89300E-006,8.51035E+000,132.00400E-003,4.66942E-006,8.51035E+000
1,1,74,100.00000E-003,648.74300E-006,8.61747E+000,138.00390E-003,4.76983E-006,8.61747E+000
1,1,75,100.00000E-003,640.60900E-006,8.72774E+000,144.00450E-003,4.86693E-006,8.72774E+000
1,1,76,100.00000E-003,632.46200E-006,8.83458E+000,150.00410E-003,4.98906E-006,8.83458E+000
1,1,77,100.00000E-003,624.34000E-006,8.94378E+000,156.00230E-003,5.07505E-006,8.94378E+000
1,1,78,100.00000E-003,616.26700E-006,9.05069E+000,162.00430E-003,5.28555E-006,9.05069E+000
1,1,79,100.00000E-003,608.09900E-006,9.18740E+000,168.00430E-003,5.27980E-006,9.18740E+000
1,1,80,100.00000E-003,600.14500E-006,9.29662E+000,174.00200E-003,5.50934E-006,9.29662E+000
1,1,81,100.00000E-003,592.27500E-006,9.40599E+000,180.00200E-003,5.75813E-006,9.40599E+000
1,1,82,100.00000E-003,584.46700E-006,9.51511E+000,186.00230E-003,6.02503E-006,9.51511E+000
1,1,83,100.00000E-003,576.67100E-006,9.62423E+000,192.00250E-003,6.31911E-006,9.62423E+000
1,1,84,100.00000E-003,568.97500E-006,9.73615E+000,198.00210E-003,6.62811E-006,9.73615E+000
1,1,85,100.00000E-003,561.33900E-006,9.84534E+000,204.00280E-003,6.98166E-006,9.84534E+000
1,1,86,100.00000E-003,553.84800E-006,9.95448E+000,210.00240E-003,7.36497E-006,9.95448E+000
1,1,87,100.00000E-003,546.29000E-006,10.06366E+000,216.00300E-003,7.80235E-006,10.06366E+000
1,1,88,100.00000E-003,538.92800E-006,10.19930E+000,222.00200E-003,8.11738E-006,10.19930E+000
1,1,89,100.00000E-003,531.71300E-006,10.31074E+000,228.00000E-003,8.63837E-006,10.31074E+000
1,1,90,100.00000E-003,524.68000E-006,10.42017E+000,234.00400E-003,9.18670E-006,10.42017E+000
1,1,91,100.00000E-003,517.67200E-006,10.58136E+000,240.00000E-003,9.50610E-006,10.58136E+000
1,1,92,100.00000E-003,510.94600E-006,10.68937E+000,246.00000E-003,10.17690E-006,10.68937E+000
1,1,93,100.00000E-003,504.38600E-006,10.79298E+000,252.00000E-003,10.82360E-006,10.79298E+000
1,1,94,100.00000E-003,497.95000E-006,10.89653E+000,258.00100E-003,11.47780E-006,10.89653E+000
1,1,95,100.00000E-003,491.76500E-006,11.00006E+000,264.00100E-003,12.15460E-006,11.00006E+000
1,1,96,100.00000E-003,485.74400E-006,11.10374E+000,270.00000E-003,12.85050E-006,11.10374E+000
1,1,97,100.00000E-003,479.71500E-006,11.23215E+000,276.00000E-003,13.51110E-006,11.23215E+000
1,1,98,100.00000E-003,474.10500E-006,11.33569E+000,282.00100E-003,14.26140E-006,11.33569E+000
1,1,99,100.00000E-003,468.59400E-006,11.44121E+000,288.00000E-003,15.02220E-006,11.44121E+000
1,1,100,100.00000E-003,463.30900E-006,11.54473E+000,294.00100E-003,15.80930E-006,11.54473E+000
1,1,101,100.00000E-003,458.26200E-006,11.64830E+000,300.00000E-003,16.61260E-006,11.64830E+000
1,1,102,100.00000E-003,453.43500E-006,11.75252E+000,306.00000E-003,17.42640E-006,11.75252E+000
1,1,103,100.00000E-003,448.88100E-006,11.85762E+000,312.00000E-003,18.25550E-006,11.85762E+000
1,1,104,100.00000E-003,444.58600E-006,11.96112E+000,318.00100E-003,19.10330E-006,11.96112E+000
1,1,105,100.00000E-003,440.58100E-006,12.06478E+000,324.00000E-003,19.96160E-006,12.06478E+000
1,1,106,100.00000E-003,436.85300E-006,12.19283E+000,330.00000E-003,20.71300E-006,12.19283E+000
1,1,107,100.00000E-003,433.46500E-006,12.29640E+000,336.00000E-003,21.63520E-006,12.29640E+000
1,1,108,100.00000E-003,430.31000E-006,12.39997E+000,342.00100E-003,22.53030E-006,12.39997E+000
1,1,109,100.00000E-003,427.52300E-006,12.50350E+000,348.00100E-003,23.42660E-006,12.50350E+000
1,1,110,100.00000E-003,425.15300E-006,12.60708E+000,354.00000E-003,24.31900E-006,12.60708E+000
1,1,111,100.00000E-003,423.00400E-006,12.71066E+000,360.00000E-003,25.21560E-006,12.71066E+000
1,1,112,100.00000E-003,421.19700E-006,12.81425E+000,366.00100E-003,26.11760E-006,12.81425E+000
1,1,113,100.00000E-003,419.78400E-006,12.91917E+000,372.00100E-003,27.00710E-006,12.91917E+000
1,1,114,100.00000E-003,418.63900E-006,13.02314E+000,378.00000E-003,27.90730E-006,13.02314E+000
1,1,115,100.00000E-003,417.90200E-006,13.12669E+000,384.00100E-003,28.80030E-006,13.12669E+000
1,1,116,100.00000E-003,417.46400E-006,13.23783E+000,390.00100E-003,29.67180E-006,13.23783E+000
1,1,117,100.00000E-003,417.38000E-006,13.34138E+000,396.00000E-003,30.56640E-006,13.34138E+000
1,1,118,99.99990E-003,417.47800E-006,13.44496E+000,402.00100E-003,31.45370E-006,13.44496E+000
1,1,119,100.00000E-003,418.04100E-006,13.54849E+000,408.00100E-003,32.33580E-006,13.54849E+000
1,1,120,100.00000E-003,418.95200E-006,13.65204E+000,414.00100E-003,33.21620E-006,13.65204E+000
1,1,121,100.00000E-003,420.10100E-006,13.75561E+000,420.00000E-003,34.08500E-006,13.75561E+000
1,1,122,100.00000E-003,421.65900E-006,13.86089E+000,426.00000E-003,34.93950E-006,13.86089E+000
1,1,123,100.00000E-003,423.43000E-006,13.96445E+000,432.00100E-003,35.80430E-006,13.96445E+000
1,1,124,100.00010E-003,425.40100E-006,14.06803E+000,438.00100E-003,36.66300E-006,14.06803E+000
1,1,125,100.00000E-003,427.75000E-006,14.20751E+000,444.00000E-003,37.31570E-006,14.20751E+000
