Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,745.03500E-006,77.56800E-003,-299.92900E-003,-25.59610E-009,77.56800E-003
1,1,2,100.00000E-003,742.69000E-006,307.34800E-003,-295.00000E-003,55.79000E-009,307.34800E-003
1,1,3,100.00000E-003,740.10700E-006,536.29600E-003,-290.00100E-003,103.36000E-009,536.29600E-003
1,1,4,99.99990E-003,737.58200E-006,793.00800E-003,-285.00000E-003,121.44000E-009,793.00800E-003
1,1,5,100.00000E-003,735.01100E-006,1.02186E+000,-280.00100E-003,157.28000E-009,1.02186E+000
1,1,6,100.00000E-003,732.39300E-006,1.13121E+000,-275.00000E-003,311.43100E-009,1.13121E+000
1,1,7,100.00000E-003,729.88700E-006,1.24061E+000,-269.99700E-003,380.35500E-009,1.24061E+000
1,1,8,100.00000E-003,727.23000E-006,1.34997E+000,-264.99900E-003,430.80800E-009,1.34997E+000
1,1,9,100.00000E-003,724.55000E-006,1.45937E+000,-259.99800E-003,464.87300E-009,1.45937E+000
1,1,10,100.00000E-003,721.81200E-006,1.56624E+000,-255.00000E-003,490.60000E-009,1.56624E+000
1,1,11,100.00000E-003,719.01500E-006,1.67760E+000,-250.00000E-003,517.63000E-009,1.67760E+000
1,1,12,100.00000E-003,716.23100E-006,1.78696E+000,-244.99800E-003,544.79000E-009,1.78696E+000
1,1,13,100.00000E-003,713.40200E-006,1.89379E+000,-240.00000E-003,559.69000E-009,1.89379E+000
1,1,14,100.00000E-003,710.51700E-006,2.00069E+000,-235.00000E-003,577.68000E-009,2.00069E+000
1,1,15,100.00000E-003,707.61200E-006,2.11001E+000,-230.00000E-003,604.32100E-009,2.11001E+000
1,1,16,100.00000E-003,704.76000E-006,2.21867E+000,-225.00000E-003,615.56000E-009,2.21867E+000
1,1,17,100.00000E-003,701.89700E-006,2.32675E+000,-220.00000E-003,631.85000E-009,2.32675E+000
1,1,18,100.00000E-003,698.95800E-006,2.43364E+000,-215.00000E-003,649.01000E-009,2.43364E+000
1,1,19,100.00000E-003,696.10900E-006,2.53993E+000,-209.99900E-003,680.73000E-009,2.53993E+000
1,1,20,100.00000E-003,693.05500E-006,2.68658E+000,-204.99990E-003,596.34100E-009,2.68658E+000
1,1,21,100.00000E-003,690.08100E-006,2.79945E+000,-200.00060E-003,658.69800E-009,2.79945E+000
1,1,22,100.00000E-003,687.08000E-006,2.90838E+000,-194.99960E-003,674.39000E-009,2.90838E+000
1,1,23,100.00000E-003,684.04700E-006,3.01525E+000,-189.99960E-003,697.47000E-009,3.01525E+000
1,1,24,100.00000E-003,680.98200E-006,3.12235E+000,-184.99960E-003,713.51000E-009,3.12235E+000
1,1,25,100.00000E-003,677.90400E-006,3.23067E+000,-179.99950E-003,725.02000E-009,3.23067E+000
1,1,26,100.00000E-003,674.77200E-006,3.33754E+000,-174.99950E-003,737.03000E-009,3.33754E+000
1,1,27,100.00000E-003,671.66100E-006,3.44471E+000,-169.99970E-003,745.77000E-009,3.44471E+000
1,1,28,100.00000E-003,668.40400E-006,3.61128E+000,-165.00260E-003,615.74000E-009,3.61128E+000
1,1,29,100.00000E-003,665.21200E-006,3.72469E+000,-159.99960E-003,697.52000E-009,3.72469E+000
1,1,30,100.00000E-003,662.02100E-006,3.83176E+000,-154.99960E-003,725.75000E-009,3.83176E+000
1,1,31,100.00000E-003,658.74500E-006,3.93862E+000,-149.99960E-003,742.69000E-009,3.93862E+000
1,1,32,100.00000E-003,655.44300E-006,4.04570E+000,-144.99970E-003,753.44000E-009,4.04570E+000
1,1,33,100.00000E-003,652.06100E-006,4.18203E+000,-139.99980E-003,687.04000E-009,4.18203E+000
1,1,34,100.00000E-003,648.73200E-006,4.28912E+000,-134.99950E-003,738.40000E-009,4.28912E+000
1,1,35,100.00000E-003,645.36500E-006,4.39599E+000,-129.99950E-003,753.74000E-009,4.39599E+000
1,1,36,100.00000E-003,641.96500E-006,4.50284E+000,-124.99960E-003,762.37000E-009,4.50284E+000
1,1,37,100.00000E-003,638.54100E-006,4.60995E+000,-119.99950E-003,767.36000E-009,4.60995E+000
1,1,38,99.99990E-003,635.06700E-006,4.72722E+000,-114.99970E-003,760.44000E-009,4.72722E+000
1,1,39,99.99990E-003,631.54300E-006,4.83409E+000,-109.99960E-003,768.48000E-009,4.83409E+000
1,1,40,100.00000E-003,627.97500E-006,4.94117E+000,-104.99960E-003,772.56000E-009,4.94117E+000
1,1,41,100.00000E-003,624.37200E-006,5.04805E+000,-99.99960E-003,774.62000E-009,5.04805E+000
1,1,42,100.00000E-003,620.71800E-006,5.18557E+000,-94.99970E-003,700.77000E-009,5.18557E+000
1,1,43,100.00000E-003,617.09700E-006,5.29249E+000,-89.99970E-003,746.41000E-009,5.29249E+000
1,1,44,100.00000E-003,613.45000E-006,5.39934E+000,-84.99970E-003,758.61000E-009,5.39934E+000
1,1,45,100.00000E-003,609.73200E-006,5.50678E+000,-79.99970E-003,762.90000E-009,5.50678E+000
1,1,46,100.00000E-003,606.01700E-006,5.61391E+000,-74.99970E-003,767.21000E-009,5.61391E+000
1,1,47,100.00000E-003,602.23100E-006,5.73107E+000,-69.99950E-003,754.66000E-009,5.73107E+000
1,1,48,99.99990E-003,598.45600E-006,5.83795E+000,-64.99970E-003,764.16000E-009,5.83795E+000
1,1,49,100.00000E-003,594.66900E-006,5.94479E+000,-59.99970E-003,768.20000E-009,5.94479E+000
1,1,50,100.00000E-003,590.78800E-006,6.05161E+000,-54.99970E-003,771.57000E-009,6.05161E+000
1,1,51,100.00000E-003,586.83200E-006,6.19220E+000,-49.99990E-003,696.61000E-009,6.19220E+000
1,1,52,100.00000E-003,582.85800E-006,6.29906E+000,-44.99960E-003,743.61000E-009,6.29906E+000
1,1,53,100.00000E-003,578.90800E-006,6.40594E+000,-39.99960E-003,756.32000E-009,6.40594E+000
1,1,54,100.00000E-003,574.93800E-006,6.51394E+000,-34.99970E-003,762.72000E-009,6.51394E+000
1,1,55,100.00000E-003,570.89300E-006,6.62074E+000,-29.99970E-003,769.12000E-009,6.62074E+000
1,1,56,100.00000E-003,566.83000E-006,6.73281E+000,-24.99970E-003,768.59000E-009,6.73281E+000
1,1,57,100.00000E-003,562.71800E-006,6.84000E+000,-19.99970E-003,775.35000E-009,6.84000E+000
1,1,58,100.00000E-003,558.61400E-006,6.94729E+000,-14.99960E-003,782.55000E-009,6.94729E+000
1,1,59,100.00000E-003,554.41300E-006,7.05410E+000,-9.99960E-003,787.01000E-009,7.05410E+000
1,1,60,100.00000E-003,550.11400E-006,7.19816E+000,-4.99600E-003,730.27900E-009,7.19816E+000
1,1,61,100.00000E-003,545.90400E-006,7.30514E+000,400.00000E-009,767.18000E-009,7.30514E+000
1,1,62,100.00000E-003,541.65700E-006,7.41198E+000,5.00050E-003,781.11000E-009,7.41198E+000
1,1,63,100.00000E-003,537.34200E-006,7.51883E+000,10.00030E-003,792.57000E-009,7.51883E+000
1,1,64,100.00000E-003,533.02400E-006,7.62584E+000,15.00030E-003,803.09000E-009,7.62584E+000
1,1,65,100.00000E-003,528.63200E-006,7.73572E+000,20.00040E-003,810.56000E-009,7.73572E+000
1,1,66,100.00000E-003,524.22100E-006,7.84269E+000,25.00030E-003,821.70000E-009,7.84269E+000
1,1,67,100.00000E-003,519.76700E-006,7.94954E+000,30.00040E-003,831.51000E-009,7.94954E+000
1,1,68,100.00000E-003,515.29300E-006,8.05636E+000,35.00040E-003,841.80000E-009,8.05636E+000
1,1,69,100.00000E-003,510.71400E-006,8.19568E+000,40.00010E-003,781.56000E-009,8.19568E+000
1,1,70,100.00000E-003,506.23200E-006,8.30257E+000,45.00030E-003,834.34000E-009,8.30257E+000
1,1,71,100.00000E-003,501.69500E-006,8.40941E+000,50.00050E-003,867.15000E-009,8.40941E+000
1,1,72,100.00000E-003,497.15000E-006,8.51637E+000,55.00030E-003,871.85000E-009,8.51637E+000
1,1,73,100.00000E-003,492.52300E-006,8.62325E+000,60.00040E-003,884.07000E-009,8.62325E+000
1,1,74,100.00000E-003,487.84700E-006,8.73870E+000,65.00030E-003,888.50000E-009,8.73870E+000
1,1,75,100.00000E-003,483.16600E-006,8.84555E+000,70.00030E-003,905.59000E-009,8.84555E+000
1,1,76,100.00000E-003,478.47100E-006,8.95237E+000,75.00030E-003,920.29000E-009,8.95237E+000
1,1,77,100.00000E-003,473.78400E-006,9.05927E+000,80.00030E-003,934.42000E-009,9.05927E+000
1,1,78,100.00000E-003,468.93600E-006,9.20220E+000,85.00020E-003,873.81000E-009,9.20220E+000
1,1,79,100.00000E-003,464.22100E-006,9.31310E+000,90.00040E-003,921.72000E-009,9.31310E+000
1,1,80,100.00000E-003,459.45900E-006,9.42363E+000,95.00030E-003,944.80000E-009,9.42363E+000
1,1,81,100.00000E-003,454.67500E-006,9.53048E+000,100.00040E-003,972.81000E-009,9.53048E+000
1,1,82,100.00000E-003,449.89600E-006,9.63771E+000,105.00040E-003,992.21000E-009,9.63771E+000
1,1,83,100.00000E-003,445.06000E-006,9.75149E+000,110.00030E-003,1.00573E-006,9.75149E+000
1,1,84,100.00000E-003,440.27700E-006,9.85836E+000,115.00040E-003,1.02707E-006,9.85836E+000
1,1,85,100.00000E-003,435.42600E-006,9.96602E+000,120.00030E-003,1.04490E-006,9.96602E+000
