Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,527.47400E-006,64.19900E-003,-300.00100E-003,-1.72112E-006,64.19900E-003
1,1,2,100.00000E-003,524.49600E-006,225.67700E-003,-292.99800E-003,-1.46243E-006,225.67700E-003
1,1,3,100.00000E-003,521.46600E-006,386.77900E-003,-285.99700E-003,-1.07662E-006,386.77900E-003
1,1,4,100.00000E-003,518.38900E-006,498.00000E-003,-278.98900E-003,-788.85000E-009,498.00000E-003
1,1,5,100.00000E-003,515.73700E-006,748.40400E-003,-271.99900E-003,-970.20000E-009,748.40400E-003
1,1,6,100.00000E-003,512.69300E-006,977.51700E-003,-264.99800E-003,-694.70000E-009,977.51700E-003
1,1,7,100.00000E-003,509.55900E-006,1.21319E+000,-257.99900E-003,-555.98000E-009,1.21319E+000
1,1,8,100.00000E-003,506.59300E-006,1.39032E+000,-250.99400E-003,-513.92300E-009,1.39032E+000
1,1,9,100.00000E-003,503.18000E-006,1.51256E+000,-243.95200E-003,11.93670E-009,1.51256E+000
1,1,10,100.00000E-003,500.03300E-006,1.67079E+000,-237.01500E-003,23.52020E-009,1.67079E+000
1,1,11,100.00000E-003,496.89800E-006,1.78046E+000,-230.00000E-003,262.23700E-009,1.78046E+000
1,1,12,100.00000E-003,493.60400E-006,1.89028E+000,-223.00100E-003,428.05000E-009,1.89028E+000
1,1,13,100.00000E-003,490.33500E-006,2.00227E+000,-216.00300E-003,583.03000E-009,2.00227E+000
1,1,14,100.00000E-003,487.10900E-006,2.11077E+000,-208.99880E-003,716.54000E-009,2.11077E+000
1,1,15,100.00000E-003,484.00800E-006,2.27561E+000,-202.00140E-003,601.29000E-009,2.27561E+000
1,1,16,100.00000E-003,480.50500E-006,2.38673E+000,-194.99870E-003,870.87000E-009,2.38673E+000
