Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,454.96000E-006,118.47800E-003,-299.99800E-003,-1.23044E-006,118.47800E-003
1,1,2,100.00000E-003,452.44300E-006,228.40700E-003,-292.98700E-003,-764.15900E-009,228.40700E-003
1,1,3,100.00000E-003,450.53700E-006,457.35700E-003,-285.99900E-003,-716.57000E-009,457.35700E-003
1,1,4,100.00000E-003,448.26200E-006,708.63800E-003,-279.00100E-003,-592.15000E-009,708.63800E-003
1,1,5,100.00000E-003,446.00000E-006,885.71000E-003,-271.99300E-003,-526.29600E-009,885.71000E-003
1,1,6,100.00000E-003,443.37100E-006,1.00931E+000,-264.88100E-003,-10.78710E-009,1.00931E+000
1,1,7,100.00000E-003,441.03400E-006,1.13236E+000,-258.14500E-003,76.01770E-009,1.13236E+000
1,1,8,100.00000E-003,438.76300E-006,1.32785E+000,-251.00900E-003,-59.00300E-009,1.32785E+000
1,1,9,100.00000E-003,436.33200E-006,1.43875E+000,-243.99900E-003,295.77200E-009,1.43875E+000
1,1,10,100.00000E-003,433.83000E-006,1.54843E+000,-237.00200E-003,469.46000E-009,1.54843E+000
1,1,11,100.00000E-003,431.48900E-006,1.65777E+000,-230.00300E-003,610.04600E-009,1.65777E+000
1,1,12,100.00000E-003,428.94700E-006,1.82363E+000,-223.00100E-003,488.79000E-009,1.82363E+000
1,1,13,100.00000E-003,426.61100E-006,1.98475E+000,-216.00100E-003,550.84000E-009,1.98475E+000
1,1,14,100.00000E-003,424.22700E-006,2.14584E+000,-209.00170E-003,621.74000E-009,2.14584E+000
1,1,15,100.00000E-003,421.73200E-006,2.26140E+000,-201.99910E-003,906.11000E-009,2.26140E+000
1,1,16,99.99990E-003,419.06300E-006,2.36852E+000,-194.99870E-003,1.09566E-006,2.36852E+000
1,1,17,100.00000E-003,416.48400E-006,2.47539E+000,-187.99860E-003,1.25038E-006,2.47539E+000
1,1,18,100.00000E-003,413.94300E-006,2.58230E+000,-180.99830E-003,1.40073E-006,2.58230E+000
1,1,19,100.00000E-003,411.51200E-006,2.72077E+000,-173.99900E-003,1.37272E-006,2.72077E+000
1,1,20,100.00000E-003,408.90500E-006,2.83037E+000,-166.99830E-003,1.58309E-006,2.83037E+000
1,1,21,99.99990E-003,406.24800E-006,2.94098E+000,-159.99860E-003,1.71463E-006,2.94098E+000
1,1,22,100.00000E-003,403.63000E-006,3.05002E+000,-152.99830E-003,1.84404E-006,3.05002E+000
1,1,23,100.00000E-003,400.96500E-006,3.15690E+000,-145.99800E-003,2.00130E-006,3.15690E+000
1,1,24,100.00000E-003,398.29700E-006,3.26969E+000,-138.99800E-003,2.10476E-006,3.26969E+000
1,1,25,100.00000E-003,395.64000E-006,3.37684E+000,-131.99830E-003,2.22382E-006,3.37684E+000
1,1,26,100.00000E-003,392.96100E-006,3.48382E+000,-124.99820E-003,2.34539E-006,3.48382E+000
1,1,27,100.00000E-003,390.23600E-006,3.59208E+000,-117.99770E-003,2.45329E-006,3.59208E+000
1,1,28,100.00000E-003,387.61400E-006,3.72670E+000,-110.99890E-003,2.36747E-006,3.72670E+000
1,1,29,99.99990E-003,384.87900E-006,3.83360E+000,-103.99770E-003,2.57194E-006,3.83360E+000
1,1,30,99.99990E-003,382.08800E-006,3.94049E+000,-96.99760E-003,2.68294E-006,3.94049E+000
1,1,31,100.00000E-003,379.26500E-006,4.04737E+000,-89.99800E-003,2.77664E-006,4.04737E+000
1,1,32,100.00000E-003,376.48200E-006,4.15752E+000,-82.99780E-003,2.83693E-006,4.15752E+000
1,1,33,100.00000E-003,373.64100E-006,4.27389E+000,-75.99780E-003,2.90384E-006,4.27389E+000
1,1,34,100.00000E-003,370.88000E-006,4.38415E+000,-68.99810E-003,2.95382E-006,4.38415E+000
1,1,35,99.99990E-003,368.04000E-006,4.49103E+000,-61.99780E-003,3.05944E-006,4.49103E+000
1,1,36,100.00000E-003,365.13200E-006,4.59796E+000,-54.99770E-003,3.13370E-006,4.59796E+000
1,1,37,100.00000E-003,362.28600E-006,4.72320E+000,-47.99780E-003,3.06923E-006,4.72320E+000
1,1,38,100.00000E-003,359.29500E-006,4.83024E+000,-40.99760E-003,3.20267E-006,4.83024E+000
1,1,39,100.00000E-003,356.35900E-006,4.93711E+000,-33.99790E-003,3.27922E-006,4.93711E+000
1,1,40,100.00000E-003,353.33200E-006,5.04396E+000,-26.99780E-003,3.33664E-006,5.04396E+000
1,1,41,100.00000E-003,350.29900E-006,5.15096E+000,-19.99800E-003,3.39996E-006,5.15096E+000
1,1,42,100.00000E-003,347.24100E-006,5.26712E+000,-12.99760E-003,3.42888E-006,5.26712E+000
1,1,43,100.00000E-003,344.13800E-006,5.37405E+000,-5.99740E-003,3.49015E-006,5.37405E+000
1,1,44,99.99990E-003,340.91700E-006,5.48092E+000,1.00230E-003,3.54650E-006,5.48092E+000
1,1,45,100.00000E-003,337.75000E-006,5.58839E+000,8.00230E-003,3.58886E-006,5.58839E+000
1,1,46,100.00000E-003,334.60100E-006,5.73229E+000,15.00130E-003,3.39195E-006,5.73229E+000
